date, close, open, high, low, volume
Apr 04, 2014, 40.45, 38.48, 40.59, 38.30, 4.11M
Apr 03, 2014, 38.31, 39.09, 39.17, 37.81, 2.44M
Apr 02, 2014, 39.06, 38.66, 39.44, 38.44, 3.07M
Apr 01, 2014, 38.43, 40.31, 40.45, 38.18, 3.37M
Mar 31, 2014, 40.09, 39.12, 40.62, 38.96, 3.51M
Mar 28, 2014, 38.77, 36.16, 38.97, 35.97, 4.17M
Mar 27, 2014, 36.06, 35.90, 36.35, 35.75, 1.49M
Mar 26, 2014, 35.83, 36.22, 36.66, 35.60, 1.99M
Mar 25, 2014, 36.04, 35.38, 36.45, 35.15, 2.68M
Mar 24, 2014, 35.40, 35.63, 36.15, 35.22, 2.01M
Mar 22, 2014, 35.41, 35.65, 35.67, 35.31, 227.75K
Mar 21, 2014, 35.52, 34.43, 35.76, 34.36, 2.93M
Mar 20, 2014, 34.25, 35.18, 35.18, 34.05, 2.38M
Mar 19, 2014, 35.31, 35.34, 35.68, 35.08, 1.86M
Mar 18, 2014, 35.19, 35.23, 35.87, 34.79, 2.64M
Mar 14, 2014, 34.89, 33.24, 35.36, 32.86, 3.58M
Mar 13, 2014, 33.67, 34.27, 34.87, 33.30, 2.42M
Mar 12, 2014, 34.14, 34.76, 34.94, 33.73, 2.50M
Mar 11, 2014, 34.68, 34.69, 35.52, 34.33, 3.90M
Mar 10, 2014, 34.51, 33.11, 35.18, 32.80, 5.45M
Mar 07, 2014, 33.02, 30.02, 33.71, 29.79, 5.90M
Mar 06, 2014, 29.89, 29.31, 29.99, 29.11, 1.58M
Mar 05, 2014, 29.19, 29.42, 29.53, 28.79, 1.68M
Mar 04, 2014, 29.17, 28.98, 29.31, 28.71, 2.05M
Mar 03, 2014, 28.75, 27.78, 28.93, 27.78, 2.68M
Feb 28, 2014, 27.70, 27.16, 27.95, 27.03, 1.70M
Feb 26, 2014, 27.05, 27.22, 27.30, 26.54, 1.76M
Feb 25, 2014, 27.17, 27.32, 27.66, 26.85, 1.99M
Feb 24, 2014, 27.20, 27.33, 27.75, 26.99, 2.12M
Feb 21, 2014, 27.19, 26.85, 27.30, 26.45, 3.04M
Feb 20, 2014, 26.72, 26.48, 27.54, 26.05, 5.04M
Feb 19, 2014, 26.59, 25.16, 26.69, 24.92, 6.01M
Feb 18, 2014, 24.81, 24.00, 25.17, 24.00, 3.33M
Feb 17, 2014, 23.99, 23.33, 24.12, 23.22, 1.39M
Feb 14, 2014, 23.45, 23.54, 23.88, 22.89, 1.35M
Feb 13, 2014, 23.72, 24.10, 24.28, 23.59, 2.20M
Feb 12, 2014, 23.97, 24.29, 24.40, 23.82, 2.54M
Feb 11, 2014, 24.07, 24.16, 24.49, 23.71, 1.55M
Feb 10, 2014, 24.16, 24.41, 24.92, 24.04, 1.51M
