date, close, open, high, low, volume
Apr 24, 1996, 0.61, 0.61, 0.61, 0.61, 40.00K
Apr 23, 1996, 0.59, 0.61, 0.61, 0.59, 24.00K
Apr 22, 1996, 0.62, 0.64, 0.64, 0.62, 16.00K
Apr 19, 1996, 0.61, 0.63, 0.63, 0.61, 16.00K
Apr 18, 1996, 0.63, 0.63, 0.63, 0.61, 48.00K
Apr 17, 1996, 0.63, 0.63, 0.63, 0.63, 8.00K
Apr 16, 1996, 0.60, 0.60, 0.60, 0.60, 32.00K
Apr 11, 1996, 0.60, 0.60, 0.60, 0.60, 8.00K
Apr 09, 1996, 0.60, 0.60, 0.62, 0.60, 32.00K
Apr 03, 1996, 0.60, 0.59, 0.61, 0.59, 40.00K
Mar 29, 1996, 0.58, 0.58, 0.58, 0.58, 16.00K
Mar 25, 1996, 0.56, 0.56, 0.56, 0.56, 8.00K
Mar 19, 1996, 0.56, 0.56, 0.56, 0.56, 8.00K
Mar 18, 1996, 0.58, 0.58, 0.58, 0.58, 8.00K
Mar 14, 1996, 0.56, 0.56, 0.56, 0.56, 8.00K
Mar 08, 1996, 0.57, 0.57, 0.57, 0.57, 16.00K
Mar 07, 1996, 0.55, 0.55, 0.60, 0.55, 168.00K
Mar 04, 1996, 0.55, 0.55, 0.55, 0.55, 8.00K
Feb 28, 1996, 0.61, 0.61, 0.61, 0.61, 8.00K
Feb 27, 1996, 0.63, 0.63, 0.63, 0.63, 8.00K
Feb 26, 1996, 0.59, 0.59, 0.59, 0.59, 32.00K
Feb 23, 1996, 0.59, 0.59, 0.59, 0.59, 8.00K
Feb 20, 1996, 0.58, 0.58, 0.58, 0.58, 8.00K
Feb 19, 1996, 0.61, 0.61, 0.61, 0.60, 32.00K
Feb 16, 1996, 0.61, 0.61, 0.61, 0.61, 16.00K
Feb 15, 1996, 0.61, 0.61, 0.61, 0.61, 16.00K
Feb 14, 1996, 0.59, 0.59, 0.59, 0.59, 8.00K
Feb 13, 1996, 0.58, 0.57, 0.59, 0.57, 32.00K
Feb 06, 1996, 0.58, 0.59, 0.59, 0.58, 16.00K
Feb 05, 1996, 0.59, 0.59, 0.59, 0.59, 16.00K
Feb 02, 1996, 0.57, 0.57, 0.57, 0.57, 8.00K
Feb 01, 1996, 0.55, 0.55, 0.55, 0.55, 16.00K
Jan 30, 1996, 0.59, 0.59, 0.60, 0.59, 48.00K
Jan 29, 1996, 0.54, 0.54, 0.54, 0.54, 8.00K
Jan 24, 1996, 0.58, 0.58, 0.58, 0.57, 24.00K
Jan 19, 1996, 0.63, 0.63, 0.63, 0.63, 8.00K
Jan 12, 1996, 0.64, 0.63, 0.64, 0.63, 24.00K
Jan 09, 1996, 0.62, 0.62, 0.63, 0.61, 32.00K
Jan 08, 1996, 0.62, 0.63, 0.63, 0.61, 72.00K
Jan 05, 1996, 0.63, 0.63, 0.63, 0.63, 8.00K
Jan 04, 1996, 0.65, 0.65, 0.65, 0.65, 16.00K
Jan 03, 1996, 0.63, 0.63, 0.63, 0.63, 24.00K
Jan 02, 1996, 0.65, 0.64, 0.65, 0.64, 16.00K
Dec 28, 1995, 0.63, 0.65, 0.65, 0.63, 16.00K
Dec 27, 1995, 0.61, 0.59, 0.61, 0.59, 32.00K
Dec 26, 1995, 0.57, 0.59, 0.61, 0.53, 48.00K
Dec 22, 1995, 0.59, 0.60, 0.60, 0.59, 24.00K
Dec 21, 1995, 0.61, 0.61, 0.61, 0.61, 8.00K
Dec 19, 1995, 0.59, 0.59, 0.59, 0.59, 8.00K
Dec 12, 1995, 0.63, 0.64, 0.64, 0.63, 16.00K
Dec 11, 1995, 0.65, 0.64, 0.65, 0.64, 24.00K
Dec 08, 1995, 0.65, 0.66, 0.66, 0.65, 32.00K
Dec 07, 1995, 0.65, 0.66, 0.67, 0.65, 24.00K
Dec 05, 1995, 0.65, 0.65, 0.65, 0.65, 8.00K
Nov 27, 1995, 0.59, 0.59, 0.59, 0.59, 8.00K
Nov 24, 1995, 0.61, 0.61, 0.61, 0.61, 8.00K
Nov 23, 1995, 0.63, 0.63, 0.63, 0.63, 8.00K
Nov 22, 1995, 0.65, 0.65, 0.65, 0.65, 24.00K
Nov 21, 1995, 0.65, 0.65, 0.65, 0.65, 8.00K
Nov 16, 1995, 0.68, 0.68, 0.68, 0.68, 8.00K
Nov 10, 1995, 0.74, 0.74, 0.74, 0.74, 8.00K
Nov 06, 1995, 0.74, 0.74, 0.74, 0.74, 16.00K
Nov 01, 1995, 0.72, 0.72, 0.72, 0.72, 8.00K
Oct 19, 1995, 0.72, 0.72, 0.72, 0.72, 8.00K
Oct 17, 1995, 0.75, 0.74, 0.75, 0.74, 24.00K
Oct 12, 1995, 0.78, 0.78, 0.78, 0.78, 16.00K
Oct 09, 1995, 0.79, 0.79, 0.79, 0.79, 8.00K
Sep 29, 1995, 0.82, 0.82, 0.82, 0.82, 8.00K
Sep 28, 1995, 0.82, 0.82, 0.82, 0.82, 8.00K
Sep 27, 1995, 0.85, 0.85, 0.85, 0.85, 8.00K
Sep 26, 1995, 0.87, 0.84, 0.87, 0.84, 32.00K
Sep 25, 1995, 0.81, 0.82, 0.83, 0.81, 104.00K
Sep 21, 1995, 0.80, 0.80, 0.80, 0.80, 8.00K
Sep 20, 1995, 0.82, 0.72, 0.85, 0.72, 88.00K
Sep 19, 1995, 0.72, 0.78, 0.78, 0.72, 48.00K
Sep 18, 1995, 0.78, 0.78, 0.78, 0.78, 16.00K
Sep 15, 1995, 0.85, 0.85, 0.85, 0.85, 8.00K
Sep 13, 1995, 0.91, 0.91, 0.91, 0.91, 8.00K
Sep 08, 1995, 0.91, 0.91, 0.91, 0.91, 8.00K
Sep 07, 1995, 0.93, 0.93, 0.93, 0.93, 8.00K
Sep 06, 1995, 0.93, 0.95, 0.95, 0.93, 16.00K
Sep 05, 1995, 0.94, 0.93, 0.95, 0.93, 32.00K
Sep 04, 1995, 0.94, 0.93, 0.94, 0.93, 40.00K
Sep 01, 1995, 0.93, 0.93, 0.93, 0.93, 16.00K
Aug 31, 1995, 0.93, 0.93, 0.93, 0.93, 8.00K
Aug 30, 1995, 0.94, 0.94, 0.94, 0.94, 8.00K
Aug 28, 1995, 0.94, 0.94, 0.94, 0.94, 8.00K
Aug 25, 1995, 0.96, 0.94, 0.96, 0.94, 64.00K
Aug 24, 1995, 0.94, 0.94, 0.95, 0.94, 48.00K
Aug 23, 1995, 0.95, 0.95, 0.95, 0.94, 32.00K
Aug 22, 1995, 0.94, 0.96, 0.96, 0.94, 72.00K
Aug 21, 1995, 0.97, 0.95, 0.98, 0.93, 96.00K
Aug 18, 1995, 0.93, 0.93, 0.93, 0.93, 16.00K
Aug 17, 1995, 0.94, 0.94, 0.94, 0.94, 32.00K
Aug 16, 1995, 0.94, 0.93, 0.94, 0.93, 16.00K
Aug 14, 1995, 0.94, 0.92, 0.95, 0.92, 192.00K
Aug 11, 1995, 0.93, 0.88, 0.93, 0.88, 272.00K
Aug 09, 1995, 0.89, 0.90, 0.91, 0.89, 48.00K
Aug 08, 1995, 0.92, 0.93, 0.93, 0.92, 48.00K
Aug 07, 1995, 0.93, 0.95, 0.95, 0.93, 72.00K
Aug 04, 1995, 0.95, 0.95, 0.96, 0.95, 56.00K
Aug 03, 1995, 0.96, 0.96, 0.96, 0.96, 8.00K
Aug 02, 1995, 0.98, 0.98, 0.98, 0.98, 88.00K
Aug 01, 1995, 0.99, 0.98, 0.99, 0.98, 80.00K
Jul 31, 1995, 0.98, 0.98, 0.99, 0.98, 56.00K
Jul 28, 1995, 0.99, 0.96, 0.99, 0.95, 120.00K
Jul 27, 1995, 0.96, 0.94, 0.96, 0.94, 104.00K
Jul 26, 1995, 0.95, 0.95, 0.95, 0.94, 32.00K
Jul 25, 1995, 0.94, 0.94, 0.94, 0.93, 40.00K
Jul 24, 1995, 0.94, 0.95, 0.95, 0.94, 48.00K
Jul 21, 1995, 0.93, 0.93, 0.93, 0.93, 32.00K
Jul 20, 1995, 0.93, 0.93, 0.93, 0.93, 48.00K
Jul 19, 1995, 0.94, 0.94, 0.94, 0.93, 224.00K
Jul 18, 1995, 0.87, 0.93, 0.93, 0.83, 112.00K
Jul 17, 1995, 0.91, 0.93, 0.93, 0.90, 64.00K
Jul 14, 1995, 0.90, 0.90, 0.91, 0.89, 64.00K
Jul 13, 1995, 0.90, 0.89, 0.91, 0.89, 160.00K
Jul 12, 1995, 0.87, 0.86, 0.87, 0.85, 112.00K
Jul 11, 1995, 0.84, 0.84, 0.85, 0.84, 136.00K
Jul 10, 1995, 0.85, 0.82, 0.85, 0.82, 120.00K
Jul 07, 1995, 0.80, 0.80, 0.81, 0.80, 48.00K
Jul 06, 1995, 0.80, 0.80, 0.81, 0.80, 72.00K
Jul 05, 1995, 0.81, 0.82, 0.82, 0.81, 64.00K
Jul 04, 1995, 0.82, 0.82, 0.83, 0.81, 88.00K
Jul 03, 1995, 0.83, 0.86, 0.87, 0.83, 104.00K
Jun 30, 1995, 0.86, 0.83, 0.86, 0.83, 120.00K
Jun 29, 1995, 0.83, 0.83, 0.84, 0.82, 96.00K
Jun 28, 1995, 0.83, 0.84, 0.84, 0.82, 104.00K
Jun 27, 1995, 0.85, 0.82, 0.85, 0.81, 136.00K
Jun 26, 1995, 0.83, 0.83, 0.83, 0.83, 24.00K
Jun 23, 1995, 0.84, 0.85, 0.85, 0.84, 64.00K
Jun 22, 1995, 0.85, 0.82, 0.86, 0.82, 88.00K
Jun 21, 1995, 0.87, 0.86, 0.87, 0.84, 248.00K
Jun 20, 1995, 0.80, 0.76, 0.81, 0.76, 192.00K
Jun 19, 1995, 0.76, 0.75, 0.76, 0.74, 104.00K
Jun 16, 1995, 0.73, 0.72, 0.74, 0.72, 104.00K
Jun 15, 1995, 0.72, 0.72, 0.72, 0.72, 64.00K
Jun 13, 1995, 0.72, 0.71, 0.72, 0.69, 120.00K
Jun 12, 1995, 0.70, 0.78, 0.78, 0.70, 488.00K
Jun 09, 1995, 0.79, 0.78, 0.79, 0.78, 152.00K
Jun 08, 1995, 0.78, 0.78, 0.79, 0.78, 120.00K
Jun 07, 1995, 0.77, 0.79, 0.79, 0.77, 64.00K
Jun 05, 1995, 0.81, 0.81, 0.82, 0.81, 136.00K
Jun 02, 1995, 0.80, 0.80, 0.80, 0.80, 16.00K
Jun 01, 1995, 0.82, 0.82, 0.82, 0.82, 16.00K
May 31, 1995, 0.82, 0.80, 0.82, 0.80, 48.00K
May 30, 1995, 0.81, 0.73, 0.81, 0.73, 16.00K
May 25, 1995, 0.67, 0.67, 0.67, 0.67, 192.00K
May 24, 1995, 0.67, 0.66, 0.68, 0.66, 40.00K
May 23, 1995, 0.67, 0.66, 0.67, 0.66, 16.00K
