date, close, open, high, low, volume
Feb 13, 1998, 0.74, 0.74, 0.74, 0.73, 20.00K
Feb 12, 1998, 0.73, 0.74, 0.74, 0.73, 24.00K
Feb 11, 1998, 0.74, 0.72, 0.74, 0.72, 32.00K
Feb 10, 1998, 0.68, 0.73, 0.74, 0.67, 40.00K
Feb 09, 1998, 0.74, 0.72, 0.75, 0.72, 24.00K
Feb 06, 1998, 0.70, 0.74, 0.74, 0.70, 28.00K
Feb 05, 1998, 0.74, 0.75, 0.75, 0.74, 16.00K
Feb 02, 1998, 0.75, 0.75, 0.75, 0.75, 16.00K
Jan 30, 1998, 0.75, 0.75, 0.75, 0.75, 16.00K
Jan 29, 1998, 0.74, 0.75, 0.75, 0.74, 16.00K
Jan 28, 1998, 0.75, 0.75, 0.76, 0.75, 52.00K
Jan 27, 1998, 0.76, 0.75, 0.77, 0.75, 28.00K
Jan 23, 1998, 0.77, 0.78, 0.78, 0.77, 20.00K
Jan 22, 1998, 0.78, 0.76, 0.78, 0.76, 40.00K
Jan 21, 1998, 0.76, 0.76, 0.76, 0.76, 4.00K
Jan 20, 1998, 0.77, 0.78, 0.78, 0.76, 20.00K
Jan 19, 1998, 0.76, 0.74, 0.77, 0.74, 44.00K
Jan 16, 1998, 0.74, 0.74, 0.74, 0.74, 12.00K
Jan 15, 1998, 0.74, 0.74, 0.74, 0.74, 28.00K
Jan 13, 1998, 0.77, 0.76, 0.78, 0.76, 20.00K
Jan 12, 1998, 0.76, 0.76, 0.76, 0.76, 12.00K
Jan 09, 1998, 0.78, 0.79, 0.79, 0.78, 16.00K
Jan 08, 1998, 0.79, 0.78, 0.81, 0.77, 56.00K
Jan 07, 1998, 0.78, 0.79, 0.79, 0.78, 60.00K
Jan 06, 1998, 0.75, 0.79, 0.79, 0.75, 28.00K
Jan 05, 1998, 0.78, 0.77, 0.78, 0.77, 72.00K
Jan 02, 1998, 0.76, 0.79, 0.79, 0.75, 88.00K
Jan 01, 1998, 0.80, 0.78, 0.81, 0.78, 48.00K
Dec 30, 1997, 0.80, 0.80, 0.80, 0.80, 32.00K
Dec 29, 1997, 0.79, 0.79, 0.79, 0.79, 12.00K
Dec 26, 1997, 0.77, 0.77, 0.79, 0.77, 40.00K
Dec 24, 1997, 0.77, 0.81, 0.81, 0.76, 72.00K
Dec 23, 1997, 0.81, 0.74, 0.83, 0.74, 800.00K
Dec 22, 1997, 0.79, 0.81, 0.81, 0.78, 448.00K
Dec 19, 1997, 0.81, 0.77, 0.81, 0.77, 464.00K
Dec 18, 1997, 0.78, 0.78, 0.78, 0.78, 8.00K
Dec 17, 1997, 0.80, 0.79, 0.80, 0.79, 48.00K
Dec 16, 1997, 0.81, 0.81, 0.81, 0.81, 16.00K
Dec 15, 1997, 0.80, 0.80, 0.80, 0.80, 8.00K
Dec 12, 1997, 0.81, 0.79, 0.81, 0.79, 88.00K
Dec 11, 1997, 0.78, 0.79, 0.82, 0.78, 116.00K
Dec 10, 1997, 0.82, 0.82, 0.82, 0.81, 40.00K
Dec 09, 1997, 0.80, 0.82, 0.82, 0.79, 40.00K
Dec 08, 1997, 0.81, 0.82, 0.82, 0.80, 72.00K
Dec 05, 1997, 0.82, 0.81, 0.82, 0.81, 48.00K
Dec 04, 1997, 0.81, 0.81, 0.83, 0.81, 104.00K
Dec 03, 1997, 0.83, 0.79, 0.84, 0.79, 132.00K
Dec 02, 1997, 0.78, 0.78, 0.79, 0.77, 56.00K
Dec 01, 1997, 0.78, 0.76, 0.78, 0.75, 104.00K
Nov 28, 1997, 0.77, 0.77, 0.77, 0.76, 16.00K
Nov 27, 1997, 0.76, 0.75, 0.77, 0.75, 40.00K
Nov 26, 1997, 0.76, 0.75, 0.76, 0.75, 28.00K
Nov 25, 1997, 0.74, 0.74, 0.76, 0.72, 28.00K
Nov 24, 1997, 0.76, 0.77, 0.77, 0.76, 12.00K
Nov 21, 1997, 0.76, 0.77, 0.77, 0.76, 20.00K
Nov 20, 1997, 0.76, 0.77, 0.77, 0.76, 32.00K
