date, close, open, high, low, volume
Sep 03, 1999, 2.31, 2.33, 2.33, 2.29, 44.00K
Sep 02, 1999, 2.31, 2.29, 2.31, 2.29, 72.00K
Sep 01, 1999, 2.32, 2.30, 2.32, 2.30, 132.00K
Aug 31, 1999, 2.27, 2.29, 2.30, 2.27, 116.00K
Aug 30, 1999, 2.32, 2.29, 2.36, 2.24, 148.00K
Aug 27, 1999, 2.28, 2.29, 2.32, 2.27, 36.00K
Aug 26, 1999, 2.25, 2.29, 2.29, 2.25, 92.00K
Aug 25, 1999, 2.27, 2.23, 2.30, 2.23, 96.00K
Aug 24, 1999, 2.27, 2.24, 2.29, 2.21, 124.00K
Aug 23, 1999, 2.27, 2.26, 2.29, 2.24, 216.00K
Aug 20, 1999, 2.21, 2.21, 2.21, 2.21, 8.00K
Aug 19, 1999, 2.27, 2.21, 2.27, 2.21, 192.00K
Aug 18, 1999, 2.24, 2.22, 2.25, 2.22, 160.00K
Aug 17, 1999, 2.20, 2.20, 2.23, 2.18, 196.00K
Aug 16, 1999, 2.23, 2.20, 2.25, 2.18, 172.00K
Aug 13, 1999, 2.20, 2.18, 2.20, 2.18, 96.00K
Aug 12, 1999, 2.18, 2.22, 2.22, 2.18, 108.00K
Aug 11, 1999, 2.19, 2.19, 2.21, 2.18, 120.00K
Aug 10, 1999, 2.15, 2.18, 2.19, 2.12, 592.00K
Aug 09, 1999, 2.18, 2.24, 2.24, 2.17, 304.00K
Aug 06, 1999, 2.24, 2.22, 2.25, 2.22, 480.00K
Aug 05, 1999, 2.24, 2.25, 2.27, 2.23, 192.00K
Aug 04, 1999, 2.24, 2.25, 2.26, 2.24, 208.00K
Aug 03, 1999, 2.26, 2.27, 2.27, 2.23, 268.00K
Aug 02, 1999, 2.27, 2.29, 2.31, 2.27, 164.00K
Jul 30, 1999, 2.29, 2.27, 2.33, 2.27, 424.00K
Jul 29, 1999, 2.26, 2.27, 2.27, 2.24, 264.00K
Jul 28, 1999, 2.26, 2.26, 2.27, 2.25, 204.00K
Jul 27, 1999, 2.25, 2.22, 2.26, 2.22, 220.00K
Jul 26, 1999, 2.23, 2.24, 2.24, 2.22, 216.00K
Jul 23, 1999, 2.25, 2.27, 2.27, 2.24, 216.00K
Jul 22, 1999, 2.27, 2.25, 2.31, 2.25, 816.00K
Jul 21, 1999, 2.25, 2.22, 2.26, 2.21, 284.00K
Jul 20, 1999, 2.23, 2.27, 2.27, 2.21, 276.00K
Jul 19, 1999, 2.24, 2.21, 2.25, 2.18, 308.00K
Jul 16, 1999, 2.20, 2.20, 2.22, 2.18, 364.00K
Jul 15, 1999, 2.21, 2.25, 2.25, 2.20, 600.00K
Jul 14, 1999, 2.21, 2.23, 2.26, 2.21, 604.00K
Jul 13, 1999, 2.23, 2.19, 2.24, 2.19, 752.00K
