date, close, open, high, low, volume
Apr 13, 2009, 76.02, 77.00, 77.98, 75.07, 1.44M
Apr 09, 2009, 75.66, 74.88, 77.78, 74.02, 4.65M
Apr 08, 2009, 73.13, 74.68, 74.68, 71.72, 3.56M
Apr 06, 2009, 77.03, 71.00, 78.21, 70.02, 7.88M
Apr 02, 2009, 69.45, 69.98, 71.00, 68.45, 6.39M
Apr 01, 2009, 68.16, 64.66, 69.35, 64.66, 9.44M
Mar 31, 2009, 64.66, 63.82, 65.60, 63.65, 1.92M
Mar 30, 2009, 63.62, 64.20, 65.30, 60.62, 3.61M
Mar 27, 2009, 61.63, 58.00, 65.37, 58.00, 46.21M
Mar 26, 2009, 64.32, 65.00, 66.55, 63.53, 830.86K
Mar 25, 2009, 64.84, 63.00, 65.19, 62.80, 609.98K
Mar 24, 2009, 62.86, 65.00, 66.20, 62.60, 1.04M
Mar 23, 2009, 64.43, 63.00, 65.18, 63.00, 892.21K
Mar 20, 2009, 62.86, 61.27, 64.38, 61.27, 732.71K
Mar 19, 2009, 62.53, 65.60, 66.88, 62.20, 1.29M
Mar 18, 2009, 65.32, 62.60, 66.40, 62.60, 1.45M
Mar 17, 2009, 62.07, 62.60, 65.20, 61.70, 1.13M
Mar 16, 2009, 62.44, 62.60, 63.28, 61.62, 435.70K
Mar 13, 2009, 62.34, 60.20, 62.88, 60.20, 657.63K
Mar 12, 2009, 59.58, 60.57, 60.90, 58.85, 730.43K
Mar 09, 2009, 59.58, 61.08, 62.68, 59.00, 493.67K
Mar 06, 2009, 61.96, 60.30, 62.45, 60.30, 687.51K
Mar 05, 2009, 62.16, 60.64, 63.98, 60.10, 975.95K
Mar 04, 2009, 62.80, 61.03, 63.80, 58.25, 2.35M
Mar 03, 2009, 61.32, 60.24, 63.33, 60.24, 631.70K
Mar 02, 2009, 63.27, 66.66, 67.89, 61.40, 2.29M
Feb 27, 2009, 68.33, 68.25, 69.32, 67.46, 1.96M
Feb 26, 2009, 69.02, 68.76, 69.76, 68.00, 1.08M
Feb 25, 2009, 69.05, 70.40, 70.80, 68.60, 1.15M
Feb 24, 2009, 69.24, 68.31, 71.80, 68.31, 1.22M
Feb 20, 2009, 70.25, 69.60, 72.30, 69.40, 1.85M
Feb 19, 2009, 70.40, 66.80, 71.34, 66.40, 2.37M
Feb 18, 2009, 66.83, 68.00, 69.34, 66.60, 615.35K
Feb 17, 2009, 69.19, 71.00, 71.40, 68.80, 455.57K
Feb 16, 2009, 71.71, 74.54, 74.54, 71.35, 756.46K
Feb 13, 2009, 73.66, 74.60, 75.60, 73.31, 794.18K
Feb 12, 2009, 73.48, 74.24, 75.94, 73.20, 955.89K
Feb 11, 2009, 74.32, 74.80, 75.60, 73.00, 610.65K
