date, close, open, high, low, volume
Apr 04, 2014, 900.05, 915.00, 919.90, 898.20, 124.19K
Apr 03, 2014, 914.40, 900.05, 924.00, 900.00, 262.92K
Apr 02, 2014, 901.25, 898.00, 907.05, 898.00, 87.84K
Apr 01, 2014, 905.45, 918.00, 918.00, 900.00, 93.67K
Mar 31, 2014, 916.45, 902.05, 918.00, 902.05, 118.24K
Mar 28, 2014, 912.30, 905.00, 915.00, 901.10, 132.29K
Mar 27, 2014, 911.60, 877.10, 925.00, 877.10, 266.46K
Mar 26, 2014, 891.10, 891.00, 897.20, 884.45, 87.59K
Mar 25, 2014, 895.05, 896.00, 902.40, 890.90, 78.97K
Mar 24, 2014, 903.95, 903.80, 908.80, 889.60, 116.26K
Mar 22, 2014, 902.75, 901.00, 908.00, 900.20, 16.10K
Mar 21, 2014, 898.00, 876.85, 907.40, 876.85, 174.88K
Mar 20, 2014, 875.10, 874.00, 882.00, 870.00, 53.40K
Mar 19, 2014, 882.60, 879.90, 889.80, 861.00, 134.68K
Mar 18, 2014, 874.45, 863.30, 877.00, 859.60, 124.70K
Mar 14, 2014, 863.95, 873.00, 873.00, 858.00, 221.09K
Mar 13, 2014, 858.25, 873.00, 880.00, 854.50, 116.70K
Mar 12, 2014, 863.70, 855.00, 871.50, 852.10, 141.80K
Mar 11, 2014, 854.95, 874.40, 886.00, 853.00, 132.43K
Mar 10, 2014, 872.40, 889.00, 889.35, 865.00, 141.44K
Mar 07, 2014, 887.15, 908.00, 908.00, 885.00, 121.70K
Mar 06, 2014, 898.35, 908.50, 913.90, 896.15, 117.51K
Mar 05, 2014, 907.45, 902.90, 912.80, 902.90, 161.16K
Mar 04, 2014, 899.55, 903.55, 911.00, 895.05, 74.97K
Mar 03, 2014, 902.50, 920.00, 923.95, 901.25, 39.65K
Feb 28, 2014, 920.30, 895.70, 928.00, 895.70, 229.84K
Feb 26, 2014, 908.80, 919.95, 919.95, 905.40, 63.92K
Feb 25, 2014, 912.80, 910.20, 917.70, 909.00, 49.76K
Feb 24, 2014, 909.15, 905.00, 914.80, 900.25, 39.52K
Feb 21, 2014, 900.30, 908.25, 917.75, 897.00, 77.98K
Feb 20, 2014, 907.20, 926.35, 926.35, 902.20, 86.19K
Feb 19, 2014, 928.60, 926.40, 937.40, 922.10, 115.74K
Feb 18, 2014, 925.35, 932.90, 932.90, 920.05, 74.25K
Feb 17, 2014, 920.65, 918.00, 924.80, 910.20, 83.62K
Feb 14, 2014, 910.80, 931.75, 935.00, 907.95, 88.36K
Feb 13, 2014, 930.70, 935.00, 943.70, 925.90, 123.49K
Feb 12, 2014, 936.05, 943.15, 945.00, 931.05, 89.11K
Feb 11, 2014, 942.10, 946.70, 948.00, 931.20, 107.34K
Feb 10, 2014, 945.65, 946.80, 958.65, 930.35, 249.12K
Feb 07, 2014, 945.75, 950.25, 954.65, 940.00, 348.98K
Feb 06, 2014, 945.20, 936.25, 948.00, 923.05, 100.39K
Feb 05, 2014, 935.20, 923.25, 947.65, 923.25, 60.84K
