date, close, open, high, low, volume
Apr 17, 2004, 107.80, 110.00, 110.50, 107.50, 86.07K
Apr 16, 2004, 109.60, 108.42, 111.25, 108.00, 388.87K
Apr 15, 2004, 107.58, 106.45, 110.95, 105.70, 809.62K
Apr 13, 2004, 105.88, 111.33, 111.33, 104.75, 1.03M
Apr 12, 2004, 108.05, 101.50, 114.85, 100.60, 2.47M
Apr 08, 2004, 99.95, 95.92, 101.50, 95.50, 1.70M
Apr 07, 2004, 94.47, 92.50, 97.50, 91.75, 470.03K
Apr 06, 2004, 91.95, 93.00, 93.35, 90.75, 208.62K
Apr 05, 2004, 92.15, 91.00, 95.38, 89.53, 567.11K
Apr 02, 2004, 90.08, 86.00, 90.50, 84.50, 465.49K
Apr 01, 2004, 85.50, 84.95, 86.15, 84.00, 64.31K
Mar 31, 2004, 84.50, 84.95, 85.47, 84.00, 101.10K
Mar 30, 2004, 84.65, 84.88, 87.25, 84.50, 127.27K
Mar 29, 2004, 84.90, 85.40, 87.40, 84.10, 123.28K
Mar 26, 2004, 85.05, 84.25, 86.00, 83.80, 155.55K
Mar 25, 2004, 84.45, 82.88, 86.00, 82.88, 206.20K
Mar 24, 2004, 82.28, 82.10, 83.40, 82.05, 83.83K
Mar 23, 2004, 82.83, 82.62, 84.45, 82.05, 94.18K
Mar 22, 2004, 84.62, 88.25, 88.95, 83.62, 400.07K
Mar 19, 2004, 86.80, 83.25, 90.50, 83.08, 458.33K
Mar 18, 2004, 83.03, 82.20, 83.88, 80.88, 132.03K
Mar 17, 2004, 82.22, 82.55, 84.12, 81.58, 166.29K
Mar 16, 2004, 81.90, 81.00, 82.50, 79.75, 315.69K
Mar 15, 2004, 81.53, 81.00, 82.62, 80.03, 156.59K
Mar 12, 2004, 80.15, 78.58, 80.75, 78.58, 219.28K
Mar 11, 2004, 79.30, 80.05, 80.50, 79.10, 73.14K
Mar 10, 2004, 80.17, 80.00, 80.75, 79.55, 68.44K
Mar 09, 2004, 80.33, 81.47, 81.47, 79.90, 46.89K
Mar 08, 2004, 80.70, 81.38, 81.97, 80.10, 110.79K
Mar 05, 2004, 80.92, 81.95, 82.45, 80.75, 69.57K
Mar 04, 2004, 81.95, 81.55, 82.42, 80.78, 159.73K
Mar 03, 2004, 81.97, 80.45, 82.42, 79.80, 242.32K
Mar 01, 2004, 79.75, 79.47, 80.95, 79.05, 129.82K
Feb 27, 2004, 79.05, 79.03, 79.88, 78.55, 111.37K
Feb 26, 2004, 79.28, 79.90, 80.50, 79.00, 84.58K
Feb 25, 2004, 79.22, 79.72, 80.97, 79.00, 103.47K
Feb 24, 2004, 79.05, 80.72, 82.38, 78.30, 242.30K
Feb 23, 2004, 80.80, 81.60, 85.00, 80.03, 215.65K
Feb 20, 2004, 81.33, 83.00, 83.00, 80.62, 153.99K
Feb 19, 2004, 82.83, 85.88, 85.88, 82.50, 111.64K
Feb 18, 2004, 85.15, 85.55, 86.50, 85.00, 145.45K
Feb 17, 2004, 85.35, 87.50, 87.75, 85.00, 126.44K
Feb 16, 2004, 87.00, 83.80, 87.50, 83.80, 310.42K
Feb 13, 2004, 83.72, 82.75, 84.45, 82.00, 287.93K
Feb 12, 2004, 83.38, 83.97, 84.85, 82.80, 102.53K
Feb 11, 2004, 83.58, 85.50, 86.65, 83.08, 273.42K
Feb 10, 2004, 85.40, 85.45, 86.20, 83.50, 209.98K
Feb 09, 2004, 85.17, 81.08, 86.38, 81.08, 186.07K
Feb 06, 2004, 81.60, 82.42, 82.42, 80.60, 102.27K
Feb 05, 2004, 81.67, 82.95, 82.95, 80.50, 146.69K
Feb 04, 2004, 81.62, 77.20, 82.50, 77.20, 207.35K
Feb 03, 2004, 78.90, 84.00, 85.00, 78.10, 277.89K
Jan 30, 2004, 84.40, 86.30, 86.85, 83.80, 255.18K
Jan 29, 2004, 85.80, 86.00, 87.15, 84.08, 240.96K
Jan 28, 2004, 85.00, 87.50, 87.75, 84.58, 333.37K
Jan 27, 2004, 86.78, 85.17, 87.50, 82.45, 299.54K
Jan 23, 2004, 83.45, 80.00, 84.95, 79.33, 467.61K
Jan 22, 2004, 78.95, 80.70, 84.72, 77.50, 475.03K
Jan 21, 2004, 80.83, 88.08, 90.00, 79.50, 487.51K
Jan 20, 2004, 87.88, 91.75, 92.00, 87.50, 225.58K
Jan 19, 2004, 90.90, 97.25, 97.25, 84.75, 452.80K
Jan 16, 2004, 88.62, 92.25, 92.25, 87.65, 328.69K
Jan 15, 2004, 92.45, 96.40, 97.95, 91.62, 681.86K
Jan 14, 2004, 95.65, 91.50, 97.00, 91.50, 1.13M
Jan 13, 2004, 93.60, 93.75, 96.25, 92.75, 960.24K
Jan 12, 2004, 92.53, 89.00, 93.38, 87.50, 732.50K
Jan 09, 2004, 88.30, 95.75, 96.70, 87.00, 799.95K
Jan 08, 2004, 92.88, 89.75, 93.50, 88.58, 533.76K
Jan 07, 2004, 88.85, 87.03, 90.50, 84.10, 775.17K
Jan 06, 2004, 87.33, 91.78, 91.78, 86.50, 377.78K
Jan 05, 2004, 90.80, 93.00, 93.50, 90.50, 237.36K
Jan 02, 2004, 92.62, 93.97, 94.15, 92.03, 384.21K
Jan 01, 2004, 93.15, 91.42, 94.45, 91.25, 363.67K
Dec 31, 2003, 90.70, 91.42, 92.75, 90.00, 420.56K
Dec 30, 2003, 90.92, 96.35, 96.35, 88.50, 803.11K
Dec 29, 2003, 95.65, 97.95, 99.20, 95.00, 954.04K
