date, close, open, high, low, volume
Apr 04, 2014, 530.70, 543.00, 543.00, 527.50, 757.68K
Apr 03, 2014, 538.60, 523.55, 542.00, 523.55, 960.79K
Apr 02, 2014, 522.80, 536.00, 542.80, 521.00, 1.30M
Apr 01, 2014, 536.65, 547.75, 547.75, 532.00, 590.29K
Mar 31, 2014, 547.95, 540.00, 550.00, 535.00, 545.53K
Mar 28, 2014, 539.85, 542.00, 543.00, 533.90, 559.63K
Mar 27, 2014, 539.05, 527.45, 544.00, 527.45, 1.51M
Mar 26, 2014, 529.10, 526.55, 533.25, 523.45, 577.24K
Mar 25, 2014, 525.30, 524.50, 533.60, 522.00, 655.04K
Mar 24, 2014, 523.90, 507.50, 525.00, 506.05, 985.61K
Mar 22, 2014, 506.85, 509.00, 510.30, 506.40, 24.31K
Mar 21, 2014, 510.10, 516.15, 518.00, 504.95, 955.31K
Mar 20, 2014, 515.60, 513.50, 519.70, 513.00, 1.20M
Mar 19, 2014, 513.05, 503.00, 514.45, 503.00, 939.63K
Mar 18, 2014, 501.60, 496.50, 504.60, 494.20, 621.33K
Mar 14, 2014, 495.50, 491.00, 499.85, 490.95, 711.41K
Mar 13, 2014, 493.75, 498.00, 504.20, 491.70, 772.56K
Mar 12, 2014, 494.30, 481.00, 495.95, 478.60, 907.39K
Mar 11, 2014, 480.70, 487.60, 489.50, 478.55, 535.39K
Mar 10, 2014, 484.85, 482.00, 490.00, 480.60, 993.95K
Mar 07, 2014, 481.00, 475.90, 484.30, 473.50, 930.50K
Mar 06, 2014, 474.55, 476.50, 477.20, 472.55, 437.31K
Mar 05, 2014, 474.60, 477.40, 478.90, 472.00, 436.62K
Mar 04, 2014, 475.60, 471.55, 477.50, 471.55, 1.00M
Mar 03, 2014, 472.95, 471.50, 476.35, 468.50, 431.30K
Feb 28, 2014, 473.00, 477.75, 482.50, 470.55, 673.37K
Feb 26, 2014, 477.15, 470.50, 479.90, 470.50, 604.27K
Feb 25, 2014, 472.05, 471.50, 474.85, 470.10, 806.75K
Feb 24, 2014, 470.80, 464.50, 471.80, 464.05, 303.89K
Feb 21, 2014, 464.00, 462.25, 468.85, 461.30, 562.64K
Feb 20, 2014, 461.60, 466.65, 467.50, 460.20, 694.90K
Feb 19, 2014, 468.50, 472.00, 473.10, 467.50, 292.62K
Feb 18, 2014, 473.10, 473.50, 477.00, 463.65, 403.43K
Feb 17, 2014, 473.25, 474.85, 476.20, 470.60, 274.98K
Feb 14, 2014, 472.80, 469.65, 475.45, 469.25, 323.57K
Feb 13, 2014, 468.80, 477.35, 479.75, 466.65, 318.43K
Feb 12, 2014, 477.35, 479.00, 483.00, 474.10, 856.52K
Feb 11, 2014, 484.35, 489.10, 489.25, 480.70, 1.06M
Feb 10, 2014, 487.00, 492.80, 495.00, 485.00, 2.21M
Feb 07, 2014, 490.50, 487.00, 491.30, 484.05, 596.03K
Feb 06, 2014, 484.05, 485.55, 488.00, 478.00, 978.10K
Feb 05, 2014, 484.45, 473.20, 485.10, 470.10, 1.25M
Feb 04, 2014, 476.00, 465.05, 477.40, 464.05, 969.79K
Feb 03, 2014, 469.90, 468.25, 479.00, 467.55, 651.78K
Jan 31, 2014, 471.70, 474.15, 478.90, 467.05, 1.68M
Jan 30, 2014, 477.50, 478.00, 480.00, 463.95, 2.92M
Jan 29, 2014, 482.90, 478.10, 484.75, 473.75, 1.05M
Jan 28, 2014, 476.80, 475.25, 480.70, 471.00, 902.42K
Jan 27, 2014, 476.40, 474.00, 478.90, 470.50, 941.68K
Jan 24, 2014, 478.10, 469.25, 479.55, 465.00, 1.17M
Jan 23, 2014, 473.00, 473.90, 474.50, 468.15, 941.67K
Jan 22, 2014, 472.60, 478.85, 478.85, 466.85, 2.80M
Jan 21, 2014, 479.25, 478.00, 482.90, 472.30, 1.63M
Jan 20, 2014, 490.00, 491.50, 492.50, 483.75, 1.40M
Jan 17, 2014, 491.55, 497.45, 500.00, 488.10, 827.39K
Jan 16, 2014, 495.60, 495.00, 496.85, 490.70, 738.46K
Jan 15, 2014, 493.50, 486.00, 494.70, 486.00, 597.71K
Jan 14, 2014, 487.40, 492.00, 496.50, 486.05, 448.60K
Jan 13, 2014, 494.05, 488.70, 499.40, 488.00, 1.09M
Jan 10, 2014, 492.00, 488.00, 498.00, 488.00, 610.34K
Jan 09, 2014, 490.10, 488.35, 491.90, 485.55, 639.80K
Jan 08, 2014, 490.50, 490.55, 493.00, 487.50, 703.60K
Jan 07, 2014, 489.95, 491.00, 493.50, 484.00, 708.83K
Jan 06, 2014, 490.65, 491.35, 492.50, 482.60, 833.56K
Jan 03, 2014, 489.50, 483.00, 491.50, 480.00, 994.04K
Jan 02, 2014, 485.55, 501.40, 505.10, 483.00, 952.91K
Jan 01, 2014, 499.75, 494.40, 503.90, 492.00, 1.87M
Dec 31, 2013, 490.00, 486.50, 492.60, 486.50, 608.39K
Dec 30, 2013, 487.85, 486.05, 490.75, 483.45, 493.06K
Dec 27, 2013, 485.10, 490.65, 491.25, 482.50, 516.61K
Dec 26, 2013, 489.85, 487.00, 491.15, 485.95, 1.21M
Dec 24, 2013, 487.40, 488.80, 491.70, 486.00, 510.11K
Dec 23, 2013, 486.70, 489.95, 492.00, 484.50, 619.22K
Dec 20, 2013, 489.60, 485.15, 492.10, 482.10, 848.79K
Dec 19, 2013, 485.95, 498.50, 499.70, 485.10, 879.05K
