date, close, open, high, low, volume
Apr 17, 2004, 30.55, 30.99, 30.99, 30.40, 51.87K
Apr 16, 2004, 30.48, 30.50, 30.55, 30.20, 120.62K
Apr 15, 2004, 30.42, 30.50, 30.50, 30.35, 250.48K
Apr 13, 2004, 30.43, 30.50, 30.56, 30.30, 697.49K
Apr 12, 2004, 30.37, 30.21, 30.50, 30.20, 157.48K
Apr 08, 2004, 30.40, 30.46, 30.59, 30.10, 160.43K
Apr 07, 2004, 30.41, 30.90, 30.90, 30.30, 542.37K
Apr 06, 2004, 30.43, 30.51, 30.51, 30.30, 90.09K
Apr 05, 2004, 30.39, 30.95, 30.95, 30.20, 133.47K
Apr 02, 2004, 30.48, 30.89, 30.89, 30.00, 371.01K
Apr 01, 2004, 30.08, 30.99, 30.99, 29.91, 2.05M
Mar 31, 2004, 30.15, 30.59, 30.70, 29.95, 279.16K
Mar 30, 2004, 30.32, 30.82, 30.88, 30.12, 137.15K
Mar 29, 2004, 30.46, 30.75, 31.49, 30.40, 113.74K
Mar 26, 2004, 30.81, 30.61, 31.00, 30.47, 380.53K
Mar 25, 2004, 30.59, 31.50, 31.50, 30.50, 64.15K
Mar 24, 2004, 31.21, 31.40, 31.40, 31.00, 274.05K
Mar 23, 2004, 31.35, 31.10, 31.40, 30.50, 295.38K
Mar 22, 2004, 31.30, 30.91, 31.40, 30.91, 215.55K
Mar 19, 2004, 31.44, 31.21, 31.65, 31.00, 652.11K
Mar 18, 2004, 31.47, 31.50, 31.60, 31.23, 51.26K
Mar 17, 2004, 31.43, 31.60, 31.90, 31.02, 84.53K
Mar 16, 2004, 31.45, 30.50, 31.50, 30.50, 101.54K
Mar 15, 2004, 31.54, 31.60, 32.00, 31.20, 148.92K
Mar 12, 2004, 31.55, 30.95, 31.60, 30.95, 79.92K
Mar 11, 2004, 31.43, 31.45, 31.50, 31.00, 64.09K
Mar 10, 2004, 31.24, 31.50, 31.50, 31.00, 68.76K
Mar 09, 2004, 31.48, 31.70, 32.00, 30.82, 153.00K
Mar 08, 2004, 31.36, 32.00, 32.00, 30.82, 151.35K
Mar 05, 2004, 31.64, 30.23, 31.74, 30.23, 274.09K
Mar 04, 2004, 30.56, 30.11, 30.70, 30.11, 130.39K
Mar 03, 2004, 30.02, 30.50, 30.50, 29.90, 228.83K
Mar 01, 2004, 30.59, 35.40, 35.40, 29.50, 169.89K
Feb 27, 2004, 30.11, 30.30, 30.50, 29.45, 203.40K
Feb 26, 2004, 30.09, 30.60, 30.90, 29.81, 215.19K
Feb 25, 2004, 30.32, 32.50, 32.50, 30.20, 101.19K
Feb 24, 2004, 31.27, 31.50, 31.70, 31.05, 128.82K
Feb 23, 2004, 31.64, 32.10, 32.20, 31.00, 1.29M
Feb 20, 2004, 32.06, 31.52, 32.25, 31.51, 503.62K
Feb 19, 2004, 32.00, 32.00, 32.15, 31.70, 122.19K
Feb 18, 2004, 32.00, 32.00, 32.13, 31.93, 346.46K
Feb 17, 2004, 31.99, 32.05, 32.20, 31.86, 184.15K
Feb 16, 2004, 32.05, 32.10, 32.50, 32.00, 115.30K
Feb 13, 2004, 32.01, 32.10, 32.45, 31.98, 689.16K
Feb 12, 2004, 32.03, 32.10, 32.26, 31.98, 607.43K
Feb 11, 2004, 32.12, 32.20, 32.30, 32.00, 510.81K
Feb 10, 2004, 32.03, 32.49, 32.49, 32.00, 126.19K
Feb 09, 2004, 32.02, 32.20, 32.20, 32.00, 166.54K
Feb 06, 2004, 32.02, 32.01, 32.20, 31.93, 505.59K
Feb 05, 2004, 32.02, 32.30, 32.40, 32.00, 67.59K
Feb 04, 2004, 32.01, 32.10, 32.30, 31.90, 495.84K
Feb 03, 2004, 32.01, 32.00, 32.20, 32.00, 773.87K
Jan 30, 2004, 32.25, 32.90, 33.89, 32.01, 213.15K
Jan 29, 2004, 33.26, 32.20, 34.00, 31.98, 554.63K
Jan 28, 2004, 33.54, 34.64, 34.70, 33.31, 311.89K
Jan 27, 2004, 34.14, 34.00, 34.59, 33.40, 128.41K
Jan 23, 2004, 34.20, 31.51, 34.60, 31.51, 415.20K
Jan 22, 2004, 32.06, 32.10, 33.50, 31.43, 230.53K
Jan 21, 2004, 32.84, 33.00, 34.00, 31.80, 341.76K
Jan 20, 2004, 33.59, 34.00, 34.19, 33.02, 303.76K
Jan 19, 2004, 33.70, 34.01, 34.01, 33.10, 149.41K
Jan 16, 2004, 34.01, 34.30, 34.30, 33.50, 244.23K
Jan 15, 2004, 34.33, 34.50, 34.50, 34.00, 557.77K
Jan 14, 2004, 34.27, 34.10, 34.40, 34.10, 160.59K
Jan 13, 2004, 34.15, 34.20, 34.45, 33.20, 535.74K
Jan 12, 2004, 34.01, 34.00, 34.20, 33.10, 869.40K
Jan 09, 2004, 33.95, 35.00, 36.09, 32.01, 383.27K
Jan 08, 2004, 33.67, 32.65, 33.80, 32.65, 393.62K
Jan 07, 2004, 32.90, 33.20, 33.35, 32.60, 371.97K
Jan 06, 2004, 32.83, 34.00, 34.38, 32.35, 542.03K
Jan 05, 2004, 34.05, 33.90, 34.60, 33.50, 773.08K
Jan 02, 2004, 33.51, 33.91, 34.00, 33.20, 334.80K
Jan 01, 2004, 33.62, 33.10, 34.30, 33.10, 476.74K
Dec 31, 2003, 33.48, 32.50, 33.75, 32.50, 985.76K
Dec 30, 2003, 32.34, 32.90, 32.90, 32.30, 194.05K
Dec 29, 2003, 32.66, 32.80, 33.25, 32.55, 589.81K
