date, close, open, high, low, volume
Apr 04, 2014, 285.63, 286.00, 290.10, 283.60, 8.21M
Apr 03, 2014, 286.97, 293.78, 293.78, 285.62, 5.57M
Apr 02, 2014, 293.43, 291.60, 294.93, 287.48, 6.92M
Apr 01, 2014, 293.70, 294.00, 295.78, 290.71, 11.11M
Mar 31, 2014, 292.10, 294.20, 295.00, 290.02, 10.54M
Mar 28, 2014, 292.39, 286.96, 293.98, 286.01, 10.46M
Mar 27, 2014, 285.99, 286.00, 293.78, 283.20, 21.45M
Mar 26, 2014, 286.02, 282.31, 287.52, 281.17, 13.86M
Mar 25, 2014, 280.18, 282.28, 284.19, 279.23, 8.41M
Mar 24, 2014, 282.14, 280.38, 285.00, 278.85, 15.59M
Mar 22, 2014, 277.84, 278.62, 279.20, 275.78, 1.73M
Mar 21, 2014, 278.85, 267.00, 282.39, 264.42, 64.85M
Mar 20, 2014, 271.47, 272.30, 276.68, 269.15, 12.91M
Mar 19, 2014, 277.11, 271.60, 279.79, 270.27, 20.19M
Mar 18, 2014, 269.82, 273.00, 276.60, 268.58, 9.47M
Mar 14, 2014, 270.98, 274.20, 274.20, 266.20, 13.71M
Mar 13, 2014, 276.23, 281.98, 285.00, 275.01, 10.53M
Mar 12, 2014, 279.58, 283.50, 284.98, 278.41, 10.75M
Mar 11, 2014, 283.50, 285.20, 290.60, 282.01, 19.83M
Mar 10, 2014, 285.31, 278.40, 288.36, 278.40, 16.91M
Mar 07, 2014, 281.36, 266.80, 284.73, 265.86, 23.58M
Mar 06, 2014, 265.90, 261.58, 267.00, 261.40, 9.94M
Mar 05, 2014, 261.53, 260.00, 262.84, 258.81, 13.21M
Mar 04, 2014, 258.71, 251.00, 260.98, 251.00, 11.95M
Mar 03, 2014, 251.10, 252.00, 257.14, 249.52, 9.66M
Feb 28, 2014, 253.41, 248.10, 254.32, 247.62, 9.37M
Feb 26, 2014, 247.85, 246.40, 249.40, 245.64, 9.38M
Feb 25, 2014, 247.35, 248.20, 250.20, 245.03, 9.51M
Feb 24, 2014, 247.64, 237.00, 248.98, 236.59, 12.81M
Feb 21, 2014, 238.67, 232.00, 239.60, 232.00, 9.31M
Feb 20, 2014, 231.57, 230.80, 234.38, 229.29, 9.77M
Feb 19, 2014, 233.23, 232.90, 235.60, 231.60, 7.01M
Feb 18, 2014, 233.08, 223.00, 235.30, 221.71, 10.68M
Feb 17, 2014, 223.05, 222.20, 224.00, 221.00, 3.94M
Feb 14, 2014, 220.61, 221.80, 222.20, 216.52, 8.78M
Feb 13, 2014, 220.30, 224.04, 224.96, 219.30, 5.90M
Feb 12, 2014, 223.92, 226.00, 226.60, 222.87, 7.38M
Feb 11, 2014, 224.19, 224.67, 226.36, 223.28, 4.57M
Feb 10, 2014, 223.79, 226.39, 227.88, 222.41, 4.40M
Feb 07, 2014, 225.09, 224.01, 225.88, 222.14, 6.26M
Feb 06, 2014, 220.59, 225.02, 227.20, 219.71, 10.32M
Feb 05, 2014, 224.74, 225.00, 226.00, 222.30, 7.31M
Feb 04, 2014, 224.36, 221.35, 225.47, 220.20, 8.55M
Feb 03, 2014, 224.78, 222.42, 226.78, 222.14, 6.93M
