date, close, open, high, low, volume
Apr 17, 2004, 32.46, 33.20, 33.20, 31.42, 310.66K
Apr 16, 2004, 32.90, 32.00, 33.18, 32.00, 1.03M
Apr 15, 2004, 32.19, 32.82, 33.33, 31.80, 1.02M
Apr 13, 2004, 32.75, 31.20, 33.48, 31.20, 920.16K
Apr 12, 2004, 31.83, 31.60, 32.36, 31.20, 922.93K
Apr 08, 2004, 31.71, 32.40, 32.80, 31.21, 1.37M
Apr 07, 2004, 32.43, 33.00, 33.15, 32.25, 760.38K
Apr 06, 2004, 32.80, 33.80, 34.00, 32.20, 2.18M
Apr 05, 2004, 33.39, 33.40, 34.11, 33.07, 2.37M
Apr 02, 2004, 33.19, 31.60, 33.48, 31.40, 4.52M
Apr 01, 2004, 31.39, 29.80, 31.60, 29.70, 3.27M
Mar 31, 2004, 29.73, 28.68, 30.64, 28.32, 3.35M
Mar 30, 2004, 28.47, 29.00, 29.56, 28.20, 902.84K
Mar 29, 2004, 28.74, 27.77, 29.34, 27.77, 1.82M
Mar 26, 2004, 27.56, 26.70, 27.84, 26.33, 1.07M
Mar 25, 2004, 26.08, 25.53, 26.60, 25.53, 521.44K
Mar 24, 2004, 25.38, 25.80, 25.88, 25.20, 396.74K
Mar 23, 2004, 25.62, 26.40, 26.45, 24.80, 704.67K
Mar 22, 2004, 26.47, 26.30, 27.20, 26.20, 885.37K
Mar 19, 2004, 26.41, 26.28, 26.57, 26.00, 535.59K
Mar 18, 2004, 26.20, 27.56, 27.56, 26.01, 880.56K
Mar 17, 2004, 27.33, 26.48, 27.72, 26.00, 1.10M
Mar 16, 2004, 26.08, 26.40, 26.40, 24.43, 552.23K
Mar 15, 2004, 26.79, 27.15, 27.69, 26.41, 950.96K
Mar 12, 2004, 26.83, 27.43, 27.43, 26.70, 361.31K
Mar 11, 2004, 27.16, 27.39, 27.44, 26.85, 424.62K
Mar 10, 2004, 27.26, 27.62, 27.65, 27.20, 413.45K
Mar 09, 2004, 27.52, 28.35, 28.35, 27.20, 631.99K
Mar 08, 2004, 28.11, 27.51, 28.55, 27.51, 980.58K
Mar 05, 2004, 27.36, 27.83, 27.90, 27.20, 472.78K
Mar 04, 2004, 27.57, 28.39, 28.47, 27.40, 545.77K
Mar 03, 2004, 28.23, 28.13, 29.27, 28.00, 1.25M
Mar 01, 2004, 27.96, 28.25, 28.45, 27.80, 606.47K
Feb 27, 2004, 27.85, 27.90, 28.10, 26.83, 722.52K
Feb 26, 2004, 27.79, 27.28, 28.32, 27.20, 1.00M
Feb 25, 2004, 27.16, 27.44, 28.10, 27.00, 723.55K
Feb 24, 2004, 27.27, 27.33, 27.66, 26.80, 746.56K
Feb 23, 2004, 27.39, 28.77, 28.77, 27.20, 858.12K
Feb 20, 2004, 28.36, 28.78, 28.99, 27.48, 1.41M
Feb 19, 2004, 28.74, 29.78, 29.80, 28.53, 879.22K
Feb 18, 2004, 29.67, 30.22, 30.28, 29.42, 890.05K
Feb 17, 2004, 30.01, 30.20, 30.64, 29.70, 917.15K
Feb 16, 2004, 30.17, 30.36, 30.78, 30.01, 948.19K
Feb 13, 2004, 30.24, 30.44, 30.52, 29.40, 1.35M
Feb 12, 2004, 30.32, 30.60, 31.34, 30.02, 1.72M
Feb 11, 2004, 30.64, 31.74, 31.74, 30.22, 1.91M
Feb 10, 2004, 31.48, 28.85, 31.80, 28.85, 5.75M
Feb 09, 2004, 28.67, 28.38, 29.96, 28.38, 1.25M
Feb 06, 2004, 28.14, 28.70, 29.20, 27.62, 1.51M
Feb 05, 2004, 28.53, 29.15, 30.00, 28.00, 1.48M
Feb 04, 2004, 28.87, 28.00, 29.48, 27.00, 2.80M
Feb 03, 2004, 27.80, 32.80, 32.80, 27.34, 2.82M
Jan 30, 2004, 32.94, 35.50, 35.60, 32.60, 1.90M
Jan 29, 2004, 35.08, 34.00, 35.60, 33.60, 5.99M
Jan 28, 2004, 34.15, 33.40, 35.86, 32.43, 6.87M
Jan 27, 2004, 33.34, 32.25, 34.35, 31.98, 3.02M
Jan 23, 2004, 31.96, 33.78, 33.99, 30.60, 2.62M
Jan 22, 2004, 33.19, 33.80, 34.20, 32.00, 4.16M
Jan 21, 2004, 33.62, 34.00, 34.96, 30.23, 6.29M
Jan 20, 2004, 33.74, 31.60, 35.16, 31.14, 10.01M
Jan 19, 2004, 30.83, 33.00, 33.00, 29.84, 2.28M
Jan 16, 2004, 31.49, 32.80, 33.40, 31.00, 6.39M
Jan 15, 2004, 32.17, 28.64, 34.00, 28.60, 7.79M
Jan 14, 2004, 28.37, 28.23, 30.00, 27.97, 1.51M
Jan 13, 2004, 27.97, 28.00, 29.10, 27.82, 878.92K
Jan 12, 2004, 28.37, 29.34, 29.34, 28.02, 919.44K
Jan 09, 2004, 29.12, 29.30, 30.11, 28.90, 1.30M
Jan 08, 2004, 28.95, 28.38, 29.10, 28.05, 798.59K
Jan 07, 2004, 28.10, 28.73, 28.79, 27.64, 1.19M
Jan 06, 2004, 28.52, 28.60, 29.72, 28.20, 2.67M
Jan 05, 2004, 28.71, 30.54, 30.98, 28.40, 2.85M
Jan 02, 2004, 30.06, 27.70, 30.50, 27.60, 6.17M
Jan 01, 2004, 27.50, 27.38, 27.80, 27.38, 1.10M
Dec 31, 2003, 27.13, 27.80, 27.80, 27.00, 1.08M
Dec 30, 2003, 27.38, 27.80, 28.60, 27.00, 3.14M
Dec 29, 2003, 27.43, 30.64, 30.64, 26.80, 2.00M
