date, close, open, high, low, volume
Apr 13, 2009, 302.77, 306.50, 314.35, 298.00, 290.51K
Apr 09, 2009, 303.57, 321.50, 325.95, 301.00, 323.12K
Apr 08, 2009, 317.80, 316.00, 326.00, 315.50, 239.29K
Apr 06, 2009, 327.73, 320.50, 339.75, 318.00, 274.19K
Apr 02, 2009, 320.38, 317.50, 322.55, 301.15, 676.90K
Apr 01, 2009, 317.20, 312.18, 319.55, 308.50, 134.16K
Mar 31, 2009, 309.23, 307.55, 320.00, 290.50, 392.74K
Mar 30, 2009, 305.20, 308.50, 318.00, 296.10, 241.62K
Mar 27, 2009, 312.20, 306.75, 317.50, 306.75, 268.32K
Mar 26, 2009, 309.68, 312.50, 318.00, 304.40, 376.86K
Mar 25, 2009, 307.98, 292.48, 314.00, 286.50, 224.70K
Mar 24, 2009, 294.27, 294.00, 303.93, 292.00, 186.71K
Mar 23, 2009, 289.88, 289.00, 292.50, 280.50, 167.89K
Mar 20, 2009, 279.10, 275.00, 284.00, 265.02, 318.89K
Mar 19, 2009, 280.85, 289.00, 291.98, 277.50, 155.58K
Mar 18, 2009, 288.80, 273.00, 292.48, 273.00, 294.60K
Mar 17, 2009, 271.25, 263.05, 273.50, 263.05, 625.78K
Mar 16, 2009, 267.80, 262.50, 269.00, 256.62, 309.96K
Mar 13, 2009, 260.05, 270.00, 270.00, 257.50, 449.73K
Mar 12, 2009, 258.55, 248.00, 260.00, 245.07, 199.92K
Mar 09, 2009, 247.03, 247.00, 250.00, 239.03, 85.85K
Mar 06, 2009, 243.38, 242.50, 246.50, 238.50, 37.98K
Mar 05, 2009, 243.60, 245.03, 254.50, 242.00, 221.60K
Mar 04, 2009, 245.43, 243.50, 248.00, 240.57, 100.63K
Mar 03, 2009, 243.07, 251.82, 251.82, 241.10, 208.75K
Mar 02, 2009, 253.10, 262.62, 267.50, 246.25, 215.29K
Feb 27, 2009, 267.52, 267.30, 269.25, 259.98, 133.90K
Feb 26, 2009, 263.02, 255.00, 269.50, 255.00, 160.53K
Feb 25, 2009, 254.97, 243.50, 255.93, 243.50, 239.48K
Feb 24, 2009, 246.93, 242.47, 249.50, 241.85, 546.16K
Feb 20, 2009, 249.82, 244.50, 250.90, 240.57, 73.53K
Feb 19, 2009, 248.57, 250.53, 254.50, 246.30, 358.46K
Feb 18, 2009, 247.75, 235.00, 252.50, 230.55, 347.70K
Feb 17, 2009, 237.88, 227.55, 238.97, 227.55, 60.11K
Feb 16, 2009, 232.45, 237.90, 245.75, 231.00, 233.44K
Feb 13, 2009, 238.10, 241.50, 245.00, 236.10, 73.63K
Feb 12, 2009, 239.12, 230.00, 242.00, 227.10, 379.40K
Feb 11, 2009, 228.20, 228.05, 234.35, 227.03, 35.55K
Feb 10, 2009, 233.28, 234.93, 238.50, 231.18, 57.96K
Feb 09, 2009, 229.20, 229.50, 231.43, 223.15, 92.97K
