date, close, open, high, low, volume
Apr 13, 2009, 7.84, 8.21, 8.21, 7.77, 97.76K
Apr 09, 2009, 7.77, 7.97, 8.01, 7.52, 45.32K
Apr 08, 2009, 7.92, 6.96, 8.05, 6.96, 90.23K
Apr 06, 2009, 7.42, 7.43, 7.58, 7.38, 43.72K
Apr 02, 2009, 7.45, 7.02, 7.58, 7.02, 251.22K
Apr 01, 2009, 7.01, 6.66, 7.37, 6.66, 64.85K
Mar 31, 2009, 6.79, 6.37, 6.99, 6.20, 225.17K
Mar 30, 2009, 6.46, 6.51, 6.82, 6.36, 95.08K
Mar 27, 2009, 6.91, 6.68, 7.00, 6.68, 247.53K
Mar 26, 2009, 6.61, 7.38, 7.38, 6.52, 176.98K
Mar 25, 2009, 7.30, 7.09, 8.24, 7.09, 346.83K
Mar 24, 2009, 7.07, 7.26, 8.06, 6.92, 1.51M
Mar 23, 2009, 6.86, 5.85, 6.86, 5.85, 489.13K
Mar 20, 2009, 5.72, 5.49, 5.81, 5.39, 73.98K
Mar 19, 2009, 5.57, 5.24, 5.82, 5.11, 112.25K
Mar 18, 2009, 5.23, 4.96, 5.30, 4.96, 311.24K
Mar 17, 2009, 5.30, 4.86, 5.34, 4.86, 76.75K
Mar 16, 2009, 4.96, 5.09, 5.39, 4.79, 196.97K
Mar 13, 2009, 4.96, 4.81, 5.03, 4.77, 23.36K
Mar 12, 2009, 4.87, 4.57, 4.97, 4.53, 58.77K
Mar 09, 2009, 4.63, 4.86, 4.93, 4.40, 61.29K
Mar 06, 2009, 4.95, 4.96, 5.25, 4.83, 50.77K
Mar 05, 2009, 4.96, 5.34, 5.34, 4.96, 9.00K
Mar 04, 2009, 5.08, 5.15, 5.45, 5.00, 59.04K
Mar 03, 2009, 5.19, 5.25, 5.34, 5.15, 9.25K
Mar 02, 2009, 5.35, 5.42, 5.61, 5.34, 32.08K
Feb 27, 2009, 5.60, 5.52, 5.63, 5.39, 52.97K
Feb 26, 2009, 5.35, 5.60, 5.60, 5.34, 24.07K
Feb 25, 2009, 5.41, 5.73, 5.73, 5.40, 46.75K
Feb 24, 2009, 5.54, 5.45, 5.60, 5.39, 51.96K
Feb 20, 2009, 5.53, 5.85, 5.85, 5.49, 93.88K
Feb 19, 2009, 5.55, 5.73, 5.73, 5.50, 62.76K
Feb 18, 2009, 5.65, 5.82, 5.97, 5.54, 197.09K
Feb 17, 2009, 5.77, 5.87, 6.02, 5.46, 5.81M
Feb 16, 2009, 5.60, 5.81, 5.88, 5.57, 68.60K
Feb 13, 2009, 5.82, 5.90, 5.90, 5.66, 110.07K
Feb 12, 2009, 5.60, 5.68, 5.68, 5.51, 502.94K
Feb 11, 2009, 5.57, 5.50, 5.67, 5.45, 17.25K
Feb 10, 2009, 5.51, 5.83, 5.83, 5.46, 98.10K
Feb 09, 2009, 5.76, 5.44, 5.79, 5.44, 86.83K
Feb 06, 2009, 5.46, 5.54, 5.64, 5.44, 44.39K
Feb 05, 2009, 5.63, 5.57, 5.72, 5.47, 134.84K
Feb 04, 2009, 5.59, 5.71, 5.83, 5.57, 33.44K
Feb 03, 2009, 5.63, 5.64, 5.79, 5.25, 206.06K
Feb 02, 2009, 5.59, 5.73, 5.82, 5.54, 50.42K
Jan 30, 2009, 5.72, 6.02, 6.02, 5.64, 90.73K
Jan 29, 2009, 5.91, 6.02, 6.38, 5.54, 68.46K
Jan 28, 2009, 5.73, 5.73, 6.16, 5.39, 147.82K
Jan 27, 2009, 5.63, 5.60, 5.73, 5.59, 1.64M
Jan 23, 2009, 5.74, 5.78, 5.95, 5.59, 262.41K
Jan 22, 2009, 5.88, 5.82, 6.07, 5.68, 114.77K
Jan 21, 2009, 5.72, 5.62, 5.78, 5.62, 142.72K
Jan 20, 2009, 5.74, 5.76, 5.93, 5.67, 374.48K
Jan 19, 2009, 5.82, 5.83, 6.07, 5.75, 302.00K
Jan 16, 2009, 5.81, 6.07, 6.38, 5.76, 651.44K
Jan 15, 2009, 5.80, 5.95, 6.50, 5.73, 529.04K
Jan 14, 2009, 5.93, 5.73, 6.02, 5.73, 38.20K
Jan 13, 2009, 5.81, 5.88, 5.88, 5.64, 44.90K
Jan 12, 2009, 5.89, 6.47, 6.61, 5.74, 51.50K
Jan 09, 2009, 6.05, 6.08, 6.15, 5.69, 95.91K
Jan 07, 2009, 6.15, 6.70, 6.73, 6.02, 166.22K
Jan 06, 2009, 6.66, 6.60, 7.07, 6.54, 312.83K
Jan 05, 2009, 6.50, 6.41, 6.60, 6.32, 1.12M
Jan 02, 2009, 6.31, 6.41, 6.68, 6.17, 141.74K
Jan 01, 2009, 6.28, 6.50, 6.50, 6.13, 142.62K
Dec 31, 2008, 6.22, 6.38, 6.46, 6.17, 50.98K
Dec 30, 2008, 6.33, 6.14, 6.39, 6.14, 39.32K
Dec 29, 2008, 6.26, 6.10, 6.33, 6.10, 20.37K
Dec 26, 2008, 6.36, 5.97, 6.51, 5.97, 95.19K
Dec 24, 2008, 6.13, 6.22, 6.46, 6.04, 61.31K
Dec 23, 2008, 6.31, 6.32, 6.57, 6.06, 185.76K
Dec 22, 2008, 6.12, 6.60, 6.60, 6.04, 263.18K
Dec 19, 2008, 6.26, 6.14, 6.41, 6.14, 66.76K
Dec 18, 2008, 6.07, 6.56, 6.56, 5.99, 400.68K
Dec 17, 2008, 6.23, 6.74, 6.74, 6.13, 98.44K
Dec 16, 2008, 6.51, 6.24, 6.70, 5.93, 448.00K
Dec 15, 2008, 6.41, 6.82, 6.99, 5.64, 1.74M
Dec 12, 2008, 6.91, 7.51, 7.51, 6.77, 120.64K
Dec 11, 2008, 6.77, 7.13, 7.13, 6.70, 12.76K
Dec 10, 2008, 6.73, 6.85, 6.85, 6.53, 192.50K
Dec 08, 2008, 6.85, 6.75, 7.04, 6.75, 157.10K
Dec 05, 2008, 6.73, 6.70, 7.06, 6.66, 63.79K
Dec 04, 2008, 7.05, 7.19, 7.48, 6.95, 15.04K
Dec 03, 2008, 7.14, 6.85, 7.39, 6.85, 12.32K
Dec 02, 2008, 7.18, 6.90, 7.29, 6.75, 7.66K
Dec 01, 2008, 7.26, 7.17, 7.56, 7.08, 52.99K
Nov 28, 2008, 7.12, 7.48, 7.48, 6.88, 14.29K
Nov 26, 2008, 7.56, 7.38, 7.63, 7.29, 24.98K
Nov 25, 2008, 7.38, 7.58, 7.58, 6.70, 64.10K
Nov 24, 2008, 7.06, 7.00, 7.23, 7.00, 138.61K
Nov 21, 2008, 7.00, 6.90, 7.18, 6.51, 51.80K
Nov 20, 2008, 6.85, 6.51, 7.05, 6.46, 34.26K
Nov 19, 2008, 6.83, 6.32, 6.99, 6.32, 82.93K
Nov 18, 2008, 6.43, 6.41, 6.79, 6.30, 13.28K
Nov 17, 2008, 6.72, 7.00, 7.00, 6.32, 30.11K
Nov 14, 2008, 6.86, 7.09, 7.09, 6.81, 15.39K
Nov 12, 2008, 6.97, 7.19, 7.19, 6.83, 16.30K
Nov 11, 2008, 7.01, 7.09, 7.28, 6.61, 60.90K
Nov 10, 2008, 6.93, 6.73, 7.09, 6.72, 406.37K
Nov 07, 2008, 6.91, 6.80, 7.00, 6.70, 62.22K
Nov 06, 2008, 6.87, 7.19, 7.51, 6.32, 226.54K
Nov 05, 2008, 6.76, 7.58, 7.58, 6.75, 104.74K
Nov 04, 2008, 7.00, 6.90, 7.09, 6.61, 117.39K
Nov 03, 2008, 6.96, 7.77, 7.77, 6.95, 46.87K
Oct 31, 2008, 7.08, 8.06, 8.58, 6.91, 66.92K
Oct 29, 2008, 7.27, 7.29, 8.26, 6.80, 92.31K
Oct 28, 2008, 7.40, 7.77, 7.77, 6.90, 35.40K
Oct 27, 2008, 6.71, 7.09, 7.97, 5.84, 97.10K
Oct 24, 2008, 6.79, 6.99, 7.48, 6.41, 113.93K
Oct 23, 2008, 6.85, 7.20, 7.20, 6.27, 44.85K
Oct 22, 2008, 6.91, 7.05, 7.05, 6.83, 9.47K
Oct 21, 2008, 6.69, 7.83, 7.83, 6.47, 81.77K
Oct 20, 2008, 6.99, 7.00, 7.29, 6.59, 42.52K
Oct 17, 2008, 6.93, 7.19, 7.48, 6.83, 20.48K
Oct 16, 2008, 7.03, 7.29, 7.86, 6.53, 42.36K
Oct 15, 2008, 7.46, 7.69, 7.98, 7.26, 42.21K
Oct 14, 2008, 7.86, 9.70, 9.70, 7.58, 110.00K
Oct 13, 2008, 8.28, 6.62, 8.28, 6.38, 211.39K
Oct 10, 2008, 6.90, 7.10, 7.14, 6.33, 94.80K
Oct 08, 2008, 7.38, 9.05, 9.05, 7.36, 374.25K
Oct 07, 2008, 9.21, 9.54, 10.30, 9.05, 21.26K
Oct 06, 2008, 9.60, 10.49, 10.49, 9.34, 78.04K
Oct 03, 2008, 10.74, 11.17, 11.17, 10.48, 19.79K
Oct 01, 2008, 11.03, 10.61, 11.30, 10.61, 12.00K
Sep 30, 2008, 10.60, 10.21, 11.27, 9.91, 22.69K
Sep 29, 2008, 10.67, 11.17, 11.27, 10.26, 30.68K
Sep 26, 2008, 11.50, 11.67, 12.62, 11.29, 80.87K
Sep 25, 2008, 11.67, 11.61, 12.04, 11.61, 55.11K
Sep 24, 2008, 11.83, 12.24, 12.44, 11.66, 27.51K
Sep 23, 2008, 11.78, 11.85, 12.12, 11.66, 14.05K
Sep 22, 2008, 11.94, 11.96, 12.43, 11.85, 49.67K
Sep 19, 2008, 11.92, 12.18, 12.48, 11.67, 27.09K
Sep 18, 2008, 12.06, 11.19, 12.33, 11.19, 79.18K
Sep 17, 2008, 12.14, 12.53, 12.71, 11.72, 700.06K
Sep 16, 2008, 12.33, 12.24, 12.82, 11.56, 80.92K
Sep 15, 2008, 12.74, 12.63, 13.12, 11.21, 105.02K
Sep 12, 2008, 12.61, 12.74, 12.91, 12.29, 31.43K
Sep 11, 2008, 12.65, 13.07, 13.07, 12.63, 9.51K
Sep 10, 2008, 12.73, 12.83, 13.26, 12.54, 24.38K
Sep 09, 2008, 12.99, 13.12, 13.12, 12.93, 59.26K
Sep 08, 2008, 13.31, 13.12, 14.09, 12.92, 5.98M
Sep 05, 2008, 13.14, 12.82, 13.39, 12.49, 64.06K
Sep 04, 2008, 13.08, 13.12, 13.50, 12.77, 33.44K
Sep 02, 2008, 13.17, 13.60, 13.70, 12.94, 50.81K
Sep 01, 2008, 13.45, 13.31, 13.58, 13.02, 24.17K
Aug 29, 2008, 13.35, 12.82, 13.51, 12.70, 193.45K
Aug 28, 2008, 12.48, 12.90, 13.10, 12.34, 35.16K
Aug 27, 2008, 13.06, 13.13, 13.31, 12.84, 16.65K
Aug 26, 2008, 13.16, 13.04, 13.41, 13.04, 86.35K
Aug 25, 2008, 13.21, 13.17, 14.34, 12.83, 49.84K
Aug 22, 2008, 13.05, 13.60, 13.60, 12.98, 36.99K
Aug 21, 2008, 13.35, 13.99, 13.99, 13.22, 135.14K
Aug 20, 2008, 13.99, 14.02, 14.19, 13.99, 45.42K
Aug 19, 2008, 14.00, 14.09, 14.28, 13.80, 170.92K
Aug 18, 2008, 14.07, 13.89, 14.19, 13.70, 551.75K
Aug 14, 2008, 14.05, 14.18, 14.38, 13.89, 963.96K
Aug 13, 2008, 14.00, 14.09, 14.17, 13.75, 269.76K
Aug 12, 2008, 13.97, 13.68, 14.57, 13.60, 1.76M
Aug 11, 2008, 13.63, 13.61, 14.37, 13.38, 1.16M
Aug 08, 2008, 13.68, 13.70, 14.18, 13.25, 2.77M
Aug 07, 2008, 13.76, 11.76, 13.99, 11.75, 9.17M
Aug 06, 2008, 11.66, 11.46, 13.01, 10.98, 8.47M
Aug 05, 2008, 11.16, 11.12, 11.22, 10.94, 601.46K
Aug 04, 2008, 10.96, 11.08, 11.37, 10.88, 362.22K
Aug 01, 2008, 11.04, 10.98, 11.44, 10.81, 206.03K
Jul 31, 2008, 11.00, 11.66, 11.66, 10.78, 455.13K
Jul 30, 2008, 11.53, 11.76, 11.99, 11.37, 35.24K
Jul 29, 2008, 11.53, 11.56, 12.05, 11.27, 61.25K
Jul 28, 2008, 11.67, 11.85, 11.85, 11.56, 63.26K
Jul 25, 2008, 11.68, 12.04, 12.04, 11.37, 59.39K
Jul 24, 2008, 11.77, 12.05, 12.43, 11.66, 120.64K
Jul 23, 2008, 12.00, 12.04, 12.14, 11.57, 123.86K
Jul 22, 2008, 11.46, 11.89, 11.89, 10.89, 1.80M
Jul 21, 2008, 11.49, 11.17, 12.00, 11.17, 41.94K
Jul 18, 2008, 11.65, 12.24, 13.02, 11.51, 115.30K
Jul 17, 2008, 12.34, 12.63, 13.60, 11.33, 122.28K
Jul 16, 2008, 12.45, 12.63, 13.02, 12.14, 42.68K
Jul 15, 2008, 12.67, 13.10, 13.12, 12.63, 15.68K
Jul 14, 2008, 13.10, 12.93, 13.26, 12.93, 7.15K
Jul 11, 2008, 13.22, 14.08, 14.08, 12.97, 37.44K
Jul 10, 2008, 14.08, 13.85, 14.28, 13.23, 50.42K
Jul 09, 2008, 13.95, 14.09, 14.57, 13.12, 285.80K
Jul 08, 2008, 13.60, 12.99, 13.89, 12.93, 18.09K
Jul 07, 2008, 13.68, 12.92, 14.04, 12.92, 27.01K
Jul 04, 2008, 13.05, 13.31, 13.60, 12.85, 18.26K
Jul 03, 2008, 12.79, 12.84, 13.20, 12.51, 13.64K
