date, close, open, high, low, volume
Feb 13, 1998, 2.36, 2.44, 2.44, 2.36, 4.51K
Feb 12, 1998, 2.44, 2.48, 2.48, 2.44, 6.76K
Feb 11, 1998, 2.48, 2.57, 2.57, 2.48, 10.14K
Feb 10, 1998, 2.55, 2.53, 2.56, 2.47, 25.92K
Feb 09, 1998, 2.48, 2.38, 2.53, 2.38, 75.51K
Feb 06, 1998, 2.37, 2.31, 2.37, 2.31, 6.76K
Feb 05, 1998, 2.30, 2.35, 2.37, 2.30, 12.40K
Feb 04, 1998, 2.30, 2.30, 2.30, 2.30, 2.25K
Feb 03, 1998, 2.30, 2.28, 2.30, 2.26, 33.81K
Feb 02, 1998, 2.33, 2.26, 2.33, 2.26, 14.65K
Jan 30, 1998, 2.27, 2.27, 2.31, 2.27, 21.41K
Jan 29, 1998, 2.28, 2.24, 2.28, 2.24, 24.79K
Jan 28, 1998, 2.24, 2.26, 2.27, 2.24, 98.05K
Jan 27, 1998, 2.28, 2.28, 2.28, 2.28, 11.27K
Jan 23, 1998, 2.35, 2.29, 2.35, 2.29, 9.02K
Jan 22, 1998, 2.31, 2.31, 2.31, 2.31, 14.65K
Jan 21, 1998, 2.36, 2.33, 2.40, 2.33, 13.52K
Jan 20, 1998, 2.41, 2.32, 2.44, 2.32, 12.40K
Jan 19, 1998, 2.35, 2.44, 2.44, 2.35, 25.92K
Jan 16, 1998, 2.40, 2.34, 2.40, 2.31, 6.76K
Jan 15, 1998, 2.31, 2.40, 2.40, 2.31, 13.52K
Jan 14, 1998, 2.46, 2.46, 2.46, 2.46, 2.25K
Jan 13, 1998, 2.46, 2.42, 2.48, 2.42, 11.27K
Jan 12, 1998, 2.37, 2.40, 2.40, 2.36, 6.76K
Jan 09, 1998, 2.61, 2.44, 2.61, 2.44, 5.63K
Jan 08, 1998, 2.62, 2.66, 2.66, 2.62, 6.76K
Jan 07, 1998, 2.75, 2.71, 2.78, 2.71, 15.78K
Jan 06, 1998, 2.76, 2.80, 2.84, 2.75, 20.29K
Jan 05, 1998, 2.91, 3.03, 3.03, 2.91, 24.79K
Jan 02, 1998, 2.91, 2.89, 2.96, 2.88, 13.52K
Jan 01, 1998, 2.97, 2.97, 2.97, 2.97, 3.38K
Dec 31, 1997, 2.91, 3.02, 3.02, 2.91, 13.52K
Dec 30, 1997, 2.97, 2.91, 3.04, 2.91, 24.79K
Dec 29, 1997, 3.08, 2.94, 3.10, 2.94, 33.81K
Dec 26, 1997, 2.91, 2.73, 2.91, 2.72, 33.81K
Dec 24, 1997, 2.72, 2.75, 2.75, 2.57, 46.21K
Dec 23, 1997, 2.68, 2.60, 2.69, 2.60, 13.52K
Dec 22, 1997, 2.66, 2.57, 2.66, 2.57, 22.54K
Dec 19, 1997, 2.56, 2.48, 2.56, 2.48, 11.27K
Dec 18, 1997, 2.51, 2.57, 2.57, 2.48, 82.27K
Dec 17, 1997, 2.54, 2.68, 2.68, 2.42, 60.86K
Dec 16, 1997, 2.58, 2.40, 2.58, 2.40, 16.90K
Dec 15, 1997, 2.41, 2.22, 2.41, 2.22, 12.40K
Dec 12, 1997, 2.26, 2.24, 2.26, 2.20, 15.78K
Dec 11, 1997, 2.18, 2.22, 2.22, 2.18, 16.90K
Dec 10, 1997, 2.24, 2.26, 2.26, 2.18, 71.00K
Dec 09, 1997, 2.18, 2.22, 2.22, 2.18, 4.51K
Dec 08, 1997, 2.22, 2.06, 2.22, 2.05, 9.02K
Dec 05, 1997, 2.13, 2.17, 2.22, 2.13, 12.40K
Dec 04, 1997, 2.18, 2.22, 2.22, 2.17, 25.92K
Dec 03, 1997, 2.22, 2.22, 2.22, 2.22, 4.51K
Dec 02, 1997, 2.22, 2.22, 2.22, 2.21, 31.55K
Dec 01, 1997, 2.22, 2.25, 2.25, 2.22, 22.54K
Nov 28, 1997, 2.34, 2.33, 2.34, 2.31, 11.27K
Nov 27, 1997, 2.28, 2.26, 2.28, 2.24, 7.89K
Nov 26, 1997, 2.24, 2.22, 2.28, 2.19, 22.54K
Nov 25, 1997, 2.21, 2.18, 2.22, 2.14, 13.52K
Nov 24, 1997, 2.18, 2.24, 2.27, 2.14, 12.40K
Nov 21, 1997, 2.29, 2.30, 2.30, 2.24, 7.89K
Nov 20, 1997, 2.28, 2.22, 2.30, 2.22, 13.52K
Nov 19, 1997, 2.22, 2.22, 2.26, 2.22, 6.76K
Nov 18, 1997, 2.28, 2.38, 2.38, 2.28, 21.41K
Nov 17, 1997, 2.31, 2.40, 2.40, 2.31, 34.94K
Nov 13, 1997, 2.39, 2.36, 2.42, 2.36, 22.54K
Nov 12, 1997, 2.42, 2.36, 2.42, 2.36, 21.41K
Nov 11, 1997, 2.38, 2.36, 2.43, 2.36, 22.54K
Nov 10, 1997, 2.36, 2.35, 2.40, 2.31, 31.55K
Nov 07, 1997, 2.37, 2.35, 2.39, 2.35, 6.76K
Nov 06, 1997, 2.42, 2.27, 2.42, 2.27, 11.27K
Nov 05, 1997, 2.40, 2.34, 2.40, 2.34, 12.40K
Nov 04, 1997, 2.40, 2.40, 2.50, 2.38, 40.57K
Nov 03, 1997, 2.42, 2.42, 2.42, 2.40, 15.78K
Oct 30, 1997, 2.45, 2.37, 2.48, 2.31, 29.30K
Oct 29, 1997, 2.33, 2.26, 2.37, 2.23, 20.29K
Oct 28, 1997, 2.26, 2.26, 2.34, 2.24, 36.06K
Oct 27, 1997, 2.40, 2.48, 2.48, 2.40, 29.30K
Oct 24, 1997, 2.41, 2.59, 2.60, 2.36, 55.22K
Oct 23, 1997, 2.48, 2.57, 2.65, 2.48, 45.08K
Oct 22, 1997, 2.60, 2.58, 2.77, 2.58, 45.08K
Oct 21, 1997, 2.75, 2.75, 2.80, 2.73, 24.79K
Oct 20, 1997, 2.78, 2.84, 2.84, 2.77, 22.54K
Oct 17, 1997, 2.84, 2.84, 2.84, 2.80, 22.54K
Oct 16, 1997, 2.84, 2.88, 2.93, 2.84, 22.54K
Oct 15, 1997, 2.84, 2.84, 2.84, 2.83, 21.41K
Oct 14, 1997, 2.85, 2.79, 2.86, 2.78, 23.67K
Oct 13, 1997, 2.81, 2.82, 2.87, 2.80, 36.06K
Oct 10, 1997, 2.87, 2.97, 2.97, 2.87, 22.54K
Oct 09, 1997, 2.97, 3.02, 3.02, 2.97, 18.03K
Oct 01, 1997, 3.02, 3.01, 3.04, 2.96, 42.82K
Sep 30, 1997, 2.96, 2.84, 3.02, 2.76, 77.76K
Sep 29, 1997, 2.87, 2.88, 2.92, 2.84, 23.67K
Sep 26, 1997, 2.91, 2.92, 2.92, 2.89, 9.02K
Sep 25, 1997, 2.90, 2.99, 2.99, 2.86, 14.65K
Sep 24, 1997, 2.91, 2.96, 2.99, 2.91, 37.19K
Sep 23, 1997, 2.91, 2.95, 2.99, 2.90, 40.57K
Sep 22, 1997, 3.02, 3.00, 3.02, 3.00, 12.40K
Sep 19, 1997, 3.04, 3.06, 3.06, 3.02, 18.03K
Sep 18, 1997, 3.05, 3.04, 3.07, 3.04, 13.52K
Sep 17, 1997, 3.02, 3.00, 3.04, 3.00, 18.03K
Sep 16, 1997, 2.96, 3.11, 3.11, 2.95, 41.70K
Sep 15, 1997, 3.09, 3.14, 3.15, 3.09, 60.86K
Sep 12, 1997, 3.16, 3.16, 3.18, 3.14, 30.43K
Sep 11, 1997, 3.14, 3.15, 3.19, 3.13, 32.68K
Sep 10, 1997, 3.15, 3.19, 3.19, 3.12, 22.54K
Sep 09, 1997, 3.10, 3.16, 3.16, 2.98, 45.08K
Sep 08, 1997, 3.13, 3.12, 3.19, 3.11, 63.11K
Sep 05, 1997, 3.17, 3.19, 3.19, 3.13, 21.41K
Sep 04, 1997, 3.23, 3.15, 3.23, 3.15, 15.78K
Sep 03, 1997, 3.19, 3.19, 3.19, 3.11, 18.03K
Sep 02, 1997, 3.11, 3.11, 3.19, 3.09, 48.46K
Sep 01, 1997, 3.15, 3.19, 3.19, 3.12, 52.97K
Aug 29, 1997, 3.15, 3.13, 3.19, 3.13, 16.90K
Aug 28, 1997, 3.17, 3.02, 3.19, 3.02, 46.21K
Aug 27, 1997, 3.15, 3.14, 3.17, 3.12, 12.40K
Aug 26, 1997, 3.10, 3.15, 3.17, 3.06, 75.51K
Aug 25, 1997, 3.14, 3.12, 3.15, 3.12, 21.41K
Aug 22, 1997, 3.19, 3.20, 3.37, 3.19, 140.87K
Aug 21, 1997, 3.27, 3.28, 3.28, 3.17, 151.01K
Aug 20, 1997, 3.25, 3.20, 3.28, 3.20, 22.54K
Aug 19, 1997, 3.15, 3.24, 3.25, 3.08, 39.44K
Aug 18, 1997, 3.28, 3.35, 3.35, 3.28, 7.89K
Aug 14, 1997, 3.27, 3.24, 3.32, 3.21, 47.33K
