date, close, open, high, low, volume
Sep 03, 1999, 3.00, 2.84, 3.02, 2.78, 29.30K
Sep 02, 1999, 2.94, 2.89, 2.97, 2.84, 23.67K
Sep 01, 1999, 2.88, 2.97, 2.99, 2.85, 13.52K
Aug 31, 1999, 2.97, 3.06, 3.11, 2.95, 54.09K
Aug 30, 1999, 3.11, 3.06, 3.13, 3.04, 28.17K
Aug 27, 1999, 3.07, 3.15, 3.15, 3.07, 33.81K
Aug 26, 1999, 3.13, 3.19, 3.24, 3.13, 14.65K
Aug 25, 1999, 3.27, 3.24, 3.28, 3.11, 23.67K
Aug 24, 1999, 3.18, 3.33, 3.37, 3.11, 125.09K
Aug 23, 1999, 3.31, 3.19, 3.33, 3.19, 66.49K
Aug 20, 1999, 3.25, 3.43, 3.43, 3.11, 48.46K
Aug 19, 1999, 3.32, 3.46, 3.46, 3.15, 111.57K
Aug 18, 1999, 3.42, 3.26, 3.46, 3.26, 169.04K
Aug 17, 1999, 3.20, 3.18, 3.24, 3.18, 118.33K
Aug 16, 1999, 3.00, 2.91, 3.00, 2.84, 63.11K
Aug 13, 1999, 2.78, 2.84, 2.95, 2.72, 42.82K
Aug 12, 1999, 2.74, 2.66, 2.75, 2.66, 13.52K
Aug 11, 1999, 2.68, 2.66, 2.70, 2.66, 25.92K
Aug 10, 1999, 2.67, 2.62, 2.68, 2.62, 19.16K
Aug 09, 1999, 2.66, 2.60, 2.70, 2.60, 10.14K
Aug 06, 1999, 2.62, 2.60, 2.71, 2.58, 54.09K
Aug 05, 1999, 2.67, 2.67, 2.67, 2.64, 7.89K
Aug 04, 1999, 2.68, 2.75, 2.75, 2.68, 29.30K
Aug 03, 1999, 2.67, 2.67, 2.68, 2.66, 31.55K
Aug 02, 1999, 2.68, 2.68, 2.68, 2.66, 31.55K
Jul 30, 1999, 2.71, 2.68, 2.71, 2.68, 68.74K
Jul 29, 1999, 2.70, 2.66, 2.70, 2.66, 39.44K
Jul 28, 1999, 2.67, 2.82, 2.82, 2.66, 39.44K
Jul 27, 1999, 2.66, 2.58, 2.75, 2.58, 27.05K
Jul 26, 1999, 2.73, 2.76, 2.84, 2.64, 102.55K
Jul 23, 1999, 2.77, 2.84, 2.86, 2.76, 63.11K
Jul 22, 1999, 2.86, 2.78, 2.86, 2.75, 103.68K
Jul 21, 1999, 2.80, 2.69, 2.84, 2.69, 86.78K
Jul 20, 1999, 2.76, 2.73, 2.84, 2.73, 77.76K
Jul 19, 1999, 2.84, 2.80, 2.85, 2.76, 42.82K
Jul 16, 1999, 2.80, 2.69, 2.84, 2.57, 98.05K
Jul 15, 1999, 2.73, 2.77, 2.79, 2.70, 34.94K
Jul 14, 1999, 2.76, 2.75, 2.92, 2.75, 31.55K
Jul 13, 1999, 2.80, 2.72, 2.89, 2.72, 56.35K
Jul 12, 1999, 2.81, 2.76, 2.83, 2.75, 32.68K
Jul 09, 1999, 2.78, 2.71, 2.79, 2.71, 31.55K
Jul 08, 1999, 2.75, 2.79, 2.80, 2.72, 21.41K
Jul 07, 1999, 2.75, 2.72, 2.76, 2.68, 16.90K
Jul 06, 1999, 2.77, 2.74, 2.80, 2.74, 21.41K
Jul 05, 1999, 2.76, 2.80, 2.81, 2.76, 3.38K
Jul 02, 1999, 2.75, 2.72, 2.75, 2.72, 25.92K
Jul 01, 1999, 2.74, 2.71, 2.74, 2.71, 13.52K
Jun 30, 1999, 2.73, 2.73, 2.73, 2.73, 10.14K
Jun 29, 1999, 2.73, 2.73, 2.73, 2.73, 6.76K
Jun 28, 1999, 2.73, 2.66, 2.74, 2.66, 10.14K
Jun 25, 1999, 2.66, 2.60, 2.66, 2.60, 12.40K
Jun 24, 1999, 2.66, 2.64, 2.66, 2.62, 10.14K
Jun 23, 1999, 2.60, 2.62, 2.70, 2.55, 11.27K
Jun 22, 1999, 2.71, 2.80, 2.82, 2.68, 11.27K
Jun 21, 1999, 2.75, 2.74, 2.75, 2.74, 3.38K
Jun 18, 1999, 2.79, 2.91, 2.97, 2.71, 27.05K
Jun 17, 1999, 2.84, 2.74, 2.84, 2.74, 15.78K
Jun 16, 1999, 2.79, 2.66, 2.84, 2.66, 28.17K
Jun 15, 1999, 2.75, 2.80, 2.80, 2.73, 13.52K
Jun 14, 1999, 2.75, 2.71, 2.82, 2.71, 18.03K
Jun 11, 1999, 2.93, 2.59, 2.93, 2.59, 34.94K
Jun 10, 1999, 2.73, 2.58, 2.73, 2.58, 13.52K
Jun 09, 1999, 2.63, 2.63, 2.63, 2.63, 4.51K
Jun 08, 1999, 2.65, 2.62, 2.71, 2.62, 33.81K
Jun 07, 1999, 2.66, 2.48, 2.71, 2.48, 6.76K
Jun 04, 1999, 2.64, 2.67, 2.67, 2.60, 10.14K
Jun 03, 1999, 2.62, 2.62, 2.62, 2.62, 3.38K
Jun 02, 1999, 2.60, 2.60, 2.66, 2.60, 6.76K
Jun 01, 1999, 2.63, 2.62, 2.63, 2.62, 7.89K
May 31, 1999, 2.71, 2.58, 2.71, 2.58, 6.76K
May 28, 1999, 2.61, 2.61, 2.70, 2.61, 4.51K
May 27, 1999, 2.70, 2.69, 2.74, 2.69, 13.52K
May 26, 1999, 2.67, 2.84, 2.84, 2.67, 3.38K
May 25, 1999, 2.84, 2.89, 2.93, 2.75, 24.79K
May 24, 1999, 2.93, 3.08, 3.08, 2.86, 31.55K
May 21, 1999, 3.11, 3.02, 3.11, 2.95, 58.60K
May 20, 1999, 3.15, 2.98, 3.15, 2.91, 72.13K
May 19, 1999, 2.94, 2.85, 3.11, 2.85, 39.44K
May 18, 1999, 2.93, 2.82, 3.02, 2.82, 96.92K
May 17, 1999, 2.86, 2.88, 3.02, 2.86, 34.94K
May 14, 1999, 3.02, 2.84, 3.02, 2.78, 58.60K
May 13, 1999, 2.93, 2.82, 2.93, 2.76, 60.86K
May 12, 1999, 2.74, 2.40, 2.74, 2.40, 32.68K
May 11, 1999, 2.53, 2.51, 2.57, 2.48, 24.79K
May 10, 1999, 2.53, 2.65, 2.65, 2.49, 19.16K
May 07, 1999, 2.53, 2.48, 2.55, 2.48, 12.40K
May 06, 1999, 2.48, 2.43, 2.48, 2.43, 4.51K
May 05, 1999, 2.49, 2.49, 2.54, 2.49, 18.03K
May 04, 1999, 2.48, 2.53, 2.53, 2.48, 3.38K
May 03, 1999, 2.48, 2.48, 2.48, 2.48, 10.14K
Apr 30, 1999, 2.53, 2.53, 2.53, 2.53, 10.14K
Apr 29, 1999, 2.44, 2.61, 2.61, 2.44, 10.14K
Apr 28, 1999, 2.51, 2.32, 2.51, 2.32, 10.14K
