date, close, open, high, low, volume
Apr 04, 2014, 78.27, 78.34, 79.10, 76.90, 198.69K
Apr 03, 2014, 78.07, 76.80, 78.68, 75.00, 760.82K
Apr 02, 2014, 78.84, 80.00, 80.97, 77.16, 575.59K
Apr 01, 2014, 78.15, 79.44, 79.99, 77.66, 501.28K
Mar 31, 2014, 78.81, 77.10, 79.50, 76.51, 561.81K
Mar 28, 2014, 76.63, 74.39, 76.89, 74.25, 744.65K
Mar 27, 2014, 74.25, 71.66, 74.50, 71.66, 522.79K
Mar 26, 2014, 72.75, 71.16, 73.08, 71.16, 283.27K
Mar 25, 2014, 71.53, 71.03, 72.17, 71.03, 193.64K
Mar 24, 2014, 71.52, 71.40, 72.50, 71.01, 243.67K
Mar 22, 2014, 72.06, 72.00, 72.60, 71.60, 56.00K
Mar 21, 2014, 71.50, 70.32, 71.90, 70.32, 252.82K
Mar 20, 2014, 70.97, 70.80, 71.41, 69.70, 723.11K
Mar 19, 2014, 70.78, 70.90, 70.90, 70.28, 143.58K
Mar 18, 2014, 70.96, 69.88, 71.14, 69.88, 152.16K
Mar 14, 2014, 69.88, 71.38, 71.38, 69.42, 491.52K
Mar 13, 2014, 71.40, 70.55, 72.44, 70.55, 116.03K
Mar 12, 2014, 71.11, 70.50, 71.84, 70.20, 126.05K
Mar 11, 2014, 71.09, 72.50, 73.50, 70.10, 284.19K
Mar 10, 2014, 72.56, 71.84, 73.00, 71.84, 180.35K
Mar 07, 2014, 72.05, 72.70, 73.20, 71.60, 208.84K
Mar 06, 2014, 72.48, 72.10, 73.00, 71.55, 421.73K
Mar 05, 2014, 71.75, 72.86, 73.44, 71.20, 660.73K
Mar 04, 2014, 72.86, 71.40, 73.30, 71.40, 297.03K
Mar 03, 2014, 71.53, 71.10, 72.50, 71.10, 172.89K
Feb 28, 2014, 72.21, 71.20, 72.48, 71.20, 169.93K
Feb 26, 2014, 72.11, 72.67, 72.67, 71.03, 186.20K
Feb 25, 2014, 71.77, 71.89, 73.10, 70.81, 478.04K
Feb 24, 2014, 71.11, 70.19, 72.00, 70.04, 246.40K
Feb 21, 2014, 70.14, 70.50, 70.89, 69.30, 401.68K
Feb 20, 2014, 70.24, 70.65, 70.65, 69.50, 166.02K
Feb 19, 2014, 70.64, 71.38, 71.50, 70.11, 295.13K
Feb 18, 2014, 70.33, 69.50, 70.70, 67.95, 349.42K
Feb 17, 2014, 69.12, 67.81, 69.80, 67.81, 201.69K
Feb 14, 2014, 68.23, 68.50, 69.10, 67.80, 171.12K
Feb 13, 2014, 68.27, 70.63, 70.63, 68.00, 291.36K
Feb 12, 2014, 70.11, 68.31, 70.88, 68.00, 397.57K
Feb 11, 2014, 68.16, 68.40, 68.97, 68.00, 111.20K
Feb 10, 2014, 68.07, 68.80, 69.30, 67.61, 63.69K
Feb 07, 2014, 68.67, 67.80, 69.00, 67.80, 134.46K
Feb 06, 2014, 68.19, 69.47, 69.80, 67.76, 182.33K
Feb 05, 2014, 68.44, 68.20, 69.30, 67.89, 409.28K
Feb 04, 2014, 68.75, 66.12, 69.50, 65.83, 193.91K
Feb 03, 2014, 66.45, 67.11, 68.10, 66.20, 213.39K
Jan 31, 2014, 68.02, 67.11, 68.60, 67.11, 69.33K
Jan 30, 2014, 67.79, 67.40, 68.47, 67.40, 135.37K
Jan 29, 2014, 68.12, 68.20, 68.86, 67.28, 146.22K
Jan 28, 2014, 67.90, 67.11, 68.80, 67.11, 109.29K
Jan 27, 2014, 67.72, 68.00, 68.75, 66.66, 211.81K
Jan 24, 2014, 68.66, 68.10, 69.40, 68.10, 144.49K
Jan 23, 2014, 68.67, 70.11, 70.30, 68.39, 121.34K
Jan 22, 2014, 70.31, 68.20, 70.90, 66.11, 394.95K
Jan 21, 2014, 68.13, 67.81, 69.30, 67.72, 209.12K
Jan 20, 2014, 68.42, 70.30, 70.30, 67.80, 181.06K
Jan 17, 2014, 69.20, 70.71, 71.70, 68.60, 245.28K
Jan 16, 2014, 71.40, 72.38, 72.79, 71.10, 233.09K
Jan 15, 2014, 72.38, 72.80, 73.48, 70.97, 750.69K
Jan 14, 2014, 72.16, 71.20, 73.35, 71.10, 188.54K
Jan 13, 2014, 71.95, 72.53, 73.72, 71.60, 174.41K
Jan 10, 2014, 73.16, 73.05, 73.69, 72.88, 183.42K
Jan 09, 2014, 73.22, 73.61, 73.94, 73.10, 142.52K
Jan 08, 2014, 73.83, 72.53, 74.40, 72.53, 301.60K
Jan 07, 2014, 73.11, 73.98, 74.10, 72.46, 200.85K
Jan 06, 2014, 73.17, 73.00, 73.49, 71.83, 185.41K
Jan 03, 2014, 72.93, 72.50, 74.12, 71.50, 246.52K
Jan 02, 2014, 72.83, 76.28, 76.35, 72.30, 555.71K
Jan 01, 2014, 76.01, 74.40, 76.70, 74.40, 1.22M
Dec 31, 2013, 74.27, 72.96, 74.50, 72.31, 345.18K
Dec 30, 2013, 72.96, 72.50, 73.30, 72.06, 129.97K
Dec 27, 2013, 72.61, 71.06, 73.00, 71.06, 226.19K
Dec 26, 2013, 71.22, 70.25, 72.00, 69.89, 249.44K
Dec 24, 2013, 70.25, 71.20, 71.69, 69.90, 300.50K
Dec 23, 2013, 71.70, 72.19, 73.70, 71.30, 526.46K
Dec 20, 2013, 72.26, 70.00, 73.00, 69.87, 660.81K
Dec 19, 2013, 69.92, 67.80, 70.50, 67.80, 216.47K
Dec 18, 2013, 69.25, 67.50, 69.47, 67.50, 260.64K
Dec 17, 2013, 68.03, 67.60, 68.80, 67.30, 261.53K
Dec 16, 2013, 67.60, 68.71, 70.70, 67.10, 150.35K
Dec 13, 2013, 69.51, 68.80, 70.39, 68.80, 163.56K
Dec 12, 2013, 69.44, 69.60, 70.14, 68.90, 163.28K
Dec 11, 2013, 70.30, 70.40, 71.09, 69.63, 139.10K
Dec 10, 2013, 71.08, 72.90, 72.90, 70.61, 176.67K
Dec 09, 2013, 72.85, 74.60, 75.00, 72.50, 307.54K
Dec 06, 2013, 73.83, 73.09, 74.00, 72.41, 158.59K
Dec 05, 2013, 73.09, 72.80, 74.40, 72.10, 316.03K
Dec 04, 2013, 72.28, 72.70, 73.83, 72.05, 176.44K
Dec 03, 2013, 73.91, 72.60, 74.49, 72.60, 196.41K
Dec 02, 2013, 73.38, 74.50, 74.50, 72.80, 280.82K
Nov 29, 2013, 73.24, 72.45, 73.83, 71.26, 499.95K
Nov 28, 2013, 71.88, 71.00, 72.89, 71.00, 357.53K
Nov 27, 2013, 70.77, 72.77, 72.77, 70.24, 109.04K
Nov 26, 2013, 71.71, 70.62, 73.00, 70.62, 587.22K
Nov 25, 2013, 71.43, 70.10, 72.29, 70.08, 302.68K
Nov 22, 2013, 70.10, 70.00, 71.00, 68.93, 252.67K
Nov 21, 2013, 68.67, 69.61, 70.00, 68.01, 309.14K
Nov 20, 2013, 70.11, 70.80, 71.50, 69.81, 245.67K
Nov 19, 2013, 70.78, 69.00, 71.45, 68.67, 737.06K
Nov 18, 2013, 69.43, 69.88, 71.20, 68.96, 760.35K
Nov 14, 2013, 68.89, 67.25, 69.40, 67.25, 486.67K
Nov 13, 2013, 67.25, 67.10, 68.40, 66.60, 327.02K
Nov 12, 2013, 67.52, 66.85, 68.49, 66.62, 269.10K
Nov 11, 2013, 67.02, 67.41, 67.55, 66.60, 180.33K
Nov 08, 2013, 67.11, 66.69, 67.98, 66.50, 267.10K
Nov 07, 2013, 66.84, 67.00, 67.50, 66.10, 319.91K
Nov 06, 2013, 66.83, 65.71, 68.49, 65.71, 460.17K
Nov 05, 2013, 66.59, 64.21, 66.91, 64.21, 435.21K
Nov 03, 2013, 65.68, 64.50, 65.88, 64.50, 136.25K
Nov 01, 2013, 64.90, 63.74, 65.50, 63.70, 900.04K
Oct 31, 2013, 63.81, 62.40, 64.10, 62.33, 231.42K
Oct 30, 2013, 62.78, 63.46, 63.80, 62.50, 326.65K
Oct 29, 2013, 62.58, 63.90, 63.90, 61.55, 238.16K
Oct 28, 2013, 63.09, 64.00, 64.00, 62.80, 116.20K
Oct 25, 2013, 63.70, 64.11, 64.50, 63.11, 237.93K
Oct 24, 2013, 64.72, 64.30, 65.00, 64.20, 685.19K
Oct 23, 2013, 64.35, 64.50, 65.17, 64.10, 288.92K
Oct 22, 2013, 64.55, 64.50, 65.00, 64.36, 179.95K
Oct 21, 2013, 64.31, 65.40, 65.75, 64.10, 462.80K
Oct 18, 2013, 65.29, 64.00, 65.43, 62.66, 838.61K
Oct 17, 2013, 63.33, 61.63, 65.50, 61.63, 615.46K
