date, close, open, high, low, volume
Apr 13, 2009, 18.42, 17.88, 19.55, 17.88, 94.18K
Apr 09, 2009, 18.59, 18.76, 19.26, 17.99, 157.97K
Apr 08, 2009, 18.79, 17.27, 19.16, 17.27, 322.74K
Apr 06, 2009, 18.46, 17.61, 18.65, 17.61, 233.47K
Apr 02, 2009, 17.53, 18.18, 18.47, 16.93, 181.36K
Apr 01, 2009, 17.59, 16.51, 17.88, 16.26, 137.95K
Mar 31, 2009, 16.61, 16.29, 16.80, 15.82, 139.50K
Mar 30, 2009, 15.80, 16.68, 16.68, 15.62, 650.10K
Mar 27, 2009, 16.65, 16.21, 17.19, 16.21, 83.18K
Mar 26, 2009, 16.58, 16.03, 16.80, 15.94, 104.73K
Mar 25, 2009, 16.08, 16.03, 16.21, 15.72, 83.83K
Mar 24, 2009, 16.17, 16.36, 16.41, 15.73, 174.96K
Mar 23, 2009, 15.71, 14.74, 16.41, 14.74, 280.48K
Mar 20, 2009, 14.91, 14.55, 15.13, 14.55, 44.54K
Mar 19, 2009, 14.83, 14.35, 15.50, 14.35, 249.69K
Mar 18, 2009, 14.57, 14.30, 14.93, 14.30, 133.41K
Mar 17, 2009, 14.26, 14.44, 14.74, 14.22, 242.87K
Mar 16, 2009, 14.61, 14.72, 14.74, 14.11, 81.03K
Mar 13, 2009, 14.23, 14.05, 15.13, 14.05, 779.68K
Mar 12, 2009, 14.35, 14.44, 14.91, 14.15, 35.02K
Mar 09, 2009, 14.55, 13.85, 14.63, 13.79, 185.40K
Mar 06, 2009, 13.98, 14.71, 14.71, 13.39, 2.35M
Mar 05, 2009, 14.27, 14.34, 15.00, 13.80, 40.03K
Mar 04, 2009, 14.50, 14.74, 15.19, 14.25, 75.23K
Mar 03, 2009, 14.86, 14.34, 15.13, 14.29, 1.20M
Mar 02, 2009, 14.84, 15.23, 15.57, 14.56, 122.96K
Feb 27, 2009, 15.27, 15.67, 15.67, 15.23, 379.75K
Feb 26, 2009, 15.49, 15.23, 15.92, 15.23, 395.93K
Feb 25, 2009, 15.39, 15.51, 15.51, 14.84, 139.47K
Feb 24, 2009, 14.85, 14.25, 14.93, 13.62, 194.56K
Feb 20, 2009, 14.34, 13.75, 14.50, 13.75, 152.22K
Feb 19, 2009, 13.80, 13.76, 14.04, 13.70, 123.70K
Feb 18, 2009, 13.90, 13.75, 14.15, 13.71, 103.72K
Feb 17, 2009, 13.89, 13.75, 14.11, 13.75, 159.89K
Feb 16, 2009, 13.79, 14.10, 14.52, 13.75, 108.43K
Feb 13, 2009, 14.07, 13.85, 14.49, 13.75, 189.56K
Feb 12, 2009, 13.80, 13.95, 14.50, 13.68, 300.91K
Feb 11, 2009, 14.06, 14.14, 14.54, 13.95, 146.47K
Feb 10, 2009, 14.57, 13.75, 14.61, 13.75, 553.87K
Feb 09, 2009, 13.91, 14.74, 14.98, 13.80, 341.17K
Feb 06, 2009, 14.52, 14.74, 15.17, 14.37, 59.56K
Feb 05, 2009, 14.92, 15.32, 15.32, 14.84, 47.01K
Feb 04, 2009, 15.07, 15.23, 16.13, 14.77, 77.05K
Feb 03, 2009, 15.49, 16.11, 16.56, 15.47, 2.28M
Feb 02, 2009, 16.28, 16.22, 17.09, 16.22, 46.63K
Jan 30, 2009, 16.94, 16.21, 17.27, 15.92, 242.15K
Jan 29, 2009, 16.44, 16.46, 17.19, 16.11, 246.60K
Jan 28, 2009, 16.50, 15.24, 16.50, 15.04, 339.56K
Jan 27, 2009, 15.71, 16.11, 16.11, 15.47, 115.25K
Jan 23, 2009, 16.28, 17.31, 17.31, 16.12, 286.39K
Jan 22, 2009, 16.97, 17.88, 17.98, 16.74, 428.77K
Jan 21, 2009, 17.62, 18.48, 19.13, 17.56, 5.69M
Jan 20, 2009, 18.48, 16.72, 18.48, 16.72, 679.02K
Jan 19, 2009, 17.60, 17.60, 17.60, 17.60, 18.47K
Jan 16, 2009, 18.52, 18.52, 18.52, 18.52, 120.58K
Jan 15, 2009, 19.49, 20.83, 21.02, 19.49, 1.63M
Jan 14, 2009, 20.51, 20.51, 20.51, 20.14, 73.39K
Jan 13, 2009, 19.54, 18.86, 19.54, 18.57, 297.20K
Jan 12, 2009, 18.60, 17.88, 18.65, 17.29, 410.61K
Jan 09, 2009, 17.76, 16.80, 18.17, 16.45, 332.93K
Jan 07, 2009, 17.32, 17.97, 17.97, 16.61, 1.34M
Jan 06, 2009, 17.11, 17.11, 17.11, 16.33, 1.34M
Jan 05, 2009, 16.30, 16.05, 16.30, 15.87, 131.58K
Jan 02, 2009, 15.52, 14.88, 15.52, 14.34, 256.05K
Jan 01, 2009, 14.78, 14.84, 15.32, 14.25, 372.18K
Dec 31, 2008, 14.71, 14.69, 15.21, 13.95, 1.15M
Dec 30, 2008, 14.48, 14.38, 14.48, 13.95, 1.49M
Dec 29, 2008, 13.79, 13.73, 13.79, 13.29, 1.05M
Dec 26, 2008, 13.13, 13.13, 13.13, 13.13, 857.79K
Dec 24, 2008, 12.50, 12.50, 12.50, 11.99, 150.22K
Dec 23, 2008, 11.90, 11.49, 11.90, 11.13, 280.37K
Dec 22, 2008, 11.33, 11.20, 11.44, 10.71, 2.52M
Dec 19, 2008, 10.89, 10.02, 10.89, 10.02, 570.62K
Dec 18, 2008, 10.37, 9.64, 10.41, 9.63, 105.17K
Dec 17, 2008, 9.92, 10.22, 10.88, 9.92, 373.91K
Dec 16, 2008, 10.44, 10.22, 10.93, 10.22, 5.34M
Dec 15, 2008, 10.61, 10.31, 10.92, 10.31, 472.63K
Dec 12, 2008, 10.40, 10.07, 10.81, 10.07, 386.77K
Dec 11, 2008, 10.58, 10.81, 10.81, 10.34, 279.19K
Dec 10, 2008, 10.74, 10.81, 10.81, 10.32, 3.66M
Dec 08, 2008, 10.30, 10.30, 10.30, 10.30, 74.28K
Dec 05, 2008, 9.80, 9.24, 9.80, 9.24, 307.52K
Dec 04, 2008, 9.34, 8.94, 9.46, 8.94, 3.23M
Dec 03, 2008, 9.00, 8.66, 9.24, 8.66, 38.76M
Dec 02, 2008, 8.92, 9.15, 9.15, 8.68, 136.03K
Dec 01, 2008, 9.14, 9.33, 9.86, 8.93, 1.72M
Nov 28, 2008, 9.39, 9.53, 9.70, 9.19, 1.92M
Nov 26, 2008, 9.67, 9.70, 10.11, 9.67, 444.05K
Nov 25, 2008, 10.17, 10.66, 11.05, 10.17, 1.86M
Nov 24, 2008, 10.71, 10.82, 11.28, 10.67, 995.34K
Nov 21, 2008, 11.18, 10.99, 11.59, 10.99, 506.34K
Nov 20, 2008, 11.57, 11.16, 11.59, 11.14, 487.99K
Nov 19, 2008, 11.73, 12.08, 12.08, 11.58, 1.12M
Nov 18, 2008, 12.19, 12.19, 12.76, 12.18, 80.36K
Nov 17, 2008, 12.82, 12.87, 13.46, 12.78, 212.69K
Nov 14, 2008, 13.45, 13.95, 14.24, 13.26, 305.44K
Nov 12, 2008, 13.81, 13.36, 14.34, 13.36, 895.98K
Nov 11, 2008, 13.76, 12.97, 13.76, 12.97, 99.36K
Nov 10, 2008, 13.10, 12.78, 13.22, 12.78, 422.06K
