date, close, open, high, low, volume
Apr 17, 2004, 74.78, 74.03, 75.33, 73.80, 1.08M
Apr 16, 2004, 73.90, 74.78, 75.00, 73.27, 3.21M
Apr 15, 2004, 74.61, 75.69, 75.69, 74.19, 4.22M
Apr 13, 2004, 75.56, 74.03, 75.84, 72.11, 4.21M
Apr 12, 2004, 73.87, 76.14, 76.20, 73.27, 3.00M
Apr 08, 2004, 75.11, 74.78, 75.57, 74.33, 5.18M
Apr 07, 2004, 74.56, 74.01, 75.22, 73.01, 4.38M
Apr 06, 2004, 73.23, 74.76, 75.05, 72.53, 3.47M
Apr 05, 2004, 74.32, 74.78, 76.19, 74.01, 6.62M
Apr 02, 2004, 74.59, 74.78, 75.54, 73.20, 8.31M
Apr 01, 2004, 74.18, 72.82, 74.78, 72.70, 4.45M
Mar 31, 2004, 72.40, 71.91, 73.10, 71.31, 5.38M
Mar 30, 2004, 72.25, 71.80, 74.28, 71.65, 4.91M
Mar 29, 2004, 71.53, 71.31, 72.50, 70.64, 1.90M
Mar 26, 2004, 71.06, 66.77, 71.87, 66.71, 7.78M
Mar 25, 2004, 66.07, 66.47, 67.08, 65.35, 7.05M
Mar 24, 2004, 66.02, 67.68, 67.68, 65.43, 4.00M
Mar 23, 2004, 67.53, 65.11, 68.59, 65.11, 3.65M
Mar 22, 2004, 66.00, 67.23, 67.50, 65.72, 2.73M
Mar 19, 2004, 67.11, 67.76, 68.18, 66.53, 5.24M
Mar 18, 2004, 67.37, 70.01, 70.01, 66.93, 5.18M
Mar 17, 2004, 70.01, 70.54, 70.78, 68.89, 4.76M
Mar 16, 2004, 70.14, 69.49, 71.46, 68.74, 4.48M
Mar 15, 2004, 69.71, 72.36, 72.96, 69.08, 7.07M
Mar 12, 2004, 71.39, 69.95, 71.91, 68.75, 9.29M
Mar 11, 2004, 70.37, 72.97, 73.27, 69.77, 7.92M
Mar 10, 2004, 73.60, 74.03, 75.54, 72.36, 10.57M
Mar 09, 2004, 74.11, 76.29, 76.29, 72.91, 7.37M
Mar 08, 2004, 76.00, 76.43, 78.41, 75.23, 17.81M
Mar 05, 2004, 75.66, 73.12, 75.91, 72.82, 7.15M
Mar 04, 2004, 72.57, 74.33, 74.58, 71.62, 3.13M
Mar 03, 2004, 73.98, 74.07, 74.77, 72.51, 3.96M
Mar 01, 2004, 74.23, 70.25, 74.55, 70.10, 5.68M
Feb 27, 2004, 69.52, 67.68, 70.25, 67.68, 6.23M
Feb 26, 2004, 66.71, 67.23, 67.98, 65.75, 3.73M
Feb 25, 2004, 66.66, 68.44, 68.57, 66.26, 3.13M
Feb 24, 2004, 68.40, 66.41, 69.04, 65.26, 3.91M
Feb 23, 2004, 67.36, 71.00, 71.00, 67.00, 2.83M
Feb 20, 2004, 70.52, 71.50, 71.87, 67.98, 3.77M
Feb 19, 2004, 71.67, 73.72, 74.01, 70.40, 5.64M
