date, close, open, high, low, volume
Feb 13, 1998, 25.61, 25.68, 26.29, 25.38, 146.40K
Feb 12, 1998, 25.63, 26.08, 26.08, 25.61, 62.40K
Feb 11, 1998, 26.44, 26.76, 26.76, 26.21, 92.40K
Feb 10, 1998, 26.17, 26.51, 26.51, 26.06, 110.40K
Feb 09, 1998, 26.63, 27.04, 27.04, 26.44, 73.20K
Feb 06, 1998, 26.59, 27.12, 27.16, 26.48, 69.60K
Feb 05, 1998, 27.34, 26.66, 27.47, 26.44, 580.80K
Feb 04, 1998, 26.44, 26.44, 27.34, 25.99, 550.80K
Feb 03, 1998, 25.64, 26.14, 26.14, 25.57, 140.40K
Feb 02, 1998, 25.95, 26.06, 26.29, 25.95, 36.00K
Jan 30, 1998, 25.81, 26.25, 26.42, 25.68, 190.80K
Jan 29, 1998, 26.36, 26.59, 26.82, 26.07, 10.80K
Jan 28, 1998, 26.45, 27.19, 27.34, 26.29, 196.80K
Jan 27, 1998, 27.43, 27.95, 28.02, 27.19, 28.80K
Jan 23, 1998, 28.44, 28.70, 28.78, 28.44, 9.60K
Jan 22, 1998, 28.48, 29.08, 29.08, 28.48, 304.80K
Jan 21, 1998, 29.31, 29.84, 29.84, 29.23, 19.20K
Jan 20, 1998, 29.24, 30.21, 30.21, 28.78, 373.20K
Jan 19, 1998, 30.21, 30.21, 30.21, 30.21, 18.00K
Jan 16, 1998, 29.69, 29.69, 29.69, 29.69, 1.20K
Jan 15, 1998, 30.21, 29.84, 30.21, 29.84, 22.80K
Jan 14, 1998, 30.44, 30.59, 30.66, 30.44, 115.20K
Jan 13, 1998, 30.52, 30.29, 30.67, 30.03, 25.20K
Jan 12, 1998, 30.34, 30.52, 30.52, 30.14, 25.20K
Jan 09, 1998, 30.76, 30.97, 31.65, 30.59, 610.80K
Jan 08, 1998, 31.46, 32.41, 32.41, 31.46, 10.80K
Jan 07, 1998, 32.62, 33.16, 33.16, 32.37, 914.40K
Jan 06, 1998, 31.92, 33.46, 33.46, 31.73, 27.60K
Jan 05, 1998, 32.93, 33.23, 33.24, 32.64, 98.40K
Jan 02, 1998, 32.68, 31.73, 33.65, 31.59, 715.20K
Jan 01, 1998, 31.50, 31.57, 31.57, 31.50, 2.40K
Dec 31, 1997, 31.73, 30.37, 31.73, 30.37, 144.00K
Dec 30, 1997, 30.16, 30.07, 30.21, 30.07, 13.20K
Dec 29, 1997, 30.74, 30.18, 30.97, 29.91, 246.00K
Dec 26, 1997, 30.10, 30.06, 30.21, 30.06, 81.60K
Dec 24, 1997, 30.18, 29.08, 30.21, 29.08, 26.40K
Dec 23, 1997, 29.27, 30.37, 30.37, 29.16, 370.80K
Dec 22, 1997, 29.57, 29.08, 29.69, 29.08, 9.60K
Dec 19, 1997, 28.53, 27.65, 29.46, 27.57, 678.00K
Dec 18, 1997, 27.57, 27.57, 28.17, 27.57, 420.00K
Dec 17, 1997, 27.79, 27.57, 27.79, 27.08, 260.40K
Dec 16, 1997, 26.51, 27.16, 27.16, 26.51, 8.40K
Dec 15, 1997, 27.19, 27.34, 27.34, 27.08, 6.00K
Dec 12, 1997, 27.65, 28.04, 28.04, 27.57, 120.00K
Dec 11, 1997, 27.85, 28.25, 28.33, 27.20, 22.80K
Dec 10, 1997, 28.37, 28.10, 28.39, 28.02, 100.80K
Dec 09, 1997, 28.64, 29.75, 29.84, 28.48, 201.60K
Dec 08, 1997, 29.67, 30.06, 30.06, 29.46, 394.80K
Dec 05, 1997, 30.21, 30.24, 30.40, 30.21, 7.20K
Dec 04, 1997, 30.86, 30.86, 30.86, 30.86, 1.20K
Dec 03, 1997, 31.27, 31.52, 31.52, 31.27, 612.00K
Dec 02, 1997, 31.50, 32.03, 32.03, 31.43, 135.60K
Dec 01, 1997, 32.26, 31.73, 32.39, 31.58, 44.40K
Nov 28, 1997, 32.18, 31.20, 32.48, 31.20, 408.00K
Nov 27, 1997, 31.35, 31.73, 31.80, 31.35, 2.35M
Nov 26, 1997, 31.73, 32.18, 32.25, 31.73, 14.40K
Nov 25, 1997, 31.98, 31.73, 32.25, 31.73, 36.00K
Nov 24, 1997, 32.08, 31.01, 32.11, 31.01, 379.20K
Nov 21, 1997, 31.32, 31.12, 31.42, 31.12, 712.80K
Nov 20, 1997, 31.20, 30.89, 31.70, 30.89, 195.60K
Nov 19, 1997, 30.74, 30.37, 31.35, 30.37, 229.20K
Nov 18, 1997, 30.67, 30.37, 30.97, 30.22, 38.40K
Nov 17, 1997, 30.67, 30.59, 30.67, 30.52, 36.00K
Nov 13, 1997, 30.58, 30.21, 30.89, 29.91, 681.60K
Nov 12, 1997, 31.12, 31.65, 31.65, 30.68, 229.20K
Nov 11, 1997, 31.72, 31.99, 32.03, 31.72, 516.00K
Nov 10, 1997, 32.48, 31.19, 32.78, 31.19, 355.20K
Nov 07, 1997, 31.12, 31.09, 31.34, 29.46, 37.20K
Nov 06, 1997, 31.28, 31.35, 31.69, 31.26, 242.40K
Nov 05, 1997, 31.88, 32.10, 32.10, 31.88, 7.20K
Nov 04, 1997, 32.29, 32.25, 32.48, 32.14, 555.60K
Nov 03, 1997, 32.48, 32.48, 32.48, 32.01, 152.40K
Oct 30, 1997, 32.48, 32.60, 32.60, 32.48, 6.00K
Oct 29, 1997, 32.52, 32.10, 33.16, 31.76, 194.40K
Oct 28, 1997, 31.03, 31.80, 32.10, 31.03, 13.20K
Oct 27, 1997, 33.24, 33.97, 33.97, 33.16, 18.00K
Oct 24, 1997, 33.90, 33.84, 34.07, 33.39, 42.00K
Oct 23, 1997, 34.22, 34.22, 34.26, 33.72, 1.35M
Oct 22, 1997, 34.16, 33.99, 34.36, 33.99, 86.40K
Oct 21, 1997, 34.10, 33.99, 34.17, 33.81, 128.40K
Oct 20, 1997, 34.14, 34.52, 34.75, 34.14, 2.11M
Oct 17, 1997, 34.40, 34.73, 34.78, 34.29, 33.60K
Oct 16, 1997, 34.47, 34.72, 34.90, 34.37, 70.80K
Oct 15, 1997, 34.30, 34.22, 34.44, 33.97, 1.20M
Oct 14, 1997, 34.22, 33.76, 34.29, 33.69, 457.20K
Oct 13, 1997, 33.80, 34.12, 34.12, 33.73, 10.80K
Oct 10, 1997, 34.14, 35.28, 35.28, 34.07, 124.80K
Oct 09, 1997, 34.39, 34.03, 34.52, 33.99, 164.40K
Oct 01, 1997, 33.86, 33.39, 34.44, 33.14, 159.60K
Sep 30, 1997, 35.62, 33.99, 35.80, 32.87, 496.80K
Sep 29, 1997, 33.78, 33.59, 35.50, 33.24, 85.20K
Sep 26, 1997, 33.61, 33.46, 33.61, 33.24, 69.60K
Sep 25, 1997, 32.93, 33.69, 33.69, 32.90, 3.60K
Sep 24, 1997, 33.61, 33.46, 33.61, 33.46, 37.20K
Sep 23, 1997, 33.41, 32.86, 33.99, 32.86, 259.20K
Sep 22, 1997, 32.93, 33.03, 33.03, 32.86, 12.00K
Sep 19, 1997, 33.61, 33.84, 33.92, 33.61, 7.20K
Sep 18, 1997, 33.57, 33.62, 33.71, 31.96, 288.00K
Sep 17, 1997, 34.00, 33.99, 34.18, 33.84, 315.60K
Sep 16, 1997, 33.69, 34.37, 35.50, 33.32, 164.40K
Sep 15, 1997, 33.96, 33.73, 33.99, 33.61, 246.00K
Sep 12, 1997, 34.04, 33.99, 34.14, 33.71, 529.20K
Sep 11, 1997, 34.12, 32.90, 34.37, 32.75, 213.60K
Sep 10, 1997, 32.81, 32.25, 32.86, 32.25, 27.60K
Sep 09, 1997, 31.99, 32.63, 32.86, 31.73, 70.80K
Sep 08, 1997, 32.75, 33.08, 33.08, 32.58, 26.40K
Sep 05, 1997, 33.39, 33.61, 33.69, 33.39, 907.20K
Sep 04, 1997, 33.73, 34.14, 34.14, 33.24, 1.53M
Sep 03, 1997, 34.32, 34.60, 34.75, 34.16, 639.60K
Sep 02, 1997, 33.95, 33.61, 34.67, 33.61, 181.20K
Sep 01, 1997, 32.76, 32.25, 32.76, 32.25, 12.00K
Aug 29, 1997, 32.66, 33.32, 33.61, 32.63, 56.40K
Aug 28, 1997, 33.39, 34.07, 34.52, 33.32, 132.00K
Aug 27, 1997, 34.10, 33.61, 34.37, 33.61, 297.60K
Aug 26, 1997, 32.78, 32.86, 33.08, 32.10, 78.00K
Aug 25, 1997, 32.86, 33.31, 33.31, 32.86, 4.80K
Aug 22, 1997, 32.92, 33.76, 33.86, 32.86, 520.80K
Aug 21, 1997, 33.97, 34.37, 34.75, 33.47, 30.00K
Aug 20, 1997, 35.01, 34.07, 35.01, 34.00, 43.20K
Aug 19, 1997, 33.56, 34.09, 34.10, 33.33, 139.20K
Aug 18, 1997, 34.37, 34.05, 34.37, 34.05, 3.60K
Aug 14, 1997, 34.60, 35.09, 35.12, 34.14, 349.20K
