date, close, open, high, low, volume
Sep 03, 1999, 20.12, 19.49, 20.58, 19.41, 1.75M
Sep 02, 1999, 19.78, 20.48, 20.77, 19.64, 1.12M
Sep 01, 1999, 20.78, 20.61, 21.38, 20.39, 1.41M
Aug 31, 1999, 20.67, 19.73, 21.07, 19.73, 1.30M
Aug 30, 1999, 20.06, 20.77, 20.85, 19.87, 1.43M
Aug 27, 1999, 21.03, 21.15, 21.83, 20.81, 1.19M
Aug 26, 1999, 20.81, 19.79, 20.95, 19.64, 3.52M
Aug 25, 1999, 19.39, 20.00, 20.02, 19.07, 2.62M
Aug 24, 1999, 19.84, 19.79, 19.94, 19.34, 1.10M
Aug 23, 1999, 19.83, 20.00, 20.02, 19.34, 2.01M
Aug 20, 1999, 19.55, 18.88, 19.69, 18.58, 2.44M
Aug 19, 1999, 18.58, 18.73, 19.41, 18.05, 4.69M
Aug 18, 1999, 18.47, 17.37, 18.53, 17.23, 5.83M
Aug 17, 1999, 17.15, 16.99, 17.22, 16.88, 1.29M
Aug 16, 1999, 16.91, 16.77, 17.03, 16.66, 1.61M
Aug 13, 1999, 16.59, 16.50, 16.72, 16.41, 1.11M
Aug 12, 1999, 16.61, 17.06, 17.30, 16.47, 2.59M
Aug 11, 1999, 16.97, 17.30, 17.56, 16.88, 3.16M
Aug 10, 1999, 18.23, 17.77, 18.47, 17.77, 1.33M
Aug 09, 1999, 17.94, 17.21, 18.34, 16.94, 4.11M
Aug 06, 1999, 16.98, 17.24, 17.37, 16.92, 1.67M
Aug 05, 1999, 17.40, 17.45, 18.04, 17.09, 3.34M
Aug 04, 1999, 17.27, 17.52, 17.69, 17.00, 2.84M
Aug 03, 1999, 16.86, 18.28, 18.28, 16.69, 2.34M
Aug 02, 1999, 18.06, 19.41, 19.41, 18.06, 1.51M
Jul 30, 1999, 19.63, 20.02, 20.20, 19.53, 727.86K
Jul 29, 1999, 20.12, 20.68, 20.68, 20.02, 1.10M
Jul 28, 1999, 20.42, 19.92, 20.56, 19.87, 2.52M
Jul 27, 1999, 19.03, 20.62, 20.62, 18.97, 1.85M
Jul 26, 1999, 20.62, 21.15, 21.88, 20.25, 859.10K
Jul 23, 1999, 21.03, 22.28, 22.28, 20.77, 852.02K
Jul 22, 1999, 21.73, 21.83, 22.46, 21.53, 1.26M
Jul 21, 1999, 21.26, 21.14, 21.53, 20.86, 837.67K
Jul 20, 1999, 20.75, 21.99, 22.10, 20.59, 1.29M
Jul 19, 1999, 22.26, 22.51, 22.81, 22.13, 1.01M
Jul 16, 1999, 22.20, 22.62, 22.81, 21.91, 1.58M
Jul 15, 1999, 22.03, 23.32, 24.70, 21.53, 2.00M
Jul 14, 1999, 22.92, 22.51, 23.32, 22.13, 3.08M
Jul 13, 1999, 21.59, 20.89, 21.91, 20.70, 3.28M
Jul 12, 1999, 20.50, 19.64, 20.83, 19.63, 4.33M
Jul 09, 1999, 19.29, 19.41, 19.94, 19.19, 851.42K
Jul 08, 1999, 19.45, 19.79, 19.85, 19.43, 665.20K
Jul 07, 1999, 19.76, 20.39, 20.86, 19.65, 3.27M
Jul 06, 1999, 19.58, 19.26, 20.39, 19.22, 1.07M
Jul 05, 1999, 19.04, 19.25, 19.26, 18.98, 1.04M
Jul 02, 1999, 18.84, 19.25, 19.25, 18.62, 454.66K
Jul 01, 1999, 19.09, 19.49, 19.54, 19.02, 530.99K
Jun 30, 1999, 19.47, 19.34, 19.64, 19.13, 391.40K
Jun 29, 1999, 19.32, 19.75, 19.75, 19.05, 450.54K
Jun 28, 1999, 19.57, 19.72, 20.01, 19.49, 421.55K
