date, close, open, high, low, volume
Apr 13, 2009, 304.51, 307.13, 311.95, 299.56, 6.53M
Apr 09, 2009, 305.78, 306.67, 316.77, 303.00, 7.43M
Apr 08, 2009, 304.05, 296.11, 308.51, 286.63, 12.97M
Apr 06, 2009, 302.88, 296.34, 308.28, 294.76, 8.88M
Apr 02, 2009, 293.22, 286.93, 298.18, 284.93, 9.94M
Apr 01, 2009, 282.27, 287.57, 287.57, 272.70, 17.32M
Mar 31, 2009, 287.28, 283.92, 292.67, 281.77, 11.53M
Mar 30, 2009, 279.88, 267.49, 283.90, 267.49, 6.84M
Mar 27, 2009, 285.48, 286.98, 291.91, 279.59, 8.96M
Mar 26, 2009, 285.48, 271.78, 286.93, 267.95, 15.19M
Mar 25, 2009, 271.32, 273.16, 278.67, 267.28, 10.35M
Mar 24, 2009, 277.15, 275.43, 285.42, 273.48, 9.99M
Mar 23, 2009, 272.33, 262.60, 275.45, 260.95, 12.42M
Mar 20, 2009, 261.41, 261.68, 263.06, 253.88, 8.70M
Mar 19, 2009, 262.00, 263.63, 264.39, 259.27, 7.20M
Mar 18, 2009, 261.57, 263.86, 265.68, 255.71, 20.29M
Mar 17, 2009, 262.39, 263.98, 268.48, 259.16, 9.21M
Mar 16, 2009, 262.28, 258.01, 264.80, 256.86, 13.62M
Mar 13, 2009, 256.01, 256.49, 261.64, 250.23, 32.06M
Mar 12, 2009, 251.79, 286.33, 286.33, 248.41, 32.40M
Mar 09, 2009, 269.83, 270.95, 275.78, 267.21, 4.73M
Mar 06, 2009, 276.49, 267.65, 277.98, 261.70, 7.20M
Mar 05, 2009, 270.75, 278.67, 278.67, 263.98, 9.43M
Mar 04, 2009, 275.75, 277.29, 278.67, 270.45, 7.51M
Mar 03, 2009, 275.98, 286.86, 286.86, 272.86, 10.73M
Mar 02, 2009, 283.17, 290.47, 290.47, 280.96, 8.08M
Feb 27, 2009, 293.13, 297.35, 297.35, 286.95, 7.11M
Feb 26, 2009, 299.42, 294.74, 303.00, 289.85, 8.63M
Feb 25, 2009, 294.16, 294.74, 303.00, 292.14, 7.64M
Feb 24, 2009, 292.28, 289.69, 294.74, 287.85, 3.95M
Feb 20, 2009, 295.06, 289.69, 299.07, 289.69, 4.18M
Feb 19, 2009, 297.70, 292.53, 298.91, 292.10, 5.03M
Feb 18, 2009, 294.21, 288.31, 299.19, 287.62, 5.73M
Feb 17, 2009, 290.44, 288.31, 292.53, 286.47, 9.63M
Feb 16, 2009, 292.78, 299.21, 299.21, 288.35, 7.19M
Feb 13, 2009, 299.21, 302.45, 305.29, 295.45, 7.25M
Feb 12, 2009, 298.80, 307.59, 309.66, 296.11, 6.29M
Feb 11, 2009, 309.17, 298.48, 311.72, 296.11, 4.90M
Feb 10, 2009, 304.63, 304.28, 306.21, 297.54, 6.15M
Feb 09, 2009, 305.64, 297.90, 307.13, 293.45, 4.01M
Feb 06, 2009, 297.05, 291.52, 298.13, 290.19, 4.52M
Feb 05, 2009, 288.61, 296.57, 296.57, 283.72, 4.94M
Feb 04, 2009, 291.20, 290.63, 293.82, 287.48, 6.46M
Feb 03, 2009, 286.93, 286.01, 292.42, 281.79, 5.77M
Feb 02, 2009, 282.71, 289.09, 289.09, 278.69, 7.29M
Jan 30, 2009, 291.04, 284.64, 291.98, 281.05, 7.06M
Jan 29, 2009, 288.03, 305.29, 305.29, 284.77, 13.76M
Jan 28, 2009, 299.40, 299.14, 303.00, 291.61, 11.45M
