date, close, open, high, low, volume
Apr 13, 2009, 227.10, 229.50, 234.40, 225.45, 589.34K
Apr 09, 2009, 227.20, 233.50, 235.75, 225.10, 694.67K
Apr 08, 2009, 232.35, 217.00, 235.90, 216.00, 1.59M
Apr 06, 2009, 221.30, 226.00, 229.80, 219.00, 1.68M
Apr 02, 2009, 225.20, 219.50, 227.00, 219.50, 1.47M
Apr 01, 2009, 218.85, 218.50, 220.10, 215.05, 1.08M
Mar 31, 2009, 220.05, 220.00, 223.00, 217.05, 1.43M
Mar 30, 2009, 217.40, 214.05, 223.90, 213.65, 1.28M
Mar 27, 2009, 219.40, 209.75, 222.00, 208.60, 2.23M
Mar 26, 2009, 208.50, 203.60, 210.00, 203.00, 1.72M
Mar 25, 2009, 203.55, 203.00, 206.90, 201.25, 1.25M
Mar 24, 2009, 203.30, 201.00, 205.00, 200.10, 1.08M
Mar 23, 2009, 201.70, 198.00, 203.75, 198.00, 1.11M
Mar 20, 2009, 197.65, 197.00, 200.00, 195.15, 978.15K
Mar 19, 2009, 197.00, 200.10, 200.10, 194.80, 727.59K
Mar 18, 2009, 199.70, 201.00, 204.45, 198.20, 525.08K
Mar 17, 2009, 200.60, 202.00, 203.50, 199.25, 758.15K
Mar 16, 2009, 201.70, 203.00, 205.00, 200.55, 837.40K
Mar 13, 2009, 202.95, 204.00, 209.75, 200.00, 2.27M
Mar 12, 2009, 203.75, 202.50, 205.90, 199.60, 910.37K
Mar 09, 2009, 202.30, 202.50, 204.30, 200.00, 603.62K
Mar 06, 2009, 203.65, 201.00, 205.00, 198.10, 839.00K
Mar 05, 2009, 201.60, 203.00, 206.40, 199.00, 2.25M
Mar 04, 2009, 202.55, 192.25, 204.45, 191.15, 1.37M
Mar 03, 2009, 192.50, 190.25, 195.00, 190.00, 540.07K
Mar 02, 2009, 191.00, 188.00, 193.50, 186.50, 955.45K
Feb 27, 2009, 191.50, 193.05, 195.50, 187.80, 768.97K
Feb 26, 2009, 192.55, 186.00, 194.90, 185.75, 895.21K
Feb 25, 2009, 187.00, 186.50, 188.30, 185.50, 780.99K
Feb 24, 2009, 186.00, 188.00, 188.00, 185.15, 540.97K
Feb 20, 2009, 188.35, 192.00, 192.40, 187.00, 375.27K
Feb 19, 2009, 192.00, 193.00, 194.45, 190.80, 515.18K
Feb 18, 2009, 192.35, 189.55, 193.40, 189.25, 1.05M
Feb 17, 2009, 189.55, 189.00, 190.55, 186.35, 1.35M
Feb 16, 2009, 189.95, 191.80, 191.90, 188.30, 953.70K
Feb 13, 2009, 191.75, 191.00, 193.90, 190.35, 943.00K
Feb 12, 2009, 191.00, 193.00, 193.10, 190.00, 247.39K
Feb 11, 2009, 192.35, 194.00, 195.00, 191.45, 1.98M
Feb 10, 2009, 194.70, 192.50, 195.85, 191.00, 1.38M
Feb 09, 2009, 192.35, 191.75, 193.50, 188.65, 1.02M
Feb 06, 2009, 191.20, 194.50, 194.90, 190.40, 1.34M
Feb 05, 2009, 194.00, 195.25, 196.40, 192.60, 4.31M
Feb 04, 2009, 195.05, 192.00, 196.50, 190.50, 1.68M
Feb 03, 2009, 192.40, 192.05, 196.00, 191.20, 784.18K
Feb 02, 2009, 192.05, 192.00, 194.00, 189.00, 2.25M
Jan 30, 2009, 191.95, 190.70, 196.70, 188.60, 1.44M
Jan 29, 2009, 191.00, 194.00, 196.50, 190.00, 1.06M
Jan 28, 2009, 194.20, 191.00, 195.00, 190.05, 734.56K
Jan 27, 2009, 191.10, 190.00, 192.50, 188.00, 2.26M
Jan 23, 2009, 186.05, 174.00, 191.65, 174.00, 3.32M
Jan 22, 2009, 172.85, 179.00, 182.00, 171.35, 1.18M
Jan 21, 2009, 180.05, 177.00, 181.50, 175.15, 571.15K
Jan 20, 2009, 177.65, 180.00, 180.00, 175.60, 502.79K
Jan 19, 2009, 180.25, 184.00, 185.00, 179.10, 497.99K
Jan 16, 2009, 183.20, 183.00, 184.85, 180.50, 354.22K
Jan 15, 2009, 181.95, 187.50, 187.50, 180.55, 1.17M
Jan 14, 2009, 187.95, 185.00, 189.50, 184.10, 854.61K
Jan 13, 2009, 185.35, 185.00, 189.65, 184.00, 901.71K
Jan 12, 2009, 187.10, 185.05, 189.90, 183.00, 1.45M
Jan 09, 2009, 188.85, 182.50, 191.45, 182.50, 2.17M
Jan 07, 2009, 185.90, 194.00, 195.95, 181.10, 1.05M
Jan 06, 2009, 192.95, 191.00, 195.95, 189.10, 1.45M
Jan 05, 2009, 190.95, 194.80, 195.70, 187.15, 769.89K
Jan 02, 2009, 191.60, 194.00, 196.10, 190.50, 699.93K
Jan 01, 2009, 192.95, 187.00, 194.80, 180.10, 646.23K
Dec 31, 2008, 186.60, 184.10, 188.10, 182.50, 431.72K
Dec 30, 2008, 183.90, 182.50, 185.85, 181.00, 1.01M
Dec 29, 2008, 184.00, 184.00, 184.95, 180.35, 1.32M
Dec 26, 2008, 181.95, 182.00, 185.50, 178.35, 569.72K
Dec 24, 2008, 181.05, 182.10, 182.95, 178.10, 3.34M
Dec 23, 2008, 182.00, 183.00, 187.00, 181.55, 1.29M
Dec 22, 2008, 185.05, 193.00, 193.35, 182.00, 1.34M
Dec 19, 2008, 192.95, 188.40, 195.95, 188.40, 1.86M
Dec 18, 2008, 189.55, 183.00, 193.00, 183.00, 1.26M
Dec 17, 2008, 184.00, 185.00, 187.00, 181.55, 672.66K
Dec 16, 2008, 184.25, 180.00, 185.45, 177.10, 1.38M
Dec 15, 2008, 179.80, 178.00, 181.90, 175.10, 1.59M
Dec 12, 2008, 174.95, 180.00, 180.00, 174.35, 1.94M
Dec 11, 2008, 181.10, 186.00, 187.00, 179.50, 1.83M
Dec 10, 2008, 189.00, 187.05, 190.80, 186.50, 1.08M
