date, close, open, high, low, volume
Apr 17, 2004, 99.27, 98.00, 99.84, 92.40, 207.94K
Apr 16, 2004, 97.86, 97.21, 98.00, 97.21, 429.03K
Apr 15, 2004, 97.85, 97.60, 98.40, 96.40, 620.09K
Apr 13, 2004, 96.73, 96.00, 97.20, 95.04, 531.80K
Apr 12, 2004, 95.92, 95.20, 96.00, 94.73, 502.64K
Apr 08, 2004, 94.28, 94.80, 95.59, 93.36, 747.33K
Apr 07, 2004, 94.81, 96.00, 96.72, 93.71, 553.23K
Apr 06, 2004, 95.34, 95.13, 99.36, 94.01, 1.59M
Apr 05, 2004, 94.77, 96.40, 96.40, 92.20, 511.78K
Apr 02, 2004, 94.84, 94.00, 96.16, 93.62, 875.09K
Apr 01, 2004, 93.82, 93.84, 94.00, 91.20, 906.54K
Mar 31, 2004, 93.91, 92.00, 94.80, 91.20, 641.95K
Mar 30, 2004, 91.31, 92.00, 92.24, 90.80, 308.30K
Mar 29, 2004, 91.70, 92.76, 92.80, 90.80, 449.03K
Mar 26, 2004, 90.83, 93.20, 93.20, 89.61, 919.41K
Mar 25, 2004, 90.02, 94.40, 94.40, 89.61, 1.95M
Mar 24, 2004, 93.88, 93.12, 94.72, 93.12, 723.56K
Mar 23, 2004, 92.51, 91.68, 93.44, 90.89, 715.75K
Mar 22, 2004, 91.61, 89.68, 92.48, 87.20, 1.31M
Mar 19, 2004, 88.66, 90.40, 90.40, 87.60, 1.07M
Mar 18, 2004, 90.92, 98.40, 98.40, 88.96, 1.61M
Mar 17, 2004, 95.14, 98.00, 98.24, 92.12, 838.43K
Mar 16, 2004, 94.77, 96.16, 96.16, 93.20, 531.60K
Mar 15, 2004, 96.29, 103.20, 103.20, 95.04, 426.70K
Mar 12, 2004, 97.54, 97.60, 97.91, 96.40, 556.39K
Mar 11, 2004, 97.99, 98.00, 98.44, 97.31, 623.54K
Mar 10, 2004, 98.74, 99.59, 100.00, 97.60, 600.61K
Mar 09, 2004, 99.11, 99.60, 100.16, 97.20, 792.23K
Mar 08, 2004, 99.48, 102.40, 102.40, 97.60, 576.85K
Mar 05, 2004, 98.85, 98.40, 99.60, 97.24, 1.15M
Mar 04, 2004, 98.45, 98.80, 100.00, 96.80, 897.29K
Mar 03, 2004, 99.50, 97.60, 101.28, 97.60, 1.68M
Mar 01, 2004, 96.25, 94.84, 97.52, 92.13, 1.11M
Feb 27, 2004, 95.73, 96.64, 97.60, 95.20, 679.26K
Feb 26, 2004, 95.32, 99.76, 100.24, 94.56, 1.20M
Feb 25, 2004, 99.30, 94.80, 99.84, 94.80, 1.70M
Feb 24, 2004, 95.30, 94.40, 95.60, 93.68, 757.96K
Feb 23, 2004, 95.59, 94.40, 96.78, 94.40, 757.49K
Feb 20, 2004, 95.95, 95.69, 96.40, 94.80, 1.23M
Feb 19, 2004, 96.40, 97.52, 98.64, 95.20, 1.58M
Feb 18, 2004, 97.60, 96.00, 98.52, 96.00, 214.96K
Feb 17, 2004, 97.62, 98.23, 99.51, 97.44, 581.64K
Feb 16, 2004, 97.71, 98.02, 99.36, 97.21, 717.66K
Feb 13, 2004, 97.45, 94.40, 98.00, 94.00, 1.01M
Feb 12, 2004, 94.13, 95.04, 95.12, 93.49, 429.78K
Feb 11, 2004, 93.82, 95.20, 95.20, 92.90, 418.03K
Feb 10, 2004, 93.89, 92.48, 95.36, 92.48, 1.07M
Feb 09, 2004, 93.22, 91.91, 95.60, 91.60, 1.01M
Feb 06, 2004, 91.89, 90.88, 92.90, 90.40, 765.51K
Feb 05, 2004, 92.10, 92.00, 93.52, 91.20, 1.60M
Feb 04, 2004, 91.84, 91.20, 92.79, 90.00, 1.13M
Feb 03, 2004, 91.39, 96.48, 96.64, 90.00, 1.30M
Jan 30, 2004, 96.19, 98.32, 99.36, 95.34, 1.43M
Jan 29, 2004, 97.75, 102.00, 102.88, 94.16, 1.53M
Jan 28, 2004, 102.16, 102.38, 103.09, 101.12, 3.29M
Jan 27, 2004, 102.40, 105.20, 105.60, 101.84, 1.79M
Jan 23, 2004, 103.63, 100.00, 104.32, 94.40, 1.35M
Jan 22, 2004, 101.77, 105.59, 105.59, 99.60, 1.09M
Jan 21, 2004, 103.58, 105.20, 107.12, 102.00, 1.13M
Jan 20, 2004, 105.61, 108.80, 109.51, 104.50, 913.24K
Jan 19, 2004, 108.46, 106.00, 110.32, 104.24, 1.26M
Jan 16, 2004, 106.06, 106.04, 107.12, 104.00, 1.40M
Jan 15, 2004, 107.14, 108.40, 108.40, 106.00, 1.68M
Jan 14, 2004, 108.30, 109.92, 110.08, 106.97, 1.03M
Jan 13, 2004, 108.75, 106.00, 109.12, 105.60, 899.38K
Jan 12, 2004, 106.97, 109.68, 109.84, 105.76, 1.21M
Jan 09, 2004, 109.56, 108.00, 110.80, 106.81, 2.51M
Jan 08, 2004, 106.50, 105.20, 107.04, 104.90, 1.69M
Jan 07, 2004, 104.86, 106.80, 106.80, 103.84, 1.23M
Jan 06, 2004, 106.54, 108.00, 109.52, 104.80, 1.54M
Jan 05, 2004, 108.07, 112.72, 112.80, 104.00, 2.06M
Jan 02, 2004, 111.56, 107.68, 112.22, 107.68, 3.12M
Jan 01, 2004, 108.04, 106.72, 108.47, 105.68, 2.53M
Dec 31, 2003, 105.36, 102.00, 107.04, 102.00, 3.09M
Dec 30, 2003, 101.84, 103.60, 104.00, 101.20, 1.09M
Dec 29, 2003, 102.46, 104.00, 104.96, 100.80, 2.12M
