date, close, open, high, low, volume
Apr 09, 2019, 238.40, 233.00, 239.50, 232.30, 9.38M
Apr 08, 2019, 232.95, 235.00, 236.20, 231.60, 4.37M
Apr 05, 2019, 234.70, 235.00, 236.20, 233.70, 3.04M
Apr 04, 2019, 234.80, 235.00, 235.55, 232.55, 3.95M
Apr 03, 2019, 234.10, 236.50, 236.95, 233.00, 5.12M
Apr 02, 2019, 236.40, 238.95, 239.50, 235.55, 7.36M
Apr 01, 2019, 236.40, 238.10, 238.10, 231.50, 13.99M
Mar 29, 2019, 237.20, 236.50, 239.30, 233.50, 14.09M
Mar 28, 2019, 236.10, 234.40, 237.65, 232.75, 20.58M
Mar 27, 2019, 234.45, 236.40, 238.10, 233.60, 4.78M
Mar 26, 2019, 236.45, 237.25, 242.75, 234.30, 7.48M
Mar 25, 2019, 237.20, 233.00, 239.45, 231.35, 7.46M
Mar 22, 2019, 231.95, 232.70, 233.80, 230.00, 14.14M
Mar 20, 2019, 237.00, 244.60, 244.60, 236.00, 20.27M
Mar 19, 2019, 242.90, 244.55, 247.90, 241.35, 10.84M
Mar 18, 2019, 244.20, 243.95, 245.60, 242.00, 5.52M
Mar 15, 2019, 244.35, 238.85, 246.15, 238.00, 16.47M
Mar 14, 2019, 243.20, 240.90, 244.10, 238.50, 13.63M
Mar 13, 2019, 238.65, 242.00, 242.00, 233.80, 17.95M
Mar 12, 2019, 242.95, 245.00, 246.90, 241.20, 9.77M
Mar 11, 2019, 243.40, 236.70, 245.00, 235.25, 19.93M
Mar 08, 2019, 234.90, 233.10, 237.50, 229.60, 12.80M
Mar 07, 2019, 235.00, 243.00, 243.00, 233.35, 7.18M
Mar 06, 2019, 242.75, 241.15, 246.20, 238.00, 9.54M
Mar 05, 2019, 241.15, 233.40, 242.00, 232.70, 9.39M
Mar 01, 2019, 232.65, 228.80, 233.00, 226.60, 9.53M
Feb 28, 2019, 228.30, 223.50, 229.90, 222.15, 32.63M
Feb 27, 2019, 221.45, 221.50, 224.40, 219.60, 8.60M
Feb 26, 2019, 220.15, 213.30, 222.00, 213.00, 11.89M
Feb 25, 2019, 214.35, 216.00, 216.70, 212.70, 9.39M
Feb 22, 2019, 214.95, 214.85, 216.90, 213.45, 5.23M
Feb 21, 2019, 213.70, 215.05, 215.70, 213.20, 4.08M
Feb 20, 2019, 214.95, 214.80, 216.40, 213.55, 6.64M
Feb 19, 2019, 214.25, 215.25, 218.95, 213.55, 5.29M
Feb 18, 2019, 215.15, 218.00, 218.00, 214.80, 3.65M
Feb 15, 2019, 219.95, 219.90, 221.50, 214.70, 11.51M
Feb 14, 2019, 217.20, 217.00, 219.70, 211.40, 14.95M
Feb 13, 2019, 220.25, 226.00, 228.00, 219.55, 12.05M
Feb 12, 2019, 223.05, 219.80, 223.90, 219.35, 7.86M
Feb 11, 2019, 218.80, 217.70, 220.35, 214.15, 4.58M
Feb 08, 2019, 218.65, 223.90, 225.65, 217.60, 2.96M
Feb 07, 2019, 224.20, 220.80, 224.65, 220.15, 3.11M
Feb 06, 2019, 219.95, 216.50, 220.70, 216.35, 3.71M
Feb 05, 2019, 216.40, 222.00, 223.40, 215.70, 5.56M
Feb 04, 2019, 222.10, 223.30, 224.20, 220.05, 3.42M
Feb 01, 2019, 223.20, 224.35, 226.70, 222.75, 2.82M
Jan 31, 2019, 224.65, 226.50, 227.50, 223.05, 15.39M
Jan 30, 2019, 225.20, 222.00, 228.00, 220.55, 7.35M
Jan 29, 2019, 222.55, 225.40, 225.85, 221.15, 3.85M
Jan 28, 2019, 225.20, 221.25, 227.50, 218.05, 3.92M
Jan 25, 2019, 220.95, 224.25, 226.20, 220.10, 3.43M
Jan 24, 2019, 223.85, 225.70, 226.25, 223.00, 2.84M
Jan 23, 2019, 225.55, 227.80, 228.00, 225.25, 2.33M
Jan 22, 2019, 227.75, 228.45, 230.35, 225.80, 4.56M
Jan 21, 2019, 229.00, 230.45, 231.25, 228.15, 1.90M
Jan 18, 2019, 230.00, 232.15, 232.55, 229.60, 2.94M
Jan 17, 2019, 232.05, 232.75, 232.75, 230.40, 3.22M
Jan 16, 2019, 232.05, 232.80, 233.40, 231.55, 2.05M
Jan 15, 2019, 232.65, 231.50, 233.60, 231.05, 2.32M
