date, close, open, high, low, volume
Apr 04, 2014, 674.80, 687.95, 690.25, 673.48, 174.17K
Apr 03, 2014, 688.33, 633.00, 691.45, 633.00, 302.96K
Apr 02, 2014, 685.05, 676.12, 692.50, 672.50, 233.63K
Apr 01, 2014, 674.40, 683.00, 686.92, 669.62, 329.19K
Mar 31, 2014, 682.95, 680.60, 687.70, 652.55, 1.06M
Mar 28, 2014, 679.75, 669.65, 688.02, 665.08, 362.08K
Mar 27, 2014, 669.62, 695.45, 695.45, 666.30, 616.05K
Mar 26, 2014, 690.70, 715.00, 715.00, 685.70, 477.45K
Mar 25, 2014, 706.00, 705.83, 714.98, 702.33, 325.33K
Mar 24, 2014, 704.33, 707.58, 714.00, 701.12, 234.70K
Mar 22, 2014, 1,414.40, 1,410.50, 1,421.95, 1,406.20, 13.11K
Mar 21, 2014, 704.35, 703.90, 710.00, 700.48, 201.05K
Mar 20, 2014, 702.95, 706.00, 716.38, 700.58, 212.60K
Mar 19, 2014, 706.35, 711.02, 714.50, 702.50, 627.14K
Mar 18, 2014, 707.95, 705.95, 712.38, 693.00, 392.73K
Mar 14, 2014, 699.48, 693.00, 706.60, 693.00, 382.22K
Mar 13, 2014, 695.10, 698.00, 707.00, 692.12, 291.57K
Mar 12, 2014, 692.83, 687.00, 698.12, 684.50, 470.72K
Mar 11, 2014, 686.98, 692.45, 699.33, 683.02, 349.50K
Mar 10, 2014, 687.77, 694.98, 694.98, 675.52, 363.26K
Mar 07, 2014, 696.17, 719.95, 722.42, 685.55, 366.34K
Mar 06, 2014, 716.88, 714.48, 727.50, 714.48, 342.13K
Mar 05, 2014, 713.70, 717.50, 721.00, 712.33, 161.39K
Mar 04, 2014, 716.23, 720.05, 722.50, 712.62, 273.38K
Mar 03, 2014, 716.52, 715.50, 725.00, 707.83, 259.11K
Feb 28, 2014, 712.27, 702.65, 717.00, 702.65, 468.39K
Feb 26, 2014, 709.80, 713.00, 723.50, 703.23, 437.54K
Feb 25, 2014, 713.75, 715.98, 717.50, 707.35, 159.40K
Feb 24, 2014, 713.67, 712.50, 718.50, 709.52, 229.32K
Feb 21, 2014, 710.60, 704.00, 714.45, 700.95, 484.01K
Feb 20, 2014, 697.30, 676.10, 701.00, 676.10, 247.00K
Feb 19, 2014, 682.70, 680.50, 688.95, 677.10, 106.48K
Feb 18, 2014, 679.30, 682.48, 689.20, 676.98, 147.13K
