date, close, open, high, low, volume
Apr 13, 2009, 529.70, 520.15, 541.80, 520.15, 130.31K
Apr 09, 2009, 517.10, 522.10, 528.90, 511.50, 131.80K
Apr 08, 2009, 520.50, 509.90, 529.80, 490.50, 668.52K
Apr 06, 2009, 514.10, 500.00, 519.50, 500.00, 259.67K
Apr 02, 2009, 502.50, 483.10, 514.85, 480.00, 525.76K
Apr 01, 2009, 482.00, 495.00, 495.00, 475.30, 338.15K
Mar 31, 2009, 490.20, 466.00, 495.00, 461.25, 715.09K
Mar 30, 2009, 466.35, 465.00, 474.45, 450.00, 398.37K
Mar 27, 2009, 474.25, 444.00, 479.00, 444.00, 493.88K
Mar 26, 2009, 444.85, 430.00, 454.75, 428.95, 490.37K
Mar 25, 2009, 425.25, 426.00, 428.25, 421.50, 210.85K
Mar 24, 2009, 425.20, 440.20, 440.20, 415.20, 230.24K
Mar 23, 2009, 435.70, 425.95, 439.90, 415.65, 273.14K
Mar 20, 2009, 422.45, 443.40, 448.70, 415.00, 329.24K
Mar 19, 2009, 436.40, 435.00, 443.80, 423.15, 257.38K
Mar 18, 2009, 436.80, 429.00, 442.40, 428.00, 226.78K
Mar 17, 2009, 424.95, 434.90, 440.50, 420.10, 154.85K
Mar 16, 2009, 433.90, 415.50, 435.25, 411.20, 278.62K
Mar 13, 2009, 412.50, 419.10, 425.90, 401.20, 413.14K
Mar 12, 2009, 398.05, 365.65, 401.95, 365.65, 846.80K
Mar 09, 2009, 376.65, 380.10, 384.95, 369.50, 688.83K
Mar 06, 2009, 385.60, 372.00, 392.85, 357.00, 1.26M
Mar 05, 2009, 374.00, 392.00, 397.90, 355.25, 1.32M
Mar 04, 2009, 389.80, 399.65, 399.65, 381.50, 535.82K
Mar 03, 2009, 397.20, 400.00, 402.00, 391.00, 272.77K
Mar 02, 2009, 398.75, 390.00, 401.85, 382.65, 429.81K
Feb 27, 2009, 391.85, 401.55, 409.00, 386.10, 681.80K
Feb 26, 2009, 406.60, 403.00, 409.50, 400.25, 630.63K
Feb 25, 2009, 403.25, 400.00, 407.50, 396.20, 366.61K
Feb 24, 2009, 397.70, 389.00, 402.00, 388.00, 788.20K
Feb 20, 2009, 395.20, 400.00, 400.25, 389.05, 376.73K
Feb 19, 2009, 405.95, 403.00, 408.50, 393.30, 553.19K
Feb 18, 2009, 398.15, 397.50, 409.90, 388.00, 575.24K
Feb 17, 2009, 401.20, 410.00, 410.30, 393.30, 497.74K
Feb 16, 2009, 410.30, 430.00, 431.00, 407.30, 702.47K
Feb 13, 2009, 430.50, 440.00, 444.90, 430.00, 581.02K
Feb 12, 2009, 434.80, 443.00, 450.00, 431.50, 326.18K
Feb 11, 2009, 444.95, 455.00, 458.90, 441.00, 301.54K
Feb 10, 2009, 464.35, 468.80, 468.80, 459.05, 64.90K
Feb 09, 2009, 465.05, 462.00, 467.90, 460.00, 251.20K
Feb 06, 2009, 458.90, 453.00, 462.00, 452.00, 119.67K
Feb 05, 2009, 447.95, 438.00, 450.05, 438.00, 354.98K
Feb 04, 2009, 436.60, 437.00, 449.80, 432.00, 219.60K
Feb 03, 2009, 437.80, 450.00, 453.00, 432.20, 166.68K
Feb 02, 2009, 448.90, 446.05, 455.10, 444.20, 65.22K
Jan 30, 2009, 449.80, 441.65, 455.50, 440.50, 208.00K
Jan 29, 2009, 453.05, 440.00, 458.95, 435.00, 275.56K
Jan 28, 2009, 442.55, 445.00, 449.90, 440.10, 108.41K
Jan 27, 2009, 443.90, 440.00, 447.00, 431.10, 144.59K
Jan 23, 2009, 432.20, 422.00, 441.10, 421.00, 217.05K
Jan 22, 2009, 428.50, 450.00, 455.00, 418.05, 458.20K
Jan 21, 2009, 447.05, 464.90, 464.90, 442.05, 506.40K
Jan 20, 2009, 467.90, 455.00, 471.25, 449.05, 396.90K
Jan 19, 2009, 457.45, 453.00, 461.70, 446.05, 244.82K
Jan 16, 2009, 447.30, 448.05, 454.90, 433.50, 245.11K
Jan 15, 2009, 445.20, 471.25, 480.00, 440.20, 400.58K
Jan 14, 2009, 475.95, 458.90, 487.00, 458.90, 451.52K
Jan 13, 2009, 452.75, 465.75, 478.00, 448.00, 544.99K
Jan 12, 2009, 468.45, 460.10, 478.00, 460.10, 434.82K
Jan 09, 2009, 459.90, 466.00, 488.80, 455.00, 227.70K
Jan 07, 2009, 464.90, 499.85, 506.00, 452.35, 759.72K
Jan 06, 2009, 486.70, 474.50, 492.00, 468.10, 702.60K
Jan 05, 2009, 471.25, 475.00, 478.00, 468.00, 200.15K
Jan 02, 2009, 468.00, 470.50, 474.35, 466.00, 317.22K
Jan 01, 2009, 467.60, 473.90, 474.90, 463.00, 86.01K
Dec 31, 2008, 468.65, 475.75, 485.50, 465.25, 139.03K
Dec 30, 2008, 470.75, 468.05, 476.40, 465.55, 80.68K
Dec 29, 2008, 465.55, 466.80, 470.00, 461.15, 96.31K
Dec 26, 2008, 468.25, 473.00, 477.90, 465.25, 107.10K
Dec 24, 2008, 472.00, 470.00, 485.95, 455.00, 371.92K
Dec 23, 2008, 467.85, 470.00, 474.90, 446.50, 275.40K
Dec 22, 2008, 477.65, 477.75, 489.70, 474.00, 114.21K
Dec 19, 2008, 476.25, 451.10, 482.00, 451.10, 385.39K
Dec 18, 2008, 456.50, 439.00, 461.90, 431.05, 261.88K
Dec 17, 2008, 443.20, 456.00, 461.00, 438.00, 411.56K
Dec 16, 2008, 453.10, 429.65, 474.10, 429.65, 228.50K
Dec 15, 2008, 453.00, 449.00, 466.00, 446.20, 567.29K
Dec 12, 2008, 443.70, 449.10, 455.00, 440.00, 154.82K
Dec 11, 2008, 459.20, 489.00, 490.00, 444.10, 635.40K
Dec 10, 2008, 484.15, 493.00, 495.90, 473.10, 630.62K
Dec 08, 2008, 482.80, 495.00, 495.00, 477.10, 126.42K
Dec 05, 2008, 475.75, 476.00, 491.80, 474.05, 347.90K
Dec 04, 2008, 478.95, 483.50, 487.00, 466.20, 613.63K
Dec 03, 2008, 475.35, 480.00, 493.95, 469.00, 1.32M
Dec 02, 2008, 469.05, 380.00, 483.50, 380.00, 922.23K
Dec 01, 2008, 447.85, 435.00, 459.65, 425.15, 672.06K
Nov 28, 2008, 427.20, 420.05, 432.00, 420.05, 748.85K
Nov 26, 2008, 424.20, 418.00, 430.00, 413.60, 160.46K
Nov 25, 2008, 417.80, 421.40, 435.00, 414.60, 634.67K
Nov 24, 2008, 430.60, 420.15, 434.85, 405.15, 249.20K
Nov 21, 2008, 415.40, 413.80, 419.00, 400.00, 240.42K
Nov 20, 2008, 416.15, 411.00, 423.00, 400.00, 235.47K
Nov 19, 2008, 418.05, 405.05, 421.75, 405.05, 577.02K
Nov 18, 2008, 402.10, 395.00, 408.90, 387.00, 151.66K
Nov 17, 2008, 398.55, 406.00, 408.90, 396.50, 289.61K
Nov 14, 2008, 405.65, 415.00, 421.00, 402.20, 418.78K
Nov 12, 2008, 414.85, 420.50, 421.00, 408.95, 144.59K
Nov 11, 2008, 422.30, 415.05, 433.40, 413.00, 544.50K
Nov 10, 2008, 415.45, 418.00, 424.00, 408.05, 264.61K
Nov 07, 2008, 408.15, 402.00, 418.00, 402.00, 200.67K
Nov 06, 2008, 412.40, 404.00, 427.65, 400.10, 578.06K
Nov 05, 2008, 406.85, 407.50, 414.00, 404.05, 439.81K
Nov 04, 2008, 401.25, 407.00, 419.00, 395.00, 899.55K
Nov 03, 2008, 403.00, 436.00, 436.00, 398.15, 853.24K
Oct 31, 2008, 429.90, 425.00, 464.90, 419.00, 562.63K
Oct 29, 2008, 416.20, 430.00, 438.50, 404.00, 1.25M
Oct 28, 2008, 421.40, 449.00, 459.00, 413.05, 26.95K
Oct 27, 2008, 425.70, 448.25, 448.25, 423.00, 212.80K
Oct 24, 2008, 444.60, 425.55, 463.00, 425.55, 483.27K
Oct 23, 2008, 465.60, 436.25, 478.80, 436.25, 724.28K
Oct 22, 2008, 480.20, 512.00, 512.00, 470.10, 565.25K
Oct 21, 2008, 509.80, 490.00, 526.95, 471.50, 1.02M
Oct 20, 2008, 484.70, 438.00, 505.00, 435.60, 676.86K
Oct 17, 2008, 448.45, 460.00, 465.00, 440.25, 128.29K
Oct 16, 2008, 451.40, 420.00, 466.75, 414.05, 613.83K
Oct 15, 2008, 442.90, 456.00, 466.00, 411.10, 332.90K
Oct 14, 2008, 455.60, 449.25, 463.40, 442.10, 164.61K
Oct 13, 2008, 430.75, 449.25, 449.25, 401.00, 646.87K
Oct 10, 2008, 436.25, 445.00, 459.80, 401.20, 1.22M
Oct 08, 2008, 465.15, 431.95, 483.50, 410.00, 771.31K
Oct 07, 2008, 450.00, 480.00, 491.90, 445.00, 189.39K
Oct 06, 2008, 475.75, 539.90, 539.90, 470.05, 750.15K
Oct 03, 2008, 550.10, 516.00, 562.00, 516.00, 414.57K
Oct 01, 2008, 532.45, 564.00, 564.00, 510.00, 74.39K
Sep 30, 2008, 509.95, 490.10, 515.00, 465.00, 205.63K
Sep 29, 2008, 507.85, 515.00, 588.25, 495.90, 285.80K
Sep 26, 2008, 515.65, 518.50, 518.50, 512.00, 91.85K
Sep 25, 2008, 521.55, 520.00, 529.00, 506.10, 466.38K
Sep 24, 2008, 523.60, 520.00, 531.95, 516.10, 240.01K
Sep 23, 2008, 523.55, 521.00, 527.00, 517.05, 356.46K
Sep 22, 2008, 529.30, 538.00, 538.00, 515.60, 318.99K
Sep 19, 2008, 520.15, 522.10, 542.00, 515.00, 437.61K
Sep 18, 2008, 518.75, 515.00, 529.90, 487.25, 454.74K
Sep 17, 2008, 521.75, 538.00, 547.00, 519.00, 418.85K
Sep 16, 2008, 537.80, 550.00, 560.00, 524.50, 400.84K
Sep 15, 2008, 561.50, 557.00, 570.00, 538.00, 125.52K
Sep 12, 2008, 570.15, 562.00, 571.80, 551.00, 335.19K
Sep 11, 2008, 559.40, 574.00, 574.00, 555.00, 82.51K
Sep 10, 2008, 567.60, 572.00, 580.00, 566.05, 306.26K
Sep 09, 2008, 578.35, 591.00, 596.60, 572.00, 1.27M
Sep 08, 2008, 592.05, 590.00, 604.90, 588.00, 284.09K
Sep 05, 2008, 584.65, 594.00, 599.90, 583.25, 110.74K
Sep 04, 2008, 600.50, 593.10, 606.90, 590.00, 292.73K
Sep 02, 2008, 593.25, 581.00, 599.70, 580.20, 251.94K
Sep 01, 2008, 580.10, 573.00, 594.90, 573.00, 357.02K
Aug 29, 2008, 579.15, 586.95, 586.95, 575.00, 198.10K
Aug 28, 2008, 566.90, 591.00, 594.75, 560.25, 565.01K
Aug 27, 2008, 589.70, 579.00, 597.05, 575.00, 470.90K
Aug 26, 2008, 573.70, 583.05, 590.70, 571.00, 167.45K
Aug 25, 2008, 587.35, 590.05, 598.00, 581.15, 149.48K
Aug 22, 2008, 585.10, 600.00, 600.00, 580.05, 159.20K
Aug 21, 2008, 592.80, 591.00, 608.00, 588.20, 198.11K
Aug 20, 2008, 602.60, 606.55, 612.00, 598.10, 210.09K
Aug 19, 2008, 602.65, 602.00, 614.40, 600.05, 253.95K
Aug 18, 2008, 603.80, 589.95, 607.30, 582.10, 206.06K
Aug 14, 2008, 589.15, 600.00, 600.00, 583.10, 486.05K
Aug 13, 2008, 600.60, 582.55, 612.00, 582.55, 157.76K
Aug 12, 2008, 598.40, 629.50, 629.50, 591.00, 568.05K
Aug 11, 2008, 608.85, 645.00, 645.00, 603.70, 889.63K
Aug 08, 2008, 625.90, 606.80, 631.90, 602.00, 297.83K
Aug 07, 2008, 609.80, 590.00, 618.95, 582.50, 359.32K
Aug 06, 2008, 582.90, 597.00, 608.00, 577.70, 1.68M
Aug 05, 2008, 589.45, 588.00, 594.00, 578.10, 1.12M
Aug 04, 2008, 587.45, 587.00, 593.00, 574.00, 239.17K
Aug 01, 2008, 584.85, 550.55, 592.90, 550.55, 298.44K
Jul 31, 2008, 569.15, 590.00, 594.00, 565.10, 1.31M
Jul 30, 2008, 585.55, 596.00, 598.95, 582.20, 545.12K
Jul 29, 2008, 592.80, 621.00, 621.00, 581.05, 1.02M
Jul 28, 2008, 629.60, 633.00, 649.90, 620.15, 160.32K
Jul 25, 2008, 634.95, 620.55, 639.00, 620.55, 389.58K
Jul 24, 2008, 639.90, 632.55, 643.00, 613.00, 407.42K
Jul 23, 2008, 632.55, 643.90, 669.60, 624.50, 839.03K
Jul 22, 2008, 627.20, 660.00, 668.90, 611.50, 1.12M
Jul 21, 2008, 677.80, 661.00, 697.50, 652.00, 1.02M
Jul 18, 2008, 662.80, 645.00, 670.50, 642.05, 547.88K
Jul 17, 2008, 642.45, 639.00, 649.00, 633.00, 227.61K
Jul 16, 2008, 630.55, 643.00, 653.95, 623.30, 478.51K
Jul 15, 2008, 647.85, 651.00, 652.90, 637.95, 184.72K
Jul 14, 2008, 656.40, 648.50, 666.00, 642.70, 257.02K
Jul 11, 2008, 648.50, 655.00, 659.00, 639.10, 240.34K
Jul 10, 2008, 652.90, 665.00, 665.00, 649.50, 204.11K
Jul 09, 2008, 655.95, 675.00, 675.00, 651.10, 348.34K
Jul 08, 2008, 644.75, 625.55, 656.00, 625.55, 130.30K
Jul 07, 2008, 640.05, 650.00, 654.00, 633.15, 233.43K
Jul 04, 2008, 645.15, 654.45, 668.90, 628.10, 380.43K
Jul 03, 2008, 655.00, 662.00, 663.90, 640.10, 225.41K
Jul 02, 2008, 659.80, 638.55, 670.00, 638.55, 425.54K
Jul 01, 2008, 660.25, 667.00, 688.80, 652.35, 266.01K
Jun 30, 2008, 669.80, 660.25, 674.00, 645.20, 344.97K
Jun 27, 2008, 657.25, 645.00, 672.00, 637.00, 401.76K
Jun 26, 2008, 656.80, 664.00, 679.80, 643.20, 385.83K
Jun 25, 2008, 655.85, 640.00, 664.90, 640.00, 210.15K
Jun 24, 2008, 659.60, 648.00, 679.90, 648.00, 205.12K
Jun 23, 2008, 647.55, 653.00, 659.90, 632.10, 269.82K
Jun 20, 2008, 655.05, 681.00, 684.05, 650.20, 386.48K
Jun 19, 2008, 681.20, 697.00, 698.00, 672.50, 623.75K
Jun 18, 2008, 689.40, 709.05, 715.00, 685.00, 236.91K
Jun 17, 2008, 708.60, 715.05, 723.00, 705.00, 363.56K
Jun 16, 2008, 715.20, 739.90, 739.90, 707.35, 396.97K
Jun 13, 2008, 727.80, 699.00, 732.90, 695.55, 1.48M
Jun 12, 2008, 703.20, 707.00, 714.00, 692.65, 722.89K
Jun 11, 2008, 709.40, 700.00, 724.90, 688.00, 623.04K
Jun 10, 2008, 697.90, 695.00, 711.00, 692.00, 786.15K
Jun 09, 2008, 692.65, 667.00, 714.40, 667.00, 786.06K
Jun 06, 2008, 696.25, 710.00, 710.00, 690.00, 408.41K
Jun 05, 2008, 700.80, 669.00, 709.95, 669.00, 555.22K
Jun 04, 2008, 668.60, 688.00, 710.40, 660.00, 332.06K
Jun 03, 2008, 694.95, 712.50, 717.95, 685.00, 544.14K
Jun 02, 2008, 720.20, 720.00, 728.00, 701.00, 824.73K
May 30, 2008, 714.15, 677.10, 720.00, 675.00, 898.60K
May 29, 2008, 676.40, 696.00, 704.30, 670.00, 460.63K
May 28, 2008, 682.35, 695.00, 695.05, 672.35, 406.74K
May 27, 2008, 694.90, 695.00, 698.80, 684.00, 276.80K
May 26, 2008, 689.75, 685.00, 708.00, 672.15, 507.11K
May 23, 2008, 686.75, 684.70, 698.00, 670.25, 633.85K
May 22, 2008, 681.55, 652.00, 694.80, 643.00, 798.21K
May 21, 2008, 658.20, 631.00, 665.80, 625.55, 444.22K
May 20, 2008, 639.20, 650.00, 656.70, 633.00, 457.46K
May 16, 2008, 651.30, 655.00, 666.00, 646.00, 252.39K
May 15, 2008, 654.60, 680.20, 685.00, 648.10, 540.65K
May 14, 2008, 674.75, 613.05, 680.00, 613.05, 776.83K
May 13, 2008, 624.40, 640.00, 640.00, 622.00, 130.62K
May 12, 2008, 631.90, 621.00, 638.00, 613.00, 235.38K
May 09, 2008, 629.45, 650.00, 653.75, 627.00, 213.22K
May 08, 2008, 661.55, 637.15, 664.00, 635.05, 228.32K
May 07, 2008, 646.50, 642.00, 650.00, 636.15, 61.93K
May 06, 2008, 647.85, 638.95, 652.70, 636.05, 168.62K
May 05, 2008, 638.95, 638.00, 645.00, 629.75, 134.80K
May 02, 2008, 636.15, 630.00, 639.45, 628.00, 241.81K
Apr 30, 2008, 623.00, 634.10, 638.00, 618.00, 213.75K
Apr 29, 2008, 627.05, 627.00, 643.75, 622.15, 398.06K
Apr 28, 2008, 625.20, 619.00, 628.50, 613.25, 229.76K
Apr 25, 2008, 616.55, 607.00, 621.00, 607.00, 125.55K
Apr 24, 2008, 613.35, 621.00, 628.00, 608.00, 211.46K
Apr 23, 2008, 617.45, 617.00, 621.90, 607.00, 181.06K
Apr 22, 2008, 613.05, 605.00, 620.00, 605.00, 76.56K
Apr 21, 2008, 611.85, 610.00, 621.90, 610.00, 93.48K
Apr 17, 2008, 606.60, 610.00, 614.00, 592.25, 208.21K
Apr 16, 2008, 602.00, 616.50, 624.90, 597.30, 324.80K
