date, close, open, high, low, volume
Apr 17, 2004, 20.89, 21.80, 21.80, 20.45, 79.45K
Apr 16, 2004, 21.16, 21.77, 21.77, 21.00, 62.58K
Apr 15, 2004, 21.40, 20.00, 21.55, 20.00, 59.35K
Apr 13, 2004, 20.98, 21.50, 21.50, 20.80, 33.61K
Apr 12, 2004, 21.39, 21.88, 21.88, 20.91, 42.74K
Apr 08, 2004, 21.54, 21.75, 23.00, 21.30, 61.50K
Apr 07, 2004, 21.67, 21.69, 22.59, 21.50, 61.45K
Apr 06, 2004, 21.57, 22.30, 23.00, 21.21, 81.17K
Apr 05, 2004, 22.29, 22.50, 22.50, 20.70, 54.16K
Apr 02, 2004, 22.29, 22.50, 23.00, 21.80, 9.63K
Apr 01, 2004, 22.30, 22.60, 22.80, 22.00, 55.37K
Mar 31, 2004, 22.44, 20.49, 22.88, 19.71, 351.32K
Mar 30, 2004, 20.25, 20.00, 20.30, 19.60, 15.62K
Mar 29, 2004, 19.82, 19.80, 20.25, 19.41, 59.45K
Mar 26, 2004, 20.20, 20.09, 21.47, 19.61, 72.73K
Mar 25, 2004, 19.30, 19.59, 19.80, 18.00, 48.46K
Mar 24, 2004, 19.25, 19.53, 19.70, 18.93, 30.70K
Mar 23, 2004, 19.59, 19.00, 19.80, 18.61, 78.22K
Mar 22, 2004, 19.01, 21.12, 21.12, 18.90, 31.61K
Mar 19, 2004, 21.05, 20.60, 21.18, 20.54, 38.31K
Mar 18, 2004, 21.21, 21.50, 21.50, 21.10, 201.16K
Mar 17, 2004, 21.50, 21.07, 21.68, 21.07, 26.41K
Mar 16, 2004, 21.39, 20.85, 21.57, 20.85, 152.31K
Mar 15, 2004, 21.16, 22.00, 22.00, 20.50, 67.77K
Mar 12, 2004, 22.16, 21.90, 22.49, 21.90, 69.97K
Mar 11, 2004, 22.53, 22.43, 22.80, 22.26, 47.05K
Mar 10, 2004, 22.36, 22.50, 22.50, 22.06, 59.78K
Mar 09, 2004, 22.36, 23.00, 23.00, 22.21, 57.07K
Mar 08, 2004, 23.23, 23.20, 23.59, 23.00, 172.53K
Mar 05, 2004, 23.15, 23.57, 23.57, 22.41, 42.38K
Mar 04, 2004, 23.00, 23.10, 23.35, 22.70, 103.14K
Mar 03, 2004, 22.88, 22.22, 23.00, 22.21, 130.83K
Mar 01, 2004, 22.52, 21.81, 22.60, 21.81, 90.55K
Feb 27, 2004, 21.66, 22.11, 22.30, 21.30, 84.71K
Feb 26, 2004, 22.16, 23.00, 23.45, 21.61, 25.63K
Feb 25, 2004, 22.96, 23.20, 23.20, 22.82, 547.77K
Feb 24, 2004, 23.39, 23.00, 23.50, 22.90, 129.94K
Feb 23, 2004, 23.01, 22.70, 23.50, 22.70, 72.97K
Feb 20, 2004, 23.30, 23.02, 23.40, 22.80, 146.89K
Feb 19, 2004, 23.00, 22.80, 23.15, 22.80, 609.18K
Feb 18, 2004, 23.00, 23.16, 23.20, 22.80, 178.19K
Feb 17, 2004, 22.72, 23.00, 23.45, 22.54, 252.51K
Feb 16, 2004, 22.83, 23.00, 23.59, 22.80, 83.58K
Feb 13, 2004, 22.62, 21.80, 22.95, 21.80, 137.15K
Feb 12, 2004, 21.98, 21.60, 22.30, 21.60, 328.95K
Feb 11, 2004, 21.86, 22.40, 22.40, 20.55, 255.00K
Feb 10, 2004, 22.23, 22.35, 22.70, 21.90, 122.27K
Feb 09, 2004, 21.99, 22.00, 22.49, 21.41, 84.24K
Feb 06, 2004, 22.15, 21.70, 22.60, 21.55, 210.46K
