date, close, open, high, low, volume
Feb 13, 1998, 1.06, 1.07, 1.07, 1.06, 9.00K
Feb 12, 1998, 1.06, 1.05, 1.07, 1.05, 45.00K
Feb 11, 1998, 1.08, 1.06, 1.08, 1.05, 12.00K
Feb 10, 1998, 1.10, 1.06, 1.12, 1.06, 35.00K
Feb 09, 1998, 1.10, 1.15, 1.15, 1.07, 27.00K
Feb 06, 1998, 1.07, 1.09, 1.10, 1.07, 101.00K
Feb 05, 1998, 1.08, 1.06, 1.09, 1.06, 14.00K
Feb 04, 1998, 1.09, 1.10, 1.14, 1.07, 19.00K
Feb 03, 1998, 1.10, 1.12, 1.12, 1.10, 7.00K
Feb 02, 1998, 1.12, 1.10, 1.12, 1.10, 5.00K
Jan 30, 1998, 1.11, 1.12, 1.19, 1.10, 17.00K
Jan 29, 1998, 1.10, 1.08, 1.10, 1.08, 13.00K
Jan 28, 1998, 1.10, 1.10, 1.10, 1.07, 10.00K
Jan 27, 1998, 1.09, 1.15, 1.15, 1.07, 22.00K
Jan 23, 1998, 1.14, 1.15, 1.15, 1.11, 34.00K
Jan 22, 1998, 1.17, 1.22, 1.22, 1.17, 8.00K
Jan 21, 1998, 1.20, 1.20, 1.20, 1.20, 2.00K
Jan 20, 1998, 1.21, 1.20, 1.22, 1.18, 25.00K
Jan 19, 1998, 1.20, 1.18, 1.20, 1.18, 7.00K
Jan 16, 1998, 1.18, 1.19, 1.22, 1.18, 17.00K
Jan 15, 1998, 1.23, 1.20, 1.23, 1.18, 40.00K
Jan 14, 1998, 1.23, 1.23, 1.23, 1.20, 15.00K
Jan 13, 1998, 1.20, 1.17, 1.20, 1.17, 57.00K
Jan 12, 1998, 1.16, 1.17, 1.17, 1.12, 20.00K
Jan 09, 1998, 1.18, 1.28, 1.28, 1.18, 54.00K
Jan 08, 1998, 1.31, 1.31, 1.36, 1.31, 26.00K
Jan 07, 1998, 1.38, 1.37, 1.38, 1.36, 6.00K
Jan 06, 1998, 1.36, 1.45, 1.45, 1.36, 13.00K
Jan 05, 1998, 1.44, 1.40, 1.47, 1.40, 57.00K
Jan 02, 1998, 1.39, 1.40, 1.40, 1.36, 25.00K
Jan 01, 1998, 1.31, 1.25, 1.31, 1.25, 22.00K
Dec 31, 1997, 1.23, 1.23, 1.25, 1.23, 14.00K
Dec 30, 1997, 1.23, 1.20, 1.25, 1.20, 24.00K
Dec 29, 1997, 1.25, 1.20, 1.25, 1.18, 31.00K
Dec 26, 1997, 1.23, 1.23, 1.23, 1.18, 47.00K
Dec 24, 1997, 1.23, 1.12, 1.23, 1.12, 12.00K
Dec 23, 1997, 1.21, 1.23, 1.25, 1.20, 55.00K
Dec 22, 1997, 1.20, 1.19, 1.23, 1.18, 28.00K
Dec 19, 1997, 1.15, 1.15, 1.15, 1.15, 7.00K
Dec 18, 1997, 1.17, 1.15, 1.17, 1.15, 14.00K
Dec 17, 1997, 1.17, 1.12, 1.18, 1.12, 15.00K
Dec 16, 1997, 1.14, 1.12, 1.14, 1.11, 34.00K
Dec 15, 1997, 1.10, 1.14, 1.14, 1.10, 22.00K
Dec 12, 1997, 1.12, 1.16, 1.16, 1.11, 27.00K
Dec 11, 1997, 1.16, 1.18, 1.18, 1.15, 13.00K
Dec 10, 1997, 1.22, 1.13, 1.22, 1.13, 26.00K
Dec 09, 1997, 1.17, 1.25, 1.25, 1.16, 35.00K
Dec 08, 1997, 1.23, 1.21, 1.26, 1.21, 20.00K
Dec 05, 1997, 1.26, 1.27, 1.27, 1.25, 53.00K
Dec 04, 1997, 1.30, 1.23, 1.30, 1.23, 40.00K
Dec 03, 1997, 1.26, 1.28, 1.30, 1.26, 21.00K
Dec 02, 1997, 1.25, 1.25, 1.26, 1.25, 22.00K
Dec 01, 1997, 1.25, 1.25, 1.27, 1.24, 21.00K
Nov 28, 1997, 1.30, 1.25, 1.30, 1.25, 3.00K
Nov 27, 1997, 1.29, 1.27, 1.30, 1.27, 24.00K
Nov 26, 1997, 1.30, 1.37, 1.37, 1.30, 6.00K
Nov 25, 1997, 1.32, 1.31, 1.32, 1.26, 51.00K
Nov 24, 1997, 1.31, 1.32, 1.32, 1.25, 27.00K
Nov 21, 1997, 1.32, 1.30, 1.32, 1.27, 41.00K
Nov 20, 1997, 1.31, 1.21, 1.32, 1.21, 61.00K
Nov 19, 1997, 1.25, 1.20, 1.25, 1.20, 33.00K
Nov 18, 1997, 1.27, 1.25, 1.27, 1.25, 31.00K
Nov 17, 1997, 1.28, 1.25, 1.29, 1.25, 66.00K
Nov 13, 1997, 1.25, 1.23, 1.27, 1.23, 25.00K
Nov 12, 1997, 1.30, 1.29, 1.32, 1.29, 35.00K
Nov 11, 1997, 1.31, 1.32, 1.39, 1.30, 71.00K
Nov 10, 1997, 1.33, 1.30, 1.35, 1.28, 98.00K
Nov 07, 1997, 1.32, 1.38, 1.38, 1.30, 192.00K
Nov 06, 1997, 1.40, 1.41, 1.43, 1.38, 31.00K
Nov 05, 1997, 1.45, 1.44, 1.45, 1.42, 68.00K
Nov 04, 1997, 1.43, 1.44, 1.48, 1.42, 87.00K
Nov 03, 1997, 1.45, 1.50, 1.51, 1.44, 25.00K
Oct 30, 1997, 1.42, 1.43, 1.44, 1.41, 12.00K
Oct 29, 1997, 1.40, 1.39, 1.44, 1.39, 41.00K
Oct 28, 1997, 1.38, 1.44, 1.44, 1.38, 112.00K
Oct 27, 1997, 1.48, 1.56, 1.56, 1.47, 87.00K
Oct 24, 1997, 1.53, 1.51, 1.53, 1.50, 25.00K
Oct 23, 1997, 1.50, 1.48, 1.53, 1.48, 35.00K
Oct 22, 1997, 1.51, 1.52, 1.52, 1.50, 46.00K
Oct 21, 1997, 1.47, 1.55, 1.57, 1.46, 111.00K
Oct 20, 1997, 1.57, 1.59, 1.61, 1.56, 37.00K
Oct 17, 1997, 1.60, 1.56, 1.60, 1.55, 48.00K
Oct 16, 1997, 1.56, 1.58, 1.58, 1.54, 14.00K
Oct 15, 1997, 1.52, 1.52, 1.56, 1.51, 69.00K
Oct 14, 1997, 1.55, 1.52, 1.58, 1.52, 147.00K
Oct 13, 1997, 1.52, 1.59, 1.59, 1.52, 79.00K
Oct 10, 1997, 1.59, 1.60, 1.65, 1.57, 109.00K
Oct 09, 1997, 1.56, 1.54, 1.56, 1.54, 12.00K
Oct 01, 1997, 1.46, 1.38, 1.46, 1.38, 86.00K
Sep 30, 1997, 1.41, 1.43, 1.45, 1.40, 106.00K
Sep 29, 1997, 1.45, 1.47, 1.51, 1.43, 44.00K
Sep 26, 1997, 1.48, 1.46, 1.49, 1.44, 39.00K
Sep 25, 1997, 1.45, 1.41, 1.47, 1.41, 37.00K
Sep 24, 1997, 1.45, 1.44, 1.45, 1.40, 53.00K
Sep 23, 1997, 1.36, 1.38, 1.40, 1.35, 103.00K
Sep 22, 1997, 1.38, 1.38, 1.39, 1.35, 56.00K
Sep 19, 1997, 1.43, 1.43, 1.44, 1.41, 27.00K
Sep 18, 1997, 1.42, 1.40, 1.43, 1.40, 155.00K
Sep 17, 1997, 1.44, 1.43, 1.45, 1.40, 49.00K
Sep 16, 1997, 1.43, 1.51, 1.52, 1.43, 207.00K
Sep 15, 1997, 1.51, 1.57, 1.57, 1.50, 50.00K
Sep 12, 1997, 1.57, 1.57, 1.57, 1.55, 39.00K
Sep 11, 1997, 1.59, 1.64, 1.64, 1.56, 41.00K
Sep 10, 1997, 1.60, 1.58, 1.62, 1.58, 40.00K
Sep 09, 1997, 1.55, 1.60, 1.60, 1.55, 165.00K
Sep 08, 1997, 1.60, 1.61, 1.62, 1.56, 63.00K
