date, close, open, high, low, volume
Sep 03, 1999, 3.76, 3.81, 3.88, 3.75, 183.00K
Sep 02, 1999, 3.85, 3.70, 3.87, 3.70, 88.00K
Sep 01, 1999, 3.81, 3.95, 3.98, 3.81, 427.00K
Aug 31, 1999, 3.85, 3.99, 3.99, 3.83, 308.00K
Aug 30, 1999, 3.90, 4.10, 4.10, 3.85, 298.00K
Aug 27, 1999, 3.98, 4.03, 4.29, 3.83, 450.00K
Aug 26, 1999, 4.16, 4.25, 4.25, 4.05, 230.00K
Aug 25, 1999, 4.00, 4.21, 4.30, 3.90, 562.00K
Aug 24, 1999, 4.12, 4.30, 4.33, 4.02, 496.00K
Aug 23, 1999, 4.26, 4.28, 4.44, 4.01, 481.00K
Aug 20, 1999, 4.17, 3.80, 4.17, 3.68, 574.00K
Aug 19, 1999, 3.87, 4.27, 4.28, 3.79, 1.07M
Aug 18, 1999, 3.96, 3.96, 3.96, 3.96, 165.00K
Aug 17, 1999, 3.67, 3.35, 3.67, 3.35, 340.00K
Aug 16, 1999, 3.39, 3.35, 3.50, 3.34, 239.00K
Aug 13, 1999, 3.34, 3.42, 3.42, 3.30, 183.00K
Aug 12, 1999, 3.35, 3.40, 3.47, 3.30, 212.00K
Aug 11, 1999, 3.40, 3.25, 3.42, 3.20, 467.00K
Aug 10, 1999, 3.16, 3.50, 3.50, 3.08, 1.30M
Aug 09, 1999, 3.29, 3.19, 3.29, 3.17, 462.00K
Aug 06, 1999, 3.04, 2.96, 3.04, 2.82, 377.00K
Aug 05, 1999, 2.81, 2.95, 2.98, 2.68, 434.00K
Aug 04, 1999, 2.90, 3.20, 3.20, 2.83, 401.00K
Aug 03, 1999, 2.96, 2.99, 3.02, 2.85, 655.00K
Aug 02, 1999, 2.96, 3.02, 3.08, 2.90, 160.00K
Jul 30, 1999, 3.08, 3.05, 3.18, 3.05, 141.00K
Jul 29, 1999, 3.23, 3.21, 3.25, 3.20, 57.00K
Jul 28, 1999, 3.25, 3.40, 3.40, 3.20, 215.00K
Jul 27, 1999, 3.35, 3.44, 3.44, 3.12, 394.00K
Jul 26, 1999, 3.27, 3.40, 3.46, 3.27, 779.00K
