date, close, open, high, low, volume
Apr 04, 2014, 460.61, 459.50, 464.07, 458.70, 186.91K
Apr 03, 2014, 460.59, 466.03, 466.03, 459.23, 272.00K
Apr 02, 2014, 462.29, 466.38, 470.12, 459.20, 192.30K
Apr 01, 2014, 466.29, 474.56, 474.78, 465.08, 350.69K
Mar 31, 2014, 472.60, 468.46, 478.16, 468.46, 325.12K
Mar 28, 2014, 467.97, 455.45, 474.56, 455.45, 657.92K
Mar 27, 2014, 454.28, 462.29, 462.29, 451.98, 1.36M
Mar 26, 2014, 459.94, 460.32, 463.07, 458.38, 184.99K
Mar 25, 2014, 459.50, 454.43, 464.36, 452.22, 311.70K
Mar 24, 2014, 456.15, 450.85, 457.87, 450.47, 434.71K
Mar 22, 2014, 449.51, 449.11, 450.82, 446.82, 11.12K
Mar 21, 2014, 449.08, 447.60, 451.65, 445.28, 373.71K
Mar 20, 2014, 446.66, 447.56, 448.88, 442.67, 135.21K
Mar 19, 2014, 448.42, 444.78, 450.83, 443.79, 239.33K
Mar 18, 2014, 444.60, 448.38, 454.43, 442.04, 241.22K
Mar 14, 2014, 447.30, 443.48, 448.79, 439.77, 195.47K
Mar 13, 2014, 448.07, 454.96, 461.57, 445.76, 199.19K
Mar 12, 2014, 453.92, 461.30, 464.56, 450.38, 263.11K
Mar 11, 2014, 460.69, 450.83, 462.19, 446.74, 324.78K
Mar 10, 2014, 450.06, 450.01, 456.40, 446.72, 338.43K
Mar 07, 2014, 452.05, 450.95, 455.58, 442.86, 417.40K
Mar 06, 2014, 449.33, 433.49, 450.01, 431.24, 458.42K
Mar 05, 2014, 432.95, 423.83, 434.75, 417.47, 482.60K
Mar 04, 2014, 420.73, 413.89, 422.98, 412.80, 439.11K
Mar 03, 2014, 412.93, 417.29, 421.82, 411.69, 249.76K
Feb 28, 2014, 415.78, 422.19, 422.19, 413.19, 166.04K
Feb 26, 2014, 420.01, 414.05, 425.30, 408.28, 685.85K
Feb 25, 2014, 413.61, 410.76, 415.65, 408.94, 210.84K
Feb 24, 2014, 409.88, 409.27, 414.01, 407.96, 261.81K
Feb 21, 2014, 409.14, 400.00, 410.90, 398.47, 364.43K
Feb 20, 2014, 397.81, 408.27, 408.27, 397.05, 194.56K
Feb 19, 2014, 406.27, 407.14, 408.94, 402.23, 116.95K
