date, close, open, high, low, volume
Feb 13, 1998, 37.11, 36.54, 37.30, 36.54, 18.75K
Feb 12, 1998, 36.61, 36.57, 36.97, 36.29, 42.00K
Feb 11, 1998, 37.10, 37.00, 37.64, 36.78, 18.50K
Feb 10, 1998, 37.26, 37.46, 37.79, 36.86, 65.50K
Feb 09, 1998, 37.92, 39.08, 39.36, 37.51, 47.75K
Feb 06, 1998, 39.05, 38.38, 39.92, 37.97, 57.50K
Feb 05, 1998, 38.68, 42.43, 42.71, 38.65, 66.50K
Feb 04, 1998, 42.94, 43.27, 43.62, 42.85, 27.50K
Feb 03, 1998, 44.04, 43.97, 44.49, 43.72, 11.75K
Feb 02, 1998, 44.46, 44.34, 44.46, 44.11, 16.75K
Jan 30, 1998, 44.00, 44.48, 44.53, 43.92, 18.25K
Jan 29, 1998, 44.42, 44.03, 44.65, 44.02, 17.25K
Jan 28, 1998, 44.53, 44.80, 44.80, 43.83, 9.50K
Jan 27, 1998, 44.90, 45.78, 45.78, 44.67, 18.75K
Jan 23, 1998, 46.07, 46.06, 46.35, 46.06, 39.75K
Jan 22, 1998, 46.48, 45.78, 46.48, 45.78, 9.00K
Jan 21, 1998, 46.76, 46.76, 46.76, 46.21, 6.50K
Jan 20, 1998, 46.65, 46.06, 46.76, 45.99, 12.75K
Jan 19, 1998, 46.05, 45.71, 46.41, 45.65, 7.75K
Jan 16, 1998, 46.04, 45.36, 46.40, 45.36, 29.50K
Jan 15, 1998, 45.92, 45.64, 45.92, 44.70, 6.50K
Jan 14, 1998, 45.92, 45.43, 46.06, 45.36, 9.00K
Jan 13, 1998, 45.76, 45.36, 46.06, 45.36, 15.25K
Jan 12, 1998, 44.92, 45.36, 45.64, 44.81, 11.25K
Jan 09, 1998, 46.49, 46.06, 47.46, 45.37, 27.00K
Jan 08, 1998, 47.88, 47.61, 47.88, 47.60, 12.50K
Jan 07, 1998, 48.11, 47.74, 48.19, 47.65, 12.25K
Jan 06, 1998, 47.57, 47.63, 47.88, 47.46, 18.75K
Jan 05, 1998, 48.14, 48.46, 48.82, 48.01, 8.75K
Jan 02, 1998, 48.42, 48.57, 48.57, 48.15, 9.50K
Jan 01, 1998, 48.29, 49.55, 49.55, 48.29, 35.00K
Dec 31, 1997, 48.90, 48.57, 49.34, 48.57, 97.75K
Dec 30, 1997, 48.43, 49.97, 50.23, 48.33, 67.25K
Dec 29, 1997, 50.27, 48.16, 51.64, 47.77, 52.25K
Dec 26, 1997, 48.78, 50.23, 50.23, 48.57, 17.25K
Dec 24, 1997, 49.64, 47.18, 50.94, 46.51, 49.25K
Dec 23, 1997, 47.78, 47.46, 47.81, 47.18, 19.00K
Dec 22, 1997, 47.61, 47.46, 47.74, 46.90, 39.50K
Dec 19, 1997, 47.35, 45.75, 47.46, 45.75, 40.25K
Dec 18, 1997, 45.82, 45.78, 46.06, 45.71, 4.25K
Dec 17, 1997, 45.89, 46.06, 46.06, 45.43, 28.25K
Dec 16, 1997, 45.56, 45.71, 45.78, 45.36, 43.75K
Dec 15, 1997, 45.59, 45.47, 45.78, 45.12, 11.00K
Dec 12, 1997, 45.68, 45.08, 45.78, 45.01, 49.75K
Dec 11, 1997, 45.43, 45.50, 45.78, 45.05, 49.50K
Dec 10, 1997, 45.87, 45.37, 45.92, 45.29, 12.00K
Dec 09, 1997, 45.92, 46.06, 46.47, 45.22, 16.50K
Dec 08, 1997, 45.94, 45.48, 46.06, 45.48, 33.00K
Dec 05, 1997, 45.75, 46.03, 46.03, 45.53, 11.50K
Dec 04, 1997, 45.89, 45.37, 45.99, 45.22, 48.50K
Dec 03, 1997, 45.70, 45.50, 46.12, 45.50, 5.50K
Dec 02, 1997, 46.12, 45.36, 46.75, 45.36, 22.75K
Dec 01, 1997, 45.50, 44.67, 45.63, 44.65, 8.25K
Nov 28, 1997, 45.50, 45.10, 45.64, 44.67, 28.75K
Nov 27, 1997, 45.51, 45.36, 45.54, 45.11, 39.25K
Nov 26, 1997, 45.29, 43.83, 45.34, 43.83, 33.50K
Nov 25, 1997, 44.78, 43.41, 45.36, 43.35, 26.00K
Nov 24, 1997, 43.81, 44.25, 44.25, 43.72, 7.00K
Nov 21, 1997, 44.46, 43.55, 44.67, 43.55, 14.50K
Nov 20, 1997, 43.55, 43.27, 43.69, 43.27, 5.00K
Nov 19, 1997, 43.54, 42.85, 43.65, 42.77, 25.75K
Nov 18, 1997, 43.68, 43.30, 43.90, 41.87, 35.50K
Nov 17, 1997, 43.58, 42.99, 43.83, 42.99, 28.50K
Nov 13, 1997, 42.95, 43.41, 43.41, 42.43, 28.00K
Nov 12, 1997, 43.48, 43.27, 43.95, 43.13, 21.50K
Nov 11, 1997, 44.72, 44.42, 45.36, 43.83, 51.75K
Nov 10, 1997, 44.32, 44.49, 44.60, 43.99, 14.50K
Nov 07, 1997, 44.33, 43.96, 44.65, 43.66, 24.50K
Nov 06, 1997, 43.73, 43.27, 43.96, 43.02, 84.25K
Nov 05, 1997, 43.86, 43.27, 43.97, 42.57, 89.75K
Nov 04, 1997, 43.99, 42.64, 44.53, 41.87, 57.25K
Nov 03, 1997, 43.83, 45.77, 45.77, 43.27, 12.00K
Oct 30, 1997, 45.62, 45.50, 46.20, 45.36, 7.00K
Oct 29, 1997, 45.77, 44.80, 45.78, 44.80, 11.25K
Oct 28, 1997, 44.47, 46.20, 46.20, 43.63, 58.25K
Oct 27, 1997, 46.47, 46.48, 46.61, 46.06, 18.00K
Oct 24, 1997, 46.48, 46.10, 46.62, 45.99, 17.75K
Oct 23, 1997, 46.49, 46.07, 46.55, 46.07, 35.50K
Oct 22, 1997, 46.37, 46.20, 46.38, 46.06, 22.25K
Oct 21, 1997, 46.51, 46.07, 46.76, 46.07, 17.50K
Oct 20, 1997, 46.29, 46.48, 46.62, 45.86, 12.75K
Oct 17, 1997, 46.37, 46.20, 46.48, 46.20, 12.25K
Oct 16, 1997, 46.31, 46.20, 46.62, 46.06, 27.00K
Oct 15, 1997, 46.14, 46.06, 46.29, 45.36, 9.75K
Oct 14, 1997, 46.03, 46.06, 46.27, 45.71, 50.25K
Oct 13, 1997, 46.35, 47.25, 47.25, 45.54, 21.50K
Oct 10, 1997, 47.41, 46.48, 48.01, 46.24, 28.25K
Oct 09, 1997, 46.33, 45.99, 46.41, 45.82, 14.25K
Oct 01, 1997, 45.92, 45.36, 46.33, 45.10, 19.25K
Sep 30, 1997, 46.12, 46.46, 46.46, 45.64, 120.00K
Sep 29, 1997, 46.40, 46.35, 46.48, 46.13, 13.50K
Sep 26, 1997, 46.18, 46.90, 46.90, 45.98, 7.75K
Sep 25, 1997, 46.55, 46.90, 46.90, 45.52, 23.00K
Sep 24, 1997, 46.83, 46.33, 47.18, 46.33, 6.00K
Sep 23, 1997, 46.57, 46.61, 47.46, 46.06, 87.75K
Sep 22, 1997, 46.58, 46.48, 46.82, 46.20, 104.00K
Sep 19, 1997, 47.04, 46.76, 47.04, 46.35, 17.00K
Sep 18, 1997, 47.21, 47.47, 47.47, 46.41, 11.50K
Sep 17, 1997, 48.08, 48.17, 48.29, 48.08, 7.75K
Sep 16, 1997, 48.73, 49.06, 49.06, 48.73, 8.25K
Sep 15, 1997, 49.03, 49.55, 49.55, 48.85, 3.25K
Sep 12, 1997, 49.33, 49.70, 49.76, 49.24, 14.50K
Sep 11, 1997, 49.98, 50.18, 50.18, 49.97, 7.25K
Sep 10, 1997, 50.28, 50.25, 50.67, 50.25, 34.00K
Sep 09, 1997, 50.83, 50.95, 50.95, 50.25, 18.25K
Sep 08, 1997, 50.39, 49.77, 50.94, 49.55, 262.50K
Sep 05, 1997, 50.28, 50.26, 50.67, 50.25, 112.25K
Sep 04, 1997, 50.30, 50.25, 50.81, 49.83, 319.50K
Sep 03, 1997, 50.62, 50.64, 51.05, 50.53, 8.00K
Sep 02, 1997, 50.51, 50.53, 50.74, 50.11, 283.50K
Sep 01, 1997, 50.82, 50.67, 50.94, 50.46, 34.00K
Aug 29, 1997, 50.77, 50.95, 50.95, 50.36, 38.00K
Aug 28, 1997, 51.48, 50.95, 51.64, 50.67, 36.00K
Aug 27, 1997, 50.94, 51.36, 51.64, 50.94, 4.75K
Aug 26, 1997, 51.60, 50.60, 51.92, 50.60, 25.00K
Aug 25, 1997, 50.84, 49.27, 50.93, 49.27, 45.00K
Aug 22, 1997, 50.83, 50.53, 50.88, 50.32, 13.00K
Aug 21, 1997, 50.56, 50.56, 50.95, 50.53, 6.50K
Aug 20, 1997, 51.02, 52.34, 52.34, 50.25, 61.50K
Aug 19, 1997, 52.62, 52.63, 52.90, 52.35, 49.25K
Aug 18, 1997, 52.68, 52.54, 52.69, 52.23, 5.25K
Aug 14, 1997, 52.80, 52.52, 53.07, 52.52, 78.25K
Aug 13, 1997, 52.77, 52.62, 52.97, 52.34, 22.50K
Aug 12, 1997, 52.82, 52.87, 53.04, 52.34, 34.50K
Aug 11, 1997, 52.33, 52.06, 52.34, 51.68, 31.25K
Aug 08, 1997, 52.48, 51.64, 52.61, 51.36, 14.75K
Aug 07, 1997, 52.39, 54.02, 54.02, 52.34, 16.75K
Aug 06, 1997, 53.75, 53.74, 54.09, 53.33, 6.25K
Aug 05, 1997, 53.19, 55.55, 55.55, 53.05, 35.00K
Aug 04, 1997, 54.62, 52.34, 54.85, 52.34, 55.50K
Aug 01, 1997, 52.27, 52.06, 52.34, 51.85, 20.50K
Jul 31, 1997, 52.15, 52.35, 52.48, 52.13, 10.00K
Jul 30, 1997, 52.28, 52.34, 52.34, 51.94, 6.50K
Jul 29, 1997, 52.13, 52.34, 52.41, 51.73, 38.25K
Jul 28, 1997, 52.45, 51.50, 52.61, 51.50, 37.00K
Jul 25, 1997, 51.60, 51.92, 52.20, 50.96, 19.25K
Jul 24, 1997, 52.22, 53.04, 53.04, 51.96, 15.25K
Jul 23, 1997, 52.21, 51.64, 52.76, 51.38, 11.25K
Jul 22, 1997, 51.65, 51.36, 51.81, 50.95, 31.25K
Jul 21, 1997, 51.20, 51.92, 53.32, 51.09, 80.00K
Jul 17, 1997, 52.34, 51.64, 52.48, 51.64, 6.00K
Jul 16, 1997, 52.64, 52.34, 53.32, 52.34, 18.00K
Jul 15, 1997, 52.55, 52.06, 53.44, 51.82, 51.50K
Jul 14, 1997, 52.06, 52.42, 53.04, 51.78, 28.00K
Jul 11, 1997, 53.70, 53.89, 54.70, 53.05, 23.50K
Jul 10, 1997, 54.87, 55.83, 56.11, 54.85, 27.00K
Jul 09, 1997, 55.46, 54.09, 55.55, 54.09, 35.25K
Jul 08, 1997, 54.00, 54.58, 54.71, 53.74, 63.25K
Jul 07, 1997, 54.94, 54.92, 55.83, 54.58, 48.50K
Jul 04, 1997, 54.29, 54.16, 54.85, 53.77, 73.00K
Jul 03, 1997, 53.13, 52.48, 53.74, 51.80, 89.00K
