date, close, open, high, low, volume
Sep 03, 1999, 56.65, 56.18, 58.55, 55.83, 796.48K
Sep 02, 1999, 56.29, 57.23, 58.05, 55.83, 486.96K
Sep 01, 1999, 58.99, 61.27, 61.27, 57.52, 761.32K
Aug 31, 1999, 58.92, 61.71, 62.38, 57.94, 1.30M
Aug 30, 1999, 62.36, 63.10, 65.37, 61.42, 1.19M
Aug 27, 1999, 63.32, 59.73, 63.32, 59.60, 2.23M
Aug 26, 1999, 58.63, 57.92, 60.16, 57.11, 1.56M
Aug 25, 1999, 56.26, 58.62, 60.97, 55.15, 1.52M
Aug 24, 1999, 56.45, 58.62, 59.03, 53.88, 699.45K
Aug 23, 1999, 58.42, 59.56, 60.72, 57.96, 526.48K
Aug 20, 1999, 59.26, 56.95, 60.44, 56.95, 785.81K
Aug 19, 1999, 57.19, 60.12, 60.56, 57.02, 1.04M
Aug 18, 1999, 59.95, 60.77, 60.77, 57.23, 2.05M
Aug 17, 1999, 56.27, 55.69, 56.27, 55.31, 429.16K
Aug 16, 1999, 52.10, 48.91, 52.10, 48.91, 1.15M
Aug 13, 1999, 48.24, 47.88, 49.38, 46.34, 2.45M
Aug 12, 1999, 47.30, 44.51, 47.99, 43.62, 3.45M
Aug 11, 1999, 44.43, 43.41, 45.36, 43.27, 1.09M
Aug 10, 1999, 43.44, 45.08, 45.08, 43.00, 802.16K
Aug 09, 1999, 45.24, 43.62, 46.41, 43.62, 1.45M
Aug 06, 1999, 43.73, 42.08, 44.94, 41.87, 1.55M
Aug 05, 1999, 42.61, 45.22, 45.64, 42.17, 823.21K
Aug 04, 1999, 44.88, 44.93, 44.97, 43.27, 1.50M
Aug 03, 1999, 41.63, 40.06, 42.78, 38.81, 3.28M
Aug 02, 1999, 39.64, 39.92, 41.38, 38.38, 1.65M
Jul 30, 1999, 39.47, 40.48, 40.49, 37.98, 1.93M
Jul 29, 1999, 41.19, 44.53, 44.53, 40.88, 2.08M
Jul 28, 1999, 44.43, 44.87, 46.93, 44.18, 1.97M
Jul 27, 1999, 43.45, 39.86, 44.51, 39.73, 1.64M
Jul 26, 1999, 42.90, 46.34, 46.41, 42.90, 1.37M
Jul 23, 1999, 46.63, 48.15, 48.19, 46.34, 1.16M
Jul 22, 1999, 47.83, 48.70, 50.34, 47.46, 2.28M
Jul 21, 1999, 48.13, 47.18, 49.12, 46.34, 1.24M
Jul 20, 1999, 47.30, 47.95, 48.85, 46.84, 1.26M
Jul 19, 1999, 48.25, 49.69, 49.69, 47.61, 687.48K
Jul 16, 1999, 48.59, 48.57, 49.95, 48.15, 1.09M
Jul 15, 1999, 48.72, 50.58, 51.30, 47.97, 1.21M
Jul 14, 1999, 49.30, 49.55, 50.11, 46.74, 1.65M
Jul 13, 1999, 51.65, 52.87, 52.97, 49.13, 1.65M
Jul 12, 1999, 49.04, 49.04, 49.04, 48.50, 1.20M
Jul 09, 1999, 45.40, 42.28, 45.40, 42.28, 3.08M
Jul 08, 1999, 42.04, 40.62, 42.63, 40.11, 3.04M
Jul 07, 1999, 39.47, 37.69, 39.47, 37.69, 1.01M
Jul 06, 1999, 36.54, 33.92, 36.54, 33.92, 1.24M
Jul 05, 1999, 33.83, 32.35, 33.85, 31.54, 1.22M
Jul 02, 1999, 31.34, 30.97, 31.82, 30.43, 1.41M
Jul 01, 1999, 30.53, 30.97, 31.61, 30.13, 1.32M
Jun 30, 1999, 31.04, 31.46, 31.61, 30.64, 521.39K
Jun 29, 1999, 31.48, 32.10, 32.10, 31.15, 1.07M
Jun 28, 1999, 32.05, 32.72, 32.94, 31.89, 285.73K
Jun 25, 1999, 31.98, 32.79, 33.47, 31.42, 1.45M
Jun 24, 1999, 32.79, 33.64, 33.99, 32.24, 1.96M
Jun 23, 1999, 34.56, 34.89, 35.66, 34.06, 1.92M
Jun 22, 1999, 34.64, 34.96, 36.61, 33.78, 1.67M
Jun 21, 1999, 34.62, 34.57, 35.31, 34.13, 836.99K
Jun 18, 1999, 34.11, 33.36, 35.12, 33.36, 1.71M
Jun 17, 1999, 33.30, 31.68, 33.87, 30.99, 3.36M
Jun 16, 1999, 31.36, 31.68, 31.85, 30.02, 1.17M
Jun 15, 1999, 31.08, 32.80, 33.43, 30.58, 1.60M
Jun 14, 1999, 33.11, 31.34, 33.78, 29.31, 3.08M
Jun 11, 1999, 31.68, 29.59, 31.69, 29.24, 3.74M
Jun 10, 1999, 29.34, 30.08, 30.68, 28.89, 2.25M
Jun 09, 1999, 28.62, 27.36, 28.95, 27.29, 3.59M
Jun 08, 1999, 26.80, 25.95, 27.06, 25.42, 1.83M
Jun 07, 1999, 25.96, 26.07, 27.36, 25.83, 908.17K
Jun 04, 1999, 25.68, 25.26, 26.38, 24.84, 4.14M
