date, close, open, high, low, volume
Apr 04, 2014, 346.78, 357.30, 357.30, 346.06, 4.22M
Apr 03, 2014, 353.33, 356.75, 357.22, 350.52, 5.07M
Apr 02, 2014, 353.67, 355.24, 356.43, 352.81, 4.83M
Apr 01, 2014, 351.88, 349.78, 354.62, 347.30, 5.96M
Mar 31, 2014, 344.99, 348.54, 348.54, 342.59, 3.93M
Mar 28, 2014, 348.74, 347.55, 352.76, 346.13, 4.33M
Mar 27, 2014, 344.61, 348.54, 348.54, 343.02, 7.13M
Mar 26, 2014, 346.58, 348.54, 349.28, 343.58, 4.75M
Mar 25, 2014, 346.73, 350.05, 354.62, 345.66, 5.04M
Mar 24, 2014, 350.86, 357.22, 359.70, 349.49, 3.85M
Mar 22, 2014, 356.80, 354.24, 359.08, 352.76, 403.20K
Mar 21, 2014, 353.82, 350.03, 361.36, 346.68, 7.87M
Mar 20, 2014, 349.12, 346.31, 353.72, 346.31, 4.94M
Mar 19, 2014, 348.19, 348.29, 352.26, 340.17, 6.44M
Mar 18, 2014, 350.54, 353.50, 353.96, 349.28, 4.53M
Mar 14, 2014, 351.48, 358.36, 358.46, 348.65, 5.61M
Mar 13, 2014, 361.98, 358.46, 366.90, 356.55, 5.89M
Mar 12, 2014, 362.24, 358.86, 364.28, 357.22, 4.40M
Mar 11, 2014, 360.83, 357.48, 363.94, 356.69, 7.58M
Mar 10, 2014, 357.48, 366.65, 368.04, 356.60, 9.84M
Mar 07, 2014, 369.10, 370.12, 373.35, 361.25, 8.82M
Mar 06, 2014, 370.08, 364.51, 371.98, 364.42, 7.49M
Mar 05, 2014, 362.79, 368.86, 370.72, 360.53, 8.01M
Mar 04, 2014, 367.49, 375.08, 378.31, 365.92, 6.94M
Mar 03, 2014, 373.26, 390.96, 390.96, 370.07, 8.93M
Feb 28, 2014, 390.85, 379.55, 394.43, 379.55, 16.19M
Feb 26, 2014, 390.13, 384.26, 392.48, 382.31, 5.77M
Feb 25, 2014, 384.25, 381.77, 385.71, 380.79, 2.80M
Feb 24, 2014, 379.60, 382.28, 382.28, 377.22, 2.82M
Feb 21, 2014, 381.58, 364.91, 383.62, 364.91, 5.89M
Feb 20, 2014, 365.38, 370.87, 371.58, 364.01, 3.69M
Feb 19, 2014, 370.70, 370.12, 372.11, 366.00, 2.80M
Feb 18, 2014, 368.79, 374.09, 375.78, 367.95, 2.80M
Feb 17, 2014, 372.70, 372.11, 377.56, 371.61, 2.79M
Feb 14, 2014, 371.45, 370.62, 375.52, 366.80, 4.83M
Feb 13, 2014, 369.43, 371.86, 372.69, 367.28, 5.43M
Feb 12, 2014, 369.82, 367.14, 374.71, 366.59, 7.41M
Feb 11, 2014, 365.43, 351.02, 366.95, 351.02, 7.61M
Feb 10, 2014, 351.31, 348.39, 352.88, 346.46, 3.54M
Feb 07, 2014, 347.31, 352.19, 352.98, 343.73, 4.45M
Feb 06, 2014, 349.46, 347.30, 350.16, 338.37, 5.37M
Feb 05, 2014, 345.72, 350.28, 350.77, 341.22, 6.66M
Feb 04, 2014, 347.77, 355.86, 356.73, 341.12, 5.09M
Feb 03, 2014, 360.42, 360.69, 364.95, 359.37, 2.42M
Jan 31, 2014, 362.73, 356.25, 364.64, 354.77, 3.80M
Jan 30, 2014, 355.78, 352.98, 358.46, 349.23, 5.45M
