date, close, open, high, low, volume
Apr 04, 2014, 361.92, 361.97, 365.69, 359.23, 3.71M
Apr 03, 2014, 363.59, 367.18, 368.18, 362.32, 2.78M
Apr 02, 2014, 365.14, 371.65, 372.17, 360.15, 5.20M
Apr 01, 2014, 368.23, 374.92, 375.94, 365.46, 4.03M
Mar 31, 2014, 373.57, 373.14, 375.66, 370.72, 4.13M
Mar 28, 2014, 371.65, 374.14, 376.21, 366.71, 6.08M
Mar 27, 2014, 372.55, 374.17, 379.53, 370.18, 12.28M
Mar 26, 2014, 372.20, 375.56, 377.31, 371.22, 4.70M
Mar 25, 2014, 374.24, 374.17, 379.43, 373.04, 4.02M
Mar 24, 2014, 374.49, 366.43, 375.61, 366.18, 5.86M
Mar 22, 2014, 365.39, 367.18, 367.18, 363.91, 211.76K
Mar 21, 2014, 366.11, 366.76, 367.93, 364.79, 3.76M
Mar 20, 2014, 364.29, 368.40, 368.40, 363.19, 2.60M
Mar 19, 2014, 368.40, 369.18, 370.82, 367.06, 3.03M
Mar 18, 2014, 366.18, 366.88, 371.57, 363.34, 4.05M
Mar 14, 2014, 365.26, 366.68, 369.13, 361.20, 6.10M
Mar 13, 2014, 370.35, 362.94, 373.92, 362.94, 5.72M
Mar 12, 2014, 361.97, 359.82, 365.69, 357.45, 3.56M
Mar 11, 2014, 361.77, 366.43, 369.18, 358.98, 6.50M
Mar 10, 2014, 366.41, 352.47, 367.63, 349.22, 13.06M
Mar 07, 2014, 354.93, 339.05, 356.66, 337.35, 11.38M
Mar 06, 2014, 337.05, 335.75, 338.10, 333.31, 2.47M
Mar 05, 2014, 334.13, 336.00, 336.75, 330.51, 2.00M
Mar 04, 2014, 335.10, 332.26, 336.18, 331.39, 3.22M
Mar 03, 2014, 332.36, 331.86, 335.25, 330.86, 1.84M
Feb 28, 2014, 334.06, 340.24, 340.69, 331.84, 2.45M
Feb 26, 2014, 337.95, 334.26, 338.85, 333.53, 2.28M
Feb 25, 2014, 334.80, 336.25, 337.25, 332.26, 2.01M
Feb 24, 2014, 334.75, 330.31, 335.75, 327.15, 2.51M
Feb 21, 2014, 331.46, 329.19, 334.06, 329.12, 1.52M
Feb 20, 2014, 330.64, 332.16, 332.98, 329.69, 1.72M
Feb 19, 2014, 334.28, 327.37, 335.38, 326.77, 2.03M
Feb 18, 2014, 329.47, 323.53, 331.46, 322.98, 2.51M
Feb 17, 2014, 324.48, 320.29, 325.28, 319.84, 1.83M
Feb 14, 2014, 320.19, 316.30, 321.21, 313.98, 2.12M
Feb 13, 2014, 315.55, 322.28, 323.28, 314.92, 1.58M
Feb 12, 2014, 322.01, 322.58, 325.68, 321.11, 3.22M
Feb 11, 2014, 321.68, 322.28, 322.86, 318.94, 2.23M
Feb 10, 2014, 321.23, 323.11, 324.35, 317.29, 3.14M
Feb 07, 2014, 323.16, 325.48, 326.52, 320.34, 2.01M
Feb 06, 2014, 322.78, 318.67, 324.08, 314.05, 6.73M
Feb 05, 2014, 318.02, 314.80, 319.19, 311.86, 3.45M
Feb 04, 2014, 314.60, 310.13, 317.04, 307.72, 3.70M
Feb 03, 2014, 312.55, 314.28, 316.30, 311.86, 2.39M
Jan 31, 2014, 313.55, 314.30, 317.44, 311.86, 4.81M
Jan 30, 2014, 315.20, 318.04, 319.24, 313.13, 5.71M
Jan 29, 2014, 322.01, 323.03, 324.73, 319.56, 5.49M
Jan 28, 2014, 321.51, 323.28, 327.27, 318.59, 9.20M
Jan 27, 2014, 323.88, 331.71, 331.71, 322.08, 8.53M
Jan 24, 2014, 335.95, 334.26, 336.73, 331.11, 4.42M
Jan 23, 2014, 339.00, 336.75, 339.79, 335.63, 2.74M
Jan 22, 2014, 337.80, 337.00, 341.59, 336.58, 3.52M
Jan 21, 2014, 337.30, 335.73, 338.65, 334.26, 3.13M
Jan 20, 2014, 334.28, 333.31, 337.60, 332.46, 2.80M
Jan 17, 2014, 331.76, 336.75, 336.75, 328.79, 21.69M
Jan 16, 2014, 335.78, 341.44, 341.74, 334.43, 2.25M
Jan 15, 2014, 339.52, 335.75, 340.59, 334.06, 2.31M
Jan 14, 2014, 335.40, 333.78, 337.25, 333.41, 1.79M
Jan 13, 2014, 335.68, 329.32, 337.72, 327.72, 2.38M
Jan 10, 2014, 330.29, 330.74, 336.60, 327.42, 3.08M
Jan 09, 2014, 330.74, 330.86, 332.29, 327.82, 1.89M
Jan 08, 2014, 331.61, 331.86, 332.73, 329.27, 2.32M
Jan 07, 2014, 331.46, 332.81, 334.73, 325.92, 3.95M
Jan 06, 2014, 330.12, 330.76, 330.76, 327.77, 2.98M
Jan 03, 2014, 330.81, 325.28, 332.26, 324.28, 3.26M
Jan 02, 2014, 327.77, 331.76, 336.63, 326.05, 3.61M
Jan 01, 2014, 331.84, 333.26, 334.16, 330.76, 2.25M
Dec 31, 2013, 332.19, 335.30, 335.40, 329.32, 2.63M
Dec 30, 2013, 334.01, 337.65, 337.75, 331.84, 2.11M
Dec 27, 2013, 334.08, 331.31, 336.97, 331.31, 2.73M
Dec 26, 2013, 333.78, 329.19, 335.35, 327.72, 4.02M
Dec 24, 2013, 327.92, 332.04, 332.51, 326.80, 1.78M
Dec 23, 2013, 331.49, 328.27, 335.00, 327.77, 2.77M
Dec 20, 2013, 331.56, 328.17, 333.56, 324.33, 2.86M
Dec 19, 2013, 325.55, 338.75, 341.22, 324.48, 5.01M
Dec 18, 2013, 332.39, 324.53, 339.57, 324.05, 7.04M
Dec 17, 2013, 328.07, 337.07, 337.07, 326.30, 8.97M
Dec 16, 2013, 341.42, 343.24, 344.68, 339.84, 10.72M
Dec 13, 2013, 344.21, 343.14, 350.22, 341.74, 12.66M
Dec 12, 2013, 346.83, 345.83, 349.50, 344.48, 6.43M
Dec 11, 2013, 347.00, 344.28, 350.12, 342.69, 6.14M
Dec 10, 2013, 347.58, 345.41, 350.15, 344.23, 12.53M
Dec 09, 2013, 347.55, 354.21, 357.90, 345.51, 12.63M
