date, close, open, high, low, volume
Apr 25, 1996, 3.68, 3.89, 3.89, 3.60, 3.33M
Apr 24, 1996, 3.84, 3.89, 4.04, 3.79, 5.34M
Apr 23, 1996, 3.70, 3.76, 3.78, 3.62, 3.21M
Apr 22, 1996, 3.76, 3.99, 4.09, 3.70, 5.64M
Apr 19, 1996, 3.84, 3.69, 4.02, 3.62, 6.35M
Apr 18, 1996, 3.65, 3.54, 3.69, 3.50, 2.71M
Apr 17, 1996, 3.50, 3.42, 3.52, 3.42, 1.55M
Apr 16, 1996, 3.37, 3.41, 3.43, 3.35, 783.00K
Apr 15, 1996, 3.42, 3.40, 3.45, 3.37, 988.00K
Apr 12, 1996, 3.34, 3.33, 3.38, 3.27, 564.00K
Apr 11, 1996, 3.33, 3.24, 3.33, 3.24, 631.00K
Apr 10, 1996, 3.28, 3.38, 3.45, 3.23, 904.00K
Apr 09, 1996, 3.38, 3.44, 3.45, 3.35, 1.22M
Apr 08, 1996, 3.44, 3.40, 3.46, 3.40, 925.00K
Apr 04, 1996, 3.40, 3.45, 3.45, 3.34, 1.13M
Apr 03, 1996, 3.48, 3.39, 3.59, 3.39, 2.08M
Apr 02, 1996, 3.39, 3.28, 3.44, 3.27, 1.84M
Apr 01, 1996, 3.28, 3.24, 3.29, 3.23, 963.00K
Mar 29, 1996, 3.24, 3.20, 3.30, 3.19, 1.36M
Mar 28, 1996, 3.20, 3.12, 3.27, 3.12, 1.12M
Mar 27, 1996, 3.09, 3.04, 3.10, 3.02, 795.00K
Mar 26, 1996, 3.04, 3.02, 3.07, 2.97, 643.00K
Mar 25, 1996, 3.02, 2.99, 3.04, 2.97, 413.00K
Mar 22, 1996, 2.99, 3.00, 3.01, 2.93, 194.00K
Mar 21, 1996, 3.00, 2.95, 3.01, 2.94, 643.00K
Mar 19, 1996, 2.95, 2.98, 2.99, 2.89, 617.00K
Mar 18, 1996, 2.98, 2.99, 3.02, 2.92, 388.00K
Mar 15, 1996, 2.99, 3.09, 3.09, 2.99, 807.00K
Mar 14, 1996, 3.06, 3.07, 3.14, 3.04, 529.00K
Mar 13, 1996, 3.07, 2.99, 3.09, 2.99, 486.00K
Mar 12, 1996, 2.95, 2.99, 2.99, 2.92, 400.00K
Mar 11, 1996, 2.99, 3.04, 3.04, 2.97, 324.00K
