date, close, open, high, low, volume
Feb 13, 1998, 6.27, 6.31, 6.36, 6.25, 2.62M
Feb 12, 1998, 6.28, 6.21, 6.34, 6.14, 1.10M
Feb 11, 1998, 6.26, 6.58, 6.67, 6.14, 3.25M
Feb 10, 1998, 6.21, 6.69, 6.94, 6.18, 3.74M
Feb 09, 1998, 6.74, 6.78, 6.80, 6.69, 526.00K
Feb 06, 1998, 6.74, 6.69, 6.93, 6.61, 3.51M
Feb 05, 1998, 6.73, 6.88, 6.95, 6.69, 1.19M
Feb 04, 1998, 6.93, 7.11, 7.11, 6.81, 3.07M
Feb 03, 1998, 6.91, 7.23, 7.24, 6.81, 1.84M
Feb 02, 1998, 7.18, 7.31, 7.32, 7.03, 850.00K
Jan 30, 1998, 7.22, 7.24, 7.35, 7.18, 1.64M
Jan 29, 1998, 7.14, 7.23, 7.31, 7.13, 1.89M
Jan 28, 1998, 7.34, 7.48, 7.63, 7.24, 851.00K
Jan 27, 1998, 7.50, 7.76, 7.78, 7.48, 1.32M
Jan 23, 1998, 7.79, 7.84, 7.88, 7.69, 648.00K
Jan 22, 1998, 7.86, 7.98, 8.03, 7.83, 1.38M
Jan 21, 1998, 8.07, 7.78, 8.38, 7.68, 3.38M
Jan 20, 1998, 7.84, 7.51, 7.91, 7.51, 1.75M
Jan 19, 1998, 7.87, 7.79, 7.98, 7.68, 1.65M
Jan 16, 1998, 7.93, 7.27, 7.98, 7.22, 3.93M
Jan 15, 1998, 7.25, 7.33, 7.33, 7.15, 341.00K
Jan 14, 1998, 7.30, 7.63, 7.63, 7.15, 675.00K
Jan 13, 1998, 7.18, 7.17, 7.23, 7.08, 872.00K
Jan 12, 1998, 7.05, 7.38, 7.47, 6.98, 887.00K
Jan 09, 1998, 7.53, 7.59, 7.63, 7.41, 768.00K
Jan 08, 1998, 7.69, 7.78, 7.83, 7.58, 1.02M
Jan 07, 1998, 7.79, 7.88, 7.98, 7.73, 551.00K
Jan 06, 1998, 7.81, 7.88, 7.98, 7.75, 840.00K
Jan 05, 1998, 7.97, 8.13, 8.13, 7.95, 512.00K
Jan 02, 1998, 8.07, 8.13, 8.23, 8.01, 543.00K
Jan 01, 1998, 8.06, 7.93, 8.12, 7.93, 403.00K
Dec 31, 1997, 8.03, 7.83, 8.17, 7.81, 704.00K
Dec 30, 1997, 7.82, 8.18, 8.47, 7.78, 569.00K
Dec 29, 1997, 7.99, 7.92, 8.08, 7.83, 557.00K
Dec 26, 1997, 7.89, 7.81, 8.08, 7.80, 486.00K
Dec 24, 1997, 7.80, 7.78, 7.88, 7.66, 723.00K
Dec 23, 1997, 7.93, 7.78, 7.98, 7.78, 813.00K
Dec 22, 1997, 7.76, 7.58, 7.83, 7.58, 1.08M
Dec 19, 1997, 7.56, 7.51, 7.68, 7.38, 637.00K
Dec 18, 1997, 7.56, 7.18, 7.68, 7.18, 2.45M
Dec 17, 1997, 7.21, 7.12, 7.23, 7.12, 427.00K
Dec 16, 1997, 7.07, 7.00, 7.17, 6.99, 549.00K
Dec 15, 1997, 7.05, 7.03, 7.06, 6.98, 191.00K
Dec 12, 1997, 7.00, 7.26, 7.26, 6.94, 317.00K
Dec 11, 1997, 7.05, 7.03, 7.09, 6.94, 413.00K
Dec 10, 1997, 7.08, 7.12, 7.12, 7.00, 426.00K
Dec 09, 1997, 7.09, 7.28, 7.28, 7.02, 2.78M
Dec 08, 1997, 7.26, 7.03, 7.43, 7.03, 790.00K
Dec 05, 1997, 7.04, 6.88, 7.13, 6.88, 2.57M
Dec 04, 1997, 6.97, 6.89, 6.98, 6.83, 706.00K
Dec 03, 1997, 6.99, 7.03, 7.16, 6.98, 344.00K
Dec 02, 1997, 6.97, 7.01, 7.06, 6.93, 698.00K
Dec 01, 1997, 7.05, 6.99, 7.20, 6.91, 1.03M
Nov 28, 1997, 7.08, 7.14, 7.15, 6.99, 542.00K
Nov 27, 1997, 7.22, 7.12, 7.27, 6.98, 1.01M
Nov 26, 1997, 7.16, 7.23, 7.23, 7.10, 663.00K
Nov 25, 1997, 7.30, 6.98, 7.38, 6.93, 817.00K
Nov 24, 1997, 6.97, 7.06, 7.06, 6.94, 714.00K
Nov 21, 1997, 7.08, 6.99, 7.13, 6.93, 573.00K
Nov 20, 1997, 7.01, 6.70, 7.03, 6.70, 566.00K
Nov 19, 1997, 6.97, 6.81, 7.03, 6.80, 1.08M
Nov 18, 1997, 7.17, 7.19, 7.21, 7.11, 1.00M
Nov 17, 1997, 7.18, 7.24, 7.33, 7.10, 1.24M
Nov 13, 1997, 7.31, 7.36, 7.40, 7.23, 1.86M
Nov 12, 1997, 7.47, 7.50, 7.54, 7.46, 706.00K
Nov 11, 1997, 7.52, 7.51, 7.58, 7.45, 881.00K
