date, close, open, high, low, volume
Sep 03, 1999, 8.59, 8.68, 8.68, 8.49, 719.62K
Sep 02, 1999, 8.57, 8.49, 8.67, 8.48, 780.28K
Sep 01, 1999, 8.65, 8.77, 8.77, 8.38, 1.77M
Aug 31, 1999, 8.59, 8.78, 8.78, 8.53, 1.68M
Aug 30, 1999, 8.88, 8.98, 9.27, 8.81, 1.66M
Aug 27, 1999, 8.85, 8.98, 9.08, 8.73, 527.15K
Aug 26, 1999, 8.86, 8.81, 9.16, 8.78, 885.11K
Aug 25, 1999, 8.79, 9.47, 9.47, 8.68, 2.11M
Aug 24, 1999, 9.27, 8.77, 9.32, 8.48, 5.00M
Aug 23, 1999, 8.68, 8.11, 8.72, 8.06, 2.98M
Aug 20, 1999, 8.07, 8.04, 8.13, 7.98, 284.24K
Aug 19, 1999, 7.98, 8.38, 8.45, 7.94, 1.25M
Aug 18, 1999, 8.31, 8.27, 8.48, 8.11, 794.83K
Aug 17, 1999, 8.02, 8.03, 8.13, 7.91, 450.45K
Aug 16, 1999, 7.98, 7.93, 8.05, 7.78, 361.31K
Aug 13, 1999, 7.98, 8.11, 8.13, 7.93, 459.60K
Aug 12, 1999, 8.12, 8.18, 8.18, 8.09, 329.18K
Aug 11, 1999, 8.20, 8.37, 8.37, 8.13, 235.00K
Aug 10, 1999, 8.32, 7.99, 8.38, 7.64, 839.79K
Aug 09, 1999, 8.21, 8.42, 8.42, 8.11, 305.90K
Aug 06, 1999, 8.31, 8.18, 8.36, 8.01, 287.97K
Aug 05, 1999, 8.29, 8.41, 8.43, 8.24, 340.87K
Aug 04, 1999, 8.38, 8.48, 8.48, 8.31, 2.98M
Aug 03, 1999, 8.33, 8.24, 8.47, 8.24, 966.41K
Aug 02, 1999, 8.38, 8.47, 8.47, 8.33, 503.79K
Jul 30, 1999, 8.48, 8.62, 8.62, 8.43, 598.64K
Jul 29, 1999, 8.56, 8.60, 8.68, 8.53, 632.27K
Jul 28, 1999, 8.66, 8.58, 8.98, 8.58, 1.73M
Jul 27, 1999, 8.54, 8.46, 8.58, 8.39, 1.33M
Jul 26, 1999, 8.50, 8.56, 8.56, 8.43, 1.04M
Jul 23, 1999, 8.46, 8.61, 8.61, 8.44, 1.79M
Jul 22, 1999, 8.52, 8.53, 8.66, 8.46, 1.65M
Jul 21, 1999, 8.53, 8.57, 8.63, 8.18, 1.19M
Jul 20, 1999, 8.40, 8.44, 8.53, 8.19, 3.36M
Jul 19, 1999, 8.55, 8.82, 8.82, 8.48, 1.31M
Jul 16, 1999, 8.51, 8.48, 8.88, 8.41, 2.14M
Jul 15, 1999, 8.49, 8.98, 9.02, 8.43, 2.37M
Jul 14, 1999, 8.91, 8.78, 9.07, 8.68, 3.61M
Jul 13, 1999, 8.43, 8.23, 8.61, 8.23, 3.80M
Jul 12, 1999, 8.12, 7.73, 8.17, 7.68, 2.51M
Jul 09, 1999, 7.56, 7.68, 7.68, 7.49, 387.76K
Jul 08, 1999, 7.64, 7.38, 7.73, 7.33, 469.30K
Jul 07, 1999, 7.69, 7.53, 7.83, 7.53, 1.29M
Jul 06, 1999, 7.45, 7.43, 7.53, 7.33, 1.24M
Jul 05, 1999, 7.40, 7.77, 7.78, 7.31, 295.81K
Jul 02, 1999, 7.34, 7.42, 7.42, 7.29, 168.67K
Jul 01, 1999, 7.31, 7.44, 7.47, 7.29, 102.38K
Jun 30, 1999, 7.41, 7.43, 7.48, 7.38, 200.05K
Jun 29, 1999, 7.46, 7.51, 7.51, 7.36, 285.14K
Jun 28, 1999, 7.48, 7.67, 7.68, 7.39, 344.55K
Jun 25, 1999, 7.48, 7.53, 7.55, 7.48, 131.80K
Jun 24, 1999, 7.48, 7.41, 7.53, 7.41, 93.30K
Jun 23, 1999, 7.50, 7.63, 7.63, 7.48, 221.12K
Jun 22, 1999, 7.69, 7.68, 7.77, 7.60, 511.49K
Jun 21, 1999, 7.66, 7.48, 7.73, 7.48, 243.40K
Jun 18, 1999, 7.62, 7.88, 7.88, 7.58, 895.05K
Jun 17, 1999, 7.59, 7.70, 7.78, 7.58, 370.21K
Jun 16, 1999, 7.65, 7.19, 7.78, 7.19, 797.80K
Jun 15, 1999, 7.49, 7.48, 7.68, 7.43, 837.95K
Jun 14, 1999, 7.50, 7.18, 7.51, 7.18, 651.28K
Jun 11, 1999, 7.48, 7.54, 7.55, 7.28, 691.80K
Jun 10, 1999, 7.55, 7.78, 7.78, 7.55, 133.71K
Jun 09, 1999, 7.62, 7.72, 7.73, 7.58, 341.25K
Jun 08, 1999, 8.03, 7.39, 8.03, 7.39, 496.62K
Jun 07, 1999, 7.58, 7.73, 7.73, 7.58, 388.74K
Jun 04, 1999, 7.68, 7.85, 7.87, 7.60, 504.39K
Jun 03, 1999, 7.73, 7.73, 7.82, 7.64, 473.64K
Jun 02, 1999, 7.74, 7.38, 7.78, 7.38, 600.15K
Jun 01, 1999, 7.68, 7.91, 8.03, 7.60, 1.41M
May 31, 1999, 8.09, 7.78, 8.09, 7.78, 2.37M
May 28, 1999, 7.53, 7.38, 7.53, 7.22, 1.70M
May 27, 1999, 7.28, 7.38, 7.55, 7.28, 630.36K
May 26, 1999, 7.43, 7.43, 7.60, 7.36, 765.70K
May 25, 1999, 7.52, 7.40, 7.54, 7.40, 1.15M
May 24, 1999, 7.43, 7.44, 7.50, 7.38, 672.88K
May 21, 1999, 7.44, 7.78, 7.81, 7.38, 1.65M
May 20, 1999, 7.59, 7.92, 8.18, 7.58, 1.73M
May 19, 1999, 7.78, 7.38, 7.78, 7.36, 1.97M
May 18, 1999, 7.20, 7.13, 7.48, 7.11, 1.84M
May 17, 1999, 7.20, 7.68, 7.68, 7.07, 1.23M
May 14, 1999, 7.68, 7.73, 7.96, 7.48, 2.10M
May 13, 1999, 7.69, 7.78, 7.78, 7.38, 886.75K
May 12, 1999, 7.43, 7.79, 7.94, 7.18, 1.82M
May 11, 1999, 7.68, 8.51, 8.52, 7.52, 3.28M
May 10, 1999, 7.88, 7.88, 7.88, 7.65, 2.64M
May 07, 1999, 7.30, 6.88, 7.30, 6.81, 3.13M
May 06, 1999, 6.75, 6.69, 6.82, 6.64, 1.07M
May 05, 1999, 6.70, 6.54, 6.83, 6.44, 2.54M
May 04, 1999, 6.58, 6.29, 6.60, 6.29, 1.20M
May 03, 1999, 6.33, 6.49, 6.55, 6.29, 791.01K
Apr 30, 1999, 6.47, 6.27, 6.49, 6.26, 1.17M
Apr 29, 1999, 6.30, 6.13, 6.34, 6.09, 1.07M
Apr 28, 1999, 6.09, 5.89, 6.14, 5.84, 2.94M
Apr 26, 1999, 5.93, 6.09, 6.23, 5.93, 2.51M
Apr 23, 1999, 6.45, 6.44, 6.47, 6.32, 1.03M
Apr 22, 1999, 6.41, 6.59, 6.64, 6.36, 1.67M
Apr 21, 1999, 6.54, 6.71, 6.74, 6.49, 1.56M
