date, close, open, high, low, volume
Apr 09, 2019, 381.75, 386.00, 386.35, 378.60, 1.53M
Apr 08, 2019, 385.40, 387.90, 390.00, 381.65, 1.77M
Apr 05, 2019, 386.20, 380.00, 388.45, 380.00, 1.68M
Apr 04, 2019, 378.30, 385.15, 385.95, 377.50, 1.22M
Apr 03, 2019, 384.65, 380.60, 391.85, 379.15, 3.43M
Apr 02, 2019, 380.25, 384.45, 384.50, 379.10, 1.18M
Apr 01, 2019, 383.85, 378.20, 387.50, 377.15, 2.76M
Mar 29, 2019, 378.50, 372.75, 384.25, 369.30, 4.83M
Mar 28, 2019, 371.55, 371.95, 373.20, 368.10, 1.74M
Mar 27, 2019, 371.70, 370.05, 375.75, 370.05, 3.88M
Mar 26, 2019, 369.55, 362.20, 370.25, 361.05, 4.06M
Mar 25, 2019, 359.25, 360.90, 362.50, 355.40, 2.13M
Mar 22, 2019, 363.05, 364.30, 367.45, 361.55, 1.65M
Mar 20, 2019, 363.95, 364.00, 366.60, 362.30, 1.21M
Mar 19, 2019, 364.15, 368.00, 368.85, 362.50, 3.01M
Mar 18, 2019, 367.45, 372.00, 374.30, 366.15, 2.78M
Mar 15, 2019, 370.10, 367.00, 372.25, 366.25, 7.98M
Mar 14, 2019, 366.60, 369.50, 369.50, 366.05, 5.36M
Mar 13, 2019, 366.15, 367.50, 370.85, 365.30, 21.17M
Mar 12, 2019, 371.55, 367.55, 376.85, 367.55, 16.60M
Mar 11, 2019, 390.50, 391.00, 392.00, 385.30, 1.31M
Mar 08, 2019, 391.70, 389.10, 393.90, 385.00, 408.93K
Mar 07, 2019, 391.10, 390.60, 394.00, 384.30, 912.62K
Mar 06, 2019, 390.05, 379.80, 391.90, 376.05, 1.44M
Mar 05, 2019, 376.30, 360.10, 379.00, 360.10, 1.32M
Mar 01, 2019, 362.95, 351.80, 364.00, 351.80, 1.16M
Feb 28, 2019, 352.25, 351.85, 356.25, 348.15, 1.18M
Feb 27, 2019, 350.05, 355.30, 357.50, 348.05, 429.69K
Feb 26, 2019, 353.70, 351.00, 355.75, 346.35, 619.62K
Feb 25, 2019, 354.60, 362.95, 364.90, 354.00, 480.50K
Feb 22, 2019, 362.50, 358.35, 364.00, 356.15, 487.27K
