date, close, open, high, low, volume
Apr 25, 1996, 28.61, 27.86, 29.01, 27.49, 17.50K
Apr 24, 1996, 27.86, 27.96, 28.26, 27.86, 6.00K
Apr 23, 1996, 27.53, 27.56, 27.96, 26.49, 27.50K
Apr 22, 1996, 27.56, 27.76, 27.76, 27.47, 3.00K
Apr 19, 1996, 28.07, 28.96, 28.96, 27.99, 8.50K
Apr 18, 1996, 28.76, 28.56, 29.16, 28.56, 8.50K
Apr 17, 1996, 28.56, 28.36, 28.96, 28.09, 8.00K
Apr 16, 1996, 28.36, 28.26, 28.36, 27.47, 14.00K
Apr 15, 1996, 28.26, 28.46, 28.46, 28.26, 7.50K
Apr 12, 1996, 28.76, 28.46, 28.96, 28.36, 3.00K
Apr 11, 1996, 28.46, 28.46, 28.46, 27.46, 8.50K
Apr 10, 1996, 28.46, 28.48, 28.96, 28.21, 6.50K
Apr 09, 1996, 28.48, 29.36, 29.36, 28.27, 7.00K
Apr 08, 1996, 28.66, 28.26, 28.76, 28.26, 4.00K
Apr 04, 1996, 28.21, 28.15, 28.41, 28.15, 3.00K
Apr 03, 1996, 28.41, 28.56, 28.56, 28.09, 9.50K
Apr 02, 1996, 28.76, 29.73, 29.76, 28.76, 8.00K
Apr 01, 1996, 29.73, 29.45, 29.91, 28.46, 101.50K
Mar 29, 1996, 29.45, 31.77, 31.78, 29.16, 16.50K
Mar 28, 1996, 31.77, 29.08, 31.95, 29.06, 87.00K
Mar 27, 1996, 29.08, 29.66, 29.96, 29.06, 16.00K
Mar 26, 1996, 29.66, 29.11, 29.96, 28.76, 22.00K
Mar 25, 1996, 29.11, 28.96, 29.11, 28.56, 14.00K
Mar 22, 1996, 28.96, 28.49, 29.06, 28.49, 18.00K
Mar 21, 1996, 28.46, 28.08, 28.46, 27.49, 15.50K
Mar 19, 1996, 28.08, 28.56, 28.96, 28.06, 12.50K
Mar 18, 1996, 28.91, 28.06, 29.06, 28.01, 225.50K
Mar 15, 1996, 28.96, 27.96, 29.06, 27.68, 117.50K
Mar 14, 1996, 27.96, 28.06, 28.46, 27.77, 73.50K
Mar 13, 1996, 28.06, 28.06, 28.06, 27.77, 4.00K
Mar 12, 1996, 28.44, 27.46, 28.46, 27.46, 63.00K
Mar 11, 1996, 27.46, 27.66, 27.96, 26.96, 21.50K
Mar 08, 1996, 27.96, 28.26, 28.26, 27.59, 20.00K
Mar 07, 1996, 28.74, 28.96, 28.96, 28.56, 15.50K
Mar 06, 1996, 29.12, 28.96, 29.36, 28.96, 12.00K
Mar 04, 1996, 28.75, 27.96, 28.76, 27.96, 29.50K
Mar 01, 1996, 27.74, 27.76, 27.76, 27.49, 16.00K
Feb 29, 1996, 27.76, 27.76, 27.76, 27.72, 13.50K
Feb 28, 1996, 27.94, 27.66, 28.16, 27.66, 36.00K
Feb 27, 1996, 27.66, 27.46, 27.66, 26.86, 19.00K
Feb 26, 1996, 27.46, 26.96, 27.46, 26.47, 10.00K
Feb 23, 1996, 26.96, 26.13, 26.96, 25.91, 14.00K
Feb 22, 1996, 26.13, 25.16, 26.21, 25.16, 13.00K
Feb 20, 1996, 24.96, 25.06, 25.06, 24.96, 15.00K
Feb 19, 1996, 25.22, 25.23, 25.26, 24.96, 10.50K
Feb 16, 1996, 25.23, 25.26, 25.26, 24.96, 11.00K
Feb 15, 1996, 25.47, 24.96, 25.96, 24.96, 11.50K
Feb 14, 1996, 24.96, 24.61, 24.96, 24.61, 4.00K
Feb 13, 1996, 24.47, 24.47, 24.64, 24.47, 6.00K
Feb 12, 1996, 24.47, 23.97, 24.47, 23.97, 17.50K
Feb 09, 1996, 23.97, 23.09, 24.47, 23.07, 15.00K
Feb 08, 1996, 23.09, 23.07, 23.09, 23.07, 1.50K
Feb 07, 1996, 23.07, 23.47, 23.47, 23.07, 8.00K
Feb 06, 1996, 23.67, 23.47, 23.97, 23.47, 8.50K
Feb 05, 1996, 23.47, 23.17, 23.47, 23.07, 5.00K
Feb 02, 1996, 23.24, 23.27, 23.27, 22.77, 4.00K
Feb 01, 1996, 23.27, 22.72, 23.27, 22.72, 4.00K
Jan 31, 1996, 22.67, 22.47, 22.67, 22.47, 4.00K
Jan 30, 1996, 22.47, 22.19, 22.47, 22.17, 7.50K
Jan 29, 1996, 22.19, 22.17, 22.37, 22.17, 5.50K
Jan 25, 1996, 22.07, 22.07, 22.32, 21.97, 6.00K
Jan 24, 1996, 22.07, 22.17, 22.17, 22.07, 5.50K
Jan 23, 1996, 22.22, 22.34, 22.37, 22.07, 8.50K
Jan 22, 1996, 22.34, 22.32, 22.37, 22.32, 1.50K
Jan 19, 1996, 22.17, 22.27, 22.47, 22.17, 14.00K
Jan 18, 1996, 22.27, 22.17, 22.27, 22.17, 5.50K
Jan 17, 1996, 21.97, 22.17, 22.17, 21.97, 1.50K
Jan 16, 1996, 22.27, 22.27, 22.27, 21.94, 3.50K
Jan 15, 1996, 22.17, 22.17, 22.42, 22.17, 5.00K
Jan 12, 1996, 22.17, 22.17, 22.47, 22.17, 2.00K
Jan 11, 1996, 22.07, 22.37, 22.37, 22.07, 4.50K
Jan 10, 1996, 22.42, 21.97, 22.42, 21.97, 4.50K
Jan 09, 1996, 22.17, 22.46, 22.46, 21.97, 7.50K
Jan 08, 1996, 22.47, 22.75, 22.77, 22.47, 28.00K
Jan 05, 1996, 22.75, 22.57, 22.82, 22.37, 3.00K
Jan 04, 1996, 22.57, 23.57, 23.57, 22.17, 22.00K
Jan 03, 1996, 22.37, 22.47, 22.67, 22.37, 5.00K
Jan 02, 1996, 22.42, 22.97, 23.96, 22.37, 5.00K
Jan 01, 1996, 22.59, 22.59, 22.59, 22.59, 0.50K
Dec 29, 1995, 22.87, 22.79, 23.86, 22.79, 6.50K
Dec 28, 1995, 22.58, 22.97, 22.97, 22.58, 2.50K
Dec 27, 1995, 22.97, 22.97, 22.97, 22.97, 0.50K
Dec 26, 1995, 22.39, 22.76, 23.06, 21.97, 8.00K
