date, close, open, high, low, volume
Feb 13, 1998, 71.09, 70.20, 71.80, 70.20, 76.00K
Feb 12, 1998, 70.10, 70.00, 70.60, 69.90, 57.50K
Feb 11, 1998, 70.25, 71.29, 71.29, 70.00, 43.50K
Feb 10, 1998, 70.30, 71.85, 72.20, 69.90, 197.50K
Feb 09, 1998, 72.32, 73.10, 73.10, 72.00, 128.50K
Feb 06, 1998, 73.35, 73.89, 74.09, 73.20, 69.00K
Feb 05, 1998, 73.68, 74.39, 74.39, 73.40, 47.00K
Feb 04, 1998, 73.38, 74.59, 75.99, 72.70, 177.50K
Feb 03, 1998, 75.12, 73.49, 75.49, 72.11, 399.50K
Feb 02, 1998, 72.93, 72.40, 73.39, 71.62, 253.50K
Jan 30, 1998, 72.22, 69.00, 72.40, 69.00, 365.50K
Jan 29, 1998, 68.82, 69.10, 69.10, 68.25, 124.50K
Jan 28, 1998, 68.93, 69.05, 69.90, 68.60, 226.00K
Jan 27, 1998, 68.60, 70.59, 70.60, 68.20, 501.50K
Jan 23, 1998, 70.08, 70.67, 70.90, 69.63, 282.00K
Jan 22, 1998, 70.56, 69.90, 72.12, 69.40, 715.00K
Jan 21, 1998, 71.07, 73.70, 75.69, 68.90, 831.50K
Jan 20, 1998, 74.08, 77.05, 77.69, 73.50, 773.00K
Jan 19, 1998, 76.74, 77.09, 77.77, 75.39, 247.50K
Jan 16, 1998, 77.25, 78.07, 78.29, 76.99, 204.50K
Jan 15, 1998, 77.62, 79.59, 80.29, 76.79, 285.00K
Jan 14, 1998, 80.07, 80.98, 82.36, 79.09, 141.50K
Jan 13, 1998, 78.76, 82.33, 82.33, 78.09, 222.50K
Jan 12, 1998, 81.88, 83.98, 85.48, 80.88, 149.00K
Jan 09, 1998, 89.75, 88.57, 90.72, 85.98, 588.50K
Jan 08, 1998, 89.25, 91.07, 91.07, 89.15, 68.00K
Jan 07, 1998, 91.47, 92.36, 92.66, 90.87, 79.50K
Jan 06, 1998, 90.78, 92.87, 93.16, 89.97, 158.50K
Jan 05, 1998, 93.05, 93.56, 94.07, 92.92, 97.00K
Jan 02, 1998, 93.06, 93.86, 93.87, 92.89, 87.00K
Jan 01, 1998, 93.19, 92.87, 94.77, 92.37, 79.50K
Dec 31, 1997, 92.47, 91.76, 94.47, 91.72, 396.00K
Dec 30, 1997, 91.65, 90.07, 93.37, 89.10, 424.50K
