date, close, open, high, low, volume
Sep 03, 1999, 267.92, 265.22, 272.61, 264.82, 45.12K
Sep 02, 1999, 263.14, 267.62, 269.60, 261.63, 26.32K
Sep 01, 1999, 273.54, 277.60, 283.40, 265.27, 36.29K
Aug 31, 1999, 277.49, 276.61, 279.40, 269.64, 83.77K
Aug 30, 1999, 281.90, 277.60, 284.59, 274.61, 95.65K
Aug 27, 1999, 264.95, 248.65, 264.95, 248.65, 52.03K
Aug 26, 1999, 245.32, 249.63, 249.63, 244.26, 55.22K
Aug 25, 1999, 243.65, 249.64, 249.64, 243.65, 15.63K
Aug 24, 1999, 244.61, 246.05, 246.85, 241.26, 104.69K
Aug 23, 1999, 245.28, 248.65, 249.64, 244.65, 88.92K
Aug 20, 1999, 245.09, 243.67, 247.44, 243.67, 42.36K
Aug 19, 1999, 244.72, 251.64, 251.64, 242.65, 113.85K
Aug 18, 1999, 250.67, 244.65, 254.64, 244.65, 459.16K
Aug 17, 1999, 239.76, 243.65, 246.47, 238.66, 126.05K
Aug 16, 1999, 240.99, 239.86, 245.65, 239.66, 113.91K
Aug 13, 1999, 241.57, 244.65, 247.63, 238.14, 98.11K
Aug 12, 1999, 243.86, 248.65, 248.65, 237.66, 114.23K
Aug 11, 1999, 249.36, 259.63, 260.63, 248.65, 79.21K
Aug 10, 1999, 257.09, 269.82, 269.82, 253.64, 80.62K
Aug 09, 1999, 270.87, 276.21, 276.21, 267.62, 104.04K
Aug 06, 1999, 277.09, 275.61, 279.60, 272.81, 100.53K
Aug 05, 1999, 273.00, 289.59, 289.59, 270.61, 62.08K
Aug 04, 1999, 283.59, 252.04, 291.08, 252.04, 154.39K
Aug 03, 1999, 269.52, 285.39, 285.39, 246.65, 79.12K
Aug 02, 1999, 264.44, 281.36, 281.38, 262.63, 49.50K
Jul 30, 1999, 278.20, 284.96, 285.59, 274.61, 88.82K
Jul 29, 1999, 284.21, 300.54, 317.55, 279.60, 104.59K
Jul 28, 1999, 296.44, 284.59, 303.15, 281.80, 134.81K
Jul 27, 1999, 280.69, 259.03, 281.30, 258.23, 122.70K
Jul 26, 1999, 260.46, 258.43, 261.23, 258.10, 51.82K
Jul 23, 1999, 257.07, 257.63, 258.83, 252.69, 57.35K
Jul 22, 1999, 257.68, 259.63, 263.62, 256.04, 88.26K
Jul 21, 1999, 259.29, 248.65, 261.43, 247.90, 123.18K
Jul 20, 1999, 249.54, 249.25, 257.63, 244.71, 86.41K
Jul 19, 1999, 248.17, 239.06, 249.64, 239.06, 67.91K
Jul 16, 1999, 233.34, 224.68, 238.66, 224.68, 42.74K
Jul 15, 1999, 224.30, 230.03, 233.27, 223.68, 37.74K
Jul 14, 1999, 228.42, 222.68, 231.67, 222.68, 32.00K
Jul 13, 1999, 232.93, 240.66, 240.66, 231.67, 71.71K
Jul 12, 1999, 238.27, 237.66, 242.45, 232.27, 63.36K
Jul 09, 1999, 230.23, 223.28, 231.67, 222.68, 105.21K
Jul 08, 1999, 223.28, 224.38, 224.38, 220.69, 19.78K
Jul 07, 1999, 222.48, 223.88, 225.48, 219.69, 34.51K
Jul 06, 1999, 226.81, 219.49, 229.67, 219.49, 132.79K
Jul 05, 1999, 219.26, 214.10, 220.69, 214.10, 41.61K
Jul 02, 1999, 213.93, 211.70, 215.69, 211.70, 22.70K
Jul 01, 1999, 212.06, 216.69, 218.09, 211.71, 21.31K
Jun 30, 1999, 213.59, 197.92, 215.69, 197.74, 48.01K
Jun 29, 1999, 212.81, 215.89, 217.89, 211.90, 29.09K
Jun 28, 1999, 214.96, 203.70, 218.49, 202.11, 64.53K
Jun 25, 1999, 202.34, 199.74, 203.11, 199.72, 27.41K
Jun 24, 1999, 199.73, 200.71, 201.11, 198.92, 17.18K
Jun 23, 1999, 202.67, 203.61, 203.71, 200.31, 28.18K
Jun 22, 1999, 201.70, 199.72, 203.51, 198.92, 50.33K
Jun 21, 1999, 199.79, 197.93, 201.18, 195.72, 158.33K
Jun 18, 1999, 196.63, 199.52, 199.72, 195.52, 40.85K
Jun 17, 1999, 199.02, 199.72, 200.71, 198.53, 54.07K
Jun 16, 1999, 199.83, 199.72, 200.71, 194.92, 52.43K
Jun 15, 1999, 200.31, 201.52, 202.71, 198.72, 55.42K
Jun 14, 1999, 199.86, 203.64, 203.64, 197.72, 17.70K
Jun 11, 1999, 201.16, 201.71, 204.00, 199.92, 61.42K
Jun 10, 1999, 202.67, 189.73, 205.71, 189.73, 58.76K
Jun 09, 1999, 202.48, 213.70, 213.70, 200.71, 47.41K
Jun 08, 1999, 209.30, 196.12, 209.70, 195.33, 38.62K
Jun 07, 1999, 195.72, 207.70, 209.50, 195.72, 51.62K
Jun 04, 1999, 205.71, 199.72, 206.71, 198.32, 80.27K
Jun 03, 1999, 198.72, 196.12, 198.72, 196.12, 10.32K
Jun 02, 1999, 196.92, 197.70, 197.72, 193.72, 7.45K
Jun 01, 1999, 199.72, 199.72, 207.50, 196.53, 35.66K
May 31, 1999, 198.92, 196.72, 199.72, 196.72, 20.06K
May 28, 1999, 195.52, 192.73, 196.22, 189.73, 68.38K
May 27, 1999, 194.72, 189.74, 195.72, 189.74, 13.34K
May 26, 1999, 194.72, 196.12, 198.92, 190.13, 107.90K
May 25, 1999, 196.12, 194.73, 198.12, 191.77, 36.59K
