date, close, open, high, low, volume
Apr 04, 2014, 137.65, 137.90, 139.40, 136.10, 5.44M
Apr 03, 2014, 137.15, 136.00, 140.90, 133.30, 10.26M
Apr 02, 2014, 136.00, 139.00, 139.55, 134.60, 10.11M
Apr 01, 2014, 138.20, 142.00, 142.50, 136.10, 12.58M
Mar 31, 2014, 141.75, 132.00, 142.95, 131.05, 27.87M
Mar 28, 2014, 130.90, 125.40, 131.70, 125.00, 9.72M
Mar 27, 2014, 125.40, 125.20, 126.45, 124.05, 6.76M
Mar 26, 2014, 125.40, 121.10, 125.95, 121.10, 14.06M
Mar 25, 2014, 120.75, 120.95, 122.65, 120.25, 8.55M
Mar 24, 2014, 121.60, 120.00, 122.50, 118.20, 7.51M
Mar 22, 2014, 121.20, 123.00, 123.00, 120.95, 651.20K
Mar 21, 2014, 123.50, 120.55, 124.00, 119.80, 10.59M
Mar 20, 2014, 119.65, 119.65, 121.95, 119.00, 7.02M
Mar 19, 2014, 120.05, 115.25, 121.10, 114.05, 15.92M
Mar 18, 2014, 114.85, 116.00, 116.40, 114.20, 8.03M
Mar 14, 2014, 115.20, 114.70, 116.10, 113.50, 5.68M
Mar 13, 2014, 115.65, 114.50, 118.95, 114.50, 6.40M
Mar 12, 2014, 114.75, 115.70, 118.40, 113.95, 9.50M
Mar 11, 2014, 117.40, 121.90, 121.90, 116.20, 14.42M
Mar 10, 2014, 121.95, 123.05, 123.50, 121.00, 8.82M
Mar 07, 2014, 124.55, 120.10, 125.85, 119.80, 15.70M
Mar 06, 2014, 120.80, 115.75, 121.20, 114.70, 16.61M
Mar 05, 2014, 115.75, 114.85, 117.20, 112.20, 12.02M
Mar 04, 2014, 113.60, 105.40, 114.25, 105.40, 16.43M
Mar 03, 2014, 105.60, 105.00, 107.35, 104.70, 9.87M
Feb 28, 2014, 105.35, 99.00, 106.40, 99.00, 26.49M
Feb 26, 2014, 98.40, 99.75, 99.75, 98.05, 12.13M
Feb 25, 2014, 98.80, 97.15, 99.05, 97.00, 15.03M
Feb 24, 2014, 97.45, 97.65, 98.80, 96.70, 8.05M
Feb 21, 2014, 97.65, 97.30, 98.25, 97.30, 6.48M
Feb 20, 2014, 97.35, 98.50, 98.55, 97.05, 3.40M
Feb 19, 2014, 98.85, 99.60, 100.10, 98.40, 4.58M
Feb 18, 2014, 99.30, 98.70, 100.50, 97.75, 8.48M
Feb 17, 2014, 98.50, 100.00, 100.75, 97.65, 6.87M
Feb 14, 2014, 99.90, 100.75, 101.00, 97.85, 6.39M
Feb 13, 2014, 100.20, 103.90, 104.55, 99.75, 12.65M
Feb 12, 2014, 103.50, 105.15, 105.60, 103.05, 5.33M
Feb 11, 2014, 104.55, 106.90, 107.10, 104.25, 3.96M
Feb 10, 2014, 106.80, 106.45, 107.70, 105.80, 3.12M
Feb 07, 2014, 106.40, 106.15, 107.70, 104.75, 9.65M
Feb 06, 2014, 105.75, 104.65, 106.50, 103.10, 10.19M
Feb 05, 2014, 104.25, 102.40, 105.15, 101.00, 9.11M
Feb 04, 2014, 102.45, 102.00, 103.45, 99.80, 13.94M
Feb 03, 2014, 103.45, 109.00, 109.40, 103.00, 5.57M
Jan 31, 2014, 109.55, 109.05, 110.00, 107.00, 8.29M
Jan 30, 2014, 108.10, 110.20, 110.70, 107.60, 5.08M
Jan 29, 2014, 111.75, 114.50, 114.75, 111.15, 4.71M
Jan 28, 2014, 113.80, 110.00, 115.00, 109.75, 4.51M
Jan 27, 2014, 111.10, 112.00, 112.70, 109.30, 8.72M
Jan 24, 2014, 114.00, 113.15, 115.35, 113.00, 5.74M
Jan 23, 2014, 114.30, 114.20, 115.25, 113.60, 2.85M
Jan 22, 2014, 115.20, 112.60, 115.40, 112.50, 5.52M
Jan 21, 2014, 113.00, 112.45, 113.40, 110.65, 3.83M
Jan 20, 2014, 112.10, 110.10, 113.50, 110.10, 3.11M
Jan 17, 2014, 111.30, 113.50, 114.00, 110.50, 5.33M
Jan 16, 2014, 112.95, 111.45, 113.35, 111.15, 4.75M
Jan 15, 2014, 110.85, 110.30, 112.90, 110.20, 4.82M
Jan 14, 2014, 109.40, 110.00, 111.25, 108.75, 2.92M
Jan 13, 2014, 110.00, 110.20, 112.25, 108.50, 4.21M
Jan 10, 2014, 110.55, 112.80, 113.00, 110.15, 9.01M
Jan 09, 2014, 112.65, 115.00, 115.25, 112.00, 5.40M
Jan 08, 2014, 115.25, 118.25, 118.30, 114.50, 5.00M
Jan 07, 2014, 116.05, 118.15, 118.95, 115.00, 4.92M
Jan 06, 2014, 118.25, 118.50, 119.60, 117.20, 3.31M
Jan 03, 2014, 118.75, 120.00, 120.70, 117.10, 4.28M
Jan 02, 2014, 120.65, 121.80, 125.65, 120.00, 7.28M
Jan 01, 2014, 121.80, 122.60, 123.80, 121.35, 4.12M
Dec 31, 2013, 122.60, 122.00, 123.15, 121.25, 2.18M
Dec 30, 2013, 121.75, 123.00, 123.40, 121.10, 2.79M
Dec 27, 2013, 122.45, 121.10, 123.10, 120.60, 2.85M
Dec 26, 2013, 121.10, 120.80, 122.70, 120.35, 5.73M
Dec 24, 2013, 122.00, 123.60, 124.35, 121.50, 2.89M
Dec 23, 2013, 123.55, 120.00, 124.80, 120.00, 6.40M
Dec 20, 2013, 119.45, 118.00, 120.15, 118.00, 5.39M
Dec 19, 2013, 119.00, 118.50, 120.75, 117.65, 9.03M
Dec 18, 2013, 117.80, 116.65, 118.45, 116.05, 4.70M
Dec 17, 2013, 116.45, 117.50, 119.00, 116.10, 4.13M
Dec 16, 2013, 116.65, 118.00, 119.00, 115.65, 4.89M
Dec 13, 2013, 118.70, 120.20, 121.05, 117.80, 6.93M
Dec 12, 2013, 121.05, 122.00, 123.25, 120.50, 3.78M
Dec 11, 2013, 123.45, 125.00, 126.85, 122.70, 8.39M
Dec 10, 2013, 125.10, 124.40, 126.00, 120.70, 8.45M
Dec 09, 2013, 123.90, 123.80, 124.95, 121.15, 6.67M
Dec 06, 2013, 120.50, 119.05, 122.45, 119.00, 5.15M
Dec 05, 2013, 121.75, 122.65, 123.95, 121.25, 4.80M
Dec 04, 2013, 120.70, 124.00, 124.45, 120.15, 5.59M
Dec 03, 2013, 124.05, 120.75, 126.35, 120.40, 9.47M
Dec 02, 2013, 121.85, 122.75, 123.40, 120.35, 5.00M
Nov 29, 2013, 122.70, 121.00, 123.40, 121.00, 5.01M
Nov 28, 2013, 121.40, 119.60, 122.35, 118.75, 8.33M
Nov 27, 2013, 118.75, 119.00, 120.60, 116.90, 6.50M
