date, close, open, high, low, volume
Apr 04, 2014, 605.30, 611.00, 613.50, 602.50, 877.77K
Apr 03, 2014, 606.30, 590.35, 612.00, 590.35, 736.77K
Apr 02, 2014, 594.60, 604.00, 605.90, 588.00, 2.77M
Apr 01, 2014, 601.75, 605.00, 607.95, 595.35, 716.99K
Mar 31, 2014, 605.55, 600.00, 608.85, 595.00, 1.09M
Mar 28, 2014, 599.80, 600.10, 604.00, 590.30, 949.08K
Mar 27, 2014, 599.80, 592.00, 603.00, 590.05, 2.48M
Mar 26, 2014, 591.55, 593.00, 599.40, 588.35, 1.21M
Mar 25, 2014, 592.75, 583.00, 594.40, 577.50, 1.32M
Mar 24, 2014, 582.35, 575.00, 584.00, 574.15, 944.11K
Mar 22, 2014, 573.90, 572.85, 574.60, 572.50, 46.93K
Mar 21, 2014, 571.70, 577.70, 580.70, 570.10, 2.67M
Mar 20, 2014, 572.55, 561.60, 574.30, 561.55, 1.43M
Mar 19, 2014, 561.60, 558.10, 562.10, 554.65, 1.16M
Mar 18, 2014, 556.05, 554.00, 560.00, 550.60, 1.46M
Mar 14, 2014, 553.65, 561.85, 562.00, 551.55, 1.24M
Mar 13, 2014, 561.85, 561.00, 567.20, 559.25, 1.06M
Mar 12, 2014, 560.25, 564.00, 565.60, 558.00, 971.64K
Mar 11, 2014, 560.35, 558.80, 564.90, 552.65, 1.92M
Mar 10, 2014, 557.20, 552.00, 559.80, 548.75, 1.66M
Mar 07, 2014, 550.40, 550.50, 554.45, 547.20, 1.00M
Mar 06, 2014, 549.05, 552.60, 554.55, 547.40, 1.02M
Mar 05, 2014, 551.20, 555.60, 559.00, 549.75, 621.41K
Mar 04, 2014, 554.90, 544.00, 556.00, 544.00, 734.70K
Mar 03, 2014, 543.20, 550.00, 550.95, 542.00, 608.89K
Feb 28, 2014, 549.25, 554.00, 556.00, 542.35, 1.80M
Feb 26, 2014, 554.75, 554.00, 559.50, 553.20, 1.01M
Feb 25, 2014, 554.45, 555.50, 556.90, 553.00, 541.46K
Feb 24, 2014, 554.90, 555.25, 557.70, 553.20, 540.67K
Feb 21, 2014, 555.35, 557.40, 557.40, 551.85, 669.72K
Feb 20, 2014, 554.05, 558.10, 558.90, 553.10, 651.99K
Feb 19, 2014, 558.70, 562.50, 562.85, 557.15, 456.10K
Feb 18, 2014, 562.25, 560.00, 566.00, 559.95, 237.07K
Feb 17, 2014, 560.25, 558.00, 566.00, 558.00, 380.48K
Feb 14, 2014, 560.25, 557.00, 563.45, 553.30, 749.38K
Feb 13, 2014, 557.25, 572.00, 572.00, 555.55, 486.48K
Feb 12, 2014, 569.45, 564.85, 570.35, 563.40, 1.65M
Feb 11, 2014, 562.45, 565.00, 569.35, 561.80, 1.58M
Feb 10, 2014, 564.00, 575.65, 579.75, 562.65, 1.26M
Feb 07, 2014, 577.65, 587.40, 589.65, 574.95, 927.01K
Feb 06, 2014, 586.55, 570.00, 588.20, 568.30, 1.72M
Feb 05, 2014, 570.00, 570.05, 571.20, 561.60, 2.42M
