date, close, open, high, low, volume
Apr 04, 2014, 223.72, 223.64, 226.35, 220.95, 13.92M
Apr 03, 2014, 224.32, 226.35, 226.49, 222.74, 27.45M
Apr 02, 2014, 226.01, 223.66, 227.69, 223.66, 21.49M
Apr 01, 2014, 222.54, 227.69, 228.77, 221.56, 23.42M
Mar 31, 2014, 226.37, 231.45, 231.45, 225.55, 13.58M
Mar 28, 2014, 228.95, 230.73, 231.09, 226.91, 11.25M
Mar 27, 2014, 228.91, 229.11, 232.00, 226.56, 35.66M
Mar 26, 2014, 228.45, 229.69, 230.67, 227.56, 13.29M
Mar 25, 2014, 227.74, 225.09, 228.90, 224.36, 16.14M
Mar 24, 2014, 225.85, 218.91, 227.07, 218.91, 20.42M
Mar 22, 2014, 217.84, 218.18, 219.58, 217.42, 521.32K
Mar 21, 2014, 218.10, 220.00, 220.73, 216.60, 19.29M
Mar 20, 2014, 218.32, 219.73, 221.78, 217.66, 16.81M
Mar 19, 2014, 219.99, 220.18, 222.47, 218.73, 18.89M
Mar 18, 2014, 219.00, 220.91, 223.82, 217.95, 19.60M
Mar 14, 2014, 220.91, 217.51, 221.74, 216.00, 24.01M
Mar 13, 2014, 221.82, 220.73, 225.73, 220.73, 17.98M
Mar 12, 2014, 220.30, 217.09, 222.36, 216.00, 21.74M
Mar 11, 2014, 217.85, 217.95, 224.06, 216.44, 44.64M
Mar 10, 2014, 217.02, 215.27, 220.81, 214.95, 42.22M
Mar 07, 2014, 218.53, 208.19, 223.64, 207.13, 45.17M
Mar 06, 2014, 206.17, 200.85, 207.43, 200.61, 23.33M
Mar 05, 2014, 199.89, 195.45, 200.45, 193.76, 21.98M
Mar 04, 2014, 194.38, 187.64, 194.91, 187.64, 15.72M
Mar 03, 2014, 187.24, 188.58, 191.09, 185.71, 18.15M
Feb 28, 2014, 189.79, 190.00, 190.70, 187.45, 15.52M
Feb 26, 2014, 188.45, 187.47, 189.06, 186.93, 10.07M
Feb 25, 2014, 187.47, 189.78, 190.55, 186.37, 15.46M
Feb 24, 2014, 188.40, 185.47, 189.55, 185.13, 10.66M
Feb 21, 2014, 186.42, 183.83, 187.79, 183.83, 8.40M
Feb 20, 2014, 183.25, 185.07, 185.45, 182.91, 10.39M
Feb 19, 2014, 187.44, 188.35, 189.59, 186.83, 11.78M
Feb 18, 2014, 188.69, 184.00, 189.78, 182.60, 19.12M
Feb 17, 2014, 183.48, 180.18, 184.34, 179.82, 14.27M
Feb 14, 2014, 179.72, 179.27, 180.24, 176.40, 15.13M
Feb 13, 2014, 178.84, 181.91, 183.45, 178.18, 24.64M
Feb 12, 2014, 181.67, 177.68, 182.14, 177.68, 21.47M
Feb 11, 2014, 176.15, 175.44, 177.00, 174.91, 11.24M
Feb 10, 2014, 174.65, 175.12, 175.96, 173.86, 8.92M
Feb 07, 2014, 174.63, 176.36, 176.73, 172.82, 15.64M
Feb 06, 2014, 174.19, 176.36, 177.16, 172.01, 22.98M
Feb 05, 2014, 175.68, 177.26, 177.94, 173.68, 16.44M
Feb 04, 2014, 176.12, 172.70, 176.91, 171.56, 16.99M
Feb 03, 2014, 175.18, 178.36, 178.55, 173.71, 19.56M
Jan 31, 2014, 179.58, 179.00, 180.62, 176.63, 14.48M
Jan 30, 2014, 177.19, 179.43, 180.42, 175.18, 27.45M
Jan 29, 2014, 182.07, 187.60, 188.78, 181.02, 26.52M
Jan 28, 2014, 185.21, 183.76, 187.07, 177.95, 26.61M
Jan 27, 2014, 183.60, 188.87, 188.95, 183.14, 27.90M
Jan 24, 2014, 192.40, 193.47, 195.27, 191.38, 10.28M
Jan 23, 2014, 196.26, 198.36, 198.36, 194.93, 10.27M
Jan 22, 2014, 197.81, 196.40, 198.36, 194.40, 12.79M
Jan 21, 2014, 196.01, 191.45, 196.36, 190.69, 14.90M
Jan 20, 2014, 189.82, 188.09, 190.55, 186.91, 10.62M
Jan 17, 2014, 188.10, 191.53, 193.07, 187.46, 9.67M
Jan 16, 2014, 192.53, 193.91, 193.91, 190.74, 8.99M
Jan 15, 2014, 192.43, 190.00, 194.33, 189.62, 18.90M
Jan 14, 2014, 188.45, 191.27, 192.91, 187.82, 16.93M
Jan 13, 2014, 191.80, 187.29, 192.93, 187.29, 17.98M
Jan 10, 2014, 186.27, 190.43, 191.75, 185.21, 21.84M
Jan 09, 2014, 191.06, 193.60, 193.75, 189.50, 19.24M
Jan 08, 2014, 191.69, 191.64, 193.43, 189.69, 18.96M
Jan 07, 2014, 190.91, 190.01, 192.58, 186.15, 18.57M
Jan 06, 2014, 189.24, 193.82, 194.36, 188.19, 14.80M
Jan 03, 2014, 193.96, 194.18, 195.45, 190.00, 15.57M
Jan 02, 2014, 195.56, 199.30, 203.27, 194.56, 11.32M
Jan 01, 2014, 199.58, 200.16, 201.10, 198.55, 3.10M
Dec 31, 2013, 199.77, 200.20, 201.60, 198.92, 4.36M
Dec 30, 2013, 199.40, 202.73, 204.53, 198.76, 7.42M
Dec 27, 2013, 201.86, 201.45, 202.51, 200.44, 7.80M
Dec 26, 2013, 199.94, 199.09, 201.05, 198.61, 14.37M
Dec 24, 2013, 199.79, 200.00, 201.80, 197.87, 9.60M
Dec 23, 2013, 199.65, 197.64, 201.25, 197.64, 11.21M
Dec 20, 2013, 197.76, 194.55, 198.29, 193.80, 15.53M
Dec 19, 2013, 193.36, 201.82, 202.16, 192.43, 21.11M
Dec 18, 2013, 199.24, 197.89, 205.95, 196.65, 40.18M
Dec 17, 2013, 199.69, 201.82, 203.91, 198.21, 13.25M
Dec 16, 2013, 199.55, 198.00, 200.72, 197.27, 11.42M
Dec 13, 2013, 197.27, 202.73, 202.73, 196.36, 25.36M
Dec 12, 2013, 205.93, 210.01, 210.18, 205.15, 14.56M
Dec 11, 2013, 210.61, 208.73, 213.24, 207.46, 16.23M
Dec 10, 2013, 210.61, 218.18, 218.75, 209.78, 27.37M
Dec 09, 2013, 218.49, 218.18, 219.38, 216.56, 33.90M
Dec 06, 2013, 207.98, 206.44, 208.65, 204.16, 18.36M
Dec 05, 2013, 206.52, 201.55, 207.36, 201.55, 43.42M
Dec 04, 2013, 193.86, 196.07, 196.07, 192.77, 16.08M
Dec 03, 2013, 197.35, 197.43, 199.95, 196.19, 13.78M
Dec 02, 2013, 197.87, 194.62, 200.00, 194.62, 15.86M
Nov 29, 2013, 194.30, 190.00, 195.08, 189.82, 12.89M
Nov 28, 2013, 188.75, 192.24, 193.56, 187.35, 21.81M
Nov 27, 2013, 189.57, 192.18, 192.27, 188.52, 14.82M
Nov 26, 2013, 189.77, 193.82, 197.18, 188.88, 20.10M
Nov 25, 2013, 195.38, 188.27, 196.17, 187.70, 20.88M
Nov 22, 2013, 185.55, 189.09, 189.76, 183.97, 17.01M
Nov 21, 2013, 187.32, 189.07, 189.30, 185.82, 13.86M
Nov 20, 2013, 190.75, 195.82, 195.82, 189.29, 12.39M
Nov 19, 2013, 197.27, 195.95, 198.13, 194.55, 17.39M
Nov 18, 2013, 195.21, 193.27, 197.78, 192.56, 18.23M
Nov 14, 2013, 191.29, 186.72, 194.15, 186.72, 18.20M
Nov 13, 2013, 184.53, 181.71, 185.98, 181.04, 19.42M
Nov 12, 2013, 184.14, 188.73, 189.64, 183.29, 17.58M
Nov 11, 2013, 188.58, 188.74, 191.42, 186.42, 14.21M
