date, close, open, high, low, volume
Feb 13, 1998, 6.29, 6.20, 6.33, 6.18, 297.77K
Feb 12, 1998, 6.29, 6.13, 6.34, 6.13, 414.78K
Feb 11, 1998, 6.21, 6.09, 6.24, 6.08, 585.03K
Feb 10, 1998, 6.04, 6.17, 6.21, 6.01, 1.83M
Feb 09, 1998, 6.23, 6.37, 6.37, 6.20, 551.50K
Feb 06, 1998, 6.30, 6.34, 6.39, 6.24, 1.25M
Feb 05, 1998, 6.37, 6.24, 6.43, 6.19, 1.23M
Feb 04, 1998, 6.15, 6.73, 6.73, 6.05, 6.23M
Feb 03, 1998, 6.57, 7.19, 7.21, 6.52, 2.49M
Feb 02, 1998, 7.14, 7.13, 7.18, 6.92, 1.26M
Jan 30, 1998, 6.93, 6.96, 7.13, 6.83, 2.00M
Jan 29, 1998, 6.92, 6.66, 6.97, 6.66, 1.16M
Jan 28, 1998, 6.78, 6.55, 6.80, 6.50, 1.25M
Jan 27, 1998, 6.66, 6.93, 7.13, 6.62, 1.91M
Jan 23, 1998, 7.00, 7.30, 7.30, 6.85, 3.57M
Jan 22, 1998, 7.31, 7.64, 7.64, 7.25, 4.52M
Jan 21, 1998, 7.74, 7.36, 7.95, 7.36, 11.05M
Jan 20, 1998, 7.23, 7.23, 7.23, 7.07, 1.80M
Jan 19, 1998, 7.20, 6.77, 7.23, 6.77, 5.98M
Jan 16, 1998, 6.72, 6.16, 6.72, 6.13, 3.73M
Jan 15, 1998, 6.10, 6.15, 6.31, 6.05, 1.49M
Jan 14, 1998, 6.26, 6.09, 6.36, 5.90, 2.14M
Jan 13, 1998, 5.78, 5.72, 5.86, 5.71, 3.91M
Jan 12, 1998, 5.66, 5.64, 5.89, 5.54, 2.10M
Jan 09, 1998, 5.83, 6.10, 6.31, 5.70, 2.34M
Jan 08, 1998, 6.23, 6.59, 6.59, 6.20, 1.14M
Jan 07, 1998, 6.64, 6.68, 6.80, 6.54, 594.89K
Jan 06, 1998, 6.54, 6.62, 6.62, 6.50, 679.03K
Jan 05, 1998, 6.63, 6.69, 6.73, 6.60, 551.50K
Jan 02, 1998, 6.58, 6.59, 6.73, 6.56, 600.80K
Jan 01, 1998, 6.56, 6.58, 6.58, 6.48, 269.51K
Dec 31, 1997, 6.49, 6.47, 6.65, 6.44, 546.25K
Dec 30, 1997, 6.39, 6.47, 6.50, 6.38, 1.16M
Dec 29, 1997, 6.47, 6.56, 6.56, 6.41, 725.70K
Dec 26, 1997, 6.49, 6.51, 6.62, 6.43, 415.44K
Dec 24, 1997, 6.43, 6.25, 6.44, 6.22, 672.45K
Dec 23, 1997, 6.40, 6.45, 6.52, 6.36, 454.22K
Dec 22, 1997, 6.45, 6.35, 6.47, 6.35, 956.42K
Dec 19, 1997, 6.32, 6.12, 6.39, 6.10, 1.04M
Dec 18, 1997, 6.12, 6.05, 6.24, 6.01, 688.23K
Dec 17, 1997, 6.03, 5.97, 6.07, 5.93, 336.56K
Dec 16, 1997, 5.83, 5.60, 5.92, 5.58, 642.87K
Dec 15, 1997, 5.57, 5.55, 5.61, 5.50, 184.71K
Dec 12, 1997, 5.51, 5.55, 5.63, 5.48, 480.51K
Dec 11, 1997, 5.51, 5.40, 5.55, 5.40, 314.86K
Dec 10, 1997, 5.41, 5.48, 5.51, 5.36, 853.22K
Dec 09, 1997, 5.50, 5.51, 5.55, 5.42, 887.40K
Dec 08, 1997, 5.55, 5.81, 5.81, 5.48, 1.24M
Dec 05, 1997, 5.67, 5.74, 5.90, 5.67, 2.04M
Dec 04, 1997, 5.83, 6.10, 6.16, 5.70, 876.23K
Dec 03, 1997, 6.24, 6.38, 6.40, 6.20, 542.96K
Dec 02, 1997, 6.33, 6.44, 6.50, 6.29, 400.97K
Dec 01, 1997, 6.44, 6.47, 6.47, 6.27, 412.15K
Nov 28, 1997, 6.56, 6.62, 6.66, 6.54, 228.10K
Nov 27, 1997, 6.70, 6.51, 6.72, 6.51, 306.98K
Nov 26, 1997, 6.63, 6.54, 6.69, 6.54, 354.30K
Nov 25, 1997, 6.59, 6.33, 6.65, 6.33, 608.04K
Nov 24, 1997, 6.39, 6.46, 6.56, 6.36, 457.51K
Nov 21, 1997, 6.52, 6.47, 6.57, 6.47, 273.45K
Nov 20, 1997, 6.56, 6.35, 6.58, 6.35, 644.19K
Nov 19, 1997, 6.49, 6.24, 6.59, 6.24, 1.04M
Nov 18, 1997, 6.60, 6.57, 6.69, 6.53, 1.49M
Nov 17, 1997, 6.62, 6.57, 6.69, 6.48, 1.35M
Nov 13, 1997, 6.46, 6.59, 6.73, 6.05, 8.02M
Nov 12, 1997, 6.70, 7.05, 7.12, 6.68, 1.95M
Nov 11, 1997, 7.16, 7.00, 7.23, 6.94, 1.02M
Nov 10, 1997, 6.99, 7.29, 7.29, 6.85, 2.01M
Nov 07, 1997, 7.26, 7.23, 7.28, 7.21, 1.41M
Nov 06, 1997, 7.26, 7.20, 7.27, 7.20, 703.35K
Nov 05, 1997, 7.26, 7.17, 7.30, 7.17, 737.53K
Nov 04, 1997, 7.25, 7.26, 7.30, 7.23, 1.30M
Nov 03, 1997, 7.26, 7.36, 7.41, 7.19, 900.55K
Oct 30, 1997, 7.36, 7.45, 7.45, 7.24, 836.79K
Oct 29, 1997, 7.41, 7.38, 7.45, 7.16, 2.08M
Oct 28, 1997, 6.95, 7.25, 7.30, 6.77, 6.46M
Oct 27, 1997, 7.32, 7.61, 7.84, 7.15, 5.75M
Oct 24, 1997, 7.72, 7.76, 7.77, 7.53, 3.26M
Oct 23, 1997, 7.77, 8.02, 8.05, 7.65, 4.69M
Oct 22, 1997, 7.98, 8.06, 8.29, 7.87, 8.24M
Oct 21, 1997, 8.00, 7.55, 8.06, 7.38, 11.38M
Oct 20, 1997, 7.57, 7.42, 7.61, 7.38, 9.32M
Oct 17, 1997, 7.42, 7.38, 7.47, 7.30, 5.49M
Oct 16, 1997, 7.39, 7.35, 7.42, 7.31, 5.45M
