date, close, open, high, low, volume
Sep 03, 1999, 5.02, 4.97, 5.08, 4.97, 227.09K
Sep 02, 1999, 5.06, 4.98, 5.08, 4.96, 168.44K
Sep 01, 1999, 5.10, 5.32, 5.32, 5.02, 510.46K
Aug 31, 1999, 5.17, 5.26, 5.29, 5.15, 623.25K
Aug 30, 1999, 5.32, 5.54, 5.54, 5.25, 287.61K
Aug 27, 1999, 5.32, 5.49, 5.49, 5.29, 330.32K
Aug 26, 1999, 5.38, 5.48, 5.49, 5.10, 373.04K
Aug 25, 1999, 5.33, 5.74, 5.78, 5.25, 1.24M
Aug 24, 1999, 5.52, 5.51, 5.59, 5.20, 830.29K
Aug 23, 1999, 5.35, 5.55, 5.55, 5.30, 439.10K
Aug 20, 1999, 5.35, 5.45, 5.45, 5.21, 214.05K
Aug 19, 1999, 5.39, 5.63, 5.70, 5.35, 498.52K
Aug 18, 1999, 5.55, 5.35, 5.55, 5.35, 754.78K
Aug 17, 1999, 5.14, 4.96, 5.28, 4.96, 624.96K
Aug 16, 1999, 5.01, 4.93, 5.06, 4.93, 635.31K
Aug 13, 1999, 4.89, 5.07, 5.13, 4.87, 368.44K
Aug 12, 1999, 5.02, 5.09, 5.09, 4.91, 666.87K
Aug 11, 1999, 4.95, 5.06, 5.08, 4.91, 220.93K
Aug 10, 1999, 5.01, 5.10, 5.17, 4.94, 387.06K
Aug 09, 1999, 5.13, 5.13, 5.17, 5.05, 222.63K
Aug 06, 1999, 5.01, 5.03, 5.17, 5.00, 158.81K
Aug 05, 1999, 5.08, 5.40, 5.46, 5.05, 285.94K
Aug 04, 1999, 5.29, 5.17, 5.40, 5.12, 354.10K
Aug 03, 1999, 5.05, 4.97, 5.17, 4.97, 275.87K
Aug 02, 1999, 5.21, 5.02, 5.31, 5.02, 218.08K
Jul 30, 1999, 5.16, 5.39, 5.40, 5.02, 390.81K
Jul 29, 1999, 5.39, 5.56, 5.56, 5.38, 142.01K
Jul 28, 1999, 5.45, 5.41, 5.61, 5.41, 274.75K
Jul 27, 1999, 5.41, 5.35, 5.55, 5.35, 423.61K
