date, close, open, high, low, volume
Apr 17, 2004, 23.77, 24.28, 24.28, 23.66, 2.24M
Apr 16, 2004, 24.02, 23.43, 24.20, 23.43, 6.42M
Apr 15, 2004, 24.04, 24.00, 24.31, 23.97, 12.58M
Apr 13, 2004, 24.00, 23.71, 24.18, 23.31, 7.35M
Apr 12, 2004, 23.77, 24.20, 24.31, 23.65, 5.95M
Apr 08, 2004, 24.09, 23.89, 24.24, 22.56, 9.67M
Apr 07, 2004, 24.14, 23.98, 24.33, 23.84, 8.18M
Apr 06, 2004, 23.96, 24.09, 24.28, 23.87, 5.68M
Apr 05, 2004, 24.09, 23.42, 24.35, 23.42, 8.02M
Apr 02, 2004, 24.01, 24.09, 24.26, 23.81, 8.81M
Apr 01, 2004, 23.93, 23.27, 24.11, 22.98, 11.64M
Mar 31, 2004, 23.05, 22.77, 23.36, 22.77, 13.03M
Mar 30, 2004, 23.21, 23.71, 23.71, 23.10, 8.53M
Mar 29, 2004, 23.58, 23.76, 23.80, 23.39, 4.64M
Mar 26, 2004, 23.67, 23.91, 24.06, 23.21, 10.63M
Mar 25, 2004, 23.62, 23.45, 23.99, 23.45, 11.69M
Mar 24, 2004, 23.58, 23.95, 24.20, 23.49, 10.77M
Mar 23, 2004, 23.84, 23.54, 23.98, 23.54, 10.94M
Mar 22, 2004, 23.70, 23.69, 23.95, 23.49, 12.76M
Mar 19, 2004, 23.65, 23.84, 23.84, 23.45, 9.64M
Mar 18, 2004, 24.00, 24.09, 24.28, 23.69, 6.60M
Mar 17, 2004, 24.12, 23.87, 24.31, 23.25, 23.53M
Mar 16, 2004, 23.78, 24.15, 24.31, 23.07, 20.76M
Mar 15, 2004, 24.33, 25.30, 25.30, 24.11, 11.31M
Mar 12, 2004, 25.07, 25.30, 25.37, 24.92, 10.96M
Mar 11, 2004, 25.37, 25.72, 25.81, 25.19, 15.30M
Mar 10, 2004, 25.89, 25.77, 26.12, 25.41, 12.09M
Mar 09, 2004, 25.83, 25.77, 26.08, 25.59, 10.94M
Mar 08, 2004, 25.99, 25.79, 26.22, 25.64, 8.54M
Mar 05, 2004, 25.78, 25.46, 26.07, 25.46, 10.48M
Mar 04, 2004, 25.74, 25.86, 26.03, 25.46, 10.79M
Mar 03, 2004, 25.96, 25.19, 26.30, 24.78, 18.40M
Mar 01, 2004, 25.20, 24.31, 25.32, 24.09, 18.36M
Feb 27, 2004, 24.32, 24.18, 24.53, 24.02, 8.72M
Feb 26, 2004, 24.12, 23.54, 24.47, 23.54, 16.34M
Feb 25, 2004, 23.78, 24.32, 24.53, 23.67, 8.69M
Feb 24, 2004, 24.58, 24.24, 24.77, 23.70, 23.84M
Feb 23, 2004, 24.08, 24.09, 24.44, 23.87, 15.82M
Feb 20, 2004, 24.11, 22.67, 24.26, 22.67, 19.07M
Feb 19, 2004, 23.84, 23.87, 24.02, 23.69, 24.49M
Feb 18, 2004, 23.86, 24.08, 24.09, 23.29, 22.64M
Feb 17, 2004, 23.87, 23.60, 24.11, 23.43, 19.21M
Feb 16, 2004, 23.66, 23.38, 23.95, 23.36, 14.59M
Feb 13, 2004, 23.40, 22.54, 23.46, 22.30, 31.62M
Feb 12, 2004, 22.31, 22.21, 22.60, 22.21, 16.88M
Feb 11, 2004, 22.31, 22.41, 22.41, 22.01, 15.67M
Feb 10, 2004, 22.20, 22.16, 22.43, 21.99, 22.25M
Feb 09, 2004, 22.00, 21.63, 22.30, 21.63, 14.17M
Feb 06, 2004, 21.88, 21.65, 22.12, 21.52, 18.76M
Feb 05, 2004, 21.54, 22.32, 22.32, 21.46, 15.34M
Feb 04, 2004, 22.13, 22.34, 22.70, 21.99, 17.59M
Feb 03, 2004, 22.34, 22.54, 23.14, 21.63, 17.10M
Jan 30, 2004, 22.65, 23.09, 23.20, 22.43, 10.19M
Jan 29, 2004, 22.73, 22.55, 23.20, 22.45, 32.27M
Jan 28, 2004, 22.49, 23.00, 23.46, 22.22, 14.01M
Jan 27, 2004, 23.28, 23.16, 23.62, 22.43, 20.03M
Jan 23, 2004, 22.74, 23.87, 24.08, 21.93, 45.17M
Jan 22, 2004, 23.86, 24.53, 24.84, 23.62, 20.33M
Jan 21, 2004, 24.44, 26.50, 26.50, 24.20, 19.70M
Jan 20, 2004, 24.77, 25.30, 25.50, 24.42, 17.47M
Jan 19, 2004, 25.19, 24.86, 25.44, 24.56, 14.33M
Jan 16, 2004, 24.78, 25.19, 25.28, 24.53, 16.11M
Jan 15, 2004, 25.10, 25.24, 25.79, 24.86, 29.24M
Jan 14, 2004, 25.06, 24.55, 25.13, 23.65, 19.71M
Jan 13, 2004, 24.33, 24.37, 24.68, 23.89, 16.24M
Jan 12, 2004, 24.62, 24.20, 24.85, 23.56, 24.39M
Jan 09, 2004, 23.99, 24.09, 24.53, 23.58, 29.00M
Jan 08, 2004, 23.79, 22.76, 23.97, 22.70, 26.13M
Jan 07, 2004, 22.65, 22.56, 22.87, 22.22, 15.80M
Jan 06, 2004, 22.85, 23.54, 23.73, 22.54, 18.30M
Jan 05, 2004, 23.45, 23.09, 23.60, 22.45, 40.53M
Jan 02, 2004, 22.60, 21.99, 22.76, 21.99, 36.20M
Jan 01, 2004, 21.98, 21.88, 22.21, 21.68, 24.30M
Dec 31, 2003, 21.73, 21.77, 21.94, 21.66, 16.04M
Dec 30, 2003, 21.74, 22.03, 22.28, 21.55, 22.35M
Dec 29, 2003, 21.99, 21.81, 22.36, 21.50, 22.22M
Dec 26, 2003, 21.55, 21.77, 21.94, 21.39, 9.59M
Dec 24, 2003, 21.59, 21.97, 21.97, 21.40, 17.61M
Dec 23, 2003, 21.56, 21.88, 21.97, 21.46, 7.60M
Dec 22, 2003, 21.80, 21.94, 21.97, 21.69, 6.05M
Dec 19, 2003, 21.84, 22.16, 22.34, 21.70, 14.03M
Dec 18, 2003, 21.83, 22.43, 22.43, 21.77, 16.27M
Dec 17, 2003, 22.38, 22.89, 22.89, 22.12, 17.48M
Dec 16, 2003, 22.80, 22.03, 22.97, 21.72, 33.90M
Dec 15, 2003, 21.98, 21.44, 22.07, 21.41, 13.35M
Dec 12, 2003, 21.37, 20.66, 21.55, 20.40, 11.08M
Dec 11, 2003, 21.51, 21.66, 21.75, 20.99, 18.71M
Dec 10, 2003, 21.62, 21.21, 21.87, 21.10, 41.17M
Dec 09, 2003, 20.98, 20.22, 21.10, 20.22, 35.89M
Dec 08, 2003, 20.18, 20.05, 20.40, 20.04, 17.14M
Dec 05, 2003, 20.13, 20.00, 20.60, 20.00, 34.45M
Dec 04, 2003, 19.89, 19.38, 20.11, 19.33, 25.94M
Dec 03, 2003, 19.34, 19.40, 19.73, 19.25, 16.52M
Dec 02, 2003, 19.38, 19.34, 19.58, 19.18, 14.49M
Dec 01, 2003, 19.27, 19.20, 19.34, 18.94, 18.40M
Nov 28, 2003, 18.95, 18.78, 19.18, 18.78, 11.49M
Nov 27, 2003, 18.90, 18.90, 19.09, 18.70, 19.23M
Nov 25, 2003, 18.90, 19.11, 19.16, 18.82, 8.74M
Nov 24, 2003, 19.00, 19.38, 19.45, 18.95, 7.11M
Nov 21, 2003, 19.30, 19.06, 19.40, 18.78, 11.71M
Nov 20, 2003, 19.03, 19.32, 19.60, 18.83, 13.36M
Nov 19, 2003, 19.22, 19.23, 19.31, 18.83, 7.72M
Nov 18, 2003, 19.09, 19.14, 19.23, 18.96, 8.10M
Nov 17, 2003, 18.99, 18.90, 19.15, 18.85, 5.61M
Nov 14, 2003, 18.89, 18.83, 18.97, 18.78, 14.85M
Nov 13, 2003, 18.87, 19.00, 19.00, 18.74, 12.76M
Nov 12, 2003, 18.80, 19.27, 19.31, 18.65, 10.53M
Nov 11, 2003, 19.12, 19.27, 19.27, 19.05, 15.25M
Nov 10, 2003, 19.05, 19.12, 19.23, 18.68, 8.62M
Nov 07, 2003, 19.09, 19.38, 19.42, 18.92, 14.01M
Nov 06, 2003, 19.38, 19.60, 19.71, 19.34, 12.84M
Nov 05, 2003, 19.64, 19.78, 20.10, 19.50, 23.32M
Nov 04, 2003, 19.89, 19.67, 20.02, 19.67, 18.86M
Nov 03, 2003, 19.59, 19.34, 19.69, 19.12, 17.92M
Oct 31, 2003, 19.15, 19.00, 19.36, 19.00, 11.31M
Oct 30, 2003, 19.01, 19.05, 19.12, 18.94, 12.22M
Oct 29, 2003, 19.07, 19.40, 19.40, 18.67, 32.70M
Oct 28, 2003, 19.19, 19.07, 19.34, 19.03, 11.26M
Oct 27, 2003, 19.12, 19.31, 19.44, 19.00, 11.97M
Oct 24, 2003, 18.96, 18.75, 19.05, 18.57, 8.45M
Oct 23, 2003, 18.74, 19.36, 19.36, 18.57, 11.10M
Oct 22, 2003, 19.36, 19.25, 19.45, 19.12, 11.79M
Oct 21, 2003, 19.28, 19.23, 19.45, 18.98, 14.75M
Oct 20, 2003, 19.36, 19.56, 19.67, 19.31, 11.07M
Oct 17, 2003, 19.57, 19.71, 19.89, 19.34, 11.28M
Oct 16, 2003, 19.80, 19.67, 19.96, 19.48, 13.35M
Oct 15, 2003, 19.52, 19.52, 19.78, 18.95, 14.11M
Oct 14, 2003, 19.38, 20.11, 20.15, 19.14, 15.63M
Oct 13, 2003, 19.98, 19.58, 20.11, 19.49, 16.32M
Oct 10, 2003, 19.65, 19.45, 19.84, 19.43, 13.70M
Oct 09, 2003, 19.42, 18.78, 19.54, 18.67, 23.15M
Oct 08, 2003, 18.63, 18.74, 18.76, 18.46, 12.68M
Oct 07, 2003, 18.53, 18.62, 18.93, 18.43, 23.55M
Oct 06, 2003, 18.54, 18.03, 18.65, 17.97, 24.63M
Oct 03, 2003, 17.89, 17.92, 18.16, 17.79, 14.09M
Oct 01, 2003, 17.91, 17.83, 18.01, 17.68, 8.08M
Sep 30, 2003, 17.70, 18.09, 18.14, 17.57, 14.36M
Sep 29, 2003, 17.98, 18.08, 18.24, 17.90, 5.70M
Sep 26, 2003, 18.14, 18.05, 18.21, 17.86, 10.73M
Sep 25, 2003, 17.93, 17.70, 18.30, 17.70, 15.84M
Sep 24, 2003, 18.13, 17.63, 18.23, 17.40, 20.08M
Sep 23, 2003, 17.46, 17.13, 17.52, 17.08, 9.00M
Sep 22, 2003, 17.24, 17.75, 17.77, 17.23, 10.93M
Sep 19, 2003, 17.57, 17.35, 17.79, 17.15, 15.64M
Sep 18, 2003, 17.11, 17.29, 17.45, 17.02, 9.43M
Sep 17, 2003, 17.32, 17.81, 17.81, 17.24, 17.95M
Sep 16, 2003, 17.61, 17.44, 17.93, 17.24, 29.55M
Sep 15, 2003, 17.53, 17.66, 17.90, 17.41, 10.35M
Sep 12, 2003, 17.78, 18.22, 18.45, 17.68, 12.58M
Sep 11, 2003, 18.12, 18.56, 18.76, 18.01, 14.02M
Sep 10, 2003, 18.58, 18.34, 18.67, 18.19, 8.79M
Sep 09, 2003, 18.27, 18.89, 18.92, 18.12, 12.75M
Sep 08, 2003, 18.81, 18.45, 18.87, 18.45, 15.60M
