date, close, open, high, low, volume
Feb 13, 1998, 13.42, 13.12, 13.48, 13.12, 356.56M
Feb 12, 1998, 13.09, 13.09, 13.13, 12.95, 193.01M
Feb 11, 1998, 13.11, 13.07, 13.19, 13.02, 303.26M
Feb 10, 1998, 12.97, 12.99, 13.09, 12.91, 239.93M
Feb 09, 1998, 13.05, 13.17, 13.19, 12.98, 227.15M
Feb 06, 1998, 13.15, 13.15, 13.35, 12.88, 485.95M
Feb 05, 1998, 13.16, 12.91, 13.24, 12.91, 362.41M
Feb 04, 1998, 12.87, 12.99, 13.17, 12.80, 426.94M
Feb 03, 1998, 12.87, 12.72, 12.95, 12.64, 358.19M
Feb 02, 1998, 12.63, 12.45, 12.73, 12.34, 310.96M
Jan 30, 1998, 12.39, 12.29, 12.42, 12.20, 233.98M
Jan 29, 1998, 12.24, 12.12, 12.31, 12.07, 275.05M
Jan 28, 1998, 12.18, 12.84, 12.97, 12.05, 585.01M
Jan 27, 1998, 12.86, 12.99, 13.03, 12.75, 205.59M
Jan 23, 1998, 13.00, 12.89, 13.07, 12.85, 235.02M
Jan 22, 1998, 12.92, 13.05, 13.05, 12.87, 215.82M
Jan 21, 1998, 13.09, 13.17, 13.21, 13.04, 181.40M
Jan 20, 1998, 13.15, 13.26, 13.42, 13.09, 410.27M
Jan 19, 1998, 13.22, 13.04, 13.27, 12.92, 268.17M
Jan 16, 1998, 13.09, 13.06, 13.17, 12.98, 300.09M
Jan 15, 1998, 13.02, 12.83, 13.06, 12.71, 474.49M
Jan 14, 1998, 12.87, 13.19, 13.45, 12.68, 554.86M
Jan 13, 1998, 13.05, 12.84, 13.26, 12.84, 420.99M
Jan 12, 1998, 12.80, 13.10, 13.10, 12.66, 418.47M
Jan 09, 1998, 13.17, 13.08, 13.28, 12.93, 570.71M
Jan 08, 1998, 13.22, 13.55, 13.57, 13.10, 451.33M
Jan 07, 1998, 13.61, 13.60, 13.78, 13.46, 336.19M
Jan 06, 1998, 13.56, 13.58, 13.81, 13.38, 417.37M
Jan 05, 1998, 13.64, 13.87, 13.99, 13.59, 260.01M
Jan 02, 1998, 13.79, 13.81, 13.94, 13.75, 185.84M
Jan 01, 1998, 13.84, 13.70, 13.92, 13.61, 228.03M
Dec 31, 1997, 13.76, 13.35, 13.97, 13.31, 483.54M
Dec 30, 1997, 13.40, 13.61, 13.61, 13.32, 358.82M
Dec 29, 1997, 13.66, 13.66, 13.76, 13.51, 253.07M
Dec 26, 1997, 13.65, 13.48, 13.76, 13.44, 354.28M
Dec 24, 1997, 13.40, 13.31, 13.48, 13.14, 373.51M
Dec 23, 1997, 13.70, 13.54, 13.86, 13.48, 523.41M
Dec 22, 1997, 13.48, 13.07, 13.62, 12.99, 489.70M
Dec 19, 1997, 13.02, 12.80, 13.07, 12.71, 306.74M
Dec 18, 1997, 12.81, 13.14, 13.21, 12.77, 449.71M
Dec 17, 1997, 13.08, 12.64, 13.13, 12.64, 470.54M
Dec 16, 1997, 12.46, 12.38, 12.60, 12.20, 336.22M
Dec 15, 1997, 12.37, 12.17, 12.48, 11.88, 435.71M
Dec 12, 1997, 12.25, 12.64, 12.64, 12.11, 696.32M
Dec 11, 1997, 12.63, 12.04, 12.86, 11.63, 875.97M
Dec 10, 1997, 12.07, 12.26, 12.28, 11.96, 473.19M
Dec 09, 1997, 12.42, 13.72, 13.79, 12.40, 821.61M
Dec 08, 1997, 13.78, 13.88, 14.31, 13.68, 677.22M
Dec 05, 1997, 13.82, 13.59, 13.92, 13.59, 481.82M
Dec 04, 1997, 13.63, 13.79, 14.22, 13.46, 839.24M
Dec 03, 1997, 13.88, 12.91, 14.03, 12.91, 971.25M
Dec 02, 1997, 13.17, 13.01, 13.35, 12.90, 632.31M
Dec 01, 1997, 12.99, 12.63, 13.04, 12.63, 392.47M
Nov 28, 1997, 12.71, 13.06, 13.06, 12.63, 735.32M
Nov 27, 1997, 13.11, 12.60, 13.16, 12.55, 687.83M
Nov 26, 1997, 12.68, 12.44, 12.83, 12.40, 617.74M
Nov 25, 1997, 12.35, 11.87, 12.92, 11.87, 1.05B
Nov 24, 1997, 11.90, 12.15, 12.47, 11.83, 789.55M
Nov 21, 1997, 11.97, 11.16, 12.11, 11.00, 1.29B
Nov 20, 1997, 11.17, 10.83, 11.53, 10.50, 1.29B
Nov 19, 1997, 10.82, 11.39, 11.45, 10.79, 736.92M
Nov 18, 1997, 11.60, 11.90, 11.96, 11.50, 553.81M
Nov 17, 1997, 11.94, 12.00, 12.02, 11.78, 363.36M
Nov 13, 1997, 12.00, 12.20, 12.22, 11.84, 572.37M
Nov 12, 1997, 12.24, 12.51, 12.65, 12.18, 555.06M
Nov 11, 1997, 12.52, 12.41, 12.63, 12.38, 368.98M
Nov 10, 1997, 12.39, 12.39, 12.46, 12.32, 247.17M
Nov 07, 1997, 12.44, 12.46, 12.57, 12.39, 347.92M
Nov 06, 1997, 12.54, 12.37, 12.59, 12.23, 526.93M
Nov 05, 1997, 12.40, 12.79, 12.84, 12.33, 518.18M
Nov 04, 1997, 12.61, 12.64, 13.29, 12.45, 868.00M
Nov 03, 1997, 12.58, 12.52, 12.75, 12.39, 359.79M
Oct 30, 1997, 12.43, 12.71, 12.71, 12.35, 244.77M
Oct 29, 1997, 12.77, 11.71, 12.80, 11.71, 676.00M
Oct 28, 1997, 11.64, 12.86, 12.86, 11.61, 688.90M
Oct 27, 1997, 12.90, 12.89, 13.05, 12.71, 508.59M
Oct 24, 1997, 12.99, 13.78, 13.78, 12.71, 892.71M
Oct 23, 1997, 13.81, 13.88, 14.05, 13.67, 369.15M
Oct 22, 1997, 13.96, 13.86, 14.18, 13.79, 346.64M
Oct 21, 1997, 13.84, 14.41, 14.43, 13.72, 632.41M
Oct 20, 1997, 14.31, 13.34, 14.41, 13.31, 616.06M
Oct 17, 1997, 13.47, 13.43, 13.66, 13.39, 397.73M
Oct 16, 1997, 13.39, 13.17, 13.49, 13.13, 311.07M
Oct 15, 1997, 13.09, 12.85, 13.17, 12.84, 239.97M
Oct 14, 1997, 12.81, 13.07, 13.22, 12.60, 380.65M
Oct 13, 1997, 13.14, 13.90, 13.97, 13.03, 705.72M
Oct 10, 1997, 13.76, 12.95, 13.82, 12.93, 652.41M
Oct 09, 1997, 12.89, 12.82, 12.93, 12.63, 345.11M
Oct 01, 1997, 13.06, 13.04, 13.19, 12.80, 366.31M
Sep 30, 1997, 13.11, 12.96, 13.59, 12.87, 522.27M
Sep 29, 1997, 13.01, 12.79, 13.26, 12.71, 652.85M
Sep 26, 1997, 12.57, 12.66, 12.80, 12.53, 381.13M
Sep 25, 1997, 12.61, 12.07, 12.65, 12.03, 768.57M
Sep 24, 1997, 12.10, 12.29, 12.33, 12.05, 316.36M
Sep 23, 1997, 12.21, 12.31, 12.41, 11.94, 413.75M
Sep 22, 1997, 12.42, 12.70, 12.75, 12.34, 462.85M
Sep 19, 1997, 12.58, 12.64, 12.80, 12.53, 438.32M
Sep 18, 1997, 12.60, 12.46, 12.62, 12.34, 462.08M
Sep 17, 1997, 12.74, 12.71, 12.77, 12.69, 67.83M
Sep 16, 1997, 12.67, 12.66, 12.84, 12.58, 494.88M
Sep 15, 1997, 12.61, 12.26, 12.65, 12.26, 467.16M
Sep 12, 1997, 12.19, 12.20, 12.27, 12.11, 322.95M
Sep 11, 1997, 12.27, 12.15, 12.45, 12.15, 476.52M
Sep 10, 1997, 12.15, 12.20, 12.22, 11.95, 398.87M
Sep 09, 1997, 12.27, 12.01, 12.38, 11.98, 395.38M
Sep 08, 1997, 11.98, 11.93, 12.02, 11.80, 330.36M
Sep 05, 1997, 12.03, 11.98, 12.11, 11.91, 419.22M
Sep 04, 1997, 11.89, 11.68, 11.92, 11.65, 368.44M
Sep 03, 1997, 11.75, 11.73, 11.95, 11.65, 580.86M
Sep 02, 1997, 11.50, 11.31, 11.62, 11.17, 524.22M
Sep 01, 1997, 11.22, 10.87, 11.30, 10.87, 435.89M
Aug 29, 1997, 10.96, 11.18, 11.31, 10.83, 796.70M
Aug 28, 1997, 11.25, 11.75, 11.78, 11.18, 617.66M
Aug 27, 1997, 11.83, 12.11, 12.11, 11.78, 451.47M
Aug 26, 1997, 11.57, 11.61, 11.86, 11.46, 405.05M
Aug 25, 1997, 11.64, 11.51, 12.00, 11.14, 838.64M
Aug 22, 1997, 11.57, 11.88, 11.88, 11.54, 306.10M
Aug 21, 1997, 11.82, 12.08, 12.21, 11.78, 265.87M
Aug 20, 1997, 12.05, 11.93, 12.10, 11.79, 298.38M
Aug 19, 1997, 11.85, 11.98, 12.18, 11.78, 462.46M
Aug 18, 1997, 11.97, 12.66, 12.67, 11.90, 417.67M
Aug 14, 1997, 12.69, 12.67, 12.73, 12.62, 150.38M
Aug 13, 1997, 12.64, 12.71, 12.77, 12.60, 146.93M
Aug 12, 1997, 12.56, 12.82, 12.92, 12.38, 290.24M
Aug 11, 1997, 12.82, 12.80, 13.10, 12.74, 354.68M
Aug 08, 1997, 12.74, 12.64, 12.83, 12.64, 162.90M
Aug 07, 1997, 12.72, 12.73, 12.91, 12.60, 293.89M
Aug 06, 1997, 12.83, 12.83, 12.83, 12.78, 31.49M
Aug 05, 1997, 12.78, 12.07, 12.83, 12.04, 721.60M
Aug 04, 1997, 12.07, 12.15, 12.25, 11.94, 572.12M
Aug 01, 1997, 11.93, 11.45, 11.95, 11.34, 1.03B
Jul 31, 1997, 11.16, 10.61, 11.16, 10.55, 764.19M
Jul 30, 1997, 10.43, 10.70, 10.72, 10.39, 402.03M
Jul 29, 1997, 10.70, 10.47, 10.74, 10.47, 371.58M
Jul 28, 1997, 10.56, 10.89, 10.94, 10.49, 594.59M
Jul 25, 1997, 11.12, 11.26, 11.30, 11.07, 311.18M
Jul 24, 1997, 11.36, 11.38, 11.52, 11.29, 295.44M
Jul 23, 1997, 11.35, 11.26, 11.40, 11.23, 202.65M
Jul 22, 1997, 11.24, 11.16, 11.26, 11.14, 140.35M
Jul 21, 1997, 11.16, 11.12, 11.26, 11.03, 281.76M
Jul 17, 1997, 11.28, 11.12, 11.33, 10.93, 447.27M
Jul 16, 1997, 11.16, 11.49, 11.49, 11.10, 356.80M
Jul 15, 1997, 11.37, 11.32, 11.45, 11.07, 370.46M
Jul 14, 1997, 11.18, 11.54, 11.54, 11.18, 452.09M
Jul 11, 1997, 12.02, 12.02, 12.11, 11.98, 138.20M
Jul 10, 1997, 12.05, 12.18, 12.18, 12.00, 220.62M
Jul 09, 1997, 12.12, 12.33, 12.35, 12.05, 250.14M
Jul 08, 1997, 12.26, 12.21, 12.31, 12.12, 236.02M
Jul 07, 1997, 12.25, 12.34, 12.50, 12.23, 246.06M
Jul 04, 1997, 12.37, 12.45, 12.50, 12.33, 178.16M
Jul 03, 1997, 12.43, 12.38, 12.54, 12.33, 228.65M
Jul 02, 1997, 12.46, 12.66, 12.66, 12.42, 233.53M
Jul 01, 1997, 12.03, 12.47, 12.51, 11.87, 474.37M
Jun 30, 1997, 12.17, 11.71, 12.24, 11.60, 525.32M
Jun 27, 1997, 11.69, 11.40, 11.75, 11.38, 458.52M
Jun 26, 1997, 11.31, 10.96, 11.58, 10.92, 529.42M
Jun 25, 1997, 10.89, 11.05, 11.13, 10.83, 185.20M
Jun 24, 1997, 10.98, 10.99, 11.16, 10.23, 256.02M
Jun 23, 1997, 10.97, 11.14, 11.16, 10.87, 253.65M
Jun 20, 1997, 11.16, 11.27, 11.49, 11.09, 271.92M
Jun 19, 1997, 11.22, 10.99, 11.29, 10.94, 286.36M
Jun 18, 1997, 11.09, 11.28, 11.40, 10.92, 385.90M
Jun 17, 1997, 10.82, 10.60, 11.03, 10.21, 576.06M
Jun 16, 1997, 10.98, 11.51, 11.53, 10.98, 403.64M
Jun 13, 1997, 11.80, 11.55, 12.00, 11.55, 619.97M
Jun 12, 1997, 11.37, 10.96, 11.48, 10.92, 458.81M
Jun 11, 1997, 10.96, 10.77, 11.10, 10.72, 403.22M
Jun 10, 1997, 10.75, 10.74, 10.83, 10.68, 250.17M
Jun 09, 1997, 10.73, 10.76, 10.82, 10.67, 269.31M
Jun 06, 1997, 10.67, 10.75, 10.85, 10.63, 315.97M
Jun 05, 1997, 10.70, 10.61, 10.77, 10.57, 303.69M
Jun 04, 1997, 10.56, 10.61, 10.72, 10.45, 377.06M
Jun 03, 1997, 10.69, 10.68, 11.05, 10.60, 643.72M
Jun 02, 1997, 10.47, 9.88, 10.50, 9.88, 562.47M
May 30, 1997, 9.82, 9.53, 9.85, 9.49, 398.68M
May 29, 1997, 9.51, 9.40, 9.53, 9.39, 193.13M
May 28, 1997, 9.43, 9.59, 9.59, 9.40, 208.88M
May 27, 1997, 9.55, 9.47, 9.72, 9.44, 382.39M
May 26, 1997, 9.43, 9.37, 9.48, 9.36, 210.56M
May 23, 1997, 9.38, 9.35, 9.46, 9.28, 324.02M
May 22, 1997, 9.34, 9.31, 9.42, 9.26, 407.78M
May 21, 1997, 9.25, 9.52, 9.52, 9.21, 482.57M
May 20, 1997, 9.88, 9.98, 10.05, 9.66, 580.36M
May 19, 1997, 9.94, 9.92, 10.08, 9.78, 638.26M
May 16, 1997, 9.69, 9.36, 9.72, 9.35, 631.87M
May 15, 1997, 9.37, 9.02, 9.46, 8.97, 645.38M
May 14, 1997, 8.99, 8.84, 9.06, 8.73, 292.56M
May 13, 1997, 8.83, 8.84, 8.94, 8.73, 248.42M
May 12, 1997, 8.83, 8.97, 9.00, 8.81, 177.57M
May 09, 1997, 8.99, 9.04, 9.06, 8.94, 206.90M
May 08, 1997, 9.04, 9.03, 9.06, 8.98, 122.40M
May 07, 1997, 9.02, 9.10, 9.12, 9.00, 204.44M
May 06, 1997, 9.03, 8.87, 9.09, 8.85, 305.68M
May 05, 1997, 8.86, 8.95, 9.02, 8.82, 260.71M
May 02, 1997, 9.05, 9.10, 9.17, 9.03, 169.29M
Apr 30, 1997, 9.20, 9.33, 9.37, 9.19, 187.36M
Apr 29, 1997, 9.02, 9.09, 9.19, 8.97, 268.69M
Apr 28, 1997, 9.12, 9.15, 9.20, 9.11, 175.17M
Apr 25, 1997, 9.20, 9.06, 9.24, 9.04, 261.20M
Apr 24, 1997, 9.08, 9.17, 9.27, 9.05, 193.17M
Apr 23, 1997, 9.22, 9.19, 9.30, 9.18, 126.50M
Apr 22, 1997, 9.17, 9.40, 9.42, 9.08, 290.32M
Apr 21, 1997, 9.37, 9.30, 9.44, 9.23, 293.82M
Apr 17, 1997, 9.19, 9.14, 9.22, 9.04, 291.82M
Apr 15, 1997, 9.11, 8.84, 9.17, 8.84, 538.47M
Apr 12, 1997, 8.65, 8.55, 8.81, 8.53, 431.81M
Apr 11, 1997, 8.69, 8.28, 8.73, 8.22, 611.01M
Apr 10, 1997, 8.41, 8.48, 8.55, 8.13, 604.34M
Apr 09, 1997, 8.55, 8.29, 8.55, 8.29, 262.43M
Apr 07, 1997, 7.99, 8.20, 8.23, 7.85, 201.72M
Apr 04, 1997, 8.28, 8.29, 8.31, 8.24, 144.29M
Apr 03, 1997, 8.39, 8.30, 8.43, 8.23, 239.54M
Apr 02, 1997, 8.27, 8.25, 8.35, 8.12, 233.69M
Apr 01, 1997, 8.07, 8.04, 8.18, 7.44, 341.54M
Mar 31, 1997, 8.27, 8.54, 8.54, 8.27, 2.34M
Mar 27, 1997, 9.18, 9.08, 9.21, 9.03, 240.20M
Mar 26, 1997, 9.13, 9.37, 9.39, 9.09, 263.08M
Mar 25, 1997, 9.29, 9.45, 9.48, 9.23, 299.26M
Mar 21, 1997, 9.37, 9.19, 9.44, 9.18, 430.80M
Mar 20, 1997, 9.12, 9.04, 9.23, 8.96, 412.11M
Mar 19, 1997, 9.10, 9.50, 9.52, 9.02, 285.97M
Mar 18, 1997, 9.32, 9.45, 9.56, 9.24, 310.76M
Mar 17, 1997, 9.48, 9.55, 9.59, 9.44, 276.65M
Mar 14, 1997, 9.54, 9.33, 9.61, 9.27, 424.13M
Mar 13, 1997, 9.39, 9.67, 9.67, 9.36, 306.22M
Mar 12, 1997, 9.62, 9.55, 9.72, 9.45, 451.08M
Mar 11, 1997, 9.28, 9.44, 9.69, 9.10, 440.04M
Mar 10, 1997, 9.51, 9.78, 9.81, 9.46, 357.64M
Mar 06, 1997, 9.95, 9.92, 10.03, 9.84, 329.97M
Mar 05, 1997, 10.05, 10.34, 10.45, 9.87, 517.16M
Mar 04, 1997, 10.01, 9.59, 10.16, 9.50, 569.68M
Mar 03, 1997, 9.59, 9.77, 9.88, 9.55, 337.88M
Mar 01, 1997, 9.86, 9.69, 9.94, 9.50, 418.13M
Feb 28, 1997, 9.42, 9.46, 9.62, 9.20, 144.15M
Feb 27, 1997, 8.72, 8.64, 8.75, 8.53, 331.04M
Feb 26, 1997, 8.55, 8.53, 8.61, 8.34, 438.64M
Feb 25, 1997, 8.58, 8.70, 8.85, 8.44, 397.48M
Feb 24, 1997, 8.72, 9.04, 9.06, 8.65, 436.71M
Feb 21, 1997, 9.09, 9.15, 9.18, 9.04, 269.01M
Feb 20, 1997, 9.20, 9.19, 9.27, 9.13, 275.22M
Feb 19, 1997, 9.26, 9.13, 9.28, 9.05, 465.81M
Feb 18, 1997, 9.05, 9.36, 9.36, 8.99, 518.65M
Feb 17, 1997, 9.33, 9.50, 9.55, 9.25, 398.74M
