date, close, open, high, low, volume
Sep 03, 1999, 21.78, 21.98, 22.14, 21.72, 24.98M
Sep 02, 1999, 22.12, 22.89, 22.98, 21.97, 38.76M
Sep 01, 1999, 23.03, 23.09, 23.18, 22.67, 53.88M
Aug 31, 1999, 22.45, 22.67, 22.98, 22.32, 38.34M
Aug 30, 1999, 22.71, 23.20, 23.25, 22.65, 27.80M
Aug 27, 1999, 23.37, 23.31, 23.82, 23.25, 59.38M
Aug 26, 1999, 22.74, 22.03, 23.29, 21.61, 83.13M
Aug 25, 1999, 21.82, 22.43, 22.63, 20.33, 40.24M
Aug 24, 1999, 22.03, 21.86, 22.16, 21.71, 43.94M
Aug 23, 1999, 21.68, 21.68, 21.99, 21.57, 23.11M
Aug 20, 1999, 21.49, 21.88, 21.88, 21.33, 17.57M
Aug 19, 1999, 21.77, 22.41, 22.50, 21.70, 43.87M
Aug 18, 1999, 22.30, 21.19, 22.54, 21.19, 104.65M
Aug 17, 1999, 20.93, 20.99, 21.11, 20.88, 31.53M
Aug 16, 1999, 20.94, 20.95, 21.19, 20.80, 25.11M
Aug 13, 1999, 20.77, 21.15, 21.17, 20.70, 24.04M
Aug 12, 1999, 21.06, 21.48, 21.48, 20.88, 47.46M
Aug 11, 1999, 21.17, 20.37, 21.77, 20.37, 91.56M
Aug 10, 1999, 20.72, 21.37, 21.37, 20.56, 44.73M
Aug 09, 1999, 21.43, 21.77, 21.77, 21.37, 24.92M
Aug 06, 1999, 21.81, 21.93, 22.01, 21.77, 26.07M
Aug 05, 1999, 21.99, 22.21, 22.49, 21.91, 33.27M
Aug 04, 1999, 22.10, 21.97, 22.39, 21.88, 35.82M
Aug 03, 1999, 21.66, 22.14, 22.14, 21.58, 67.04M
Aug 02, 1999, 22.10, 22.47, 22.50, 21.99, 34.51M
Jul 30, 1999, 22.21, 22.21, 22.58, 21.00, 52.63M
Jul 29, 1999, 22.45, 22.46, 22.58, 22.13, 43.61M
Jul 28, 1999, 22.40, 22.43, 22.87, 22.26, 69.41M
Jul 27, 1999, 21.98, 22.05, 22.34, 21.88, 62.42M
Jul 26, 1999, 22.14, 22.32, 22.46, 21.93, 44.54M
Jul 23, 1999, 22.35, 22.41, 22.82, 22.21, 69.99M
Jul 22, 1999, 22.19, 22.16, 22.52, 22.10, 50.01M
Jul 21, 1999, 22.16, 21.99, 22.43, 21.88, 58.98M
Jul 20, 1999, 21.99, 23.20, 23.27, 21.88, 90.57M
Jul 19, 1999, 23.06, 22.72, 23.20, 22.66, 51.35M
Jul 16, 1999, 22.66, 22.65, 22.89, 22.54, 37.59M
Jul 15, 1999, 22.70, 23.07, 23.60, 22.50, 84.70M
Jul 14, 1999, 22.96, 23.31, 23.31, 22.81, 36.83M
Jul 13, 1999, 23.08, 23.84, 23.86, 22.65, 55.88M
Jul 12, 1999, 23.73, 23.14, 24.02, 22.78, 91.61M
Jul 09, 1999, 22.97, 23.42, 23.62, 22.84, 70.34M
Jul 08, 1999, 23.41, 23.87, 23.93, 23.35, 51.33M
Jul 07, 1999, 23.96, 24.31, 24.34, 23.87, 44.75M
Jul 06, 1999, 24.28, 24.42, 24.53, 24.20, 28.22M
Jul 05, 1999, 24.41, 24.15, 24.64, 24.15, 65.10M
Jul 02, 1999, 24.07, 24.18, 24.31, 24.02, 34.17M
Jul 01, 1999, 24.06, 24.31, 24.37, 23.96, 30.41M
Jun 30, 1999, 24.23, 24.02, 24.31, 23.95, 62.48M
Jun 29, 1999, 24.02, 23.93, 24.13, 23.81, 33.13M
Jun 28, 1999, 23.90, 23.97, 23.98, 23.76, 20.37M
Jun 25, 1999, 23.75, 23.87, 24.06, 23.70, 31.25M
Jun 24, 1999, 23.96, 23.80, 24.06, 23.47, 50.18M
Jun 23, 1999, 23.86, 24.86, 24.86, 23.76, 63.73M
Jun 22, 1999, 24.38, 24.29, 24.62, 24.00, 48.92M
Jun 21, 1999, 24.17, 23.78, 24.30, 23.73, 55.50M
Jun 18, 1999, 23.68, 23.42, 23.96, 23.42, 52.59M
Jun 17, 1999, 23.26, 23.13, 23.69, 22.91, 53.48M
Jun 16, 1999, 22.87, 23.65, 23.65, 22.10, 46.82M
Jun 15, 1999, 22.14, 22.53, 22.62, 22.04, 36.18M
Jun 14, 1999, 22.45, 22.45, 22.56, 22.02, 35.48M
Jun 11, 1999, 22.79, 23.40, 23.55, 22.71, 51.75M
Jun 10, 1999, 23.40, 23.53, 23.91, 23.32, 28.88M
Jun 09, 1999, 23.52, 23.87, 24.31, 23.43, 25.76M
Jun 08, 1999, 23.56, 23.54, 24.07, 23.46, 58.44M
Jun 07, 1999, 23.69, 23.65, 24.00, 23.42, 63.78M
Jun 04, 1999, 23.39, 23.09, 23.75, 23.03, 76.06M
Jun 03, 1999, 22.84, 22.74, 22.95, 22.61, 28.17M
Jun 02, 1999, 22.68, 22.76, 22.85, 22.34, 37.30M
Jun 01, 1999, 22.57, 23.07, 23.31, 22.48, 50.79M
May 31, 1999, 23.35, 22.74, 23.49, 22.68, 67.75M
May 28, 1999, 22.47, 22.52, 22.89, 21.66, 100.87M
May 27, 1999, 22.34, 23.62, 23.93, 22.34, 63.23M
May 26, 1999, 23.65, 23.84, 24.08, 23.13, 86.46M
May 25, 1999, 23.56, 24.70, 24.70, 23.47, 80.74M
May 24, 1999, 24.68, 24.73, 24.99, 24.35, 59.63M
May 21, 1999, 24.20, 23.97, 25.17, 23.39, 196.85M
May 20, 1999, 23.60, 23.97, 24.18, 23.60, 34.59M
May 19, 1999, 24.02, 24.07, 24.31, 23.79, 40.75M
May 18, 1999, 24.00, 24.31, 24.71, 23.95, 76.88M
May 17, 1999, 24.21, 24.60, 25.19, 23.54, 117.18M
May 14, 1999, 24.67, 24.18, 24.92, 24.02, 121.12M
May 13, 1999, 23.99, 23.54, 24.24, 23.54, 91.75M
May 12, 1999, 23.30, 24.04, 24.53, 22.65, 109.69M
