date, close, open, high, low, volume
Apr 04, 2014, 46.93, 44.68, 47.46, 44.05, 25.21M
Apr 03, 2014, 45.58, 46.17, 46.46, 45.00, 4.79M
Apr 02, 2014, 46.15, 45.72, 46.58, 45.61, 2.76M
Apr 01, 2014, 45.66, 46.78, 47.32, 45.44, 2.79M
Mar 31, 2014, 46.94, 46.00, 47.50, 45.84, 3.07M
Mar 28, 2014, 45.84, 45.32, 46.33, 45.00, 2.35M
Mar 27, 2014, 45.00, 43.48, 45.73, 43.42, 8.18M
Mar 26, 2014, 43.86, 43.63, 44.62, 43.43, 3.46M
Mar 25, 2014, 43.63, 42.50, 43.93, 41.93, 9.70M
Mar 24, 2014, 42.53, 40.89, 42.67, 40.63, 9.02M
Mar 22, 2014, 41.00, 40.83, 41.65, 40.83, 582.26K
Mar 21, 2014, 40.35, 41.75, 42.17, 40.17, 9.83M
Mar 20, 2014, 42.18, 42.50, 43.13, 41.52, 8.95M
Mar 19, 2014, 43.54, 45.00, 45.28, 43.18, 5.35M
Mar 18, 2014, 44.72, 45.08, 45.83, 44.48, 3.34M
Mar 14, 2014, 44.83, 46.00, 47.00, 44.23, 6.18M
Mar 13, 2014, 46.00, 44.00, 48.25, 43.33, 12.04M
Mar 12, 2014, 44.13, 44.84, 44.84, 43.50, 1.73M
Mar 11, 2014, 44.98, 45.00, 45.83, 44.83, 4.52M
Mar 10, 2014, 44.79, 44.50, 45.58, 44.33, 5.01M
Mar 07, 2014, 44.54, 44.17, 45.13, 43.35, 5.07M
Mar 06, 2014, 44.08, 42.83, 44.36, 41.32, 13.62M
Mar 05, 2014, 42.53, 42.22, 42.93, 42.17, 1.61M
Mar 04, 2014, 42.18, 41.67, 42.49, 41.18, 4.39M
Mar 03, 2014, 41.78, 41.36, 42.13, 40.80, 2.73M
Feb 28, 2014, 41.39, 41.22, 42.17, 40.83, 4.51M
Feb 26, 2014, 41.33, 41.25, 42.18, 40.21, 4.20M
Feb 25, 2014, 41.24, 40.67, 41.49, 40.67, 2.57M
Feb 24, 2014, 40.68, 40.52, 41.74, 40.48, 3.30M
Feb 21, 2014, 40.51, 39.67, 40.78, 39.53, 4.42M
Feb 20, 2014, 39.63, 39.99, 40.53, 39.41, 1.72M
Feb 19, 2014, 40.17, 39.67, 40.33, 38.87, 2.77M
Feb 18, 2014, 39.72, 40.17, 40.88, 39.45, 2.20M
Feb 17, 2014, 40.14, 40.17, 40.62, 39.67, 2.45M
Feb 14, 2014, 40.02, 40.02, 40.67, 39.73, 3.43M
Feb 13, 2014, 40.75, 43.28, 43.28, 40.43, 1.90M
Feb 12, 2014, 42.84, 43.33, 43.34, 41.87, 4.48M
Feb 11, 2014, 43.07, 41.83, 43.24, 41.21, 5.41M
Feb 10, 2014, 41.59, 41.00, 41.79, 40.58, 2.00M
Feb 07, 2014, 41.01, 41.33, 41.61, 40.68, 2.32M
Feb 06, 2014, 41.07, 39.98, 41.33, 39.33, 4.41M
Feb 05, 2014, 39.68, 40.25, 40.67, 39.30, 2.20M
Feb 04, 2014, 40.47, 40.94, 40.94, 40.18, 1.97M
Feb 03, 2014, 40.85, 40.83, 41.48, 39.98, 2.88M
Jan 31, 2014, 40.89, 39.95, 41.17, 38.95, 5.05M
Jan 30, 2014, 39.48, 39.00, 39.81, 38.58, 7.58M
Jan 29, 2014, 39.27, 37.33, 39.92, 37.27, 7.72M
Jan 28, 2014, 37.28, 37.33, 37.58, 36.84, 1.88M
Jan 27, 2014, 37.27, 37.50, 37.87, 36.92, 2.48M
Jan 24, 2014, 37.98, 37.83, 38.18, 37.52, 2.01M
Jan 23, 2014, 37.99, 38.09, 38.43, 37.78, 2.79M
Jan 22, 2014, 38.13, 37.75, 38.32, 37.58, 2.29M
Jan 21, 2014, 37.52, 37.50, 37.98, 37.13, 2.26M
Jan 20, 2014, 37.46, 37.33, 37.69, 36.70, 5.31M
Jan 17, 2014, 37.52, 35.67, 37.98, 35.67, 19.79M
Jan 16, 2014, 35.38, 35.01, 35.50, 34.89, 2.91M
Jan 15, 2014, 34.93, 34.19, 35.00, 34.19, 2.34M
Jan 14, 2014, 34.35, 34.25, 34.73, 33.98, 2.50M
Jan 13, 2014, 34.56, 33.65, 34.82, 33.60, 4.67M
Jan 10, 2014, 33.45, 33.40, 33.93, 33.26, 5.25M
Jan 09, 2014, 33.14, 32.78, 33.46, 32.29, 6.14M
Jan 08, 2014, 32.58, 33.29, 33.73, 32.50, 7.44M
Jan 07, 2014, 33.29, 34.00, 34.17, 33.02, 5.53M
Jan 06, 2014, 34.09, 34.25, 34.42, 33.83, 6.03M
Jan 03, 2014, 33.91, 34.30, 34.54, 33.77, 1.83M
Jan 02, 2014, 34.30, 35.15, 35.37, 34.18, 5.55M
Jan 01, 2014, 34.76, 35.43, 35.80, 34.58, 2.60M
Dec 31, 2013, 35.69, 35.25, 35.96, 35.17, 3.11M
Dec 30, 2013, 35.32, 35.83, 35.83, 35.14, 966.47K
Dec 27, 2013, 35.51, 35.82, 35.82, 35.33, 1.72M
Dec 26, 2013, 35.54, 35.50, 36.13, 35.42, 5.64M
Dec 24, 2013, 35.28, 35.02, 35.40, 34.50, 3.17M
Dec 23, 2013, 34.68, 33.99, 34.98, 33.88, 4.59M
Dec 20, 2013, 34.04, 33.09, 34.17, 33.09, 2.95M
Dec 19, 2013, 33.33, 33.83, 33.93, 33.02, 2.22M
Dec 18, 2013, 33.77, 32.68, 33.98, 32.68, 1.82M
Dec 17, 2013, 32.83, 33.17, 33.32, 32.77, 1.12M
Dec 16, 2013, 32.95, 33.45, 33.45, 32.85, 1.59M
Dec 13, 2013, 33.21, 33.68, 34.09, 33.08, 3.19M
Dec 12, 2013, 33.77, 34.02, 34.23, 33.69, 1.33M
Dec 11, 2013, 34.34, 34.07, 34.73, 33.85, 2.77M
Dec 10, 2013, 34.06, 34.78, 35.00, 33.92, 2.15M
Dec 09, 2013, 34.78, 35.00, 35.17, 34.39, 2.70M
Dec 06, 2013, 34.21, 34.00, 34.83, 33.50, 3.24M
Dec 05, 2013, 34.23, 33.84, 34.42, 33.84, 2.49M
Dec 04, 2013, 33.73, 33.67, 34.22, 33.46, 1.71M
Dec 03, 2013, 33.71, 33.67, 33.92, 33.50, 1.02M
Dec 02, 2013, 33.93, 33.98, 34.00, 33.68, 1.46M
Nov 29, 2013, 33.51, 33.38, 33.78, 33.26, 4.14M
Nov 28, 2013, 33.35, 33.04, 33.62, 33.04, 2.81M
Nov 27, 2013, 33.28, 33.50, 33.67, 33.05, 2.72M
Nov 26, 2013, 33.50, 34.35, 34.63, 33.37, 1.19M
Nov 25, 2013, 34.31, 34.11, 34.58, 34.03, 3.37M
Nov 22, 2013, 33.43, 33.20, 33.62, 33.20, 1.29M
Nov 21, 2013, 33.13, 33.50, 33.98, 33.03, 1.70M
Nov 20, 2013, 33.55, 33.92, 34.58, 33.37, 1.90M
