date, close, open, high, low, volume
Feb 13, 1998, 17.50, 17.50, 17.50, 17.50, 1.80K
Feb 12, 1998, 17.50, 17.50, 18.06, 17.50, 25.20K
Feb 06, 1998, 18.75, 19.00, 19.00, 18.75, 3.60K
Feb 03, 1998, 17.36, 19.14, 19.14, 17.36, 7.20K
Jan 30, 1998, 18.33, 18.33, 18.33, 18.33, 3.60K
Jan 29, 1998, 17.00, 17.00, 17.00, 17.00, 9.00K
Jan 28, 1998, 18.20, 19.72, 19.86, 18.06, 18.00K
Jan 27, 1998, 18.06, 17.78, 18.06, 17.78, 7.20K
Jan 23, 1998, 16.67, 16.67, 16.67, 16.67, 18.00K
Jan 22, 1998, 17.97, 20.00, 20.00, 17.97, 277.20K
Jan 21, 1998, 18.33, 18.61, 18.61, 18.33, 295.20K
Jan 20, 1998, 18.57, 18.61, 18.61, 18.57, 363.60K
Jan 19, 1998, 18.61, 18.61, 18.61, 18.61, 180.00K
Jan 15, 1998, 19.42, 19.42, 19.42, 19.42, 1.80K
Jan 13, 1998, 19.44, 19.44, 19.44, 19.44, 3.60K
Jan 12, 1998, 20.53, 18.50, 20.53, 18.50, 144.00K
Jan 08, 1998, 20.56, 20.56, 20.56, 20.56, 1.80K
Jan 06, 1998, 20.56, 20.14, 20.56, 20.14, 3.60K
Jan 05, 1998, 20.28, 20.89, 20.89, 20.28, 12.60K
Jan 02, 1998, 20.08, 19.72, 20.08, 19.72, 10.80K
Jan 01, 1998, 19.14, 17.54, 19.14, 17.54, 12.60K
Dec 31, 1997, 18.25, 18.25, 18.25, 18.25, 43.20K
Dec 29, 1997, 18.19, 18.19, 18.19, 18.19, 1.80K
Dec 24, 1997, 18.19, 18.06, 18.19, 18.06, 23.40K
Dec 22, 1997, 18.19, 17.78, 18.19, 17.78, 48.60K
Dec 19, 1997, 18.06, 17.50, 18.22, 17.50, 1.22M
Dec 16, 1997, 17.78, 18.06, 18.06, 17.78, 5.40K
Dec 12, 1997, 17.78, 17.50, 17.78, 17.50, 3.60K
Dec 11, 1997, 17.78, 17.78, 17.78, 17.78, 1.80K
Dec 10, 1997, 18.33, 18.33, 18.33, 18.06, 9.00K
Dec 09, 1997, 17.50, 17.50, 17.50, 17.50, 1.80K
Dec 02, 1997, 17.69, 17.93, 17.93, 17.69, 14.40K
Dec 01, 1997, 18.61, 18.61, 18.61, 18.61, 108.00K
Nov 27, 1997, 18.61, 18.61, 18.61, 18.61, 1.80K
Nov 26, 1997, 18.61, 18.61, 18.61, 18.61, 3.60K
Nov 25, 1997, 18.51, 18.39, 18.78, 18.36, 5.40K
Nov 24, 1997, 18.81, 19.44, 19.44, 18.67, 252.00K
Nov 21, 1997, 19.20, 20.06, 20.06, 19.20, 7.20K
Nov 20, 1997, 19.17, 19.86, 20.06, 19.17, 9.00K
Nov 19, 1997, 19.49, 19.31, 19.58, 19.31, 18.00K
Nov 18, 1997, 19.27, 18.94, 19.58, 18.94, 10.80K
Nov 17, 1997, 18.92, 18.08, 18.92, 18.08, 5.40K
Nov 13, 1997, 18.82, 19.03, 19.17, 18.39, 23.40K
Nov 11, 1997, 18.89, 18.89, 18.89, 18.89, 1.80K
Nov 10, 1997, 18.53, 18.53, 18.53, 18.53, 1.80K
Nov 07, 1997, 18.33, 18.86, 18.86, 18.33, 5.40K
Nov 04, 1997, 18.08, 18.75, 18.75, 18.08, 16.20K
Nov 03, 1997, 19.03, 19.03, 19.03, 19.03, 1.80K
Oct 30, 1997, 19.03, 19.03, 19.03, 19.03, 1.80K
Oct 29, 1997, 19.03, 18.94, 19.03, 18.94, 5.40K
Oct 28, 1997, 18.82, 19.81, 19.81, 18.61, 9.00K
Oct 27, 1997, 19.58, 19.86, 19.86, 19.58, 5.40K
Oct 24, 1997, 19.86, 19.86, 19.86, 19.86, 1.80K
Oct 23, 1997, 19.86, 19.67, 19.86, 19.67, 10.80K
Oct 21, 1997, 19.13, 19.31, 19.44, 19.03, 14.40K
Oct 20, 1997, 19.39, 19.39, 19.39, 19.39, 3.60K
Oct 17, 1997, 19.58, 19.58, 19.58, 19.58, 1.80K
Oct 14, 1997, 19.44, 19.72, 19.86, 19.44, 9.00K
Oct 13, 1997, 19.86, 19.75, 19.86, 19.47, 9.00K
Oct 10, 1997, 19.86, 19.72, 19.86, 19.72, 5.40K
Oct 09, 1997, 19.72, 19.44, 19.72, 19.28, 9.00K
Oct 01, 1997, 19.94, 19.94, 19.94, 19.94, 1.80K
Sep 30, 1997, 19.25, 19.72, 19.72, 19.25, 9.00K
Sep 29, 1997, 19.50, 19.94, 19.94, 19.50, 5.40K
Sep 23, 1997, 19.12, 18.78, 19.24, 18.78, 9.00K
Sep 22, 1997, 18.89, 19.17, 19.31, 18.89, 16.20K
Sep 19, 1997, 19.86, 20.14, 20.14, 19.83, 9.00K
Sep 18, 1997, 19.31, 19.44, 19.44, 19.07, 23.40K
Sep 17, 1997, 19.73, 19.44, 19.83, 18.89, 54.00K
Sep 16, 1997, 18.89, 18.92, 19.44, 18.89, 43.20K
Sep 15, 1997, 19.86, 19.98, 19.98, 18.67, 16.20K
Sep 12, 1997, 19.59, 19.72, 19.72, 19.53, 9.00K
Sep 11, 1997, 20.56, 20.69, 20.69, 20.42, 5.40K
Sep 09, 1997, 20.97, 20.97, 20.97, 20.97, 1.80K
Sep 08, 1997, 21.03, 21.59, 21.59, 19.31, 217.80K
Sep 05, 1997, 20.56, 21.11, 21.11, 20.56, 27.00K
Sep 04, 1997, 21.50, 22.22, 22.22, 20.92, 73.80K
Sep 03, 1997, 22.48, 23.06, 23.06, 22.22, 28.80K
Sep 02, 1997, 23.03, 23.00, 23.03, 23.00, 7.20K
Sep 01, 1997, 23.03, 21.67, 23.03, 21.11, 9.00K
Aug 29, 1997, 21.81, 21.81, 21.81, 21.81, 1.80K
Aug 27, 1997, 22.30, 21.94, 22.78, 21.94, 16.20K
Aug 26, 1997, 22.51, 22.22, 22.92, 22.22, 19.80K
Aug 25, 1997, 22.67, 23.33, 23.33, 22.67, 9.00K
Aug 22, 1997, 23.63, 24.69, 24.81, 23.61, 25.20K
Aug 21, 1997, 23.47, 23.06, 23.58, 23.06, 25.20K
Aug 20, 1997, 22.06, 21.33, 22.14, 21.33, 16.20K
Aug 19, 1997, 20.69, 21.53, 21.53, 20.69, 9.00K
Aug 18, 1997, 22.22, 22.21, 22.22, 22.21, 9.00K
Aug 14, 1997, 22.22, 22.22, 22.22, 22.22, 14.40K
Aug 13, 1997, 22.22, 20.83, 23.03, 20.83, 23.40K
Aug 12, 1997, 21.57, 22.08, 22.22, 21.53, 10.80K
Aug 11, 1997, 22.08, 21.53, 22.08, 21.53, 3.60K
Aug 08, 1997, 21.53, 21.53, 21.53, 21.53, 3.60K
Aug 07, 1997, 21.53, 21.53, 21.53, 21.53, 3.60K
Aug 05, 1997, 22.75, 21.39, 22.75, 21.11, 9.00K
Aug 04, 1997, 21.53, 23.19, 23.19, 20.34, 52.20K
Jul 30, 1997, 21.69, 22.64, 22.64, 21.69, 5.40K
Jul 28, 1997, 21.33, 21.33, 21.33, 21.33, 5.40K
Jul 22, 1997, 22.91, 22.91, 22.91, 20.83, 9.00K
Jul 21, 1997, 21.94, 24.83, 24.83, 21.94, 28.80K
Jul 17, 1997, 23.58, 21.34, 23.58, 21.34, 3.60K
Jul 16, 1997, 22.92, 22.92, 22.92, 22.92, 1.80K
Jul 15, 1997, 22.94, 24.13, 24.13, 22.38, 1.27M
Jul 14, 1997, 24.06, 24.06, 24.06, 24.06, 1.80M
Jul 11, 1997, 22.50, 23.06, 23.06, 22.50, 10.80K
Jul 10, 1997, 24.05, 24.05, 24.05, 24.05, 3.60K
Jul 09, 1997, 22.93, 24.78, 24.78, 22.92, 14.40K
Jul 07, 1997, 24.08, 22.78, 24.08, 22.78, 21.60K
Jul 04, 1997, 24.17, 24.17, 24.17, 24.17, 7.20K
Jul 03, 1997, 23.58, 22.81, 23.61, 22.81, 23.40K
Jul 02, 1997, 23.31, 23.31, 23.31, 23.31, 1.80K
Jul 01, 1997, 21.96, 23.75, 23.75, 21.96, 12.60K
Jun 30, 1997, 23.61, 23.61, 23.61, 23.61, 1.80K
Jun 26, 1997, 24.17, 24.58, 24.58, 24.17, 10.80K
Jun 25, 1997, 24.28, 23.64, 24.28, 23.64, 28.80K
Jun 24, 1997, 23.01, 23.61, 23.61, 22.96, 12.60K
Jun 23, 1997, 22.23, 21.53, 22.23, 21.53, 7.20K
Jun 20, 1997, 21.67, 21.67, 21.67, 21.67, 1.80K
Jun 19, 1997, 22.89, 22.78, 22.89, 22.22, 19.80K
Jun 18, 1997, 23.58, 21.92, 23.58, 21.92, 5.40K
Jun 17, 1997, 23.00, 23.33, 23.33, 23.00, 16.20K
Jun 16, 1997, 24.72, 25.03, 25.03, 24.72, 5.40K
Jun 13, 1997, 24.72, 25.00, 25.00, 24.72, 10.80K
Jun 12, 1997, 24.81, 24.86, 25.00, 24.81, 10.80K
Jun 11, 1997, 24.72, 25.00, 25.00, 24.72, 46.80K
Jun 10, 1997, 24.72, 26.39, 26.39, 24.72, 23.40K
Jun 09, 1997, 25.19, 23.61, 25.28, 23.42, 329.40K
Jun 06, 1997, 24.83, 23.33, 24.83, 23.33, 39.60K
Jun 05, 1997, 23.89, 23.33, 24.31, 22.92, 297.00K
Jun 04, 1997, 22.78, 22.92, 22.92, 22.65, 187.20K
Jun 03, 1997, 24.31, 21.25, 24.31, 21.25, 388.80K
Jun 02, 1997, 22.82, 22.22, 22.92, 22.22, 644.40K
May 30, 1997, 22.42, 22.22, 22.50, 21.53, 795.60K
May 29, 1997, 21.67, 21.67, 22.22, 21.67, 1.83M
May 28, 1997, 21.11, 21.11, 21.11, 21.11, 3.60K
May 27, 1997, 21.30, 20.69, 21.36, 20.69, 64.80K
May 26, 1997, 21.11, 19.39, 21.47, 19.39, 36.00K
May 23, 1997, 20.70, 20.70, 20.71, 20.70, 21.60K
May 20, 1997, 20.83, 20.83, 20.83, 20.83, 3.60K
May 19, 1997, 20.69, 21.11, 21.11, 20.69, 75.60K
May 16, 1997, 20.83, 21.53, 21.53, 20.83, 7.20K
May 13, 1997, 20.28, 19.79, 20.28, 19.79, 54.00K
May 12, 1997, 21.24, 19.73, 21.36, 19.72, 64.80K
May 08, 1997, 20.83, 20.83, 20.83, 20.83, 3.60K
May 07, 1997, 19.53, 19.53, 19.53, 19.53, 3.60K
May 06, 1997, 18.25, 17.92, 20.42, 17.92, 43.20K
May 05, 1997, 19.17, 19.97, 20.00, 19.17, 43.20K
Apr 30, 1997, 19.96, 19.86, 19.96, 19.86, 720.00K
Apr 28, 1997, 19.17, 19.17, 19.17, 19.17, 10.80K
Apr 25, 1997, 18.33, 18.33, 18.33, 18.33, 10.80K
Apr 23, 1997, 18.89, 18.89, 18.89, 18.89, 3.60K
Apr 21, 1997, 18.19, 18.05, 18.19, 18.05, 14.40K
Apr 17, 1997, 18.05, 18.05, 18.05, 18.05, 3.60K
Apr 15, 1997, 17.36, 17.36, 17.36, 17.36, 7.20K
Apr 07, 1997, 18.05, 18.05, 18.05, 18.05, 3.60K
Apr 03, 1997, 17.36, 17.36, 17.36, 17.36, 3.60K
Apr 01, 1997, 17.36, 17.36, 17.36, 17.36, 3.60K
Mar 31, 1997, 17.64, 17.64, 17.64, 17.64, 3.60K
Mar 26, 1997, 17.64, 20.00, 20.00, 17.50, 36.00K
Mar 25, 1997, 18.73, 20.06, 20.06, 17.50, 28.80K
Mar 21, 1997, 18.75, 18.75, 18.75, 16.94, 18.00K
Mar 19, 1997, 17.53, 17.53, 17.53, 17.53, 3.60K
Mar 18, 1997, 17.78, 17.75, 17.78, 17.75, 7.20K
Mar 17, 1997, 17.78, 17.99, 17.99, 17.01, 266.40K
Mar 12, 1997, 17.09, 17.09, 17.09, 17.09, 7.20K
Mar 11, 1997, 15.97, 15.97, 15.97, 15.97, 7.20K
Feb 25, 1997, 15.97, 15.97, 15.97, 15.97, 3.60K
Feb 24, 1997, 16.71, 16.67, 17.16, 16.67, 79.20K
Feb 21, 1997, 17.22, 17.22, 17.22, 17.22, 3.60K
Feb 20, 1997, 16.39, 16.39, 16.39, 16.39, 3.60K
