date, close, open, high, low, volume
Sep 03, 1999, 12.27, 12.64, 13.02, 12.20, 388.80K
Sep 02, 1999, 12.13, 12.14, 12.22, 12.03, 484.20K
Sep 01, 1999, 12.17, 12.23, 12.44, 12.06, 939.60K
Aug 31, 1999, 12.13, 12.47, 12.47, 12.04, 631.80K
Aug 30, 1999, 12.15, 11.75, 12.36, 11.75, 496.80K
Aug 27, 1999, 12.12, 12.14, 12.22, 11.97, 221.40K
Aug 26, 1999, 12.08, 12.15, 12.15, 11.89, 316.80K
Aug 25, 1999, 11.99, 12.08, 12.08, 11.92, 522.00K
Aug 24, 1999, 11.95, 11.83, 12.00, 11.75, 955.80K
Aug 23, 1999, 12.01, 11.81, 12.08, 11.71, 1.03M
Aug 20, 1999, 11.78, 11.69, 11.83, 11.67, 343.80K
Aug 19, 1999, 11.81, 11.89, 11.93, 11.56, 1.08M
Aug 18, 1999, 11.91, 11.72, 12.22, 11.61, 1.61M
Aug 17, 1999, 11.63, 11.25, 11.75, 11.11, 633.60K
Aug 16, 1999, 11.24, 10.78, 11.33, 10.58, 988.20K
Aug 13, 1999, 10.49, 10.67, 10.69, 10.44, 185.40K
Aug 12, 1999, 10.63, 10.64, 10.75, 10.56, 338.40K
Aug 11, 1999, 10.56, 10.68, 10.72, 10.44, 313.20K
Aug 10, 1999, 10.52, 10.58, 10.69, 10.42, 394.20K
Aug 09, 1999, 10.72, 10.91, 10.91, 10.69, 523.80K
Aug 06, 1999, 10.73, 10.86, 10.89, 10.61, 918.00K
Aug 05, 1999, 10.86, 10.92, 10.94, 10.69, 153.00K
Aug 04, 1999, 10.95, 11.06, 11.06, 10.73, 444.60K
Aug 03, 1999, 10.43, 10.94, 11.07, 10.28, 610.20K
Aug 02, 1999, 11.13, 11.40, 11.40, 10.97, 529.20K
Jul 30, 1999, 11.36, 11.47, 11.47, 11.20, 435.60K
Jul 29, 1999, 11.43, 11.49, 11.64, 11.39, 579.60K
Jul 28, 1999, 11.41, 11.06, 11.49, 11.06, 448.20K
Jul 27, 1999, 11.03, 11.89, 11.89, 11.00, 675.00K
Jul 26, 1999, 11.96, 11.94, 12.09, 11.83, 504.00K
Jul 23, 1999, 12.12, 12.17, 12.17, 12.04, 469.80K
Jul 22, 1999, 12.15, 12.19, 12.36, 12.03, 333.00K
Jul 21, 1999, 12.18, 12.28, 12.39, 12.11, 415.80K
Jul 20, 1999, 12.31, 12.42, 12.42, 12.15, 2.01M
Jul 19, 1999, 12.38, 12.50, 12.60, 12.28, 925.20K
