date, close, open, high, low, volume
Apr 17, 2004, 46.95, 46.35, 47.25, 46.00, 355.36K
Apr 16, 2004, 45.95, 45.30, 46.55, 44.80, 1.00M
Apr 15, 2004, 44.30, 42.40, 45.15, 42.30, 1.12M
Apr 13, 2004, 42.40, 42.30, 42.55, 41.00, 341.85K
Apr 12, 2004, 41.50, 41.70, 42.40, 41.35, 320.79K
Apr 08, 2004, 41.35, 40.05, 42.00, 40.05, 349.33K
Apr 07, 2004, 40.45, 40.90, 41.40, 40.20, 214.92K
Apr 06, 2004, 40.40, 41.60, 42.00, 40.10, 194.44K
Apr 05, 2004, 41.80, 41.70, 42.50, 41.35, 400.33K
Apr 02, 2004, 41.15, 40.90, 41.35, 40.00, 421.57K
Apr 01, 2004, 40.50, 40.30, 41.45, 40.30, 255.53K
Mar 31, 2004, 40.30, 38.10, 41.50, 38.00, 426.51K
Mar 30, 2004, 38.35, 37.80, 39.40, 37.75, 227.00K
Mar 29, 2004, 37.55, 37.50, 38.15, 37.00, 244.47K
Mar 26, 2004, 37.15, 37.45, 38.00, 36.75, 291.57K
Mar 25, 2004, 36.75, 35.30, 37.00, 35.30, 142.08K
Mar 24, 2004, 35.40, 34.20, 36.00, 34.20, 194.17K
Mar 23, 2004, 34.40, 34.50, 35.25, 34.00, 211.27K
Mar 22, 2004, 35.05, 36.85, 37.15, 34.85, 248.72K
Mar 19, 2004, 36.95, 37.10, 37.90, 36.60, 225.18K
Mar 18, 2004, 37.25, 37.00, 39.20, 36.70, 648.15K
Mar 17, 2004, 37.05, 36.50, 39.90, 36.50, 403.44K
Mar 16, 2004, 34.90, 35.20, 36.25, 34.00, 226.56K
Mar 15, 2004, 36.35, 37.45, 38.45, 36.20, 146.88K
Mar 12, 2004, 37.15, 36.90, 37.35, 36.50, 147.07K
Mar 11, 2004, 37.15, 38.05, 38.15, 37.00, 83.88K
Mar 10, 2004, 38.05, 38.50, 38.65, 37.75, 99.53K
Mar 09, 2004, 38.70, 39.80, 40.00, 38.45, 183.87K
Mar 08, 2004, 39.40, 37.45, 42.00, 37.45, 336.67K
Mar 05, 2004, 36.50, 37.45, 37.45, 36.10, 201.04K
Mar 04, 2004, 37.05, 38.30, 38.30, 37.00, 191.96K
Mar 03, 2004, 38.05, 39.10, 39.10, 38.00, 168.90K
Mar 01, 2004, 38.60, 39.50, 39.85, 38.45, 181.75K
Feb 27, 2004, 39.10, 38.90, 39.50, 38.30, 2.51M
Feb 26, 2004, 38.55, 38.40, 39.50, 38.40, 135.91K
Feb 25, 2004, 38.10, 38.65, 38.95, 37.85, 124.04K
Feb 24, 2004, 38.35, 38.10, 38.60, 37.60, 144.24K
Feb 23, 2004, 38.25, 40.30, 40.30, 38.10, 148.02K
Feb 20, 2004, 39.80, 40.20, 40.50, 39.25, 215.89K
Feb 19, 2004, 40.40, 41.75, 42.25, 40.10, 180.77K
Feb 18, 2004, 41.55, 42.20, 42.55, 41.25, 151.21K
Feb 17, 2004, 42.20, 42.90, 43.40, 42.00, 215.30K
Feb 16, 2004, 42.95, 42.50, 43.95, 42.25, 323.48K
Feb 13, 2004, 42.40, 41.90, 42.50, 41.50, 229.23K
Feb 12, 2004, 41.90, 42.45, 42.45, 41.00, 252.27K
Feb 11, 2004, 41.95, 43.00, 43.00, 41.25, 285.69K
Feb 10, 2004, 41.25, 42.00, 42.40, 40.80, 314.04K
Feb 09, 2004, 41.95, 40.65, 42.10, 40.10, 551.96K
Feb 06, 2004, 40.25, 39.80, 40.55, 39.20, 293.84K
Feb 05, 2004, 39.25, 39.50, 40.35, 38.95, 280.83K
Feb 04, 2004, 39.15, 39.50, 40.60, 38.00, 395.20K
Feb 03, 2004, 39.75, 39.50, 42.80, 39.20, 569.20K
Jan 30, 2004, 42.20, 43.50, 43.50, 41.90, 315.46K
Jan 29, 2004, 42.95, 41.25, 43.20, 41.25, 224.43K
Jan 28, 2004, 43.15, 44.05, 44.05, 42.75, 410.27K
Jan 27, 2004, 44.00, 43.00, 44.50, 42.60, 509.06K
Jan 23, 2004, 42.20, 40.15, 43.00, 38.80, 861.78K
Jan 22, 2004, 40.25, 42.00, 44.00, 39.10, 711.12K
Jan 21, 2004, 41.95, 46.55, 47.40, 41.50, 795.65K
Jan 20, 2004, 46.80, 48.40, 49.00, 46.10, 682.40K
Jan 19, 2004, 47.60, 49.40, 49.40, 46.80, 1.00M
Jan 16, 2004, 48.25, 50.25, 50.25, 47.15, 1.62M
Jan 15, 2004, 48.85, 48.00, 50.50, 47.60, 3.14M
Jan 14, 2004, 47.55, 48.80, 49.60, 47.20, 2.45M
Jan 13, 2004, 46.85, 48.50, 49.20, 45.90, 2.03M
Jan 12, 2004, 47.80, 45.25, 49.00, 44.00, 2.60M
Jan 09, 2004, 44.50, 45.25, 46.00, 43.80, 967.96K
Jan 08, 2004, 44.65, 43.00, 45.00, 42.60, 774.24K
