date, close, open, high, low, volume
Feb 13, 1998, 35.00, 35.00, 35.45, 34.05, 250.40K
Feb 12, 1998, 34.55, 33.90, 35.75, 33.85, 305.30K
Feb 11, 1998, 33.70, 33.70, 33.90, 33.00, 191.00K
Feb 10, 1998, 33.15, 35.00, 37.50, 33.00, 371.80K
Feb 09, 1998, 34.55, 37.45, 37.45, 34.30, 271.10K
Feb 06, 1998, 36.80, 38.10, 38.20, 36.60, 218.70K
Feb 05, 1998, 38.00, 38.55, 38.80, 37.80, 114.30K
Feb 04, 1998, 38.30, 39.05, 39.75, 38.20, 270.50K
Feb 03, 1998, 37.90, 40.50, 40.50, 37.30, 482.80K
Feb 02, 1998, 40.35, 41.10, 42.00, 40.15, 399.50K
Jan 30, 1998, 41.45, 39.10, 42.50, 39.10, 941.60K
