date, close, open, high, low, volume
Sep 03, 1999, 34.80, 34.60, 36.70, 34.25, 414.30K
Sep 02, 1999, 34.60, 36.00, 36.15, 34.30, 366.00K
Sep 01, 1999, 37.00, 39.90, 40.00, 35.60, 650.57K
Aug 31, 1999, 37.05, 34.00, 37.05, 32.80, 1.39M
Aug 30, 1999, 34.30, 36.70, 37.00, 34.25, 513.24K
Aug 27, 1999, 34.90, 32.95, 34.95, 32.50, 473.44K
Aug 26, 1999, 32.35, 34.00, 34.00, 30.15, 367.16K
Aug 25, 1999, 32.60, 38.00, 38.25, 32.60, 648.26K
Aug 24, 1999, 35.40, 35.50, 35.50, 33.05, 1.03M
Aug 23, 1999, 32.85, 32.85, 32.85, 32.85, 567.66K
Aug 20, 1999, 30.40, 30.35, 30.40, 29.10, 369.94K
Aug 19, 1999, 28.15, 28.15, 28.15, 28.15, 25.28K
Aug 18, 1999, 26.05, 26.05, 26.05, 26.05, 8.63K
Aug 17, 1999, 24.10, 22.70, 24.10, 22.70, 21.04K
Aug 16, 1999, 22.30, 21.30, 22.30, 21.30, 99.33K
Aug 13, 1999, 20.65, 21.50, 21.50, 20.50, 28.30K
Aug 12, 1999, 21.00, 21.90, 22.00, 20.55, 82.97K
Aug 11, 1999, 21.30, 18.90, 22.20, 18.50, 176.04K
Aug 10, 1999, 17.80, 17.25, 18.30, 17.15, 118.30K
Aug 09, 1999, 17.20, 18.95, 19.00, 17.00, 229.62K
Aug 06, 1999, 18.05, 19.20, 19.30, 18.00, 74.76K
Aug 05, 1999, 19.00, 19.75, 19.75, 18.90, 173.84K
Aug 04, 1999, 19.55, 20.00, 20.00, 19.40, 92.44K
Aug 03, 1999, 19.65, 20.70, 20.75, 19.20, 106.95K
Aug 02, 1999, 19.90, 20.05, 21.50, 19.00, 76.73K
Jul 30, 1999, 19.85, 20.00, 20.25, 19.50, 23.60K
Jul 29, 1999, 20.00, 19.50, 20.40, 19.50, 42.51K
Jul 28, 1999, 19.05, 19.30, 19.50, 18.55, 20.64K
Jul 27, 1999, 19.20, 19.50, 19.85, 17.15, 41.11K
Jul 26, 1999, 19.60, 20.05, 20.50, 19.50, 42.53K
Jul 23, 1999, 20.70, 21.30, 21.65, 20.50, 31.38K
Jul 22, 1999, 21.30, 20.50, 21.60, 20.50, 28.33K
