date, close, open, high, low, volume
Apr 17, 2004, 83.61, 83.71, 83.84, 83.14, 5.94M
Apr 16, 2004, 83.56, 83.64, 84.75, 83.18, 36.98M
Apr 15, 2004, 82.73, 86.47, 86.47, 82.17, 71.23M
Apr 13, 2004, 85.17, 91.29, 91.29, 82.95, 78.41M
Apr 12, 2004, 79.73, 82.78, 83.06, 78.94, 36.25M
Apr 08, 2004, 82.35, 83.56, 83.70, 81.85, 24.90M
Apr 07, 2004, 82.56, 83.71, 83.71, 81.70, 26.63M
Apr 06, 2004, 82.36, 92.16, 92.16, 81.29, 64.16M
Apr 05, 2004, 80.22, 78.26, 81.21, 78.13, 32.15M
Apr 02, 2004, 77.51, 79.45, 79.82, 76.89, 36.84M
Apr 01, 2004, 79.23, 76.75, 79.74, 76.75, 26.65M
Mar 31, 2004, 76.55, 73.42, 78.27, 73.42, 42.51M
Mar 30, 2004, 78.11, 81.54, 82.12, 77.84, 29.78M
Mar 29, 2004, 80.81, 82.16, 82.53, 79.95, 19.41M
Mar 26, 2004, 82.31, 81.16, 82.94, 81.08, 27.48M
Mar 25, 2004, 80.10, 78.29, 86.81, 78.13, 29.44M
Mar 24, 2004, 78.25, 79.61, 80.30, 77.41, 28.32M
Mar 23, 2004, 80.14, 78.29, 81.14, 77.76, 24.40M
Mar 22, 2004, 78.68, 80.61, 80.61, 78.00, 18.72M
Mar 19, 2004, 80.45, 76.46, 81.03, 76.43, 44.32M
Mar 18, 2004, 76.54, 79.05, 79.06, 76.27, 24.17M
Mar 17, 2004, 78.18, 77.12, 79.37, 77.12, 34.60M
Mar 16, 2004, 76.62, 75.97, 77.20, 74.96, 30.10M
Mar 15, 2004, 76.59, 79.88, 80.36, 75.96, 30.84M
Mar 12, 2004, 78.09, 75.73, 79.43, 74.02, 51.21M
Mar 11, 2004, 75.27, 75.79, 76.26, 74.49, 28.51M
Mar 10, 2004, 76.00, 76.71, 76.81, 75.19, 38.22M
Mar 09, 2004, 77.28, 90.30, 90.30, 75.50, 50.46M
Mar 08, 2004, 79.23, 81.37, 81.37, 79.06, 24.95M
Mar 05, 2004, 81.37, 82.15, 82.60, 81.00, 22.38M
Mar 04, 2004, 81.93, 80.85, 83.32, 80.04, 45.10M
Mar 03, 2004, 80.38, 82.16, 82.36, 79.84, 29.99M
Mar 01, 2004, 82.46, 79.03, 82.63, 79.03, 40.95M
Feb 27, 2004, 78.48, 75.81, 78.97, 75.34, 37.69M
Feb 26, 2004, 75.73, 77.51, 78.29, 74.97, 41.55M
Feb 25, 2004, 77.01, 87.90, 87.90, 76.44, 28.61M
Feb 24, 2004, 78.19, 78.44, 79.28, 76.37, 41.71M
Feb 23, 2004, 78.80, 78.69, 80.05, 78.44, 31.89M
Feb 20, 2004, 78.52, 79.05, 81.15, 77.74, 52.87M
Feb 19, 2004, 79.16, 82.94, 82.94, 78.78, 36.73M
Feb 18, 2004, 82.96, 84.33, 84.64, 82.49, 26.33M
Feb 17, 2004, 83.68, 83.09, 84.02, 82.81, 23.24M
Feb 16, 2004, 83.03, 83.74, 84.29, 82.82, 27.35M
Feb 13, 2004, 83.34, 83.22, 84.16, 82.55, 40.21M
Feb 12, 2004, 82.99, 85.26, 85.48, 82.40, 59.25M
Feb 11, 2004, 84.82, 86.04, 86.40, 84.41, 24.96M
Feb 10, 2004, 85.39, 87.59, 88.29, 85.11, 30.17M
Feb 09, 2004, 87.60, 86.80, 88.52, 86.51, 32.91M
Feb 06, 2004, 86.17, 83.89, 86.58, 83.73, 37.57M
Feb 05, 2004, 84.32, 83.40, 85.95, 82.16, 47.01M
Feb 04, 2004, 83.09, 80.63, 83.54, 80.63, 25.61M
Feb 03, 2004, 80.58, 81.23, 81.54, 79.43, 37.49M
Jan 30, 2004, 80.81, 83.54, 83.54, 80.23, 25.13M
Jan 29, 2004, 81.44, 82.94, 83.65, 80.62, 37.04M
Jan 28, 2004, 83.98, 85.34, 86.11, 82.78, 24.25M
Jan 27, 2004, 86.22, 83.71, 87.12, 77.81, 28.15M
Jan 23, 2004, 84.66, 81.01, 85.37, 80.61, 36.73M
Jan 22, 2004, 80.21, 83.71, 85.96, 78.34, 51.10M
Jan 21, 2004, 83.65, 84.10, 86.04, 82.71, 29.01M
Jan 20, 2004, 83.88, 85.65, 87.12, 83.34, 23.61M
Jan 19, 2004, 85.30, 85.81, 85.81, 83.50, 30.43M
Jan 16, 2004, 85.63, 86.04, 86.19, 84.83, 26.45M
Jan 15, 2004, 86.22, 88.38, 89.28, 85.65, 34.17M
Jan 14, 2004, 88.45, 89.82, 90.00, 88.05, 22.00M
Jan 13, 2004, 89.81, 89.45, 90.05, 88.13, 22.87M
Jan 12, 2004, 88.68, 91.45, 91.45, 88.08, 22.24M
Jan 09, 2004, 90.23, 93.01, 94.56, 89.46, 48.74M
Jan 08, 2004, 90.66, 88.69, 91.37, 88.69, 37.55M
Jan 07, 2004, 88.26, 89.11, 89.87, 86.71, 38.80M
Jan 06, 2004, 88.13, 92.24, 93.17, 87.32, 24.55M
Jan 05, 2004, 91.26, 89.14, 92.16, 88.05, 24.81M
Jan 02, 2004, 87.85, 87.59, 88.52, 87.06, 17.14M
Jan 01, 2004, 87.38, 86.78, 87.66, 86.55, 11.81M
Dec 31, 2003, 86.27, 85.65, 87.05, 85.65, 16.06M
Dec 30, 2003, 85.82, 86.78, 92.78, 85.11, 24.88M
Dec 29, 2003, 85.24, 84.10, 85.64, 83.76, 19.78M
Dec 26, 2003, 83.64, 84.25, 84.64, 83.33, 17.10M
Dec 24, 2003, 84.08, 84.49, 84.49, 82.88, 21.94M
Dec 23, 2003, 84.52, 82.50, 84.88, 82.47, 38.82M
Dec 22, 2003, 82.52, 81.62, 82.86, 80.61, 22.90M
Dec 19, 2003, 81.56, 80.45, 82.53, 80.12, 37.66M
Dec 18, 2003, 79.51, 82.13, 82.13, 79.16, 26.06M
Dec 17, 2003, 79.40, 79.68, 80.58, 79.06, 28.05M
Dec 16, 2003, 81.06, 77.52, 81.30, 77.52, 40.51M
Dec 15, 2003, 79.67, 78.29, 79.96, 78.29, 18.62M
Dec 12, 2003, 78.01, 77.51, 78.28, 77.12, 22.95M
Dec 11, 2003, 77.17, 78.12, 78.12, 76.61, 20.85M
Dec 10, 2003, 77.00, 76.74, 78.13, 76.45, 26.61M
Dec 09, 2003, 77.19, 76.44, 77.65, 76.44, 19.14M
Dec 08, 2003, 76.05, 75.96, 76.50, 75.45, 19.88M
Dec 05, 2003, 76.13, 77.87, 78.63, 75.84, 23.66M
Dec 04, 2003, 78.47, 72.86, 79.05, 72.86, 27.83M
Dec 03, 2003, 78.97, 79.61, 79.82, 78.52, 27.39M
Dec 02, 2003, 79.65, 80.63, 81.23, 78.70, 25.26M
Dec 01, 2003, 80.04, 76.89, 80.54, 76.89, 35.86M
Nov 28, 2003, 76.36, 75.65, 76.89, 75.58, 19.41M
Nov 27, 2003, 76.40, 74.10, 76.89, 74.10, 44.81M
Nov 25, 2003, 73.38, 72.71, 73.58, 72.68, 23.17M
Nov 24, 2003, 71.72, 72.05, 72.47, 68.83, 21.50M
Nov 21, 2003, 72.42, 71.31, 72.69, 71.24, 25.34M
Nov 20, 2003, 71.65, 72.88, 73.44, 71.16, 24.76M
Nov 19, 2003, 72.27, 71.03, 73.00, 70.77, 45.07M
Nov 18, 2003, 71.51, 71.77, 73.40, 71.02, 38.12M
Nov 17, 2003, 71.68, 71.67, 72.47, 71.16, 28.11M
Nov 14, 2003, 71.71, 73.56, 73.90, 71.02, 30.75M
Nov 13, 2003, 73.59, 76.12, 76.56, 72.88, 36.44M
Nov 12, 2003, 75.47, 76.43, 76.74, 74.88, 32.66M
Nov 11, 2003, 76.32, 75.81, 77.20, 75.39, 26.50M
Nov 10, 2003, 76.53, 76.74, 77.51, 74.99, 16.13M
Nov 07, 2003, 77.24, 78.60, 79.53, 76.55, 26.51M
Nov 06, 2003, 78.68, 77.20, 79.80, 77.20, 42.93M
Nov 05, 2003, 77.41, 78.13, 78.13, 76.51, 30.09M
Nov 04, 2003, 77.92, 78.00, 79.36, 77.37, 39.57M
Nov 03, 2003, 77.19, 73.71, 77.70, 73.71, 47.99M
Oct 31, 2003, 73.46, 71.31, 73.71, 70.23, 36.35M
Oct 30, 2003, 71.57, 71.47, 72.46, 70.46, 32.64M
Oct 29, 2003, 70.85, 69.78, 71.00, 69.78, 26.78M
Oct 28, 2003, 69.25, 69.60, 70.30, 68.83, 35.97M
Oct 27, 2003, 68.93, 70.80, 70.83, 68.83, 22.34M
Oct 24, 2003, 70.61, 80.61, 80.61, 68.49, 33.50M
Oct 23, 2003, 68.49, 69.76, 70.69, 67.92, 31.69M
Oct 22, 2003, 69.96, 71.29, 71.29, 69.53, 37.82M
Oct 21, 2003, 70.57, 74.41, 74.41, 70.09, 31.92M
Oct 20, 2003, 71.67, 73.40, 74.02, 71.02, 29.53M
Oct 17, 2003, 73.41, 72.24, 73.64, 71.31, 43.54M
Oct 16, 2003, 71.79, 73.85, 73.85, 71.09, 31.41M
Oct 15, 2003, 73.41, 73.20, 73.71, 72.28, 33.39M
Oct 14, 2003, 73.20, 73.96, 74.80, 72.88, 38.87M
Oct 13, 2003, 73.60, 72.88, 74.10, 72.09, 53.11M
Oct 10, 2003, 71.77, 72.86, 73.48, 69.37, 82.87M
Oct 09, 2003, 68.94, 68.60, 69.92, 67.69, 51.19M
Oct 08, 2003, 68.05, 69.76, 70.04, 67.21, 51.33M
Oct 07, 2003, 69.35, 71.13, 71.36, 68.88, 29.57M
Oct 06, 2003, 70.83, 71.02, 71.54, 57.51, 33.59M
Oct 03, 2003, 70.69, 71.81, 72.06, 70.46, 38.17M
Oct 01, 2003, 70.91, 69.75, 71.61, 69.48, 46.23M
Sep 30, 2003, 70.20, 70.50, 70.81, 69.64, 43.59M
Sep 29, 2003, 69.36, 70.85, 70.95, 69.02, 50.25M
Sep 26, 2003, 70.56, 69.61, 70.92, 68.85, 50.34M
Sep 25, 2003, 69.88, 66.89, 70.38, 66.89, 60.74M
Sep 24, 2003, 69.90, 67.05, 70.41, 66.97, 68.74M
Sep 23, 2003, 66.90, 67.11, 67.36, 65.67, 49.60M
Sep 22, 2003, 67.79, 67.78, 68.13, 66.57, 52.58M
Sep 19, 2003, 66.97, 66.97, 67.59, 65.58, 41.66M
Sep 18, 2003, 65.75, 66.12, 67.43, 65.30, 50.76M
Sep 17, 2003, 67.10, 66.59, 68.16, 66.59, 70.70M
Sep 16, 2003, 65.25, 62.49, 65.76, 62.23, 52.14M
Sep 15, 2003, 62.62, 64.26, 65.30, 62.16, 48.68M
Sep 12, 2003, 64.52, 67.82, 67.82, 64.18, 53.66M
Sep 11, 2003, 65.49, 65.11, 66.92, 64.96, 45.15M
Sep 10, 2003, 66.71, 68.29, 68.29, 65.95, 53.21M
Sep 09, 2003, 69.42, 67.35, 70.15, 66.74, 90.48M
Sep 08, 2003, 65.92, 66.04, 67.67, 65.50, 47.58M
Sep 05, 2003, 65.08, 65.85, 65.96, 64.06, 65.35M
Sep 04, 2003, 65.26, 59.68, 65.89, 59.68, 124.08M
Sep 03, 2003, 59.12, 61.14, 61.51, 58.91, 41.54M
Sep 02, 2003, 60.33, 60.46, 61.05, 59.54, 37.69M
Sep 01, 2003, 59.98, 62.01, 62.01, 59.54, 24.55M
Aug 29, 2003, 60.86, 61.16, 61.70, 59.22, 42.51M
Aug 28, 2003, 60.44, 60.48, 61.06, 59.56, 53.89M
Aug 27, 2003, 59.78, 58.37, 60.05, 57.79, 42.24M
Aug 26, 2003, 57.63, 55.27, 58.27, 55.27, 39.06M
Aug 25, 2003, 55.20, 57.17, 58.13, 46.79, 70.43M
Aug 22, 2003, 56.46, 57.92, 58.20, 56.04, 31.93M
Aug 21, 2003, 57.58, 57.24, 58.05, 57.20, 24.14M
Aug 20, 2003, 57.00, 54.78, 57.34, 54.66, 55.28M
Aug 19, 2003, 54.14, 54.58, 55.41, 53.87, 26.58M
Aug 18, 2003, 54.10, 53.30, 54.78, 52.94, 37.10M
Aug 14, 2003, 52.97, 53.74, 53.74, 52.79, 25.25M
Aug 13, 2003, 53.68, 53.35, 54.34, 52.63, 48.05M
Aug 12, 2003, 52.84, 54.84, 54.84, 52.65, 46.98M
Aug 11, 2003, 53.98, 54.72, 54.72, 53.78, 37.69M
Aug 08, 2003, 55.15, 54.88, 56.43, 54.51, 33.57M
Aug 07, 2003, 54.39, 54.09, 54.95, 53.95, 43.47M
Aug 06, 2003, 54.34, 56.75, 56.75, 54.03, 70.19M
Aug 05, 2003, 57.78, 58.17, 58.87, 57.28, 42.46M
Aug 04, 2003, 58.02, 57.75, 59.01, 57.75, 39.48M
Aug 01, 2003, 58.55, 56.58, 59.61, 56.28, 59.05M
Jul 31, 2003, 55.84, 55.65, 56.47, 55.21, 59.54M
Jul 30, 2003, 55.29, 55.44, 55.89, 54.91, 37.57M
Jul 29, 2003, 55.59, 54.24, 55.93, 53.80, 48.54M
Jul 28, 2003, 54.67, 54.88, 55.72, 54.29, 32.98M
Jul 25, 2003, 54.52, 52.36, 54.80, 52.36, 37.36M
Jul 24, 2003, 53.65, 53.64, 54.10, 52.53, 51.71M
Jul 23, 2003, 53.20, 52.48, 53.48, 52.18, 44.87M
Jul 22, 2003, 51.75, 50.65, 52.23, 49.78, 60.29M
Jul 21, 2003, 51.02, 52.71, 53.02, 50.63, 53.58M
Jul 18, 2003, 52.54, 52.17, 53.24, 51.93, 41.34M
Jul 17, 2003, 53.69, 55.27, 55.27, 53.33, 46.27M
Jul 16, 2003, 53.42, 53.67, 53.91, 52.90, 36.88M
Jul 15, 2003, 52.82, 53.48, 53.87, 52.11, 43.52M
Jul 14, 2003, 54.06, 55.42, 55.57, 53.64, 41.39M
Jul 11, 2003, 54.49, 55.48, 55.61, 54.14, 71.09M
Jul 10, 2003, 56.22, 54.26, 57.27, 54.26, 130.80M
Jul 09, 2003, 50.40, 50.15, 51.14, 49.79, 51.18M
Jul 08, 2003, 50.23, 48.66, 50.50, 47.76, 84.82M
Jul 07, 2003, 47.98, 47.91, 48.35, 46.89, 47.72M
Jul 04, 2003, 48.00, 48.13, 48.42, 46.99, 44.23M
Jul 03, 2003, 48.35, 51.16, 51.16, 44.43, 114.86M
Jul 02, 2003, 49.14, 51.92, 51.93, 48.83, 54.31M
Jul 01, 2003, 51.21, 50.79, 51.86, 50.74, 52.46M
Jun 30, 2003, 50.75, 51.70, 51.78, 50.51, 46.58M
Jun 27, 2003, 51.63, 51.08, 51.92, 50.71, 45.47M
Jun 26, 2003, 50.21, 48.69, 50.58, 48.69, 66.02M
Jun 25, 2003, 48.69, 48.85, 49.20, 48.38, 43.75M
Jun 24, 2003, 48.75, 46.91, 49.03, 46.91, 73.83M
Jun 23, 2003, 47.97, 47.68, 48.67, 47.36, 60.15M
Jun 20, 2003, 47.35, 45.42, 48.06, 45.42, 54.43M
Jun 19, 2003, 47.18, 46.89, 47.44, 46.83, 23.55M
Jun 18, 2003, 47.49, 47.96, 48.06, 47.09, 47.01M
Jun 17, 2003, 47.94, 46.28, 48.06, 46.28, 71.78M
Jun 16, 2003, 45.22, 45.57, 45.72, 44.85, 34.41M
Jun 13, 2003, 46.06, 46.18, 46.32, 45.42, 50.02M
Jun 12, 2003, 46.04, 45.92, 46.27, 45.69, 38.95M
Jun 11, 2003, 45.56, 45.12, 46.10, 44.87, 67.31M
Jun 10, 2003, 44.57, 45.73, 45.93, 44.35, 51.28M
Jun 09, 2003, 46.02, 44.99, 46.49, 44.65, 40.50M
Jun 06, 2003, 45.72, 44.68, 46.27, 44.65, 58.53M
Jun 05, 2003, 44.33, 43.83, 44.94, 43.83, 51.24M
Jun 04, 2003, 42.85, 42.71, 43.25, 42.55, 34.66M
Jun 03, 2003, 42.25, 44.15, 44.15, 41.86, 48.93M
Jun 02, 2003, 43.58, 42.63, 43.79, 42.01, 44.77M
May 30, 2003, 41.46, 43.08, 43.24, 41.25, 48.57M
May 29, 2003, 42.94, 42.57, 43.63, 42.11, 68.53M
May 28, 2003, 42.57, 41.11, 42.79, 40.87, 67.30M
May 27, 2003, 40.50, 40.69, 41.75, 40.09, 58.36M
May 26, 2003, 40.82, 40.59, 41.20, 39.86, 51.41M
May 23, 2003, 40.49, 42.05, 42.38, 40.31, 84.91M
May 22, 2003, 41.71, 43.10, 43.10, 41.39, 67.29M
May 21, 2003, 43.23, 44.63, 45.31, 42.95, 82.43M
May 20, 2003, 44.24, 43.22, 44.59, 42.27, 83.44M
May 19, 2003, 43.26, 46.91, 47.24, 43.02, 97.50M
May 16, 2003, 46.42, 45.57, 46.58, 45.07, 60.83M
May 15, 2003, 44.70, 44.65, 44.86, 43.95, 36.53M
May 14, 2003, 44.42, 44.49, 44.94, 43.92, 38.63M
May 13, 2003, 44.56, 43.56, 44.88, 43.56, 42.93M
May 12, 2003, 43.13, 45.86, 45.97, 42.71, 72.95M
May 09, 2003, 45.36, 45.73, 46.04, 45.06, 41.51M
May 08, 2003, 46.13, 46.35, 47.49, 45.85, 52.41M
May 07, 2003, 46.87, 46.20, 47.10, 46.00, 55.78M
May 06, 2003, 46.23, 45.72, 47.59, 44.86, 88.80M
May 05, 2003, 45.68, 43.72, 46.34, 43.72, 50.77M
May 02, 2003, 45.18, 43.70, 45.42, 43.56, 63.60M
Apr 30, 2003, 43.20, 44.18, 44.32, 42.68, 51.48M
Apr 29, 2003, 44.45, 45.58, 45.73, 43.97, 43.98M
Apr 28, 2003, 44.85, 45.12, 45.38, 44.49, 38.24M
Apr 25, 2003, 45.11, 44.49, 45.53, 44.05, 35.40M
Apr 24, 2003, 44.92, 44.44, 46.48, 44.18, 75.87M
Apr 23, 2003, 44.69, 45.92, 46.14, 44.42, 48.63M
Apr 22, 2003, 45.26, 45.70, 45.79, 44.38, 60.42M
