date, close, open, high, low, volume
Feb 13, 1998, 4.38, 4.36, 4.39, 4.33, 896.00K
Feb 12, 1998, 4.33, 4.26, 4.36, 4.07, 1.38M
Feb 11, 1998, 4.38, 4.45, 4.46, 4.34, 1.10M
Feb 10, 1998, 4.38, 4.32, 4.45, 4.32, 2.18M
Feb 09, 1998, 4.35, 4.34, 4.36, 4.31, 716.80K
Feb 06, 1998, 4.33, 4.35, 4.36, 4.31, 1.66M
Feb 05, 1998, 4.34, 4.31, 4.34, 4.30, 998.40K
Feb 04, 1998, 4.30, 4.34, 4.37, 4.30, 14.95M
Feb 03, 1998, 4.31, 4.33, 4.34, 4.29, 15.21M
Feb 02, 1998, 4.33, 4.30, 4.36, 4.28, 1.77M
Jan 30, 1998, 4.28, 4.20, 4.29, 4.20, 2.59M
Jan 29, 1998, 4.19, 4.24, 4.30, 4.19, 3.71M
Jan 28, 1998, 4.35, 4.39, 4.45, 4.34, 17.66M
Jan 27, 1998, 4.45, 4.48, 4.48, 4.34, 7.55M
Jan 23, 1998, 4.50, 4.53, 4.55, 4.48, 7.53M
Jan 22, 1998, 4.52, 4.51, 4.60, 4.51, 2.28M
Jan 21, 1998, 4.57, 4.52, 4.61, 4.47, 3.94M
Jan 20, 1998, 4.50, 4.17, 4.55, 4.17, 6.55M
Jan 19, 1998, 4.48, 4.52, 4.52, 4.41, 3.79M
Jan 16, 1998, 4.55, 4.55, 4.59, 4.52, 3.25M
Jan 15, 1998, 4.55, 4.67, 4.67, 4.49, 4.97M
Jan 14, 1998, 4.63, 4.64, 4.70, 4.57, 5.63M
Jan 13, 1998, 4.51, 4.53, 4.57, 4.46, 10.85M
Jan 12, 1998, 4.48, 4.58, 4.58, 4.46, 5.30M
Jan 09, 1998, 4.62, 4.71, 4.79, 4.52, 8.42M
Jan 08, 1998, 4.80, 4.94, 4.97, 4.78, 7.78M
Jan 07, 1998, 5.00, 4.98, 5.10, 4.96, 14.92M
Jan 06, 1998, 4.93, 4.97, 5.08, 4.90, 14.75M
Jan 05, 1998, 4.99, 4.84, 5.09, 4.84, 13.08M
Jan 02, 1998, 4.82, 4.75, 4.86, 4.75, 5.63M
Jan 01, 1998, 4.79, 4.82, 4.83, 4.77, 3.10M
