date, close, open, high, low, volume
Sep 03, 1999, 43.09, 42.55, 43.21, 42.24, 3.06M
Sep 02, 1999, 42.33, 42.79, 42.79, 41.90, 2.76M
Sep 01, 1999, 42.46, 43.72, 43.72, 42.24, 3.29M
Aug 31, 1999, 43.02, 43.03, 43.24, 42.71, 4.73M
Aug 30, 1999, 43.21, 43.63, 43.71, 43.02, 2.24M
Aug 27, 1999, 43.35, 43.44, 43.79, 43.21, 3.21M
Aug 26, 1999, 43.31, 43.02, 43.95, 43.02, 4.66M
Aug 25, 1999, 43.52, 44.10, 44.49, 42.63, 8.93M
Aug 24, 1999, 42.66, 43.25, 43.41, 42.48, 4.80M
Aug 23, 1999, 42.91, 42.43, 43.78, 42.43, 4.19M
Aug 20, 1999, 42.17, 42.13, 42.36, 41.86, 2.69M
Aug 19, 1999, 42.52, 43.25, 43.99, 42.32, 4.53M
Aug 18, 1999, 43.22, 43.79, 43.99, 42.99, 6.40M
Aug 17, 1999, 43.22, 43.10, 43.70, 42.87, 10.38M
Aug 16, 1999, 42.89, 43.15, 43.57, 42.71, 5.97M
Aug 13, 1999, 42.27, 42.55, 42.97, 42.09, 10.77M
Aug 12, 1999, 42.17, 41.54, 42.59, 41.24, 18.50M
Aug 11, 1999, 40.94, 37.98, 41.55, 37.98, 19.46M
Aug 10, 1999, 39.02, 39.01, 39.41, 37.99, 15.76M
Aug 09, 1999, 39.31, 39.55, 40.07, 39.14, 6.11M
Aug 06, 1999, 40.07, 39.84, 40.61, 39.39, 16.28M
Aug 05, 1999, 39.29, 39.92, 40.27, 39.08, 7.39M
Aug 04, 1999, 39.82, 39.14, 40.53, 39.14, 16.64M
Aug 03, 1999, 38.85, 39.52, 39.68, 38.64, 12.06M
Aug 02, 1999, 39.63, 37.67, 40.48, 37.05, 28.50M
Jul 30, 1999, 37.55, 37.40, 37.78, 36.55, 10.30M
Jul 29, 1999, 37.86, 37.19, 39.76, 37.19, 15.40M
Jul 28, 1999, 36.86, 36.39, 37.11, 35.73, 18.42M
Jul 27, 1999, 34.55, 34.92, 35.58, 34.34, 18.63M
Jul 26, 1999, 35.34, 35.19, 36.00, 34.18, 12.09M
Jul 23, 1999, 35.13, 35.85, 36.82, 34.57, 21.22M
Jul 22, 1999, 35.85, 36.56, 36.82, 35.07, 20.96M
Jul 21, 1999, 37.14, 36.44, 38.41, 36.28, 23.18M
Jul 20, 1999, 39.27, 42.67, 42.67, 39.26, 18.15M
Jul 19, 1999, 42.67, 40.07, 42.67, 40.07, 6.88M
Jul 16, 1999, 39.51, 37.59, 40.23, 37.59, 16.75M
Jul 15, 1999, 37.27, 38.02, 38.67, 36.85, 22.15M
Jul 14, 1999, 35.92, 33.72, 35.96, 33.33, 22.44M
Jul 13, 1999, 33.30, 32.64, 33.99, 32.36, 13.99M
