date, close, open, high, low, volume
Apr 04, 2014, 106.42, 106.00, 106.90, 104.61, 6.34M
Apr 03, 2014, 105.72, 103.14, 106.00, 102.00, 10.16M
Apr 02, 2014, 103.14, 103.01, 104.00, 101.24, 8.62M
Apr 01, 2014, 102.29, 104.47, 104.47, 100.36, 6.98M
Mar 31, 2014, 103.61, 98.88, 104.75, 98.60, 14.04M
Mar 28, 2014, 98.48, 100.50, 101.09, 98.10, 5.57M
Mar 27, 2014, 100.02, 99.90, 100.80, 98.61, 11.33M
Mar 26, 2014, 99.75, 98.67, 100.40, 98.50, 7.18M
Mar 25, 2014, 98.05, 97.55, 99.84, 97.55, 6.18M
Mar 24, 2014, 97.92, 99.11, 99.90, 97.32, 5.74M
Mar 22, 2014, 98.53, 98.00, 99.00, 97.75, 670.96K
Mar 21, 2014, 98.14, 95.11, 98.88, 95.11, 9.56M
Mar 20, 2014, 94.86, 97.10, 97.46, 94.28, 5.93M
Mar 19, 2014, 97.17, 95.03, 97.70, 94.33, 7.64M
Mar 18, 2014, 94.81, 94.33, 96.08, 94.08, 6.79M
Mar 14, 2014, 93.94, 92.11, 94.34, 91.44, 6.37M
Mar 13, 2014, 92.85, 94.67, 95.96, 92.28, 7.07M
Mar 12, 2014, 94.58, 93.43, 96.58, 92.64, 7.01M
Mar 11, 2014, 93.67, 97.80, 97.89, 93.20, 7.46M
Mar 10, 2014, 97.23, 93.53, 98.17, 93.20, 9.86M
Mar 07, 2014, 94.08, 91.50, 94.69, 90.80, 9.48M
Mar 06, 2014, 90.83, 89.70, 91.79, 89.05, 8.87M
Mar 05, 2014, 89.67, 89.78, 90.30, 88.20, 7.32M
Mar 04, 2014, 89.08, 86.80, 89.30, 86.61, 7.11M
Mar 03, 2014, 86.88, 87.45, 88.13, 86.21, 5.00M
Feb 28, 2014, 87.59, 86.00, 87.95, 85.36, 7.86M
Feb 26, 2014, 85.81, 85.89, 86.99, 84.61, 9.46M
Feb 25, 2014, 85.76, 88.28, 89.44, 85.34, 8.79M
Feb 24, 2014, 88.28, 88.70, 89.86, 87.56, 6.57M
Feb 21, 2014, 88.60, 87.00, 89.00, 86.90, 6.03M
Feb 20, 2014, 86.79, 86.20, 87.30, 85.25, 5.64M
