date, close, open, high, low, volume
Apr 04, 2014, 377.55, 376.10, 380.50, 375.00, 1.02M
Apr 03, 2014, 379.90, 385.65, 385.90, 377.77, 1.51M
Apr 02, 2014, 384.77, 384.00, 386.65, 379.48, 2.30M
Apr 01, 2014, 381.85, 390.75, 391.05, 376.00, 1.61M
Mar 31, 2014, 390.52, 390.15, 392.35, 384.15, 1.52M
Mar 28, 2014, 389.00, 388.35, 394.00, 383.50, 2.20M
Mar 27, 2014, 385.95, 385.80, 389.98, 380.50, 2.84M
Mar 26, 2014, 385.77, 387.50, 389.95, 381.68, 1.72M
Mar 25, 2014, 386.32, 382.50, 388.73, 382.50, 1.66M
Mar 24, 2014, 382.77, 372.15, 384.93, 372.15, 1.83M
Mar 22, 2014, 370.62, 373.00, 374.77, 368.60, 90.70K
Mar 21, 2014, 372.05, 376.75, 377.50, 369.18, 2.04M
Mar 20, 2014, 373.62, 382.50, 382.50, 371.00, 1.63M
Mar 19, 2014, 381.20, 383.82, 384.88, 378.38, 1.14M
Mar 18, 2014, 382.65, 378.70, 387.50, 378.70, 1.66M
Mar 14, 2014, 377.98, 378.32, 380.70, 366.50, 1.61M
Mar 13, 2014, 382.18, 372.50, 388.32, 371.55, 2.00M
Mar 12, 2014, 372.43, 372.62, 376.35, 367.52, 1.38M
Mar 11, 2014, 372.10, 377.90, 378.82, 367.25, 1.44M
Mar 10, 2014, 376.20, 355.00, 377.50, 350.18, 2.95M
Mar 07, 2014, 355.77, 348.85, 358.75, 345.68, 3.71M
Mar 06, 2014, 343.68, 341.50, 345.73, 339.00, 1.23M
Mar 05, 2014, 340.40, 340.50, 342.10, 335.30, 1.43M
Mar 04, 2014, 338.35, 335.50, 339.45, 332.73, 1.38M
Mar 03, 2014, 334.98, 341.00, 346.32, 334.00, 900.45K
Feb 28, 2014, 342.25, 342.70, 347.00, 337.98, 1.86M
Feb 26, 2014, 342.70, 337.55, 345.45, 337.55, 1.51M
Feb 25, 2014, 337.88, 340.15, 341.70, 336.07, 875.94K
Feb 24, 2014, 338.80, 334.05, 340.43, 331.00, 1.47M
Feb 21, 2014, 336.02, 335.00, 338.90, 332.25, 952.23K
Feb 20, 2014, 334.88, 340.85, 341.45, 333.38, 1.14M
Feb 19, 2014, 342.95, 340.00, 344.20, 335.25, 2.24M
Feb 18, 2014, 340.15, 325.50, 341.50, 324.02, 2.13M
Feb 17, 2014, 325.38, 323.60, 326.68, 321.55, 927.67K
Feb 14, 2014, 323.23, 319.00, 326.65, 315.25, 1.61M
Feb 13, 2014, 318.40, 324.50, 327.05, 316.25, 778.57K
Feb 12, 2014, 324.77, 325.00, 328.15, 322.05, 1.04M
Feb 11, 2014, 323.62, 324.45, 326.00, 320.32, 982.67K
Feb 10, 2014, 323.62, 330.93, 330.93, 322.00, 1.48M
Feb 07, 2014, 329.43, 331.00, 333.25, 326.20, 1.44M
Feb 06, 2014, 330.25, 336.00, 338.05, 326.25, 2.18M
Feb 05, 2014, 333.75, 332.50, 335.70, 325.18, 1.66M
Feb 04, 2014, 332.65, 324.00, 333.93, 321.80, 1.02M
Feb 03, 2014, 327.48, 325.65, 329.00, 324.90, 2.32M
Jan 31, 2014, 328.52, 324.75, 330.65, 324.38, 1.11M
Jan 30, 2014, 325.02, 325.05, 330.00, 323.88, 1.68M
Jan 29, 2014, 332.00, 333.50, 337.48, 331.45, 1.07M
Jan 28, 2014, 329.90, 328.50, 335.00, 322.52, 2.68M
Jan 27, 2014, 329.05, 339.05, 341.25, 327.27, 3.23M
Jan 24, 2014, 342.38, 347.50, 352.40, 340.50, 1.72M
Jan 23, 2014, 352.65, 353.50, 355.77, 351.60, 675.74K
Jan 22, 2014, 355.15, 352.50, 359.00, 349.10, 2.64M
Jan 21, 2014, 353.15, 364.85, 366.00, 352.00, 3.40M
Jan 20, 2014, 364.07, 362.90, 368.75, 360.00, 998.63K
Jan 17, 2014, 363.55, 365.25, 368.88, 360.00, 646.30K
Jan 16, 2014, 365.73, 365.15, 367.50, 361.50, 1.10M
Jan 15, 2014, 364.57, 357.00, 365.57, 356.27, 1.11M
Jan 14, 2014, 355.65, 358.00, 361.55, 353.50, 527.65K
Jan 13, 2014, 358.45, 347.57, 362.38, 347.57, 944.98K
Jan 10, 2014, 350.23, 352.05, 357.40, 349.00, 732.45K
Jan 09, 2014, 355.07, 355.25, 357.77, 353.32, 615.17K
Jan 08, 2014, 356.45, 354.50, 358.50, 351.82, 625.97K
Jan 07, 2014, 354.07, 356.00, 357.50, 350.00, 1.29M
Jan 06, 2014, 357.05, 355.00, 358.50, 352.80, 893.43K
Jan 03, 2014, 356.27, 353.55, 358.15, 348.30, 1.15M
Jan 02, 2014, 353.70, 361.30, 365.73, 351.50, 912.28K
Jan 01, 2014, 361.27, 366.00, 366.02, 360.38, 785.54K
Dec 31, 2013, 364.12, 367.48, 367.50, 362.75, 360.54K
Dec 30, 2013, 365.90, 370.25, 370.55, 362.85, 893.45K
Dec 27, 2013, 370.02, 364.85, 371.48, 363.50, 1.07M
Dec 26, 2013, 362.95, 363.50, 367.50, 361.02, 1.85M
Dec 24, 2013, 364.40, 367.00, 367.50, 361.50, 581.11K
Dec 23, 2013, 366.27, 367.45, 370.50, 364.50, 812.83K
Dec 20, 2013, 366.57, 361.35, 368.18, 357.52, 2.18M
Dec 19, 2013, 360.98, 378.50, 378.55, 360.00, 1.36M
Dec 18, 2013, 375.10, 370.45, 381.57, 369.25, 2.15M
Dec 17, 2013, 370.30, 378.25, 379.27, 369.15, 613.42K
Dec 16, 2013, 375.40, 379.20, 379.52, 373.90, 716.34K
Dec 13, 2013, 379.25, 379.27, 381.05, 376.95, 738.09K
Dec 12, 2013, 382.55, 381.10, 385.35, 378.62, 602.63K
Dec 11, 2013, 384.48, 383.57, 387.40, 380.35, 914.69K
Dec 10, 2013, 386.25, 382.12, 388.40, 377.27, 1.52M
Dec 09, 2013, 381.95, 392.50, 393.95, 379.88, 1.57M
Dec 06, 2013, 378.93, 382.15, 384.50, 375.82, 1.26M
Dec 05, 2013, 380.98, 379.00, 385.65, 377.50, 1.52M
Dec 04, 2013, 374.52, 376.55, 380.70, 373.32, 1.10M
Dec 03, 2013, 379.35, 383.32, 383.98, 377.23, 865.75K
Dec 02, 2013, 385.27, 378.12, 387.00, 378.12, 950.75K
Nov 29, 2013, 378.40, 379.00, 382.35, 376.00, 1.15M
Nov 28, 2013, 375.95, 373.50, 378.43, 370.12, 1.60M
Nov 27, 2013, 373.52, 372.35, 374.85, 368.35, 501.21K
Nov 26, 2013, 372.93, 372.00, 374.95, 367.55, 3.30M
Nov 25, 2013, 372.82, 361.00, 374.00, 360.30, 1.02M
Nov 22, 2013, 358.30, 358.05, 364.00, 356.75, 1.06M
Nov 21, 2013, 355.75, 363.00, 364.20, 354.00, 1.28M
Nov 20, 2013, 366.48, 367.68, 372.40, 362.82, 890.75K
Nov 19, 2013, 367.68, 373.00, 373.00, 366.32, 810.42K
Nov 18, 2013, 371.52, 368.85, 372.50, 366.20, 1.21M
Nov 14, 2013, 362.82, 362.50, 367.38, 360.15, 1.06M
Nov 13, 2013, 359.12, 356.45, 361.75, 355.00, 866.35K
Nov 12, 2013, 358.10, 355.52, 364.70, 355.52, 665.08K
Nov 11, 2013, 356.18, 358.05, 363.35, 354.60, 980.37K
Nov 08, 2013, 363.70, 363.07, 367.00, 358.62, 852.73K
Nov 07, 2013, 367.32, 366.00, 373.45, 365.00, 822.71K
Nov 06, 2013, 365.73, 372.50, 374.07, 365.00, 541.35K
Nov 05, 2013, 372.70, 371.70, 376.50, 367.18, 1.69M
Nov 03, 2013, 371.80, 376.38, 376.38, 370.30, 104.90K
Nov 01, 2013, 374.25, 376.50, 378.10, 372.77, 2.35M
Oct 31, 2013, 376.23, 369.35, 380.90, 364.65, 2.29M
Oct 30, 2013, 369.05, 368.00, 372.27, 366.55, 1.27M
Oct 29, 2013, 366.52, 353.00, 367.50, 351.88, 2.92M
Oct 28, 2013, 354.25, 354.95, 357.90, 352.80, 1.26M
Oct 25, 2013, 352.45, 353.23, 358.40, 347.68, 2.12M
Oct 24, 2013, 353.52, 352.85, 365.25, 351.80, 3.11M
Oct 23, 2013, 355.05, 355.50, 359.60, 352.55, 1.35M
Oct 22, 2013, 354.55, 356.05, 359.90, 353.00, 1.90M
Oct 21, 2013, 358.43, 352.50, 361.75, 350.12, 2.86M
Oct 18, 2013, 350.68, 340.05, 352.18, 339.30, 2.49M
Oct 17, 2013, 338.43, 342.35, 347.25, 336.50, 1.49M
Oct 15, 2013, 341.45, 351.50, 352.50, 339.10, 1.34M
Oct 14, 2013, 349.30, 352.50, 357.25, 347.75, 1.43M
Oct 11, 2013, 352.50, 357.50, 360.02, 351.30, 1.77M
Oct 10, 2013, 352.85, 358.50, 361.75, 350.15, 1.95M
Oct 09, 2013, 359.40, 343.50, 361.85, 342.68, 1.19M
Oct 08, 2013, 347.43, 352.75, 358.38, 343.00, 1.05M
Oct 07, 2013, 343.38, 346.62, 350.00, 338.55, 979.45K
Oct 04, 2013, 347.77, 348.90, 353.80, 344.90, 1.55M
Oct 03, 2013, 350.05, 345.00, 352.43, 343.80, 1.57M
Oct 01, 2013, 342.55, 339.20, 344.75, 333.50, 925.67K
Sep 30, 2013, 339.05, 338.50, 344.57, 334.20, 1.31M
Sep 27, 2013, 341.43, 353.50, 356.43, 340.05, 1.36M
Sep 26, 2013, 351.70, 354.65, 360.75, 349.00, 2.55M
Sep 25, 2013, 354.65, 360.60, 362.38, 347.62, 3.25M
Sep 24, 2013, 360.05, 353.50, 366.20, 353.50, 1.36M
Sep 23, 2013, 359.65, 366.77, 370.35, 357.02, 1.52M
Sep 20, 2013, 374.10, 386.50, 387.98, 363.70, 2.54M
Sep 19, 2013, 385.82, 373.55, 389.50, 371.00, 3.49M
Sep 18, 2013, 357.43, 355.00, 358.50, 348.50, 1.63M
Sep 17, 2013, 354.62, 357.00, 357.80, 350.52, 995.93K
Sep 16, 2013, 355.55, 367.50, 369.35, 351.95, 11.34M
Sep 13, 2013, 358.00, 347.45, 361.45, 345.60, 1.94M
Sep 12, 2013, 350.25, 357.60, 360.43, 345.93, 1.31M
Sep 11, 2013, 357.60, 350.00, 359.15, 344.50, 1.94M
Sep 10, 2013, 354.23, 343.15, 357.20, 342.55, 1.91M
Sep 06, 2013, 338.62, 333.85, 340.80, 326.38, 2.19M
Sep 05, 2013, 331.00, 312.62, 337.50, 312.62, 3.26M
Sep 04, 2013, 304.25, 299.95, 312.00, 295.50, 2.16M
Sep 03, 2013, 300.32, 315.10, 320.00, 298.00, 2.26M
Sep 02, 2013, 313.50, 327.45, 337.35, 311.18, 1.36M
Aug 30, 2013, 329.80, 317.50, 334.50, 304.23, 3.55M
Aug 29, 2013, 323.73, 304.25, 329.90, 298.12, 4.97M
Aug 28, 2013, 303.32, 299.00, 311.93, 294.00, 3.13M
Aug 27, 2013, 306.77, 310.00, 311.00, 300.50, 2.26M
Aug 26, 2013, 316.57, 324.62, 325.00, 312.50, 1.48M
Aug 23, 2013, 321.27, 318.00, 323.60, 312.00, 4.06M
Aug 22, 2013, 315.30, 310.90, 319.25, 307.50, 3.07M
Aug 21, 2013, 312.27, 325.05, 337.00, 309.00, 1.88M
Aug 20, 2013, 317.10, 303.18, 321.40, 301.18, 9.53M
Aug 19, 2013, 310.40, 314.50, 317.50, 306.07, 1.32M
Aug 16, 2013, 316.12, 326.12, 330.38, 313.45, 3.79M
Aug 14, 2013, 330.65, 330.00, 334.68, 326.95, 2.95M
Aug 13, 2013, 329.55, 325.00, 330.90, 319.10, 1.42M
Aug 12, 2013, 325.02, 326.55, 330.25, 323.35, 5.45M
Aug 08, 2013, 326.38, 322.50, 328.25, 319.15, 1.28M
Aug 07, 2013, 320.45, 316.00, 322.90, 316.00, 2.01M
Aug 06, 2013, 319.07, 328.35, 328.35, 315.00, 5.55M
Aug 05, 2013, 330.45, 326.75, 332.90, 320.50, 1.04M
Aug 02, 2013, 326.75, 331.12, 336.15, 322.50, 1.50M
Aug 01, 2013, 333.15, 327.60, 337.50, 319.40, 2.18M
Jul 31, 2013, 326.18, 324.00, 329.85, 311.25, 3.81M
Jul 30, 2013, 325.18, 331.15, 339.45, 323.40, 1.75M
Jul 29, 2013, 330.95, 338.50, 341.43, 328.55, 2.59M
Jul 26, 2013, 339.98, 346.90, 347.50, 333.75, 1.83M
