date, close, open, high, low, volume
Feb 13, 1998, 0.85, 0.83, 0.87, 0.83, 152.84K
Feb 12, 1998, 0.84, 0.85, 0.87, 0.83, 449.54K
Feb 11, 1998, 0.85, 0.93, 0.93, 0.83, 867.60K
Feb 10, 1998, 0.88, 0.87, 0.89, 0.85, 191.05K
Feb 09, 1998, 0.87, 0.92, 0.93, 0.87, 319.17K
Feb 06, 1998, 0.96, 1.02, 1.02, 0.95, 245.00K
Feb 05, 1998, 1.02, 1.02, 1.11, 1.01, 182.06K
Feb 04, 1998, 1.01, 1.07, 1.08, 1.01, 195.55K
Feb 03, 1998, 1.06, 1.07, 1.07, 1.05, 191.05K
Feb 02, 1998, 1.06, 1.10, 1.13, 1.05, 265.23K
Jan 30, 1998, 1.07, 1.05, 1.07, 1.05, 44.95K
Jan 29, 1998, 1.04, 1.03, 1.05, 0.99, 94.40K
Jan 28, 1998, 1.03, 1.03, 1.07, 1.03, 148.35K
Jan 27, 1998, 1.03, 1.02, 1.07, 1.02, 121.37K
Jan 23, 1998, 1.09, 1.09, 1.09, 1.07, 123.62K
Jan 22, 1998, 1.07, 1.09, 1.10, 1.07, 132.61K
Jan 21, 1998, 1.10, 1.11, 1.12, 1.07, 348.39K
Jan 20, 1998, 1.12, 1.17, 1.17, 1.11, 170.82K
Jan 19, 1998, 1.13, 1.19, 1.19, 1.12, 184.31K
Jan 16, 1998, 1.11, 1.10, 1.13, 1.10, 209.03K
Jan 15, 1998, 1.11, 1.15, 1.16, 1.11, 332.66K
Jan 14, 1998, 1.14, 1.22, 1.22, 1.12, 312.43K
Jan 13, 1998, 1.15, 1.16, 1.19, 1.14, 294.45K
Jan 12, 1998, 1.16, 1.20, 1.20, 1.12, 188.80K
Jan 09, 1998, 1.17, 1.21, 1.25, 1.16, 577.65K
Jan 08, 1998, 1.27, 1.30, 1.33, 1.23, 418.07K
Jan 07, 1998, 1.36, 1.33, 1.39, 1.29, 1.03M
Jan 06, 1998, 1.34, 1.33, 1.37, 1.29, 400.09K
Jan 05, 1998, 1.36, 1.33, 1.43, 1.31, 755.22K
Jan 02, 1998, 1.30, 1.26, 1.36, 1.26, 406.83K
Jan 01, 1998, 1.23, 1.19, 1.24, 1.17, 186.56K
Dec 31, 1997, 1.17, 1.21, 1.22, 1.16, 373.11K
Dec 30, 1997, 1.18, 1.28, 1.28, 1.16, 251.74K
Dec 29, 1997, 1.25, 1.26, 1.28, 1.23, 92.15K
Dec 26, 1997, 1.25, 1.28, 1.28, 1.24, 74.17K
Dec 24, 1997, 1.23, 1.25, 1.26, 1.22, 67.43K
Dec 23, 1997, 1.23, 1.20, 1.29, 1.20, 229.26K
Dec 22, 1997, 1.20, 1.21, 1.22, 1.19, 107.89K
Dec 19, 1997, 1.19, 1.16, 1.21, 1.16, 92.15K
Dec 18, 1997, 1.20, 1.21, 1.23, 1.20, 168.58K
Dec 17, 1997, 1.21, 1.24, 1.25, 1.20, 114.63K
Dec 16, 1997, 1.20, 1.19, 1.24, 1.19, 74.17K
Dec 15, 1997, 1.23, 1.22, 1.24, 1.22, 114.63K
Dec 12, 1997, 1.21, 1.23, 1.23, 1.21, 85.41K
Dec 11, 1997, 1.21, 1.20, 1.24, 1.18, 78.67K
Dec 10, 1997, 1.24, 1.26, 1.26, 1.23, 49.45K
Dec 09, 1997, 1.24, 1.32, 1.32, 1.24, 94.40K
Dec 08, 1997, 1.29, 1.29, 1.29, 1.28, 35.96K
