date, close, open, high, low, volume
Sep 03, 1999, 1.62, 1.59, 1.65, 1.58, 310.18K
Sep 02, 1999, 1.63, 1.65, 1.68, 1.59, 622.61K
Sep 01, 1999, 1.67, 1.70, 1.72, 1.60, 1.04M
Aug 31, 1999, 1.59, 1.65, 1.65, 1.57, 818.15K
Aug 30, 1999, 1.71, 1.81, 1.82, 1.65, 719.26K
Aug 27, 1999, 1.78, 1.74, 1.81, 1.71, 624.85K
Aug 26, 1999, 1.80, 1.78, 1.98, 1.78, 593.39K
Aug 25, 1999, 1.87, 2.18, 2.18, 1.86, 977.74K
Aug 24, 1999, 2.02, 1.97, 2.10, 1.97, 1.21M
Aug 23, 1999, 2.13, 2.11, 2.20, 2.00, 1.62M
Aug 20, 1999, 2.04, 1.87, 2.05, 1.82, 1.23M
Aug 19, 1999, 1.98, 2.32, 2.32, 1.98, 2.40M
Aug 18, 1999, 2.15, 2.05, 2.15, 2.05, 717.01K
Aug 17, 1999, 1.99, 1.99, 1.99, 1.87, 2.30M
Aug 16, 1999, 1.84, 1.84, 1.84, 1.84, 253.99K
Aug 13, 1999, 1.70, 1.70, 1.70, 1.70, 227.02K
Aug 12, 1999, 1.57, 1.56, 1.57, 1.56, 253.99K
Aug 11, 1999, 1.46, 1.37, 1.46, 1.37, 786.69K
Aug 10, 1999, 1.35, 1.27, 1.35, 1.26, 1.41M
Aug 09, 1999, 1.25, 1.20, 1.25, 1.16, 1.51M
Aug 06, 1999, 1.16, 1.05, 1.16, 1.05, 894.58K
Aug 05, 1999, 1.07, 1.16, 1.16, 1.05, 285.46K
Aug 04, 1999, 1.13, 1.12, 1.15, 1.10, 227.02K
Aug 03, 1999, 1.15, 1.12, 1.15, 1.11, 516.97K
Aug 02, 1999, 1.15, 1.17, 1.18, 1.14, 467.52K
Jul 30, 1999, 1.20, 1.16, 1.20, 1.16, 440.54K
Jul 29, 1999, 1.18, 1.17, 1.19, 1.17, 498.98K
Jul 28, 1999, 1.19, 1.16, 1.21, 1.16, 406.83K
Jul 27, 1999, 1.20, 1.16, 1.20, 1.16, 507.98K
Jul 26, 1999, 1.18, 1.15, 1.19, 1.15, 611.37K
Jul 23, 1999, 1.19, 1.20, 1.20, 1.16, 418.07K
Jul 22, 1999, 1.18, 1.15, 1.21, 1.15, 784.44K
Jul 21, 1999, 1.18, 1.15, 1.18, 1.14, 521.46K
Jul 20, 1999, 1.16, 1.17, 1.18, 1.15, 699.03K
Jul 19, 1999, 1.19, 1.18, 1.22, 1.16, 717.01K
Jul 16, 1999, 1.16, 1.13, 1.20, 1.13, 946.27K
Jul 15, 1999, 1.15, 1.18, 1.19, 1.13, 739.49K
Jul 14, 1999, 1.17, 1.17, 1.24, 1.12, 1.00M
Jul 13, 1999, 1.15, 1.22, 1.27, 1.14, 1.05M
Jul 12, 1999, 1.19, 1.15, 1.20, 1.13, 953.02K
Jul 09, 1999, 1.11, 1.11, 1.16, 1.07, 1.62M
Jul 08, 1999, 1.08, 1.07, 1.08, 1.06, 489.99K
Jul 07, 1999, 1.00, 0.97, 1.00, 0.97, 361.88K
Jul 06, 1999, 0.85, 0.80, 0.87, 0.80, 586.64K
Jul 05, 1999, 0.82, 0.80, 0.83, 0.79, 233.76K
Jul 02, 1999, 0.80, 0.79, 0.83, 0.79, 262.98K
Jul 01, 1999, 0.80, 0.80, 0.81, 0.79, 85.41K
Jun 30, 1999, 0.79, 0.78, 0.80, 0.76, 83.16K
Jun 29, 1999, 0.78, 0.78, 0.78, 0.75, 177.57K
Jun 28, 1999, 0.77, 0.77, 0.78, 0.76, 146.10K
Jun 25, 1999, 0.78, 0.79, 0.79, 0.77, 159.59K
Jun 24, 1999, 0.76, 0.81, 0.81, 0.74, 339.40K
Jun 23, 1999, 0.80, 0.80, 0.82, 0.80, 119.13K
Jun 22, 1999, 0.80, 0.82, 0.82, 0.79, 161.83K
Jun 21, 1999, 0.81, 0.80, 0.82, 0.80, 44.95K
