date, close, open, high, low, volume
Apr 13, 2009, 367.29, 374.42, 382.22, 349.02, 20.62M
Apr 09, 2009, 369.98, 373.24, 378.67, 357.93, 10.57M
Apr 08, 2009, 358.64, 332.44, 360.89, 329.04, 13.74M
Apr 06, 2009, 342.36, 326.67, 345.33, 322.49, 11.55M
Apr 02, 2009, 319.00, 304.44, 326.93, 304.44, 11.44M
Apr 01, 2009, 298.87, 301.78, 304.40, 293.91, 5.41M
Mar 31, 2009, 298.40, 290.67, 306.67, 290.22, 7.54M
Mar 30, 2009, 289.62, 295.56, 300.40, 287.04, 6.23M
Mar 27, 2009, 302.40, 297.64, 307.73, 294.67, 6.61M
Mar 26, 2009, 294.29, 279.56, 297.78, 279.56, 13.95M
Mar 25, 2009, 277.16, 272.44, 279.33, 268.09, 7.56M
Mar 24, 2009, 270.16, 272.67, 279.56, 268.02, 7.69M
Mar 23, 2009, 268.78, 262.67, 271.33, 261.47, 7.01M
Mar 20, 2009, 260.04, 268.89, 271.96, 257.87, 10.65M
Mar 19, 2009, 270.84, 284.42, 288.44, 269.38, 7.90M
Mar 18, 2009, 282.56, 276.58, 287.11, 275.56, 7.76M
Mar 17, 2009, 274.49, 274.22, 279.56, 271.11, 4.72M
Mar 16, 2009, 278.62, 275.07, 281.11, 270.33, 4.79M
Mar 13, 2009, 273.42, 263.11, 275.11, 258.67, 7.09M
Mar 12, 2009, 256.04, 257.78, 259.29, 253.33, 4.06M
Mar 09, 2009, 249.80, 254.67, 259.78, 247.16, 4.43M
Mar 06, 2009, 258.16, 252.44, 260.80, 247.11, 6.59M
Mar 05, 2009, 252.78, 260.00, 260.89, 251.33, 5.52M
Mar 04, 2009, 257.98, 255.56, 260.40, 254.69, 5.35M
Mar 03, 2009, 254.22, 259.56, 263.33, 253.33, 6.42M
Mar 02, 2009, 259.64, 264.47, 270.22, 258.38, 5.66M
Feb 27, 2009, 272.78, 280.00, 280.00, 265.96, 8.02M
Feb 26, 2009, 271.07, 275.11, 279.33, 269.40, 9.11M
Feb 25, 2009, 271.96, 288.00, 288.00, 270.87, 6.72M
Feb 24, 2009, 277.56, 273.33, 280.44, 268.98, 5.59M
Feb 20, 2009, 276.20, 282.22, 282.67, 273.38, 5.60M
Feb 19, 2009, 284.60, 292.89, 294.53, 283.60, 5.99M
Feb 18, 2009, 289.76, 291.11, 294.89, 287.20, 4.69M
Feb 17, 2009, 292.62, 292.42, 295.49, 289.33, 5.16M
Feb 16, 2009, 296.36, 311.09, 315.56, 293.80, 6.06M
Feb 13, 2009, 312.09, 305.78, 315.76, 304.44, 5.80M
Feb 12, 2009, 303.31, 302.22, 307.91, 300.62, 4.09M
Feb 11, 2009, 306.42, 302.71, 309.98, 299.49, 6.15M
Feb 10, 2009, 310.47, 297.78, 313.11, 297.78, 8.32M
Feb 09, 2009, 299.73, 288.89, 301.33, 284.11, 7.30M
Feb 06, 2009, 283.96, 284.44, 288.80, 282.27, 5.07M
Feb 05, 2009, 282.93, 292.89, 294.98, 280.89, 6.12M
Feb 04, 2009, 291.24, 295.62, 299.96, 288.98, 7.32M
Feb 03, 2009, 292.27, 297.78, 301.78, 287.33, 7.51M
Feb 02, 2009, 293.58, 301.78, 310.22, 291.11, 7.10M
Jan 30, 2009, 306.78, 290.58, 308.89, 287.29, 13.53M
Jan 29, 2009, 293.80, 302.82, 308.76, 289.78, 8.64M
Jan 28, 2009, 298.53, 286.67, 301.24, 284.09, 10.26M
Jan 27, 2009, 283.44, 284.49, 293.33, 269.13, 8.12M
Jan 23, 2009, 284.91, 293.33, 297.00, 283.11, 6.35M
Jan 22, 2009, 295.40, 309.78, 312.89, 289.38, 7.26M
Jan 21, 2009, 304.51, 308.89, 313.33, 302.33, 4.64M
Jan 20, 2009, 314.98, 314.24, 319.11, 312.09, 4.35M
Jan 19, 2009, 323.40, 320.89, 327.33, 317.78, 4.50M
Jan 16, 2009, 318.73, 316.00, 324.40, 311.27, 5.16M
Jan 15, 2009, 314.18, 306.67, 319.98, 297.78, 5.90M
Jan 14, 2009, 315.20, 315.56, 319.73, 310.09, 4.13M
Jan 13, 2009, 311.04, 304.44, 317.69, 302.22, 3.82M
Jan 12, 2009, 305.91, 311.11, 324.44, 302.22, 10.40M
Jan 09, 2009, 320.38, 341.20, 341.20, 289.87, 14.63M
Jan 07, 2009, 344.29, 382.22, 382.98, 337.64, 8.48M
Jan 06, 2009, 377.87, 375.56, 386.62, 370.58, 7.65M
Jan 05, 2009, 381.02, 376.89, 383.09, 369.87, 5.65M
Jan 02, 2009, 366.82, 362.47, 372.76, 362.38, 5.06M
Jan 01, 2009, 365.22, 348.89, 366.67, 344.44, 5.65M
Dec 31, 2008, 343.89, 346.67, 352.67, 338.31, 4.13M
Dec 30, 2008, 343.07, 330.13, 345.24, 330.13, 4.61M
Dec 29, 2008, 329.87, 329.78, 334.22, 320.56, 4.50M
Dec 26, 2008, 330.93, 342.18, 349.33, 328.89, 3.31M
Dec 24, 2008, 340.20, 337.78, 344.44, 333.87, 5.20M
Dec 23, 2008, 344.27, 357.78, 358.29, 340.89, 6.72M
Dec 22, 2008, 362.22, 364.98, 371.56, 359.11, 4.33M
Dec 19, 2008, 364.13, 351.11, 368.67, 351.11, 5.57M
Dec 18, 2008, 360.40, 346.69, 361.78, 337.78, 7.37M
Dec 17, 2008, 348.89, 362.47, 368.44, 345.82, 6.45M
Dec 16, 2008, 360.24, 368.89, 375.11, 356.00, 7.74M
Dec 15, 2008, 365.44, 357.76, 369.64, 354.04, 9.88M
Dec 12, 2008, 350.29, 340.00, 357.33, 330.22, 9.93M
Dec 11, 2008, 347.56, 351.11, 352.36, 337.33, 7.19M
Dec 10, 2008, 346.58, 331.56, 348.76, 329.78, 8.40M
Dec 08, 2008, 328.51, 326.93, 345.64, 324.87, 7.40M
Dec 05, 2008, 324.04, 330.67, 338.67, 321.24, 6.06M
Dec 04, 2008, 332.53, 309.78, 339.07, 306.73, 9.66M
Dec 03, 2008, 307.09, 315.49, 315.49, 301.11, 7.12M
Dec 02, 2008, 302.13, 305.69, 308.89, 297.78, 9.53M
Dec 01, 2008, 312.42, 337.78, 339.78, 311.11, 6.65M
Nov 28, 2008, 323.22, 328.89, 335.49, 314.22, 7.46M
Nov 26, 2008, 333.84, 333.33, 336.40, 320.44, 6.25M
Nov 25, 2008, 327.47, 344.44, 348.44, 324.89, 5.23M
Nov 24, 2008, 337.20, 344.31, 351.11, 331.27, 7.57M
Nov 21, 2008, 336.53, 311.11, 346.67, 311.11, 7.80M
Nov 20, 2008, 316.42, 320.00, 320.00, 309.07, 6.37M
Nov 19, 2008, 325.40, 344.44, 351.11, 322.27, 6.84M
Nov 18, 2008, 339.31, 346.64, 354.53, 335.56, 4.97M
Nov 17, 2008, 351.20, 357.78, 357.78, 335.60, 8.34M
Nov 14, 2008, 351.98, 376.44, 382.22, 348.00, 8.81M
Nov 12, 2008, 366.44, 386.89, 391.11, 360.49, 8.13M
Nov 11, 2008, 384.02, 395.56, 408.76, 381.78, 5.98M
Nov 10, 2008, 410.13, 396.00, 417.07, 389.18, 7.73M
Nov 07, 2008, 386.82, 382.22, 394.78, 372.44, 5.66M
Nov 06, 2008, 381.91, 371.11, 399.80, 364.44, 6.47M
Nov 05, 2008, 384.78, 426.67, 426.67, 382.22, 6.18M
Nov 04, 2008, 410.27, 393.36, 412.89, 384.02, 6.69M
Nov 03, 2008, 398.84, 368.89, 404.44, 368.89, 9.22M
Oct 31, 2008, 358.69, 351.09, 364.89, 345.36, 10.45M
Oct 29, 2008, 337.69, 351.56, 360.00, 332.00, 6.72M
Oct 28, 2008, 341.73, 346.67, 352.67, 336.53, 1.72M
Oct 27, 2008, 321.56, 337.78, 342.22, 302.22, 6.78M
Oct 24, 2008, 341.53, 357.78, 366.22, 333.93, 8.12M
Oct 23, 2008, 370.00, 351.11, 376.96, 343.56, 8.99M
Oct 22, 2008, 362.51, 373.36, 376.44, 359.11, 6.53M
Oct 21, 2008, 382.04, 366.67, 402.09, 362.27, 9.40M
Oct 20, 2008, 360.76, 373.33, 391.11, 348.00, 8.61M
Oct 17, 2008, 355.42, 373.33, 382.22, 351.13, 8.92M
Oct 16, 2008, 366.00, 359.16, 384.44, 355.56, 11.08M
Oct 15, 2008, 398.04, 444.44, 444.44, 392.93, 12.12M
Oct 14, 2008, 446.71, 453.33, 479.11, 442.13, 7.05M
Oct 13, 2008, 438.27, 400.04, 444.44, 400.04, 6.62M
Oct 10, 2008, 395.71, 400.00, 413.29, 377.78, 9.61M
Oct 08, 2008, 429.56, 431.11, 453.78, 415.11, 9.19M
Oct 07, 2008, 448.02, 488.89, 500.00, 442.22, 12.96M
Oct 06, 2008, 481.76, 497.78, 506.67, 474.67, 5.81M
Oct 03, 2008, 515.11, 537.33, 554.67, 511.11, 6.36M
Oct 01, 2008, 540.49, 555.51, 568.89, 512.27, 6.02M
Sep 30, 2008, 543.64, 522.16, 550.00, 432.22, 12.59M
Sep 29, 2008, 521.61, 555.56, 555.56, 516.89, 9.20M
Sep 26, 2008, 548.60, 569.99, 569.99, 546.67, 6.72M
Sep 25, 2008, 570.11, 568.89, 574.45, 561.56, 6.40M
Sep 24, 2008, 566.79, 566.45, 577.78, 562.89, 5.62M
