date, close, open, high, low, volume
Feb 13, 1998, 30.54, 30.34, 30.60, 30.26, 3.60M
Feb 12, 1998, 30.37, 30.30, 30.48, 30.02, 4.57M
Feb 11, 1998, 30.17, 29.71, 30.49, 29.71, 7.91M
Feb 10, 1998, 29.75, 29.68, 29.90, 29.52, 4.86M
Feb 09, 1998, 29.83, 29.61, 29.99, 29.48, 2.79M
Feb 06, 1998, 29.54, 29.66, 29.72, 29.33, 3.24M
Feb 05, 1998, 29.55, 29.44, 29.83, 29.30, 3.44M
Feb 04, 1998, 29.36, 29.61, 30.18, 29.18, 11.52M
Feb 03, 1998, 29.44, 29.74, 29.75, 29.21, 3.64M
Feb 02, 1998, 29.55, 28.90, 29.64, 28.90, 5.37M
Jan 30, 1998, 28.99, 28.65, 29.05, 28.62, 4.30M
Jan 29, 1998, 28.51, 28.09, 28.67, 28.06, 3.90M
Jan 28, 1998, 28.20, 28.07, 28.81, 27.83, 5.95M
Jan 27, 1998, 28.30, 29.13, 29.25, 28.00, 9.08M
Jan 23, 1998, 29.13, 29.40, 29.60, 28.99, 7.08M
Jan 22, 1998, 29.45, 30.54, 30.54, 29.30, 8.33M
Jan 21, 1998, 30.75, 31.15, 31.15, 30.45, 3.45M
Jan 20, 1998, 30.57, 30.88, 31.46, 30.39, 6.46M
Jan 19, 1998, 30.73, 30.22, 30.90, 29.68, 6.33M
Jan 16, 1998, 30.24, 30.20, 30.37, 29.79, 4.08M
Jan 15, 1998, 29.93, 30.16, 30.63, 29.07, 10.63M
Jan 14, 1998, 30.36, 30.76, 31.46, 29.95, 6.21M
Jan 13, 1998, 30.48, 30.22, 31.27, 30.14, 11.32M
Jan 12, 1998, 30.23, 31.46, 31.46, 29.84, 14.13M
Jan 09, 1998, 31.64, 32.40, 32.40, 30.98, 19.69M
Jan 08, 1998, 32.60, 32.55, 33.20, 32.27, 17.55M
Jan 07, 1998, 32.90, 32.12, 33.08, 32.00, 18.96M
Jan 06, 1998, 32.02, 32.15, 32.22, 31.64, 5.02M
Jan 05, 1998, 32.14, 32.07, 32.51, 32.07, 6.30M
Jan 02, 1998, 31.82, 31.88, 32.21, 31.71, 4.07M
Jan 01, 1998, 31.78, 31.47, 31.99, 31.47, 3.57M
Dec 31, 1997, 31.84, 31.57, 32.15, 31.39, 5.81M
Dec 30, 1997, 31.23, 32.62, 32.62, 31.03, 10.05M
Dec 29, 1997, 32.52, 32.08, 32.60, 31.84, 12.76M
Dec 26, 1997, 31.79, 30.30, 31.95, 30.23, 14.99M
Dec 24, 1997, 30.52, 30.53, 30.66, 29.29, 7.26M
Dec 23, 1997, 30.59, 29.44, 30.92, 29.44, 8.88M
Dec 22, 1997, 29.30, 28.89, 29.44, 28.71, 3.32M
Dec 19, 1997, 28.65, 28.44, 28.71, 28.28, 1.43M
Dec 18, 1997, 28.53, 28.82, 28.98, 28.47, 2.20M
Dec 17, 1997, 28.68, 28.20, 29.44, 28.05, 3.44M
Dec 16, 1997, 27.74, 27.58, 27.97, 27.44, 3.97M
Dec 15, 1997, 27.56, 27.12, 27.65, 26.96, 2.99M
Dec 12, 1997, 27.04, 27.27, 27.46, 26.81, 3.16M
Dec 11, 1997, 27.04, 27.54, 27.72, 26.52, 6.60M
Dec 10, 1997, 27.60, 27.12, 27.88, 27.11, 1.96M
